Item Shelving Id,Item Call Number,Catalog Id,Item Library Code,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Collection,Item Status,Item Type,Item Created Date,Item Last Checkout Date,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Item Legacy Total Charges,Number of Items
PZ 000001 .A43  NE,PZ1 .A43 Ne,1106652,ALDERMAN,1965,New American story.,"Allen, Donald,",X000378836,STACKS,STACKS,BOOK,6/29/96,7/1/08,0,0,0,1,2
PZ 000001 .A48  TO,PZ1 .A48 To,1354047,ALDERMAN,1965,"To catch a spy, an anthology of favourite spy stories.","Ambler, Eric,",X001590903,STACKS,STACKS,BOOK,6/30/96,7/7/17,1,0,1,5,1
PZ 000001 .B23,PZ1 .B23,281536,ALDERMAN,1978,Banquet : five short stories /,,X000077952,STACKS,STACKS,BOOK,6/28/96,7/1/08,0,0,1,1,1
PZ 000001 .E35  WE,PZ1 .E35 We,815873,ALDERMAN,1963,West African narrative; an anthology for schools.,"Edwards, Paul,",X002173613,STACKS,STACKS,BOOK,6/29/96,7/1/08,0,0,0,2,1
PZ 000001 .H124  MO 1939,PZ1 .H124 Mo 1939,422120,CLEMONS,1939,Modern short stories.,"Hadfield, John,",X000232317,BY-REQUEST,BY-REQUEST,BOOK,6/29/96,4/30/13,1,0,1,2,1
PZ 000001 .I596,PZ1 .I596,327909,ALDERMAN,1978,International relations through science fiction /,,X000065812,STACKS,STACKS,BOOK,6/28/96,7/1/08,0,0,1,5,1
PZ 000001 .R7147  MAN,PZ1 .R7147 Man,621074,ALDERMAN,1974,The man to send rain clouds; contemporary stories by American Indians.,"Rosen, Kenneth Mark,",X000232318,STACKS,STACKS,BOOK,6/29/96,7/1/08,0,0,4,2,1
PZ 000001 .S234  SAQ,PZ1 .S234 Saq,1106659,ALDERMAN,1962,The Saturday evening post reader of sea stories;,,X002219973,STACKS,STACKS,BOOK,6/29/96,7/1/08,0,0,1,2,1
PZ 000010 .B294  SO 1916,PZ10 .B294 So 1916,1113516,ALDERMAN,1916,"The story of glass,","Bassett, Sara Ware,",X002243520,STACKS,STACKS,BOOK,6/29/96,7/3/08,0,0,0,2,2
PZ 000010 .B655  LI 1969,PZ10 .B655 Li 1969,1113520,ALDERMAN,1969,Lisa's spring baby.,"Brawley, Eleanor Riggins.",X001181410,STACKS,STACKS,BOOK,6/29/96,7/3/08,0,0,0,0,1
PZ 000010 .B742  RD 1922,PZ10 .B742 Rd 1922,1113521,ALDERMAN,1922,The radio boys on the Mexican border /,"Breckenridge, Gerald,",X000462660,STACKS,STACKS,BOOK,6/29/96,6/12/15,0,0,0,2,1
PZ 000010 .B89  LI 1962,PZ10 .B89 Li 1962,804465,ALDERMAN,1962,Life story.,"Burton, Virginia Lee,",X001121724,STACKS,STACKS,BOOK,6/29/96,2/4/11,0,0,0,2,1
PZ 000010 .C56  LO 1957,PZ10 .C56 Lo 1957,1113524,ALDERMAN,1957,"Long, long ago.","Clark, Mary Lou.",1113524-1001,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,0,0,1
PZ 000010 .D2  SO 1941,PZ10 .D2 So 1941,1113528,ALDERMAN,1941,"So sailors say,","Daugherty, Charles Michael,",X002178451,STACKS,STACKS,BOOK,6/29/96,7/3/08,0,0,0,2,1
PZ 000010 .F714  YM 1959,PZ10 .F714 Ym 1959,1113530,ALDERMAN,1959,You will go to the moon,"Freeman, Mae Blacker,",X000619901,STACKS,STACKS,BOOK,6/29/96,5/22/17,1,0,0,3,1
PZ 000010 .G48  LI 1944,PZ10 .G48 Li 1944,1113531,ALDERMAN,1936,"Little black ant,","Gall, Alice Crew.",X000680988,STACKS,STACKS,BOOK,6/29/96,7/3/08,0,0,0,0,1
PZ 000010 .H143  DA 1927,PZ10 .H143 Da 1927,1113534,ALDERMAN,1927,"Days before history,","Hall, Henry Rushton.",X000685907,STACKS,STACKS,BOOK,6/29/96,7/3/08,0,0,0,0,1
PZ 000010 .H847  LAS 1967,PZ10 .H847 Las 1967,1113536,ALDERMAN,1967,"The last trumpeters,","Hutchins, Ross E.",X000457597,STACKS,STACKS,BOOK,6/29/96,7/3/08,0,0,1,0,1
PZ 000010 .H9  OF 1959,PZ10 .H9 Of 1959,811526,ALDERMAN,1959,Off into space! Science for young space travelers.,"Hyde, Margaret O. (Margaret Oldroyd),",X001133407,STACKS,STACKS,BOOK,6/29/96,7/3/08,0,0,0,0,1
PZ 000010 .L3  M5  1961,PZ10 .L3 M5 1961,1315371,ALDERMAN,1961,Winnie ille Pu; liber celeberrimus omnibus fere pueris puellisque notus nunc primum de anglico sermone in Latinum conversus auctore Alexandro Lenardo.,"Milne, A. A. (Alan Alexander),",X030449904,STACKS,STACKS,BOOK,8/7/08,8/7/08,0,0,0,0,1
PZ 000010 .L95  OU 1957,PZ10 .L95 Ou 1957,1113542,ALDERMAN,1957,"Our sun and the worlds around it; planets, moons, comets, and other wonders of the solar system.","Lyon, Jene.",1113542-1001,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,0,0,1
PZ 000010 .P57  WAT 1959,PZ10 .P57 Wat 1959,1113552,ALDERMAN,1959,"Water all around,","Pine, Tillie S.",1113552-1001,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,0,0,1
