Item Shelving Id,Item Call Number,Catalog Id,Item Library Code,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Collection,Item Status,Item Type,Item Created Date,Item Last Checkout Date,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Item Legacy Total Charges,Number of Items
U  000001 .L66  NO.14,U1 .L66 no.14,2299417,ALDERMAN,1992,Security issues of the ex-Soviet Central Asian Republics /,"Shashenkov, Maxim.",X002519831,STACKS,STACKS,BOOK,7/1/96,7/17/08,0,0,2,12,1
U  000001 .L66  NO.16,U1 .L66 no.16,2284772,ALDERMAN,1993,The Western European Union : pillar of Nato or defence arm of the EC? /,"Myers, Julia A.",X002533979,STACKS,STACKS,BOOK,7/1/96,7/17/08,0,0,2,6,1
U  000001 .L66  NO.18,U1 .L66 no.18,2282592,ALDERMAN,1993,Germany and the future of European security /,"Bluth, Christoph.",X002498130,STACKS,STACKS,BOOK,7/1/96,7/17/08,0,0,2,2,1
U  000001 .L66  NO.20,U1 .L66 no.20,2286339,ALDERMAN,1993,The diffusion of small arms and light weapons in Pakistan and Northern India /,"Smith, Chris (Chris Nicholas),",X002523471,STACKS,STACKS,BOOK,7/1/96,8/21/12,0,0,3,7,1
U  000001 .L66  NO.21,U1 .L66 no.21,2341097,ALDERMAN,1994,Peace conference on former Yugoslavia : the politico-military interface /,"Messervy-Whiting, Graham.",X006126242,STACKS,STACKS,BOOK,10/3/01,7/17/08,0,0,2,1,1
U  000010 .G3  B47,U10 .G3 B47,651806,ALDERMAN,1982,"Wegweiser durch das Deutsche Soldatenjahrbuch (Deutscher Soldatenkalender), 1953-1977 : eine Dokumentation der ersten 25 Jahrgänge /","Bernau, Günter.",X000913925,STACKS,STACKS,BOOK,6/29/96,7/28/11,0,0,0,2,1
U  000101 .A45  1961,U101 .A45 1961,1186991,ALDERMAN,1961,"A Muslim manual of war, being Tafr?h al-kur?b f? tadb?r al-hurub,","al-Aws? al-Ancs?r?, ?mar ibn Ibr?h?m,",X001702504,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,1,2,1
U  000101 .A73  1996,U101 .A73 1996,4048763,ALDERMAN,1996,The Art of the warrior : leadership and strategy from the Chinese military classics : with selections from the Seven military classics of ancient China and Sun Pin's Military methods /,,X030843266,STACKS,STACKS,BOOK,5/11/12,6/21/13,2,5,0,7,1
U  000101 .B37  1598A,U101 .B37 1598a,1274801,ALDERMAN,1969,The theorike and practike of moderne warres.,"Barret, Robert,",X001839664,STACKS,STACKS,BOOK,6/30/96,2/13/13,0,0,4,66,1
U  000101 .B38  1594A,U101 .B38 1594a,450290,ALDERMAN,1974,Concerning the force and effect of ... manuall weapons of fire.,"Barwick, Humfrey.",X000450191,STACKS,STACKS,BOOK,6/29/96,7/17/08,0,0,0,4,1
U  000101 .B68  2017,U101 .B68 2017,7217473,ALDERMAN,2017,L'arbre des batailles /,"Bonet, Honoré,",X031815432,STACKS,STACKS,BOOK,8/3/17,1/1/00,0,0,0,0,1
U  000101 .B75  2018,U101 .B75 2018,7553065,ALDERMAN,2018,Brill's companion to Aineias Tacticus /,,X031853188,STACKS,STACKS,BOOK,5/21/18,5/29/18,1,0,0,1,1
U  000101 .C443  1938  V.000001,U101 .C443 1938 v.1,6260127,ALDERMAN,1938,Ji xiao xin shu : [18 juan] /,"Qi, Jiguang,",X031637291,STACKS,STACKS,BOOK,5/12/14,5/16/14,0,0,0,0,1
U  000101 .C443  1938  V.000002,U101 .C443 1938 v.2,6260127,ALDERMAN,1938,Ji xiao xin shu : [18 juan] /,"Qi, Jiguang,",X031637290,STACKS,STACKS,BOOK,5/12/14,5/16/14,0,0,0,0,1
U  000101 .C473  1985  V.000001,U101 .C473 1985 v.1,2903986,ALDERMAN,1985,Xian Qin zhu zi jun shi lun yi zhu /,"Qiu, Shaohua.",X001364672,STACKS,STACKS,BOOK,4/20/99,1/1/00,0,0,1,0,2
U  000101 .C473  1985  V.000002,U101 .C473 1985 v.2,2903986,ALDERMAN,1985,Xian Qin zhu zi jun shi lun yi zhu /,"Qiu, Shaohua.",X001364673,STACKS,STACKS,BOOK,8/21/08,1/1/00,0,0,1,0,1
U  000101 .C47413  1999,U101 .C47413 1999,2922576,ALDERMAN,1999,The book of deeds of arms and of chivalry /,"Christine,",X004267703,STACKS,CHECKEDOUT,BOOK,6/21/99,3/2/18,2,4,0,18,1
U  000101 .C6  1591A,U101 .C6 1591a,628390,ALDERMAN,1973,Approved order of martiall discipline /,"Clayton, Gyles.",X000724687,STACKS,STACKS,BOOK,6/29/96,7/17/08,0,0,2,7,1
U  000101 .D37  1619A,U101 .D37 1619a,525005,ALDERMAN,1968,The art of war and Englands traynings.,"Davies, Edward.",X000526017,STACKS,STACKS,BOOK,6/29/96,7/17/08,0,0,4,5,1
U  000101 .D57  1579  1568ED.,U101 .D57 1579 1568ed.,1186992,ALDERMAN,1968,Stratioticos.,"Digges, Leonard,",X001993291,STACKS,STACKS,BOOK,6/29/96,7/17/08,0,0,1,6,1
U  000101 .F934,U101 .F934,483735,ALDERMAN,1963,"Kriegslisten,","Frontinus, Sextus Julius.",X000297489,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,0,1,1
U  000101 .G3  1587A,U101 .G3 1587a,1186993,ALDERMAN,1944,Diálogos militares.,"García de Palacio, Diego,",X002313478,STACKS,STACKS,BOOK,6/29/96,12/4/17,1,0,2,11,1
U  000101 .H56  1992,U101 .H56 1992,2145404,ALDERMAN,1992,"Bing shu si zhong (Sunzi, Wei Liao zi, Wuzi, Sima fa) zhu zi suo yin = A Concordance to the militarists (Sunzi, Yuliaozi, Wuzi, Simafa) /",,X002189808,STACKS,STACKS,BOOK,7/1/96,6/21/13,1,5,0,7,1
U  000101 .H82  2005,U101 .H82 2005,4696191,ALDERMAN,2005,Huang Shigong san lüe /,"Huang, Shigong,",X030385251,STACKS,STACKS,BOOK,3/10/08,4/6/15,1,0,0,1,1
U  000101 .H83  1955,U101 .H83 1955,5743064,ALDERMAN,1955,Su shu zhu /,"Huang, Shigong,",X030891315,STACKS,STACKS,BOOK,8/21/12,8/24/12,0,0,1,0,1
U  000101 .K5,U101 .K5,424813,ALDERMAN,1976,Militaris disciplina : kritische Ausgabe /,"Kirchhof, Hans Wilhelm,",X000724688,STACKS,STACKS,BOOK,6/29/96,8/24/96,0,0,1,1,1
U  000101 .L42313  2010,U101 .L42313 2010,5392730,ALDERMAN,2010,The Taktika of Leo VI /,Leo,X030306548,STACKS,STACKS,BOOK,7/26/11,11/28/18,1,1,1,2,1
U  000101 .L815  1979,U101 .L815 1979,118232,ALDERMAN,1979,Luh-t'ao : ein spätantiker Text zur Kriegskunst /,"Lü, Shang.",X000886054,STACKS,STACKS,BOOK,6/28/96,8/24/96,0,0,1,1,1
U  000101 .L83  T26  1999,U101 .L83 T26 1999,4000729,ALDERMAN,1999,"Liu tao, San lüe yi zhu /","Tang, Shuwen.",X004789516,STACKS,STACKS,BOOK,1/19/04,7/17/08,0,0,0,0,1
U  000101 .L8313  2005,U101 .L8313 2005,4696192,ALDERMAN,2005,Liu Tao /,"Lü, Shang.",X030385252,STACKS,STACKS,BOOK,3/10/08,4/6/18,2,29,0,32,2
U  000101 .M16  1560A,U101 .M16 1560a,539992,ALDERMAN,1969,The arte of warre.,"Machiavelli, Niccolò,",X000526018,STACKS,STACKS,BOOK,6/29/96,7/17/08,0,0,2,64,1
U  000101 .M1613  1965,U101 .M1613 1965,1186995,ALDERMAN,1965,The art of war.,"Machiavelli, Niccolò,",X000313217,STACKS,STACKS,BOOK,6/29/96,4/20/13,1,0,5,47,1
U  000101 .M1613  1965,U101 .M1613 1965,1186995,ALDERMAN,1965,The art of war.,"Machiavelli, Niccolò,",X000335410,STACKS,STACKS,BOOK,6/29/96,7/6/15,1,1,4,42,1
U  000101 .M5913  1993,U101 .M5913 1993,2119901,ALDERMAN,1993,The book of five rings /,"Miyamoto, Musashi,",X002160047,STACKS,STACKS,BOOK,6/30/96,10/25/18,6,46,7,119,1
U  000101 .M79  1988  V.000001,U101 .M79 1988 v.1,1806408,ALDERMAN,1988,Le opere di Raimondo Montecuccoli /,"Montecuccoli, Raimondo,",X001846010,STACKS,STACKS,BOOK,6/30/96,6/30/08,0,0,1,8,1
U  000101 .M79  1988  V.000002,U101 .M79 1988 v.2,1806408,ALDERMAN,1988,Le opere di Raimondo Montecuccoli /,"Montecuccoli, Raimondo,",X001845999,STACKS,STACKS,BOOK,6/30/96,6/30/08,0,0,0,9,1
U  000101 .O5815  1973,U101 .O5815 1973,149831,ALDERMAN,1973,Dell'arte della guerra : trattato /,Onasander.,X030450394,STACKS,STACKS,BOOK,6/28/96,12/6/10,0,0,0,0,1
U  000101 .P35  1996,U101 .P35 1996,2536349,ALDERMAN,1996,De perfectione militaris triumphi = La perfeçión del triunfo /,"Palencia, Alfonso Fernández de,",X006039819,STACKS,CHECKEDOUT,BOOK,7/1/96,5/8/18,1,3,0,12,1
U  000101 .P68  1970,U101 .P68 1970,385400,ALDERMAN,1970,Polyaeni Strategematon libri VIII [i.e. octo] /,Polyaenus.,X000070382,STACKS,STACKS,BOOK,6/28/96,7/8/05,0,0,3,5,1
U  000101 .P78  1860,U101 .P78 1860,1233223,ALDERMAN,1860,Polyaeni Strategematon libri octo /,Polyaenus.,X000194607,STACKS,STACKS,BOOK,6/30/96,10/26/15,0,0,1,1,1
U  000101 .P86  1578A,U101 .P86 1578a,539990,ALDERMAN,1970,Of the knowledge and conducte of warres.,"Proctor, Thomas",X000526020,STACKS,STACKS,BOOK,6/29/96,7/17/08,0,0,1,3,1
U  000101 .R5  1587A,U101 .R5 1587a,1274795,ALDERMAN,1969,A path-way to military practise.,"Rich, Barnabe,",X002078942,STACKS,STACKS,BOOK,6/30/96,7/17/08,0,0,0,3,1
U  000101 .R73  1972,U101 .R73 1972,439467,ALDERMAN,1972,"Le parfaict capitaine; autrement, L'abrégé des guerres de Gaule des Commentaires de César.","Rohan, Henri,",X000169474,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,0,1,1
U  000101 .S19  V47  1999,U101 .S19 V47 1999,4229021,ALDERMAN,1999,The thirty-six strategies of ancient China = [San shi liu ji] /,"Verstappen, Stefan H.",X004864819,STACKS,STACKS,BOOK,3/2/05,4/30/18,2,21,0,23,1
U  000101 .S198  1984,U101 .S198 1984,1755260,ALDERMAN,1984,Reflexiones militares /,"Santa Cruz de Marcenado, Alvaro Navia Osorio,",X001827764,STACKS,STACKS,BOOK,6/30/96,7/17/08,0,0,1,14,1
U  000101 .S27  1977,U101 .S27 1977,210386,ALDERMAN,1977,Mes rêveries : ouvrage posthume /,"Saxe, Maurice,",X001023718,STACKS,STACKS,BOOK,6/28/96,7/17/08,0,0,0,1,1
U  000101 .S27  1978,U101 .S27 1978,1995248,ALDERMAN,1978,Song shi bing zhi suo yin /,"Saeki, Tomi,",X002067965,STACKS,STACKS,BOOK,6/30/96,4/24/17,0,0,0,0,1
