Item Shelving Id,Item Call Number,Catalog Id,Item Library Code,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Collection,Item Status,Item Type,Item Created Date,Item Last Checkout Date,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Item Legacy Total Charges,Number of Items
V  000001 .A42  D6,V1 .A42 D6,596452,ALDERMAN,1972,Thirty years of the American neptune.,"Dodge, Ernest S. (Ernest Stanley),",X000125140,STACKS,STACKS,BOOK,7/1/96,1/1/00,0,0,0,0,1
V  000010 .R2  I76  1985,V10 .R2 I76 1985,86643,ALDERMAN,1985,"Ironclad to Trident : 100 years of defence commentary : Brassey's, 1886-1986 /",,X000970686,STACKS,STACKS,BOOK,6/28/96,1/1/00,0,0,1,3,1
V  000101 .O4  1937,V101 .O4 1937,711052,ALDERMAN,1937,"Arte da guerra do mar de Fernando Oliveira, 1555, 1937.","Oliveira, Fernão de,",711052-1001,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,0,0,1
V  000101 .S58  1627  1968ED.,V101 .S58 1627 1968ed.,1187163,ALDERMAN,1968,A sea grammar.,"Smith, John,",X002037226,STACKS,STACKS,BOOK,6/29/96,5/12/12,0,2,0,11,1
V  000103 .D4  1910  V.000001,V103 .D4 1910 V.1,1187164,ALDERMAN,1910,The genius of naval warfare ...,"Daveluy, René,",X001688827,STACKS,STACKS,BOOK,6/29/96,1/30/11,0,0,0,5,1
V  000103 .D4  1910  V.000002,V103 .D4 1910 v.2,1187164,ALDERMAN,1910,The genius of naval warfare ...,"Daveluy, René,",X002707108,STACKS,STACKS,BOOK,6/29/96,10/28/15,0,0,0,2,1
V  000103 .L43  1947,V103 .L43 1947,1187166,ALDERMAN,1947,"Fundamentals of naval warfare,","Levert, Lee J.,",X000364247,STACKS,STACKS,BOOK,6/29/96,11/30/98,0,0,1,4,1
V  000103 .M3  1967,V103 .M3 1967,1187167,ALDERMAN,1967,The sea in modern strategy,"Martin, Laurence W.",1187167-1001,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,0,0,2
V  000103 .S65  V.000002,V103 .S65 V.2,1221273,ALDERMAN,1968,War at sea.,"Southworth, John Van Duyn,",X000958781,STACKS,STACKS,BOOK,6/30/96,8/1/08,0,0,2,8,1
V  000103 .S65  V.000003 PT.000001,V103 .S65 V.3 PT.1,1221273,ALDERMAN,1968,War at sea.,"Southworth, John Van Duyn,",X002078802,STACKS,STACKS,BOOK,6/30/96,4/26/10,0,0,0,6,1
V  000103 .Y34  2018,V103 .Y34 2018,7856896,ALDERMAN,2018,"Arba?at kutub min tur?th ???ib al-?a?amah Sul??n ?a?ramawt al-Sul??n ??li? ibn Gh?lib al-Qu?ay?? : Hay?at al-mil??ah al-ba?r?yah, al-Mil??ah al-ba?r?yah, al-?ar?qah al-w??i?ah ilá al-jabr wa-al-muq?balah, al-Asr?r al-mun?awiyah f? al-muthallath?t al-mustawiyah /","Y?fi??, ??li? ibn Gh?lib al-Qu?ay??,",X032214936,STACKS,STACKS,BOOK,12/20/18,1/1/00,0,0,0,0,1
V  000105 .G37  1970,V105 .G37 1970,1187168,ALDERMAN,1970,"Fundamentals of naval operations analysis,","Garrett, Roger A.",X001134068,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,0,1,2
V  000105 .R5  1984,V105 .R5 1984,73941,ALDERMAN,1984,F. ?ngel's i flot /,"Ri?abov, F. G.",X001017971,STACKS,STACKS,BOOK,6/28/96,8/1/08,0,0,0,0,1
V  000105 .U55  1968,V105 .U55 1968,1187169,ALDERMAN,1968,Naval operations analysis.,United States Naval Academy. Naval Science Dept. Operations Committee.,X000360593,STACKS,STACKS,BOOK,6/29/96,8/1/08,0,0,0,2,1
V  000107 .B7  1942,V107 .B7 1942,1187170,ALDERMAN,1942,"A layman's guide to naval strategy,","Brodie, Bernard,",X000982963,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,1,1,1
V  000107 .B7  1943,V107 .B7 1943,1187171,ALDERMAN,1943,"A layman's guide to naval strategy,","Brodie, Bernard,",X000412482,STACKS,STACKS,BOOK,6/29/96,8/1/08,0,0,1,0,1
V  000107 .B7  1944,V107 .B7 1944,1272767,ALDERMAN,1944,"A guide to naval strategy,","Brodie, Bernard,",X001272412,STACKS,STACKS,BOOK,6/30/96,3/24/02,0,0,0,1,1
V  000107 .B7  1965,V107 .B7 1965,4028486,ALDERMAN,1965,A guide to naval strategy.,"Brodie, Bernard,",X002537539,STACKS,STACKS,BOOK,5/5/04,4/23/15,0,8,1,12,1
V  000011 .C6  L58  2004,V11 .C6 L58 2004,4335669,ALDERMAN,2004,Zhongguo jin dai hai jun zhi guan biao /,"Liu, Chuanbiao,",X004995856,STACKS,STACKS,BOOK,12/21/05,1/1/00,0,0,0,0,1
V  000011 .G7  C66  1954  V.000001,V11 .G7 C66 1954 v.1,3706986,ALDERMAN,1954,"The commissioned sea officers of the Royal Navy, 1660-1815.",Great Britain. Admiralty.,X004562424,STACKS,CHECKEDOUT,BOOK,4/6/01,6/1/06,0,0,0,3,1
V  000011 .G7  C66  1954  V.000002,V11 .G7 C66 1954 v.2,3706986,ALDERMAN,1954,"The commissioned sea officers of the Royal Navy, 1660-1815.",Great Britain. Admiralty.,X004562423,STACKS,CHECKEDOUT,BOOK,11/21/01,6/1/06,0,0,0,3,1
V  000011 .G7  C66  1954  V.000003,V11 .G7 C66 1954 v.3,3706986,ALDERMAN,1954,"The commissioned sea officers of the Royal Navy, 1660-1815.",Great Britain. Admiralty.,X004562425,STACKS,CHECKEDOUT,BOOK,11/21/01,6/1/06,0,0,0,3,1
V  000011 .U7  C2,V11 .U7 C2,1186929,ALDERMAN,1901,"List of officers of the navy of the United States and of the Marine corps, from 1775 to 1900,","Callahan, Edward William,",X004007860,STACKS,STACKS,BOOK,9/24/96,9/26/96,0,0,2,1,2
V  000013 .U52  N483  1988,V13 .U52 N483 1988,1296372,ALDERMAN,1988,The Mariners' Museum : preserving the culture of the sea /,"Downing, Thomas N.",X001399416,STACKS,STACKS,BOOK,6/30/96,1/1/00,0,0,0,0,1
V  000013 .W3  A57,V13 .W3 A57,486821,ALDERMAN,1950,"The Mariners' Museum, 1930-1950; a history and guide.","Mariners' Museum (Newport News, Va.)",X000086271,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,2,1,1
V  000015 .M5  1967  NO. 28,V15 .M5 1967 no. 28,1186931,ALDERMAN,1967,"Coasting Captain; journals of Captain Leonard S. Tawes,","Tawes, Leonard S.,",1186931-1001,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,0,0,1
V  000160 .D47  1998,V160 .D47 1998,2804617,ALDERMAN,1998,Tactiques et stratégies navales : de la France et du Royaume-Uni de 1690 à 1815 /,"Depeyre, Michel.",X004247193,STACKS,STACKS,BOOK,6/12/98,1/14/14,0,0,1,1,1
V  000163 .B2  1941,V163 .B2 1941,1187175,ALDERMAN,1941,"Modern naval strategy,","Bacon, Reginald,",X001043185,STACKS,STACKS,BOOK,6/29/96,3/6/07,0,0,0,8,1
V  000163 .C66  1972,V163 .C66 1972,1187176,ALDERMAN,1973,"Dreadnought to Polaris: maritime strategy since Mahan: papers from the Conference on Strategic Studies at the University of Western Ontario, March 1972,",Conference on Strategic Studies,X001271861,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,1,1,1
V  000163 .C7  1918,V163 .C7 1918,1267298,ALDERMAN,1918,Some principles of maritime strategy / by Julian S. Corbett.,"Corbett, Julian Stafford,",X000961021,STACKS,STACKS,BOOK,6/30/96,10/27/08,0,0,0,13,1
V  000163 .C7  1972,V163 .C7 1972,577468,CLEMONS,1972,Some principles of maritime strategy.,"Corbett, Julian Stafford,",X000122497,BY-REQUEST,BY-REQUEST,BOOK,6/29/96,5/11/14,1,4,1,10,2
V  000163 .G76  1990B,V163 .G76 1990b,1652541,ALDERMAN,1990,The future of sea power /,"Grove, Eric,",X001703924,STACKS,STACKS,BOOK,6/30/96,5/19/04,0,0,0,9,1
V  000163 .H54  1986B,V163 .H54 1986b,90436,ALDERMAN,1986,Maritime strategy for medium powers /,"Hill, J. R.",X001016155,STACKS,STACKS,BOOK,6/28/96,5/2/00,0,0,0,3,1
V  000163 .H63  2002,V163 .H63 2002,4215590,ALDERMAN,2002,"Imperialism at sea : naval strategic thought, the ideology of sea power, and the Tirpitz Plan, 1875-1914 /","Hobson, Rolf.",X004804807,STACKS,CHECKEDOUT,BOOK,12/11/04,1/22/19,1,0,1,2,1
V  000163 .L33  1985,V163 .L33 1985,699386,ALDERMAN,1985,Stratégies navales du présent /,"Lacoste, Pierre.",X001162027,STACKS,STACKS,BOOK,6/29/96,5/2/17,1,2,0,3,1
V  000163 .M19  1991,V163 .M19 1991,1909232,ALDERMAN,1991,Mahan on naval strategy : selections from the writings of Rear Admiral Alfred Thayer Mahan /,"Mahan, A. T. (Alfred Thayer),",X002048331,STACKS,STACKS,BOOK,6/30/96,4/21/17,3,2,1,29,1
V  000163 .M2  1912,V163 .M2 1912,1187177,ALDERMAN,1911,Naval strategy compared and contrasted with the principles and practice of military operations on land:,"Mahan, A. T. (Alfred Thayer),",X000335750,STACKS,STACKS,BOOK,6/29/96,8/1/08,0,0,3,17,1
V  000163 .M6413  1983,V163 .M6413 1983,25794,ALDERMAN,1983,Naval warfare today and tomorrow /,"Moineville, Hubert.",X000627309,STACKS,STACKS,BOOK,6/28/96,5/2/17,1,3,2,7,2
V  000163 .R6,V163 .R6,621993,ALDERMAN,1962,"The strategy of sea power; its development and application. Based on the Lees-Knowles lectures delivered in the University of Cambridge, 1961.","Roskill, S. W. (Stephen Wentworth),",X000396269,STACKS,STACKS,BOOK,6/29/96,12/2/98,0,0,0,4,1
V  000163 .S3  1965,V163 .S3 1965,1187178,ALDERMAN,1965,The education of a navy:,"Schurman, D. M. (Donald M.)",X000982972,STACKS,STACKS,BOOK,6/29/96,1/1/00,0,0,0,2,1
