Catalog Id,Bib Marc Subfield Data,Item Library Code,Item Collection,Item Call Number,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Type,Item Created Date,Item Last Checkout Date,Item Status,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Item Legacy Total Charges,Number of Items
815901,2,ALDERMAN,STACKS,BC101 .B4 1773a,1967,"An introduction to logick, 1773.","Bentham, Edward,",X001542316,BOOK,6/29/96,1/1/00,STACKS,0,0,0,0,1
815903,2,ALDERMAN,STACKS,BC101 .B52 1599a,1967,The art of logike.,"Blundeville, Thomas,",X002516836,BOOK,6/29/96,1/1/00,STACKS,0,0,0,1,1
1160663,2,ALDERMAN,STACKS,BC101 .B84 1965,1965,Elementary modern logic,"Brown, Paul Llewellyn,",X001132742,BOOK,6/29/96,9/12/08,STACKS,0,0,0,1,1
1160664,2,ALDERMAN,STACKS,BC101 .C35 1964,1964,Fundamentals of logic /,"Carney, James Donald.",X000390484,BOOK,6/29/96,2/23/09,STACKS,0,0,2,28,1
1160664,2,ALDERMAN,STACKS,BC101 .C35 1964,1964,Fundamentals of logic /,"Carney, James Donald.",X000859456,BOOK,6/29/96,6/20/06,STACKS,0,0,2,7,1
1160665,2,ALDERMAN,STACKS,BC101 .D8 1748a,1970,"The elements of logic, 1748.","Duncan, William,",X000309891,BOOK,6/29/96,8/31/10,STACKS,0,0,0,1,1
1160670,2,ALDERMAN,STACKS,BC101 .H75 1965,1965,The elements of formal logic,"Hughes, G. E. (George Edward),",X000211589,BOOK,6/29/96,11/1/07,STACKS,0,0,2,4,1
1160670,2,ALDERMAN,STACKS,BC101 .H75 1965,1965,The elements of formal logic,"Hughes, G. E. (George Edward),",X030598052,BOOK,10/28/09,1/1/00,STACKS,0,0,0,0,1
4369244,2,ALDERMAN,STACKS,BC101 .L64 2005,2005,Logic : key concepts in philosophy /,,X030117609,BOOK,5/25/06,11/28/16,STACKS,3,0,2,7,1
1160673,2,ALDERMAN,STACKS,BC101 .R4,1964,Introduction to logic.,"Rescher, Nicholas.",X000895262,BOOK,6/29/96,5/13/12,STACKS,0,1,1,34,1
1160677,2 14,ALDERMAN,STACKS,BC108 .A5,1902,"The principles of logic,","Aikins, Herbert Austin,",X030596503,BOOK,11/12/09,6/17/15,STACKS,0,0,0,0,1
1160678,2,ALDERMAN,STACKS,BC108 .A57,1964,"Reasoning and logic,","Angell, Richard B.",X000600780,BOOK,6/29/96,12/20/99,STACKS,0,0,0,5,1
627098,2,ALDERMAN,STACKS,BC108 .B25 1974,1974,The elements of logic,"Barker, Stephen Francis.",X000195207,BOOK,6/29/96,8/31/10,STACKS,0,0,3,4,1
230751,2,ALDERMAN,STACKS,BC108 .B25 1980,1980,The elements of logic /,"Barker, Stephen Francis.",X000954948,BOOK,6/28/96,8/30/18,STACKS,1,4,3,21,1
2718575,2,ALDERMAN,STACKS,BC108 .B25 1989,1989,The elements of logic /,"Barker, Stephen Francis.",X004114409,BOOK,9/18/97,12/10/17,CHECKEDOUT,0,1,0,13,1
1160683,2,ALDERMAN,STACKS,BC108 .B46 1964,1964,Logic: a dialogue,"Bierman, A. K. (Arthur Kalmer),",X001532793,BOOK,6/29/96,1/1/00,STACKS,0,0,0,0,1
815285,2,ALDERMAN,STACKS,BC108 .B47 1956,1956,Logic and effective argument.,"Bilsky, Manuel,",X000236901,BOOK,6/29/96,11/19/01,STACKS,0,0,2,3,1
1160687,2,ALDERMAN,STACKS,BC108 .B67 1916 v. 2,1940,The laws of thought (1854),"Boole, George,",X001043227,BOOK,6/29/96,4/11/01,STACKS,0,0,0,5,1
5356603,2,ALDERMAN,STACKS,BC108 .B68 1874,1874,"A treatise on logic, or, The laws of pure thought : comprising both the Aristotelic and Hamiltonian analyses of logical forms, and some chapters of applied logic /","Bowen, Francis,",X030944266,BOOK,6/10/11,6/17/15,STACKS,0,0,0,0,1
1782906,2,ALDERMAN,STACKS,BC108 .B68 1890,1890,"A treatise on logic : or, The laws of pure thought; comprising   both Aristotelic and Hamiltonian analyses of logical forms, and some chapters   of applied logic /","Bowen, Francis,",X002185154,BOOK,6/30/96,6/17/15,STACKS,0,0,1,1,1
470610,2,ALDERMAN,STACKS,BC108 .B72 1961,1961,A handbook of logic.,"Brennan, Joseph Gerard,",X000022899,BOOK,6/29/96,11/28/16,STACKS,1,0,3,7,1
1160689,2,ALDERMAN,STACKS,BC108 .B724,1973,Logic: theoretical and applied,"Brody, Baruch A.",X001269420,BOOK,6/29/96,1/1/00,STACKS,0,0,1,1,1
1160691,2,ALDERMAN,STACKS,BC108 .B75 1947,1946,"Right thinking, a study of its principles and methods,","Burtt, Edwin A. (Edwin Arthur),",X000328769,BOOK,6/29/96,1/1/00,STACKS,0,0,0,1,1
1160693,2,ALDERMAN,STACKS,BC108 .C5,1933,"The fundamentals of logic,","Chapman, Frank Miller.",X001731045,BOOK,6/29/96,10/12/09,STACKS,0,0,1,3,1
