Catalog Id,Bib Marc Subfield Data,Item Library Code,Item Collection,Item Call Number,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Type,Item Created Date,Item Last Checkout Date,Item Status,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Item Legacy Total Charges,Number of Items
1835105,2,ALDERMAN,STACKS,BF1 .P452 no.1 1935,1935,"Science and poetry,","Richards, I. A. (Ivor Armstrong),",X000843446,BOOK,6/30/96,12/4/17,STACKS,2,1,3,13,1
1835105,2,ALDERMAN,STACKS,BF1 .P452 no.1 1935,1935,"Science and poetry,","Richards, I. A. (Ivor Armstrong),",X004326211,BOOK,6/30/96,9/15/08,STACKS,0,0,1,3,1
1153445,2,ALDERMAN,STACKS,BF1 .P452 no.11 1927,1927,"Emergent evolution and the social,","Wheeler, William Morton,",1153445-1001,BOOK,6/29/96,1/1/00,STACKS,0,0,0,0,1
1153446,2,ALDERMAN,STACKS,BF1 .P452 no.16 1928,1928,"The standardization of error,","Stefansson, Vilhjalmur,",X004326207,BOOK,6/21/99,9/15/08,STACKS,0,0,0,0,1
1825209,2,ALDERMAN,STACKS,BF1 .P452 no.29 1935,1935,Basic English : a general introduction with rules and grammar.,"Ogden, C. K. (Charles Kay),",X000470341,BOOK,6/30/96,11/19/18,CHECKEDOUT,1,0,0,5,1
1153448,2,ALDERMAN,STACKS,BF1 .P452 no.29 1944,1944,"Basic English, a general introduction with rules and grammar.","Ogden, C. K. (Charles Kay),",X004326205,BOOK,6/29/96,10/25/13,STACKS,0,0,0,1,1
768693,2,ALDERMAN,STACKS,BF1 .P452 no.32 1933,1933,"Carl and Anna,","Frank, Leonhard,",X004326204,BOOK,6/29/96,6/1/17,STACKS,0,0,0,0,1
1153449,2,ALDERMAN,STACKS,BF1 .P452 no.33 1931,1931,Basic English applied (science),"Ogden, C. K. (Charles Kay),",X004326203,BOOK,6/29/96,9/15/08,STACKS,0,0,0,0,1
786967,2,ALDERMAN,STACKS,BF1 .P452 no.34 1934,1934,"Everyday Basic (""the Basic traveller"") examples of Basic English.","Lockhart, L. W.",X030453173,BOOK,6/29/96,9/15/08,STACKS,0,0,0,0,1
1153450,2,ALDERMAN,STACKS,BF1 .P452 no.37 1931,1931,"International communication: a symposium on the language problem,",,1153450-1001,BOOK,6/29/96,1/1/00,STACKS,0,0,0,0,1
