Catalog Id,Bib Marc Subfield Data,Item Library Code,Item Collection,Item Call Number,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Type,Item Created Date,Item Last Checkout Date,Item Status,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Item Legacy Total Charges,Number of Items
5950743,2,ALDERMAN,STACKS,BQ100 .B82 2009,2012,"Buddhism, Buddhists and Buddhist studies /","International Conference on ""the State of Buddhism, Buddhists and Buddhist Studies in India and Abroad""",X031612111,BOOK,3/13/13,3/18/18,CHECKEDOUT,1,11,0,12,1
1955063,2,ALDERMAN,STACKS,BQ100 .B827 1985,1989,"The Buddhist heritage : papers delivered at the symposium of the same name convened at the School of Oriental and African Studies, University of London, November 1985 /",Buddhist Heritage,X002107705,BOOK,6/30/96,8/18/12,STACKS,1,3,7,11,1
4896420,2,ALDERMAN,STACKS,BQ100 .B829 2003,2008,Buddhist studies /,World Sanskrit Conference,X030324778,BOOK,7/28/09,1/1/00,STACKS,0,0,0,0,1
15064,2,ALDERMAN,STACKS,BQ100 .B83 1983,1983,Buddhist studies : ancient and modern /,,X000507704,BOOK,6/28/96,4/28/11,STACKS,0,0,8,21,1
2907470,2,ALDERMAN,STACKS,BQ100 .C48 1997,1998,"Ren jian jing tu yu xian dai she hui : Di san jian Zhonghua guo ji fo xue hui yi shi lu = The ""Earthly"" pure land and contemporary society : the record of third Chung-hwa International Conference on Buddhism /",Zhonghua guo ji fo xue hui yi,X004308082,BOOK,4/27/99,6/12/07,STACKS,0,0,0,4,1
2496820,2,ALDERMAN,STACKS,BQ100 .C65 1989,1993,"Premier Colloque Etienne Lamotte : Bruxelles et LiËge, 24-27 septembre 1989 /",Colloque Etienne Lamotte,X002765024,BOOK,7/1/96,6/12/07,STACKS,0,0,0,1,1
3923703,2,ALDERMAN,STACKS,BQ100 .C675 1994,2002,Perspective of Buddhist studies : Giuseppe Tucci birth centenary volume /,Conference on Professor Giuseppe Tucci,X004686528,BOOK,3/14/03,6/12/07,STACKS,0,0,0,2,1
3923703,2,ALDERMAN,STACKS,BQ100 .C675 1994,2002,Perspective of Buddhist studies : Giuseppe Tucci birth centenary volume /,Conference on Professor Giuseppe Tucci,X030374356,BOOK,7/22/08,8/23/17,STACKS,1,0,0,1,1
4069523,2,ALDERMAN,STACKS,BQ100 .I53 1980,1985,"Proceedings and papers of the second conference of the International Association of Buddhist Studies : Nalanda, 17th-19th January 1980 /",International Association of Buddhist Studies. Conference,X004826466,BOOK,9/20/04,8/17/07,STACKS,0,0,1,0,1
2435658,2,ALDERMAN,STACKS,BQ100 .I54 1977,1977,"International Buddhist Conference : proceedings of the third session, Bodhgaya.",International Buddhist Conference,X002454320,BOOK,7/1/96,3/15/16,STACKS,1,0,1,1,1
