Catalog Id,Bib Marc Subfield Data,Item Library Code,Item Collection,Item Call Number,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Type,Item Created Date,Item Last Checkout Date,Item Status,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Item Legacy Total Charges,Number of Items
1173839,2,ALDERMAN,STACKS,BT10 .B5 1956 v.2,1956,La rÈforme pastorale en France au XVIIe siËcle; recherches sur la tradition pastorale aprËs le Concile de Trente.,"Broutin, Paul,",X000388269,BOOK,6/29/96,1/1/00,STACKS,0,0,0,1,1
1175324,2,ALDERMAN,STACKS,BT10 .C3 2d ser. no.18 1948,1948,"Charity the form of the virtues according to Saint Thomas,","Falanga, Anthony Joseph,",X002178911,BOOK,6/29/96,5/13/97,STACKS,0,0,0,9,1
1175325,2,ALDERMAN,STACKS,BT10 .C3 2d ser. no.34 1950,1950,Orestes Brownson's approach to the problem of God; a critical examination in the light of the principles of St. Thomas Aquinas.,"Farrell, Bertin.",X002181826,BOOK,6/29/96,12/20/10,STACKS,0,0,0,4,1
1175326,2,ALDERMAN,STACKS,BT10 .C3 2d ser. no.36 1950,1950,The distinction between the episcopate and the presbyterate according to the Thomistic opinion.,"Dolan, George Edward,",X002181824,BOOK,6/29/96,1/1/00,STACKS,0,0,0,2,1
801872,2,ALDERMAN,STACKS,BT10 .C3 2d ser. no.60 1951,1951,"La doctrina mon·stica de San Gregorio Magno y la ""Regula monachorum.""","Porcel, Olegario Maria,",X031896616,BOOK,10/12/17,10/23/17,STACKS,0,0,0,0,1
1175323,2,ALDERMAN,STACKS,BT10 .C3 2d ser. no.8 1948,1948,"Social ideas in the Wisdom literature of the Old Testament,","Gaspar, Joseph Wenzel,",X031896617,BOOK,6/29/96,10/12/17,STACKS,0,0,0,0,1
1175327,2,ALDERMAN,STACKS,"BT10 .C3 2d ser. no.80,87,111,120,121",1954,PËre Lagrange and Biblical inspiration.,"Schroeder, Francis J.",X002670409,BOOK,7/1/96,4/24/12,STACKS,0,1,0,4,1
1173840,2,ALDERMAN,STACKS,BT10 .C3 no.15 1920,1920,"The concept of mortal sin in early Christianity,","Motry, Hubert Louis,",X031896622,BOOK,6/29/96,1/1/00,STACKS,0,0,0,0,1
1173841,2,ALDERMAN,STACKS,BT10 .C3 no.55 1939,1939,Frederick Barbarossa's conflict with the papacy;,"Knapke, Paul Justin,",X004508803,BOOK,6/29/96,1/1/00,STACKS,0,0,0,0,1
1173842,2,ALDERMAN,STACKS,BT10 .C3 no.69 1942,1942,"The morality of periodic continence,","Griese, Nicholas Orville,",X031850332,BOOK,6/29/96,1/1/00,STACKS,0,0,0,0,1
1173843,2,ALDERMAN,STACKS,BT10 .C3 no.77 1944,1944,Extra-sacramental justification ...,"Tensing, Robert Henry,",X031850333,BOOK,6/29/96,1/1/00,STACKS,0,0,0,0,1
1173844,2,ALDERMAN,STACKS,BT10 .C3 no.82 1944,1944,"The historiography of the American Catholic church: 1785-1943,","Cadden, John Paul,",X031850334,BOOK,6/29/96,1/1/00,STACKS,0,0,0,0,1
1173845,2,ALDERMAN,STACKS,BT10 .C3 no.85 1946,1946,The doctrine of the Catholic church in the theology of John Driedo of Louvain;,"Foley, Theodore Daniel.",X031850335,BOOK,6/29/96,1/1/00,STACKS,0,0,0,0,1
1173846,2,ALDERMAN,STACKS,BT10 .C3 no.86 1944,1944,"The morality of organic transportation,","Cunningham, Bert Joseph,",1173846-1001,BOOK,6/29/96,1/1/00,STACKS,0,0,0,0,1
1173847,2,ALDERMAN,STACKS,BT10 .C3 no.88 1945,1945,Cardinalis Hosii doctrina de corpore Christi mystico in luce saeculi XVI.,"Grabka, Gregory Maria,",X031850329,BOOK,6/29/96,1/1/00,STACKS,0,0,0,0,1
1173848,2,ALDERMAN,STACKS,BT10 .C3 no.88a 1945,1945,QuÈbec et l'Èglise aux …tats-Unis sous mgr. Briand et mgr.,"Laurent, Laval,",X031850330,BOOK,6/29/96,1/1/00,STACKS,0,0,0,0,1
1173849,2,ALDERMAN,STACKS,BT10 .C3 no.89 1945,1945,The universality of the kingdom of God in the Gospels and the Acts of the apostles ...,"Galus, Walter John.",X031850331,BOOK,6/29/96,1/1/00,STACKS,0,0,0,0,1
1173850,2,ALDERMAN,STACKS,BT10 .C3 no.90-96 1943-46,1943,"The divinity of Christ in conservatve British Protestantism of the present time,","Wild, Joseph Charles.",X002599906,BOOK,6/29/96,12/5/12,STACKS,0,0,2,1,1
800660,2,ALDERMAN,STACKS,BT10 .C3 no.97 1946,1946,"The relation of the sacramental characters of baptism and confirmation to the lay apostolate, by Rev. Theodore M. Hesburgh, C. S. C., S. T. L.","Hesburgh, Theodore M. (Theodore Martin),",X001141664,BOOK,6/29/96,11/4/97,STACKS,0,0,0,1,1
1175331,2,ALDERMAN,STACKS,BT10 .C5 1966,1966,"Witness to a generation; significant writings from Christianity and crisis, 1941-1966,",,X002185290,BOOK,6/29/96,8/1/18,STACKS,1,1,0,4,1
