Catalog Id,Bib Marc Subfield Data,Item Library Code,Item Collection,Item Call Number,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Type,Item Created Date,Item Last Checkout Date,Item Status,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Item Legacy Total Charges,Number of Items
989000,2,ALDERMAN,STACKS,DF10 .J8 v.33 suppl.,1914,A catalogue of lantern slides in the library of the Societies for the promotion of Hellenic and Roman studies-- ... Supplementary catalogue of lantern slides in the joint collection of the Societies for the promotion of Hellenic and roman studies.,,989000-1001,BOOK,6/29/96,1/1/00,STACKS,0,0,0,0,1
662840,2,ALDERMAN,STACKS,DF100 .B47 1982,1982,"Les rÙles du m·geiros : Ètudes sur la boucherie, la cuisine et le sacrifice dans la GrËce ancienne /","Berthiaume, Guy.",X000599527,BOOK,6/29/96,6/20/18,CHECKEDOUT,3,3,0,12,1
7210871,2,ALDERMAN,STACKS,DF100 .D68 2014,2014,"Food for thought : dietary habits in the Bronze Age city at Akrotiri, Thera (3200-1600 BC) /","D?oumas, Christos,",X031789325,BOOK,7/25/17,1/1/00,STACKS,0,0,0,0,1
779248,2,ALDERMAN,STACKS,DF100 .G3 1984,1984,Alimentazione e demografia della Grecia antica /,"Gallo, Luigi.",X001255040,BOOK,6/29/96,4/28/08,STACKS,0,0,0,3,1
5997159,2,ALDERMAN,STACKS,DF100 .H65 2013,2013,The symposion in ancient Greek society and thought /,"Hobden, Fiona.",X031613073,BOOK,5/3/13,11/13/18,CHECKEDOUT,4,7,0,11,1
6744945,2,ALDERMAN,STACKS,DF100 .S259 2005,2005,L'arte del convito nella Grecia antica : l'evoluzione del gusto da Achille ad Alessandro Magno : con ricette /,"Salza Prina Ricotti, Eugenia.",X031672856,BOOK,6/15/16,2/8/17,STACKS,1,0,0,1,1
2260012,2,ALDERMAN,STACKS,DF100 .S96 1994,1994,Sympotica : a symposium on the symposion /,,X002559488,BOOK,7/1/96,5/12/18,CHECKEDOUT,4,8,11,86,1
4217535,2,ALDERMAN,STACKS,DF100 .V67 2004,2004,Mensa regia : das Bankett beim hellenistischen Kˆnig und beim rˆmischen Kaiser /,"Vˆssing, Konrad.",X004855306,BOOK,12/22/04,11/9/17,CHECKEDOUT,1,0,1,3,1
6415789,2,ALDERMAN,STACKS,DF101 .G754 2013,2013,"Griechische Grabbezirke klassischer Zeit : Normen und Regionalismen : Akten des internationalen Kolloquiums am Deutschen Arch‰ologischen Institut, Abteilung Athen, 20.-21. November 2009 /",,X031656776,BOOK,10/7/14,10/27/14,STACKS,1,0,1,1,1
546427,2 3,ALDERMAN,STACKS,DF101 .K87 1971,1971,Greek burial customs,"Kurtz, Donna C.",X000115922,BOOK,6/29/96,5/10/18,CHECKEDOUT,6,11,2,58,1
546427,2 3,ALDERMAN,STACKS,DF101 .K87 1971,1971,Greek burial customs,"Kurtz, Donna C.",X001609335,BOOK,6/29/96,2/8/16,STACKS,1,2,2,48,1
546427,2 3,CLEMONS,BY-REQUEST,DF101 .K87 1971,1971,Greek burial customs,"Kurtz, Donna C.",X000115923,BOOK,6/29/96,6/23/09,BY-REQUEST,0,0,0,18,1
3682647,2,ALDERMAN,STACKS,DF101 .L49 2000,2000,Late Helladic simple graves : a study of Mycenaean burial customs /,"Lewartowski, Kazimierz.",X006101634,BOOK,1/19/01,1/20/14,CHECKEDOUT,1,0,1,5,1
774285,2,ALDERMAN,STACKS,DF101 .M67 1987,1987,Burial and ancient society : the rise of the Greek city-state /,"Morris, Ian,",X001275927,BOOK,6/29/96,5/9/15,STACKS,1,7,2,92,1
4000847,2,ALDERMAN,STACKS,DF105 .C435 2003,2003,"L'Èlevage en GrËce, fin Ve-fin Ier siËcle a.C. : l'apport des sources Èpigraphiques /","Chandezon, Christophe.",X004779076,BOOK,1/20/04,3/5/18,CHECKEDOUT,2,0,1,2,1
5075743,2,ALDERMAN,STACKS,DF105 .M37 2009,2009,L'agriculture dans la GrËce du IVe siËcle avant J-C : le tÈmoignage de XÈnophon /,"Marein, Marie-FranÁoise.",X030694591,BOOK,12/30/09,10/22/11,STACKS,0,0,1,1,1
3706379,2,ALDERMAN,STACKS,DF107 .B747 2000,2000,La citÈ marchande /,"Bresson, Alain.",X004569687,BOOK,4/4/01,4/28/08,STACKS,0,0,0,2,1
1347610,2,ALDERMAN,STACKS,DF107 .C69 1988,1988,"Kerdos : semantica, ideologie e societ‡ nella Grecia antica /","Cozzo, Andrea,",X001467893,BOOK,6/30/96,4/28/08,STACKS,0,0,0,0,1
