Catalog Id,Bib Marc Subfield Data,Item Library Code,Item Collection,Item Call Number,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Type,Item Created Date,Item Last Checkout Date,Item Status,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Item Legacy Total Charges,Number of Items
4441642,2,ALDERMAN,STACKS,HE1 .R47 v.16,2006,Port economics /,,X030144827,BOOK,11/6/06,9/9/15,CHECKEDOUT,1,2,0,16,1
4622496,2 14,ALDERMAN,STACKS,HE1 .R47 v.20,2007,Railroad economics /,,X030262513,BOOK,11/21/07,10/2/09,STACKS,0,0,0,9,1
4622621,2 14,ALDERMAN,STACKS,HE1 .R47 v.21,2007,Maritime transport : the Greek paradigm /,,X030263023,BOOK,11/20/07,1/1/00,STACKS,0,0,0,0,1
7323472,2,ALDERMAN,STACKS,HE1 .T62 v.10 Jan.-June 1971,1964,Traffic management,"[Watson Publications, Inc.]",X031950469,BOOK,12/21/17,1/1/00,STACKS,0,0,0,0,1
7323472,2,ALDERMAN,STACKS,HE1 .T62 v.10 July-Dec. 1971,1964,Traffic management,"[Watson Publications, Inc.]",X031950471,BOOK,12/21/17,1/1/00,STACKS,0,0,0,0,1
7323472,2,ALDERMAN,STACKS,HE1 .T62 v.11 Jan.-June 1972,1964,Traffic management,"[Watson Publications, Inc.]",X031950476,BOOK,12/21/17,1/1/00,STACKS,0,0,0,0,1
7323472,2,ALDERMAN,STACKS,HE1 .T62 v.11 July-Dec. 1972,1964,Traffic management,"[Watson Publications, Inc.]",X031950470,BOOK,12/21/17,1/1/00,STACKS,0,0,0,0,1
7323472,2,ALDERMAN,STACKS,HE1 .T62 v.3 1964,1964,Traffic management,"[Watson Publications, Inc.]",X031950468,BOOK,12/21/17,1/1/00,STACKS,0,0,0,0,1
7323472,2,ALDERMAN,STACKS,HE1 .T62 v.4 1965,1964,Traffic management,"[Watson Publications, Inc.]",X031964586,BOOK,12/19/17,1/1/00,STACKS,0,0,0,0,1
7323472,2,ALDERMAN,STACKS,HE1 .T62 v.5 1966,1964,Traffic management,"[Watson Publications, Inc.]",X031964587,BOOK,12/19/17,1/1/00,STACKS,0,0,0,0,1
7323472,2,ALDERMAN,STACKS,HE1 .T62 v.6 Jan.-June 1967,1964,Traffic management,"[Watson Publications, Inc.]",X031964585,BOOK,12/19/17,1/1/00,STACKS,0,0,0,0,1
