Catalog Id,Bib Marc Subfield Data,Item Library Code,Item Collection,Item Call Number,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Type,Item Created Date,Item Last Checkout Date,Item Status,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Item Legacy Total Charges,Number of Items
762031,2,ALDERMAN,STACKS,HJ10 .B3 D4,1840,"Remarks of Mr. Dellet, of Alabama, on the civil and diplomatic appropriation bill. Delivered in committee of the whole, in the House of representatives, April 25 and 27, 1840.","Dellet, James,",X031886925,BOOK,6/29/96,1/1/00,STACKS,0,0,0,0,1
272257,3,CLEMONS,BY-REQUEST,HJ10 .H2632,1937,"Board of Tax Appeals Index-digest, 1-30; organizing the official index-digests of all decisions promulgated by the U.S. Board of Tax Appeals from its beginning to July 31, 1934, as officially reported in volumes 1 to 30 United States Board of Tax Appeals Reports.",Commerce Clearing House.,272257-1001,BOOK,6/28/96,1/1/00,BY-REQUEST,0,0,0,0,1
7307093,2,ALDERMAN,STACKS,HJ10.3 .T39 2017,2017,Tax policy and the economy /,,X031810162,BOOK,11/29/17,12/1/17,STACKS,0,0,0,0,1
2798644,2,ALDERMAN,STACKS,HJ1000 .A98 1993 t.1,1993,Aux sources de la gestion publique /,,X004241041,BOOK,6/1/98,1/1/00,STACKS,0,0,1,0,1
2798644,2,ALDERMAN,STACKS,HJ1000 .A98 1993 t.2,1993,Aux sources de la gestion publique /,,X004241042,BOOK,6/1/98,1/1/00,STACKS,0,0,0,0,1
2798644,2,ALDERMAN,STACKS,HJ1000 .A98 1993 t.3,1993,Aux sources de la gestion publique /,,X004241043,BOOK,6/1/98,1/1/00,STACKS,0,0,0,0,1
5418893,2,ALDERMAN,STACKS,HJ1000 .D56 2011,2011,"Political transformations and public finances : Europe, 1650-1913 /","Dincecco, Mark,",X031188596,BOOK,10/7/11,10/3/18,CHECKEDOUT,2,4,0,6,1
2505326,2,ALDERMAN,STACKS,HJ1000 .E25 1995,1995,Economic systems and state finance /,,X002715498,BOOK,7/1/96,2/23/11,STACKS,0,0,2,10,1
2289694,2,ALDERMAN,STACKS,HJ1000 .F55 1994,1994,"Fiscal crises, liberty, and representative government, 1450-1789 /",,X002444797,BOOK,7/1/96,12/11/18,CHECKEDOUT,1,17,3,31,1
5205572,2,ALDERMAN,STACKS,HJ1000 .F5645 2009,2009,Fiscal policy making in the European Union : an assessment of current practice and challenges /,,X030780510,BOOK,8/18/10,8/24/10,STACKS,0,0,0,0,1
