Catalog Id,Bib Marc Subfield Data,Item Library Code,Item Collection,Item Call Number,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Type,Item Created Date,Item Last Checkout Date,Item Status,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Item Legacy Total Charges,Number of Items
787812,2,ALDERMAN,STACKS,HM1 .A7 Index v.1-25,1922,"Classified index to the American journal of sociology. Volumes I-XXV,",,787812-1001,BOOK,6/29/96,1/1/00,STACKS,0,0,0,0,1
1622715,2,ALDERMAN,STACKS,HM1 .A7 Index v.1-40,1936,"Index to volumes I-XL, 1895-1935.",,1622715-1001,BOOK,6/30/96,1/1/00,STACKS,0,0,0,0,1
3859578,2,ALDERMAN,STACKS,HM1 .C64 Suppl.1 1990,1990,Transcendence in society : case studies /,,X001624001,BOOK,6/27/02,1/1/00,STACKS,0,0,0,0,1
3859574,2,ALDERMAN,STACKS,HM1 .C64 Suppl.2 1996,1996,Normative social action /,,X004051564,BOOK,6/27/02,5/4/04,STACKS,0,0,2,8,1
3859576,2,ALDERMAN,STACKS,HM1 .C64 v.10 1987,1987,Religion and belief systems /,,X002176533,BOOK,6/27/02,9/4/09,STACKS,0,0,0,0,1
3862211,2,ALDERMAN,STACKS,HM1 .C64 v.11 1989,1989,Culture /,,X001751653,BOOK,7/11/02,3/2/11,STACKS,0,0,3,7,1
3859565,2,ALDERMAN,STACKS,HM1 .C64 v.12 1990,1990,Business institutions /,,X001759757,BOOK,6/27/02,9/4/09,STACKS,0,0,0,0,1
3859577,2,ALDERMAN,STACKS,HM1 .C64 v.13 1991,1991,Religious institutions /,,X002010698,BOOK,6/27/02,9/29/16,STACKS,2,0,3,10,1
3859579,2,ALDERMAN,STACKS,HM1 .C64 v.14 1994,1994,The Transition from state socialism in Eastern Europe : the case of Hungary /,,X002181509,BOOK,6/27/02,9/4/09,STACKS,0,0,1,1,1
3859572,2,ALDERMAN,STACKS,HM1 .C64 v.15 1995,1995,Institutional aspects of work and wage determination /,,X004001205,BOOK,6/27/02,9/4/09,STACKS,0,0,0,1,1
3859573,2,ALDERMAN,STACKS,HM1 .C64 v.16 1997,1997,Methodological issues in comparative social science /,,3859573-1001,BOOK,6/27/02,1/1/00,STACKS,0,0,0,0,1
3859575,2,ALDERMAN,STACKS,HM1 .C64 v.17 1998,1998,Regional cultures /,,X004134765,BOOK,6/27/02,9/4/09,STACKS,0,0,0,4,1
3859570,2,ALDERMAN,STACKS,HM1 .C64 v.18 1999,1999,"Family change : practices, policies, and values /",,X004052859,BOOK,6/27/02,3/2/11,STACKS,0,0,1,16,1
3859566,2,ALDERMAN,STACKS,HM1 .C64 v.19 2000,2000,Comparative perspectives on universities /,,X004467089,BOOK,6/27/02,4/17/12,STACKS,0,2,0,5,1
3859567,2,ALDERMAN,STACKS,HM1 .C64 v.20 2002,2002,The comparative study of conscription in the armed forces /,,X004620703,BOOK,6/27/02,5/2/08,STACKS,0,0,2,6,1
4458164,2,ALDERMAN,STACKS,HM1 .C64 v.23,2006,Comparative studies of social and political elites /,,X030107221,BOOK,1/25/07,8/26/10,STACKS,0,0,0,0,1
3859580,2,ALDERMAN,STACKS,HM1 .C64 v.6 1983,1983,"The Welfare state, 1883-1983.",,X000773977,BOOK,6/27/02,3/2/11,STACKS,0,0,2,7,1
3859568,2,ALDERMAN,STACKS,HM1 .C64 v.7 1984,1984,"Demography: development, dependency theory, and policy.",,X004620704,BOOK,6/27/02,12/7/17,STACKS,0,0,0,0,1
3859569,2,ALDERMAN,STACKS,HM1 .C64 v.8 1985,1985,Deviance.,,X001056442,BOOK,6/27/02,9/4/09,STACKS,0,0,0,0,1
3859571,2,ALDERMAN,STACKS,HM1 .C64 v.9 1986,1986,Historical studies.,,X001848727,BOOK,6/27/02,9/4/09,STACKS,0,0,0,0,1
2831546,2,ALDERMAN,STACKS,HM1 .Q3 v.7 no.1/2 1984,1984,Computers and qualitative data /,,X004153699,BOOK,9/15/98,9/4/09,STACKS,0,0,0,2,1
555443,2,ALDERMAN,STACKS,HM1 .R4 no.3,1971,The social organization of health.,"Dreitzel, Hans Peter",X000045480,BOOK,6/29/96,1/1/00,STACKS,0,0,0,0,1
6245867,2,ALDERMAN,STACKS,HM1003 .C46 2014,2014,Punno sahoe : hy?ndae sahoe ?i kamj?ng e kwanhan ch'?rhak esei = Angry society : the essay about the emotion of modern society /,"Ch?ng, Chi-u,",X031645944,BOOK,4/29/14,5/23/14,STACKS,1,0,0,1,1
5167868,2,ALDERMAN,STACKS,HM1005 .A28 2010,2010,Acting bodies and social networks : a bridge between technology and working memory /,,X030619962,BOOK,6/16/10,6/22/10,STACKS,0,0,0,0,1
3709149,2,ALDERMAN,STACKS,HM1005 .S53 2000,2000,SIDE issues centre stage : recent developments in studies of de-individuation in groups /,,X006111637,BOOK,4/13/01,7/28/06,STACKS,0,0,1,2,1
2917516,2,ALDERMAN,STACKS,HM101 .A25 1999,1999,The accommodation of cultural diversity : case-studies /,,X004311646,BOOK,6/1/99,1/18/18,STACKS,0,10,1,28,1
2896016,2,ALDERMAN,STACKS,HM101 .A4 1999,1999,Acts of memory : cultural recall in the present /,,X004270458,BOOK,4/7/99,5/1/18,CHECKEDOUT,4,10,3,46,1
2896016,2,ALDERMAN,STACKS,HM101 .A4 1999,1999,Acts of memory : cultural recall in the present /,,X004287347,BOOK,3/29/99,4/29/16,STACKS,3,9,6,51,1
2381028,2,ALDERMAN,STACKS,HM101 .A442 1994,1994,Adorno:  the stars come down to Earth and other essays on the irrational in culture /,"Adorno, Theodor W.,",X002575238,BOOK,7/1/96,11/1/17,STACKS,2,2,7,65,1
125927,2 3,ALDERMAN,STACKS,HM101 .A45 1976,1976,Prismen : Kulturkritik und Gesellschaft /,"Adorno, Theodor W.,",X000418432,BOOK,6/28/96,8/15/18,STACKS,3,10,0,17,1
125927,2 3,CLEMONS,BY-REQUEST,HM101 .A45 1976,1976,Prismen : Kulturkritik und Gesellschaft /,"Adorno, Theodor W.,",X000418431,BOOK,6/28/96,7/23/15,BY-REQUEST,1,13,0,19,1
604601,2,ALDERMAN,STACKS,HM101 .A4513 1967,1967,Prisms.,"Adorno, Theodor W.,",X000307399,BOOK,6/29/96,11/4/15,STACKS,4,1,4,94,1
2972587,3,CLEMONS,BY-REQUEST,HM101 .A4513 1967,1997,Prisms /,"Adorno, Theodor W.,",X004406203,BOOK,12/6/99,7/18/17,CHECKEDOUT,2,7,0,31,1
180502,3,CLEMONS,BY-REQUEST,HM101 .A4513 1981,1981,Prisms /,"Adorno, Theodor W.,",X000349408,BOOK,6/28/96,4/16/18,BY-REQUEST,2,3,3,46,1
180502,3,CLEMONS,BY-REQUEST,HM101 .A4513 1981,1981,Prisms /,"Adorno, Theodor W.,",X000354910,BOOK,6/28/96,5/18/10,BY-REQUEST,0,0,2,72,1
2014458,2,ALDERMAN,STACKS,HM101 .A452 1992,1992,Cultural studies as critical theory /,"Agger, Ben.",X002157996,BOOK,6/30/96,3/14/16,STACKS,1,0,5,25,1
202478,2,ALDERMAN,STACKS,HM101 .A455,1979,IdeologÌa y cultura /,"Agosti, HÈctor Pablo.",X000336990,BOOK,6/28/96,1/1/00,STACKS,0,0,0,1,1
2146133,2,ALDERMAN,STACKS,HM101 .A54 1992,1992,Culture and development : cultural patterns in areas of uneven development /,"Alexander, Kanjirathara Chandy,",X002286575,BOOK,7/1/96,4/2/07,STACKS,0,0,0,4,1
1380329,2,ALDERMAN,STACKS,HM101 .A56 1982,1982,al-Taghy?r al-ijtim??? wa-al-tanmiyah : madkhal na?ar? /,"?Al?, ?aydar Ibr?h?m.",X001632953,BOOK,6/30/96,9/7/09,STACKS,0,0,0,0,1
1789638,2,ALDERMAN,STACKS,HM101 .A565 1987,1987,"Alle cultuur is streven : de verzamelde Huizingen-lezinge, 1972-1986 /",,X001314086,BOOK,6/30/96,9/7/09,STACKS,0,0,0,0,1
2841377,2,ALDERMAN,STACKS,HM101 .A565 1998,1998,The meaning of culture : moving the postmodern critique forward /,"Allan, Kenneth,",X004200909,BOOK,10/12/98,6/4/15,STACKS,1,12,2,24,1
1751225,2,ALDERMAN,STACKS,HM101 .A577 1986,1986,Alternativen /,,X031942001,BOOK,6/30/96,1/1/00,STACKS,0,0,0,0,1
2679864,2,ALDERMAN,STACKS,HM101 .A644 1996,1996,Modernity at large : cultural dimensions of globalization /,"Appadurai, Arjun,",X004189660,BOOK,5/28/98,11/15/18,CHECKEDOUT,16,9,23,98,1
