Catalog Id,Bib Marc Subfield Data,Item Library Code,Item Collection,Item Call Number,Catalog Pub Year,Catalog Title,Catalog Author,Item Barcode,Item Type,Item Created Date,Item Last Checkout Date,Item Status,Item Lifetime Checkout,Item Lifetime Renewals,Item Lifetime Inhouse Uses,Item Legacy Total Charges,Number of Items
300165,2,ALDERMAN,STACKS,PE1 .C66 n.s. v.10-11,1978,Wynkyn de Worde and Chaucer's Canterbury tales : a transcription and collation of the 1498 ed. with Caxton from The general prologue through The knight's tale /,"Chaucer, Geoffrey,",X032077576,BOOK,6/28/96,1/1/00,STACKS,0,0,0,1,1
2488138,2,ALDERMAN,STACKS,PE1 .C66 n.s. v.100,1995,"The literature of politics, the politics of literature : proceedings of the Leiden IASAIL Conference /",International Association for the Study of Anglo-Irish Literature. International Congress,X002643873,BOOK,7/1/96,11/6/09,STACKS,0,0,0,0,1
2488138,2,ALDERMAN,STACKS,PE1 .C66 n.s. v.101,1995,"The literature of politics, the politics of literature : proceedings of the Leiden IASAIL Conference /",International Association for the Study of Anglo-Irish Literature. International Congress,X002643877,BOOK,7/1/96,11/6/09,STACKS,0,0,0,0,1
2488138,2,ALDERMAN,STACKS,PE1 .C66 n.s. v.102,1995,"The literature of politics, the politics of literature : proceedings of the Leiden IASAIL Conference /",International Association for the Study of Anglo-Irish Literature. International Congress,X002643869,BOOK,7/1/96,11/6/09,STACKS,0,0,0,0,1
2488380,2,ALDERMAN,STACKS,PE1 .C66 n.s. v.103,1995,"New essays in deixis : discourse, narrative, literature /",,X002609391,BOOK,7/1/96,8/21/16,STACKS,1,1,2,28,1
2491964,2,ALDERMAN,STACKS,PE1 .C66 n.s. v.104,1995,Yeats in Holland : the reception of the work of W.B. Yeats in the Netherlands before World War Two /,"Supheert, R.",X002654197,BOOK,7/1/96,1/1/00,STACKS,0,0,0,1,1
2631773,2,ALDERMAN,STACKS,PE1 .C66 n.s. v.105,1996,A politic theatre : the drama of David Hare /,"Fraser, Scott.",X004062628,BOOK,11/22/96,2/11/97,STACKS,0,0,0,2,1
2633462,2,ALDERMAN,STACKS,PE1 .C66 n.s. v.106,1996,"The life and the art : a study of Conrad's ""Under western eyes"" /","Carabine, Keith.",X004062967,BOOK,12/2/96,12/12/96,STACKS,0,0,0,1,1
2633465,2,ALDERMAN,STACKS,PE1 .C66 n.s. v.107,1996,John Keats and the loss of romantic innocence /,"White, Keith D.",X004062966,BOOK,12/2/96,11/13/16,STACKS,2,32,0,39,1
2638143,2 17,ALDERMAN,STACKS,PE1 .C66 n.s. v.108,0,"Laurence Nowell, William Lambarde, and the laws of the Anglo-Saxons /","Grant, Raymond J. S.",X004062984,BOOK,1/2/97,11/6/09,STACKS,0,0,0,3,1
2640412,2,ALDERMAN,STACKS,PE1 .C66 n.s. v.109,1996,The margins of meaning : arguments for a postmodern approach to language and text /,"Melrose, Robin.",X004079523,BOOK,1/13/97,4/9/12,STACKS,1,0,0,2,1
2681713,2,ALDERMAN,STACKS,PE1 .C66 n.s. v.110,1997,Blue in Old English : an interdisciplinary semantic study /,"Biggam, C. P. (Carole Patricia),",X006034975,BOOK,4/15/97,11/28/16,STACKS,1,0,1,4,1
