"","Item.Shelving.Id","Item.Call.Number","Catalog.Id","Item.Library.Code","Catalog.Pub.Year","Catalog.Title","Catalog.Author","Item.Barcode","Item.Collection","Item.Status","Item.Type","Item.Created.Date","Item.Last.Checkout.Date","Item.Lifetime.Checkout","Item.Lifetime.Renewals","Item.Lifetime.Inhouse.Uses","Item.Legacy.Total.Charges","Number.of.Items","days_since_last_checkout","Item.Lifetime.Checkout.Corrected","checkouts_per_day","x0","x1","x2","x3","x4","x5","scoreA","scoreB","scoreC","modelC","dscoreC","model","NumInhouseUses","NumCheckouts","NumRenewals","MODEL","n","MultiVolume"
"1","AM 000001 .A5  NO.18, 1958","AM1 .A5 no.18, 1958",1271696,"ALDERMAN",1958,"Museum security /","Howard, Richard Foster.","X004456929","STACKS","STACKS","BOOK","6/30/96","6/14/07",0,0,0,1,1,4358,1,0.000119631534872592,0.20614437793566,0.66353993924215,-0.113834798450786,-0.111165372339158,-0.553522846498992,-0.168025234788487,0.531651817727314,0.0392393227666616,0.394127222465992,2237,0.605872777534008,"0",0,1,0,"0",1,TRUE
"2","AM 000001 .E9  1969","AM1 .E9 1969",1274461,"ALDERMAN",1969,"Exploration of the ways, means, and values of museum communication with the viewing public.","","X000876776","STACKS","STACKS","BOOK","6/30/96","3/9/17",0,0,0,3,1,802,3,0.000358894604617777,0.035510990764925,0.66353993924215,0.191771054428518,-0.111165372339158,-2.00748563013466,-0.00375551383651553,0.286554097586567,0.70918695256114,0.817605161750508,815,0.182394838249492,"0",0,3,0,"0",1,FALSE
"3","AM 000001 .M5  NO.2  1961","AM1 .M5 no.2 1961",1786519,"ALDERMAN",1961,"Bibliography of museums and museum work, 1900-61 : Supplementary volume /","Milwaukee Public Museum.","X030221969","STACKS","STACKS","BOOK","6/30/96","6/18/07",0,0,0,0,1,4354,0,0,0.159607999616368,0.66353993924215,-0.266637724890438,-0.111165372339158,-0.555158350192621,-0.250160095264473,0.489800564574015,0.624753916403279,0.369438288787122,2300,0.630561711212878,"0",0,0,0,"0",1,TRUE
"4","AM 000101 .A5  P4  1948","AM101 .A5 P4 1948",4611311,"ALDERMAN",1948,"Amgueddfeydd gwerin : Folk museums.","Peate, Iorwerth Cyfeiliog,","X030280111","STACKS","STACKS","BOOK","7/25/07","7/27/07",0,0,0,0,1,4315,0,0,0.361265638999964,-0.659220676879715,-0.266637724890438,-0.111165372339158,-0.571104511205498,-0.250160095264473,0.238904425405365,0.502541676862165,0.646210185780795,1503,0.353789814219205,"0",0,0,0,"0",1,FALSE
"5","AM 000101 .B5  I46  1997","AM101 .B5 I46 1997",2798154,"ALDERMAN",1997,"Immer wieder Heimat : 100 Jahre Heimatmuseum Neukölln /","","X004241095","STACKS","STACKS","BOOK","5/28/98","6/14/07",0,0,0,2,1,4358,2,0.000261028452101279,-0.398828540215127,0.435443910187984,0.038968127988866,-0.111165372339158,-0.553522846498992,-0.0709470180734614,0.441087351404754,0.495353434234858,0.635497698733401,1553,0.364502301266599,"0",0,2,0,"0",1,FALSE
"6","AM 000101 .B85  1856","AM101 .B85 1856",1262799,"ALDERMAN",1856,"Synopsis of the contents of the British museum.","British Museum.","X001091566","STACKS","STACKS","BOOK","6/30/96","10/28/15",0,0,0,1,2,1300,1,0.000119631534872592,1.78838124079156,0.66353993924215,-0.113834798450786,-0.111165372339158,-1.80386542027792,-0.168025234788487,0.460545228172351,0.477462332928553,0.318235946366749,2417,0.681764053633251,"0",0,1,0,"0",1,FALSE
"7","AM 000101 .B85  1890","AM101 .B85 1890",1272989,"ALDERMAN",1890,"A guide to the exhibition galleries of the British museum (Bloomsbury)...","British Museum.","X030222209","STACKS","STACKS","BOOK","6/30/96","6/21/07",0,0,1,1,1,4351,1,0.000119631534872592,1.26096895317293,0.66353993924215,-0.113834798450786,-0.111165372339158,-0.556384977962842,-0.168025234788487,0.656069232133339,0.654036222258583,0.185131749555718,2836,0.814868250444282,"0",2,1,0,"0",2,FALSE
"8","AM 000101 .B85  1892","AM101 .B85 1892",1272989,"ALDERMAN",1890,"A guide to the exhibition galleries of the British museum (Bloomsbury)...","British Museum.","X001091550","STACKS","STACKS","BOOK","9/6/07","9/6/07",0,0,1,0,1,4274,0,0,1.26096895317293,-0.67329259832782,-0.266637724890438,-0.111165372339158,-0.587868424065189,-0.250160095264473,0.322783407106511,0.768103168811649,0.433779888602952,2146,0.566220111397048,"0",2,1,0,"0",2,FALSE
"9","AM 000101 .B87  M63  1973","AM101 .B87 M63 1973",1216855,"ALDERMAN",1973,"That noble cabinet : a history of the British Museum /","Miller, Edward,","X001083795","STACKS","STACKS","BOOK","6/30/96","10/17/10",0,0,3,24,1,3137,24,0.00287115683694222,-0.0265375136607966,0.66353993924215,3.40063250966121,-0.111165372339158,-1.05276034897907,1.72107655615919,0.9467845376153,0.635958616854623,0.97846678960078,254,0.0215332103992203,"1",3,24,0,"1",1,FALSE
"10","AM 000101 .C63  M3","AM101 .C63 M3",794446,"ALDERMAN",1908,"The Charleston Museum, its genesis and development,","Mazÿck, William Gaillard,","X001244268","STACKS","STACKS","BOOK","6/29/96","3/24/17",1,0,2,6,1,787,6,0.000717703349282297,0.98175068325718,0.663867193229316,0.650179833747474,-0.111165372339158,-2.01361876898577,0.242590119126986,0.495056377324158,0.321542612509802,0.734618075539608,1162,0.265381924460392,"0",2,6,0,"0",1,FALSE
