"","Item.Shelving.Id","Item.Call.Number","Catalog.Id","Item.Library.Code","Catalog.Pub.Year","Catalog.Title","Catalog.Author","Item.Barcode","Item.Collection","Item.Status","Item.Type","Item.Created.Date","Item.Last.Checkout.Date","Item.Lifetime.Checkout","Item.Lifetime.Renewals","Item.Lifetime.Inhouse.Uses","Item.Legacy.Total.Charges","Number.of.Items","days_since_last_checkout","Item.Lifetime.Checkout.Corrected","checkouts_per_day","x0","x1","x2","x3","x4","x5","scoreA","scoreB","scoreC","modelC","dscoreC","model","NumInhouseUses","NumCheckouts","NumRenewals","MODEL","n","MultiVolume"
"1","BC 000101 .B4  1773A","BC101 .B4 1773a",815901,"ALDERMAN",1967,"An introduction to logick, 1773.","Bentham, Edward,","X001542316","STACKS","STACKS","BOOK","6/29/96","1/1/00",0,0,0,0,1,7079,0,0,0.453657407137867,0.607314407867758,-0.52477461025946,-0.25521115795839,1.11412357677997,-0.504000395899054,0.775867866343233,0.636502393521369,0.0629810273747619,1145,0.937018972625238,"0",0,0,0,"0",1,FALSE
"2","BC 000101 .B52  1599A","BC101 .B52 1599a",815903,"ALDERMAN",1967,"The art of logike.","Blundeville, Thomas,","X002516836","STACKS","STACKS","BOOK","6/29/96","1/1/00",0,0,0,1,1,7079,1,0.000119617224880383,0.453657407137867,0.607314407867758,-0.465888456742493,-0.25521115795839,1.11412357677997,-0.466098623723349,0.768386526641539,0.141698742518201,0.0665468944046638,1136,0.933453105595336,"0",0,1,0,"0",1,FALSE
"3","BC 000101 .B84  1965","BC101 .B84 1965",1160663,"ALDERMAN",1965,"Elementary modern logic","Brown, Paul Llewellyn,","X001132742","STACKS","STACKS","BOOK","6/29/96","9/12/08",0,0,0,1,1,3902,1,0.000119617224880383,0.527062385773521,0.607314407867758,-0.465888456742493,-0.25521115795839,-0.0861058461977217,-0.466098623723349,0.643448437571397,0.739965469576418,0.180323187535719,953,0.819676812464281,"0",0,1,0,"0",1,FALSE
"4","BC 000101 .C35  1964","BC101 .C35 1964",1160664,"ALDERMAN",1964,"Fundamentals of logic /","Carney, James Donald.","X000390484","STACKS","STACKS","BOOK","6/29/96","2/23/09",0,0,2,28,1,3738,28,0.00334928229665072,0.563764875091347,0.607314407867758,1.12403768821559,-0.25521115795839,-0.148062920597577,0.557249225020687,0.353682630173213,0.918764848029241,0.525233875156471,604,0.474766124843529,"0",4,35,0,"0",2,FALSE
"5","BC 000101 .C35  1964","BC101 .C35 1964",1160664,"ALDERMAN",1964,"Fundamentals of logic /","Carney, James Donald.","X000859456","STACKS","STACKS","BOOK","6/29/96","6/20/06",0,0,2,7,1,4717,7,0.000837320574162679,0.563764875091347,0.607314407867758,-0.112571535640696,-0.25521115795839,0.221790590606439,-0.238687990669119,0.614985123092626,0.488084559794515,0.181615358935567,951,0.818384641064433,"0",4,35,0,"0",2,FALSE
"6","BC 000101 .D8  1748A","BC101 .D8 1748a",1160665,"ALDERMAN",1970,"The elements of logic, 1748.","Duncan, William,","X000309891","STACKS","STACKS","BOOK","6/29/96","8/31/10",0,0,0,1,1,3184,1,0.000119617224880383,0.343549939184387,0.607314407867758,-0.465888456742493,-0.25521115795839,-0.357356940216602,-0.466098623723349,0.630878726760248,0.96969295013696,0.257424922878683,871,0.742575077121317,"0",0,1,0,"0",1,FALSE
"7","BC 000101 .H75  1965","BC101 .H75 1965",1160670,"ALDERMAN",1965,"The elements of formal logic","Hughes, G. E. (George Edward),","X000211589","STACKS","STACKS","BOOK","6/29/96","11/1/07",0,0,2,4,1,4218,4,0.000478468899521531,0.527062385773521,0.607314407867758,-0.289229996191595,-0.25521115795839,0.0332748581337074,-0.352393307196234,0.627221652720322,0.349804838886485,0.188944732425583,941,0.811055267574417,"0",2,4,0,"0",2,FALSE
"8","BC 000101 .H75  1965","BC101 .H75 1965",1160670,"ALDERMAN",1965,"The elements of formal logic","Hughes, G. E. (George Edward),","X030598052","STACKS","STACKS","BOOK","10/28/09","1/1/00",0,0,0,0,1,7079,0,0,0.527062385773521,-1.53097737223568,-0.52477461025946,-0.25521115795839,1.11412357677997,-0.504000395899054,0.354166256392429,0.51705202460289,0.346381472502633,775,0.653618527497367,"0",2,4,0,"0",2,FALSE
"9","BC 000101 .L64  2005","BC101 .L64 2005",4369244,"ALDERMAN",2005,"Logic : key concepts in philosophy /","","X030117609","STACKS","STACKS","BOOK","5/25/06","11/28/16",3,0,2,7,1,903,7,0.00147585916086865,-0.94103718693955,-0.981143462050939,-0.112571535640696,-0.25521115795839,-1.21908917622923,-0.0363614105053666,0.279660397635015,0.835480298381299,0.953853909897067,150,0.0461460901029328,"1",2,7,0,"1",1,FALSE
"10","BC 000101 .R4","BC101 .R4",1160673,"ALDERMAN",1964,"Introduction to logic.","Rescher, Nicholas.","X000895262","STACKS","STACKS","BOOK","6/29/96","5/13/12",0,1,1,34,1,2563,33,0.00406698564593301,0.563764875091347,0.607314407867758,1.41846845580043,-0.13135479232632,-0.591962691450201,0.784659858074917,0.263200311887521,0.811894883401692,0.698328693574729,473,0.301671306425271,"1",1,33,1,"1",1,FALSE
"11","BC 000108 .A5","BC108 .A5",1160677,"ALDERMAN",1902,"The principles of logic,","Aikins, Herbert Austin,","X030596503","STACKS","STACKS","BOOK","11/12/09","6/17/15",0,0,0,0,1,1433,0,0,2.83931921279661,-1.53756483921074,-0.52477461025946,-0.25521115795839,-1.01886204554677,-0.504000395899054,0.0694053992656835,0.439964981283993,0.308387879708157,818,0.691612120291843,"0",0,0,0,"0",1,FALSE
"12","BC 000108 .A57","BC108 .A57",1160678,"ALDERMAN",1964,"Reasoning and logic,","Angell, Richard B.","X000600780","STACKS","STACKS","BOOK","6/29/96","12/20/99",0,0,0,5,1,7091,5,0.000598086124401914,0.563764875091347,0.607314407867758,-0.230343842674629,-0.25521115795839,1.11865702124825,-0.314491535020529,0.728201541196215,0.427391401259229,0.0744624214333243,1125,0.925537578566676,"0",0,5,0,"0",1,FALSE
"13","BC 000108 .B25  1974","BC108 .B25 1974",627098,"ALDERMAN",1974,"The elements of logic","Barker, Stephen Francis.","X000195207","STACKS","STACKS","BOOK","6/29/96","8/31/10",0,0,3,4,1,3184,4,0.000478468899521531,0.19673998191308,0.607314407867758,-0.289229996191595,-0.25521115795839,-0.357356940216602,-0.352393307196234,0.615260630173716,0.675272995606065,0.323895340409795,801,0.676104659590205,"0",3,4,0,"0",1,FALSE
"14","BC 000108 .B25  1980","BC108 .B25 1980",230751,"ALDERMAN",1980,"The elements of logic /","Barker, Stephen Francis.","X000954948","STACKS","STACKS","BOOK","6/28/96","8/30/18",1,4,3,21,1,263,17,0.00251166128453534,-0.0234749539938807,0.607753572332762,0.476289999528966,0.240214304569891,-1.46087288120427,0.291841623376963,0.372130363791233,0.359095901716501,0.794600769784215,374,0.205399230215785,"1",3,17,4,"1",1,FALSE
"15","BC 000108 .B25  1989","BC108 .B25 1989",2718575,"ALDERMAN",1989,"The elements of logic /","Barker, Stephen Francis.","X004114409","STACKS","CHECKEDOUT","BOOK","9/18/97","12/10/17",0,1,0,13,1,526,12,0.00164265857973212,-0.353797357854322,0.411447056476069,0.181859231944135,-0.13135479232632,-1.36151488994109,0.016490455763269,0.427622859229339,0.973671023733914,0.815435664466014,353,0.184564335533986,"1",0,12,1,"1",1,FALSE
"16","BC 000108 .B46  1964","BC108 .B46 1964",1160683,"ALDERMAN",1964,"Logic: a dialogue","Bierman, A. K. (Arthur Kalmer),","X001532793","STACKS","STACKS","BOOK","6/29/96","1/1/00",0,0,0,0,1,7079,0,0,0.563764875091347,0.607314407867758,-0.52477461025946,-0.25521115795839,1.11412357677997,-0.504000395899054,0.767803536526732,0.722634235396981,0.0567873875617482,1151,0.943212612438252,"0",0,0,0,"0",1,FALSE
"17","BC 000108 .B47  1956","BC108 .B47 1956",815285,"ALDERMAN",1956,"Logic and effective argument.","Bilsky, Manuel,","X000236901","STACKS","STACKS","BOOK","6/29/96","11/19/01",0,0,2,3,1,6391,3,0.000358851674641148,0.857384789633962,0.607314407867758,-0.348116149708561,-0.25521115795839,0.854206093931794,-0.390295079371939,0.694451728746543,0.463666128925979,0.0649476205523104,1142,0.93505237944769,"0",2,3,0,"0",1,FALSE
"18","BC 000108 .B67  1916  V. 2","BC108 .B67 1916 v. 2",1160687,"ALDERMAN",1940,"The laws of thought (1854)","Boole, George,","X001043227","STACKS","STACKS","BOOK","6/29/96","4/11/01",0,0,0,5,1,6613,5,0.000598086124401914,1.44462461871919,0.607314407867758,-0.230343842674629,-0.25521115795839,0.938074816595013,-0.314491535020529,0.629980313181806,0.644109742017463,0.0384067733760191,1175,0.961593226623981,"0",0,5,0,"0",1,TRUE
"19","BC 000108 .B68  1874","BC108 .B68 1874",5356603,"ALDERMAN",1874,"A treatise on logic, or, The laws of pure thought : comprising both the Aristotelic and Hamiltonian analyses of logical forms, and some chapters of applied logic /","Bowen, Francis,","X030944266","STACKS","STACKS","BOOK","6/10/11","6/17/15",0,0,0,0,1,1433,0,0,3.86698891369576,-1.79008440658791,-0.52477461025946,-0.25521115795839,-1.01886204554677,-0.504000395899054,0.0377867448090934,0.112414517905563,0.17039688587611,966,0.82960311412389,"0",0,0,0,"0",1,FALSE
"20","BC 000108 .B68  1890","BC108 .B68 1890",1782906,"ALDERMAN",1890,"A treatise on logic : or, The laws of pure thought; comprising   both Aristotelic and Hamiltonian analyses of logical forms, and some chapters   of applied logic /","Bowen, Francis,","X002185154","STACKS","STACKS","BOOK","6/30/96","6/17/15",0,0,1,1,1,1433,1,0.000119631534872592,3.27974908461053,0.606875243402754,-0.465888456742493,-0.25521115795839,-1.01886204554677,-0.466094089476169,0.268083685907285,0.7372722690925,0.0344346407115373,1178,0.965565359288463,"0",1,1,0,"0",1,FALSE
"21","BC 000108 .B72  1961","BC108 .B72 1961",470610,"ALDERMAN",1961,"A handbook of logic.","Brennan, Joseph Gerard,","X000022899","STACKS","STACKS","BOOK","6/29/96","11/28/16",1,0,3,7,1,903,7,0.000837320574162679,0.673872343044828,0.607314407867758,-0.112571535640696,-0.25521115795839,-1.21908917622923,-0.238687990669119,0.432473504119035,0.0627484868746251,0.456443406241756,673,0.543556593758244,"0",3,7,0,"0",1,FALSE
"22","BC 000108 .B724","BC108 .B724",1160689,"ALDERMAN",1973,"Logic: theoretical and applied","Brody, Baruch A.","X001269420","STACKS","STACKS","BOOK","6/29/96","1/1/00",0,0,1,1,1,7079,1,0.000119617224880383,0.233442471230907,0.607314407867758,-0.465888456742493,-0.25521115795839,1.11412357677997,-0.466098623723349,0.784285242722403,0.111353879561648,0.0816026118202699,1112,0.91839738817973,"0",1,1,0,"0",1,FALSE
"23","BC 000108 .B75  1947","BC108 .B75 1947",1160691,"ALDERMAN",1946,"Right thinking, a study of its principles and methods,","Burtt, Edwin A. (Edwin Arthur),","X000328769","STACKS","STACKS","BOOK","6/29/96","1/1/00",0,0,0,1,1,7079,1,0.000119617224880383,1.22440968281223,0.607314407867758,-0.465888456742493,-0.25521115795839,1.11412357677997,-0.466098623723349,0.706541982841127,0.715326806763187,0.0319306883149103,1181,0.96806931168509,"0",0,1,0,"0",1,FALSE
"24","BC 000108 .C5","BC108 .C5",1160693,"ALDERMAN",1933,"The fundamentals of logic,","Chapman, Frank Miller.","X001731045","STACKS","STACKS","BOOK","6/29/96","10/12/09",0,0,1,3,1,3507,3,0.000358851674641148,1.70154204394398,0.607314407867758,-0.348116149708561,-0.25521115795839,-0.235331726612008,-0.390295079371939,0.486232631065182,0.136900834739208,0.081537287641261,1113,0.918462712358739,"0",1,3,0,"0",1,FALSE
"25","BC 000108 .C52  1956","BC108 .C52 1956",1160694,"ALDERMAN",1956,"Guides to straight thinking, with 13 common fallacies.","Chase, Stuart,","X000618661","STACKS","STACKS","BOOK","6/29/96","12/10/15",2,0,0,16,1,1257,16,0.00191387559808612,0.857384789633962,0.607314407867758,0.417403846012,-0.25521115795839,-1.08535256441491,0.102427958912227,0.339311398380395,0.135255504632369,0.50951315505968,623,0.49048684494032,"0",0,16,0,"0",1,FALSE
"26","BC 000108 .C53  1940","BC108 .C53 1940",808623,"ALDERMAN",1940,"Elements of logic and formal science.","Churchman, C. West (Charles West),","X000211590","STACKS","STACKS","BOOK","6/29/96","1/1/00",0,0,0,2,1,7079,2,0.000239234449760766,1.44462461871919,0.607314407867758,-0.407002303225527,-0.25521115795839,1.11412357677997,-0.428196851547644,0.67798601929763,0.508892299374565,0.0273032956618375,1184,0.972696704338162,"0",0,2,0,"0",1,FALSE
"27","BC 000108 .C66  1963","BC108 .C66 1963",4596269,"ALDERMAN",1963,"An introduction to logic /","Cohen, Morris Raphael,","X030237961","STACKS","STACKS","BOOK","6/4/07","9/29/09",0,0,0,2,1,3520,2,0.000457875457875458,0.600467364409174,-1.14583013642736,-0.407002303225527,-0.25521115795839,-0.230420495104702,-0.358918520720989,0.261565793507193,0.9334562048316,0.591164383524509,553,0.408835616475491,"0",0,2,0,"0",1,FALSE
"28","BC 000108 .C67  1934","BC108 .C67 1934",3344019,"ALDERMAN",1934,"An introduction to logic and scientific method,","Cohen, Morris Raphael,","X000379689","STACKS","STACKS","BOOK","6/29/96","11/29/12",1,2,0,4,1,2363,2,0.000478468899521531,1.66483955462615,0.607314407867758,-0.407002303225527,-0.00749842669424928,-0.667520099254903,-0.352393307196234,0.448794192139638,0.970086612040177,0.117986602442978,1051,0.882013397557022,"0",0,2,2,"0",2,FALSE
"29","BC 000108 .C67  1934A","BC108 .C67 1934a",3344019,"ALDERMAN",1934,"An introduction to logic and scientific method,","Cohen, Morris Raphael,","X000375477","STACKS","STACKS","BOOK","6/29/96","1/1/00",0,0,0,0,1,7079,0,0,1.66483955462615,0.607314407867758,-0.52477461025946,-0.25521115795839,1.11412357677997,-0.504000395899054,0.676555260087639,0.697093644412234,0.0196265149717177,1193,0.980373485028282,"0",0,2,2,"0",2,FALSE
"30","BC 000108 .C67  1937","BC108 .C67 1937",773492,"ALDERMAN",1937,"An introduction to logic and the scientific method,","Cohen, Morris Raphael,","X000027130","STACKS","CHECKEDOUT","BOOK","6/29/96","2/13/17",0,5,0,12,1,826,7,0.00143540669856459,1.55473208667267,0.607314407867758,-0.112571535640696,0.364070670201962,-1.24817877823404,-0.0491791297905935,0.342504185050484,0.306054055923596,0.263775011565769,864,0.736224988434231,"0",0,7,5,"0",1,FALSE
"31","BC 000108 .C67  1944","BC108 .C67 1944",1160699,"ALDERMAN",1944,"An introduction to logic and scientific method,","Cohen, Morris Raphael,","X000380558","STACKS","CHECKEDOUT","BOOK","6/29/96","12/10/17",0,1,0,4,1,526,3,0.000478468899521531,1.29781466144788,0.607314407867758,-0.348116149708561,-0.13135479232632,-1.36151488994109,-0.352393307196234,0.39417096311678,0.572590705007315,0.290752877361149,840,0.709247122638851,"0",0,3,1,"0",1,FALSE
"32","BC 000108 .C67  1946","BC108 .C67 1946",1782804,"ALDERMAN",1946,"An introduction to logic and scientific method /","Cohen, Morris Raphael,","X000376380","STACKS","CHECKEDOUT","BOOK","6/30/96","12/10/17",0,1,1,9,2,526,8,0.00107668381385333,1.22440968281223,0.606875243402754,-0.0536853821237298,-0.13135479232632,-1.36151488994109,-0.162843638093091,0.351541152498116,0.717776637058705,0.372044596934945,755,0.627955403065055,"0",1,8,1,"0",1,FALSE
"33","BC 000108 .C672  1939","BC108 .C672 1939",800050,"ALDERMAN",1939,"An introduction to logic and scientific method,","Cohen, Morris Raphael,","X030599593","STACKS","STACKS","BOOK","12/4/09","1/1/00",0,0,0,0,1,7079,0,0,1.48132710803702,-1.54722645744082,-0.52477461025946,-0.25521115795839,1.11412357677997,-0.504000395899054,0.266696676739182,0.734048017067835,0.171789303854217,962,0.828210696145783,"0",0,0,0,"0",1,FALSE
