"","Item.Shelving.Id","Item.Call.Number","Catalog.Id","Item.Library.Code","Catalog.Pub.Year","Catalog.Title","Catalog.Author","Item.Barcode","Item.Collection","Item.Status","Item.Type","Item.Created.Date","Item.Last.Checkout.Date","Item.Lifetime.Checkout","Item.Lifetime.Renewals","Item.Lifetime.Inhouse.Uses","Item.Legacy.Total.Charges","Number.of.Items","days_since_last_checkout","Item.Lifetime.Checkout.Corrected","checkouts_per_day","x0","x1","x2","x3","x4","x5","scoreA","scoreB","scoreC","modelC","dscoreC","model","NumInhouseUses","NumCheckouts","NumRenewals","MODEL","n","MultiVolume"
"1","BD 000100 .G6  1976","BD100 .G6 1976",327934,"ALDERMAN",1976,"Isagoge in peripateticorum et scholasticorum primam philosophiam /","Goclenius, Rudolph,","X000087328","STACKS","STACKS","BOOK","6/28/96","1/1/00",0,0,0,1,1,7079,1,0.000119602918311207,0.167697521325646,0.720830687654251,-0.477918455239343,-0.301369974414243,1.37310082973419,-0.503589394949704,0.429689110932736,0.703504105331376,0.0606796899770942,3930,0.939320310022906,"0",0,1,0,"0",1,FALSE
"2","BD 000102 .B813  1980","BD102 .B813 1980",4391331,"ALDERMAN",1980,"Eléments de métaphysique = Elements of metaphysics /","Buffier, Claude,","X030125742","STACKS","STACKS","BOOK","8/25/06","1/1/00",0,0,0,0,1,7079,0,0,0.103114882758747,-0.718064794771662,-0.535523143590306,-0.301369974414243,1.37310082973419,-0.536941577921845,0.366981860121185,0.867708117002621,0.215231587067954,3168,0.784768412932046,"0",0,0,0,"0",1,FALSE
"3","BD 000102 .D93  1992","BD102 .D93 1992",1974463,"ALDERMAN",1992,"La métaphysique /","Dupleix, Scipion,","X002142086","STACKS","CHECKEDOUT","BOOK","6/30/96","9/11/15",1,1,0,4,1,1347,3,0.00047852613949037,-0.0906330329419517,0.720055002758064,-0.362709078537416,-0.145319639151624,-0.836450793533228,-0.403500926250559,0.551535053277423,0.228460130747408,0.461158352910928,2411,0.538841647089072,"0",0,3,1,"0",1,FALSE
"4","BD 000104 .T73  2003","BD104 .T73 2003",4028128,"ALDERMAN",2003,"I trattati De universalibus /","Francesco,","X004790160","STACKS","STACKS","BOOK","5/3/04","7/17/07",0,0,0,0,1,4325,0,0,-0.268235289000925,-0.390725768580969,-0.535523143590306,-0.301369974414243,0.311498392456021,-0.536941577921845,0.373447748608071,0.207547703990713,0.453122956381182,2430,0.546877043618818,"0",0,0,0,"0",1,FALSE
"5","BD 000011 .R2  1996","BD11 .R2 1996",2534776,"ALDERMAN",1996,"Driving to California : an unconventional introduction to philosophy /","Radford, Colin,","X004038105","STACKS","STACKS","BOOK","7/1/96","1/27/04",0,0,0,7,1,5592,7,0.000837520938023451,-0.155215671508851,0.719667160309971,-0.132290325133563,-0.301369974414243,0.799897189853059,-0.303392497662156,0.415266955322326,0.0272111068479717,0.182927339615889,3332,0.817072660384111,"0",0,7,0,"0",1,FALSE
"6","BD 000111 .A12  2003","BD111 .A12 2003",4072836,"ALDERMAN",2003,"1830-1848, the end of metaphysics as a transformation of culture /","","X004843717","STACKS","STACKS","BOOK","10/5/04","8/9/07",0,0,1,3,1,4302,3,0.000561797752808989,-0.268235289000925,-0.450841348035421,-0.362709078537416,-0.301369974414243,0.302632431650866,-0.380280003860009,0.380243700744593,0.363623852841556,0.513430550181842,2248,0.486569449818158,"0",1,3,0,"0",1,FALSE
"7","BD 000111 .A22  2014  V.000002","BD111 .A22 2014 v.2",7249951,"ALDERMAN",2014,"Mind, values, and metaphysics : philosophical essays in honor of Kevin Mulligan /","","X031821709","STACKS","CHECKEDOUT","BOOK","10/6/17","1/3/18",1,4,0,5,1,502,1,0.00846023688663283,-0.445837545059899,-2.29270513403021,-0.477918455239343,0.322831366636233,-1.1621784839835,1.82225979119887,0.389787533016513,0.455148395849392,0.96840962589739,252,0.03159037410261,"1",0,1,4,"1",1,TRUE
"8","BD 000111 .A47  2001","BD111 .A47 2001",3723595,"ALDERMAN",2001,"A sensible metaphysical realism /","Alston, William P.","X004477620","STACKS","STACKS","BOOK","6/5/01","5/20/03",0,0,0,7,1,5844,7,0.00106739859713327,-0.235943969717475,0.0215507537421427,-0.132290325133563,-0.301369974414243,0.897037282153022,-0.239289364928481,0.367410061151312,0.339669392444193,0.306840004757793,2835,0.693159995242207,"0",0,7,0,"0",1,FALSE
"9","BD 000111 .A5  1974","BD111 .A5 1974",454919,"CLEMONS",1974,"Metaphysics : a critical survey of its meaning /","And?, Takatsura,","X000170395","BY-REQUEST","BY-REQUEST","BOOK","6/29/96","1/1/00",0,0,1,0,1,7079,0,0,0.199988840609096,0.720442845206157,-0.535523143590306,-0.301369974414243,1.37310082973419,-0.536941577921845,0.434583978968368,0.491283325478435,0.0557741092318168,3966,0.944225890768183,"0",1,0,0,"0",1,FALSE
"10","BD 000111 .A67  2009","BD111 .A67 2009",4826460,"ALDERMAN",2009,"Arguing about metaphysics /","","X030470156","STACKS","STACKS","BOOK","3/3/09","5/8/13",0,3,1,11,1,2203,8,0.00294906166219839,-0.365109246851274,-1.07526768946553,-0.0746856367825993,0.166781031373614,-0.50648286095875,0.285426684847794,0.414680404534525,0.157142031937838,0.866709645574664,1059,0.133290354425336,"1",1,8,3,"1",1,FALSE
"11","BD 000111 .A96  1985","BD111 .A96 1985",66822,"ALDERMAN",1985,"Metaphysics : the elements /","Aune, Bruce,","X000972766","STACKS","STACKS","BOOK","6/28/96","7/17/11",0,0,2,24,1,2864,24,0.00287047003946896,0.0223865845501223,0.720830687654251,0.846989376832814,-0.301369974414243,-0.251682856949719,0.263510813409532,0.590004241665197,0.281701686792076,0.587939764884331,2013,0.412060235115669,"0",3,93,38,"1",2,FALSE
"12","BD 000111 .A96  1985","BD111 .A96 1985",66822,"CLEMONS",1985,"Metaphysics : the elements /","Aune, Bruce,","X001079560","BY-REQUEST","CHECKEDOUT","BOOK","6/28/96","2/6/19",1,38,1,107,1,103,69,0.0127975122592991,0.0223865845501223,0.720830687654251,3.43920035262617,5.62854276556528,-1.31598363012511,3.03174200009721,0.771816021037545,0.573742503300309,0.982223939853568,78,0.0177760601464324,"1",3,93,38,"1",2,FALSE
"13","BD 000111 .B33  2011","BD111 .B33 2011",5316401,"ALDERMAN",2011,"Metaphysics : the key concepts /","Beebee, Helen.","X030817907","STACKS","STACKS","BOOK","3/31/11","4/5/11",0,0,0,1,1,2967,1,0.000336473755047106,-0.397400566134724,-1.36925226512021,-0.477918455239343,-0.301369974414243,-0.211978771604893,-0.443113313510651,0.356811018771771,0.355485039297491,0.817680815543066,1265,0.182319184456934,"1",0,1,0,"1",1,FALSE
"14","BD 000111 .B36  2000","BD111 .B36 2000",3573483,"ALDERMAN",2000,"Being and dialectic : metaphysics and culture /","","X004438514","STACKS","STACKS","BOOK","10/17/00","8/31/10",0,0,0,59,2,3184,59,0.00869052879658271,-0.219798310075751,0.111142359251681,2.86315346911653,-0.301369974414243,-0.128330358791035,1.88647844092836,0.59991996333643,0.689956451999024,0.956898510426334,409,0.0431014895736657,"1",0,59,0,"1",1,FALSE
"15","BD 000111 .B37  2008","BD111 .B37 2008",4858987,"ALDERMAN",2008,"Being : developments in contemporary metaphysics /","","X030467666","STACKS","STACKS","BOOK","4/7/09","5/11/14",0,3,0,6,1,1835,3,0.00162381596752368,-0.348963587209549,-1.0888421751488,-0.362709078537416,0.166781031373614,-0.648338233841236,-0.084128151404819,0.415514328108984,0.925389321753755,0.848570746555888,1133,0.151429253444112,"1",0,3,3,"1",1,FALSE
"16","BD 000111 .B398  2017","BD111 .B398 2017",7105527,"ALDERMAN",2017,"Making things up /","Bennett, Karen,","X031818678","STACKS","CHECKEDOUT","BOOK","7/12/17","5/17/18",1,2,0,3,1,368,1,0.00443131462333826,-0.494274523985073,-2.25935068349419,-0.477918455239343,0.0107306961109949,-1.21383234258745,0.698764190896775,0.383665775794772,0.124024655902758,0.970388654805935,214,0.0296113451940652,"1",0,1,2,"1",1,FALSE
"17","BD 000111 .B43  1981","BD111 .B43 1981",216898,"ALDERMAN",1981,"Power, form, and mind /","Berndtson, Arthur,","X000219341","STACKS","STACKS","BOOK","6/28/96","1/1/00",0,0,1,0,1,7079,0,0,0.0869692231170218,0.720830687654251,-0.535523143590306,-0.301369974414243,1.37310082973419,-0.536941577921845,0.407891722209605,0.619396873516962,0.0620111482701776,3916,0.937988851729822,"0",1,0,0,"0",1,FALSE
"18","BD 000111 .B53  2012","BD111 .B53 2012",5764485,"ALDERMAN",2012,"Essential difference : toward a metaphysics of emergence /","Blachowicz, James,","X030843692","STACKS","CHECKEDOUT","BOOK","9/5/12","10/9/17",0,0,0,0,1,588,0,0,-0.413546225776449,-1.57248170792107,-0.535523143590306,-0.301369974414243,-1.12902750010336,-0.536941577921845,0.414643522161967,0.309946900699288,0.929532639469378,693,0.0704673605306224,"1",0,0,0,"1",1,FALSE
