"","Item.Shelving.Id","Item.Call.Number","Catalog.Id","Item.Library.Code","Catalog.Pub.Year","Catalog.Title","Catalog.Author","Item.Barcode","Item.Collection","Item.Status","Item.Type","Item.Created.Date","Item.Last.Checkout.Date","Item.Lifetime.Checkout","Item.Lifetime.Renewals","Item.Lifetime.Inhouse.Uses","Item.Legacy.Total.Charges","Number.of.Items","days_since_last_checkout","Item.Lifetime.Checkout.Corrected","checkouts_per_day","x0","x1","x2","x3","x4","x5","scoreA","scoreB","scoreC","modelC","dscoreC","model","NumInhouseUses","NumCheckouts","NumRenewals","MODEL","n","MultiVolume"
"1","BH 000102 .B34  2003","BH102 .B34 2003",3958741,"ALDERMAN",2003,"The graven image : representation in Babylonia and Assyria /","Bahrani, Zainab,","X004706906","STACKS","STACKS","BOOK","8/12/03","5/26/10",0,0,0,4,1,3281,4,0.000694444444444444,-0.689826199875658,-0.312662946250299,-0.308353751819737,-0.272002601257255,-0.103283909087634,-0.35978183062217,0.544899057954453,0.475576797733083,0.689422174628937,563,0.310577825371063,"1",0,4,0,"1",1,FALSE
"2","BH 000106 .C36  2006","BH106 .C36 2006",4457371,"ALDERMAN",2006,"Nefer : the aesthetic ideal in classical Egypt /","Cannon-Brown, Willie.","X030115506","STACKS","STACKS","BOOK","1/23/07","2/2/10",0,0,0,1,1,3394,1,0.000222222222222222,-0.820808057016491,-0.801257541149792,-0.472412598489441,-0.272002601257255,-0.0594951024969946,-0.494046146659588,0.671573229481557,0.409674108261243,0.770148180833867,495,0.229851819166133,"1",0,1,0,"1",1,FALSE
"3","BH 000108 .A37  2012","BH108 .A37 2012",5842617,"ALDERMAN",2012,"Aesthetic value in classical antiquity /","","X030853364","STACKS","CHECKEDOUT","BOOK","12/3/12","4/10/18",5,8,3,13,1,405,5,0.00551080966511234,-1.08277177129816,-1.63148057899092,-0.253667469596502,0.691426459684473,-1.21776716355383,1.00962848449652,0.625551686771332,0.69799684220925,0.975357994360426,144,0.0246420056395739,"1",3,5,8,"1",1,FALSE
"4","BH 000108 .D32  1993","BH108 .D32 1993",2353750,"ALDERMAN",1993,"Temi platonici ed educazione estetica /","D'Acunto, Pietro.","X002574965","STACKS","STACKS","BOOK","7/1/96","9/22/08",0,0,0,1,1,3892,1,0.000119645848289064,-0.253220009406216,0.694772575613894,-0.472412598489441,-0.272002601257255,0.133485655752019,-0.523211116115966,0.396332024144165,0.729837557766587,0.259714913632601,841,0.740285086367399,"0",0,1,0,"0",1,FALSE
"5","BH 000108 .D38  1968","BH108 .D38 1968",1156312,"ALDERMAN",1968,"Iskusstvo kak sot?siologicheski? fenomen.","Davydov, I?Uri? Nikolaevich.","X001407433","STACKS","STACKS","BOOK","6/29/96","1/1/00",0,0,0,0,1,7079,0,0,0.838295466767389,0.695548122589925,-0.527098880712675,-0.272002601257255,1.36848500623316,-0.557229354206608,0.68375771155654,0.89618498692289,0.0313883340779239,1238,0.968611665922076,"0",0,0,0,"0",1,FALSE
"6","BH 000108 .G74  2017","BH108 .G74 2017",7305251,"ALDERMAN",2017,"Aesthetic experiences and classical antiquity : the significance of form in narratives and pictures /","Grethlein, Jonas,","X031818313","STACKS","STACKS","BOOK","11/27/17","8/10/18",2,0,1,2,1,283,2,0.00371057513914657,-1.30107486653288,-2.33722832717907,-0.417726316266206,-0.272002601257255,-1.26504357420921,0.497777821903191,0.762624552578128,0.578866920666769,0.988855702116553,41,0.0111442978834467,"1",1,2,0,"1",1,FALSE
"7","BH 000108 .K66  2014","BH108 .K66 2014",6515452,"ALDERMAN",2014,"Beauty : the fortunes of an ancient Greek idea /","Konstan, David.","X031708929","STACKS","CHECKEDOUT","BOOK","3/11/15","5/2/18",2,5,0,7,1,383,2,0.00457217504898759,-1.17009300939204,-1.95255702706772,-0.417726316266206,0.330140561831325,-1.22629241793431,0.742751728570097,0.703351185729384,0.404064991278574,0.980757731754948,119,0.0192422682450517,"1",0,2,5,"1",1,FALSE
"8","BH 000109 .G87  2016","BH109 .G87 2016",6831240,"ALDERMAN",2016,"Dissonance : auditory aesthetics in ancient Greece /","Gurd, Sean Alexander,","X031790756","STACKS","CHECKEDOUT","BOOK","8/17/16","6/11/18",2,7,0,9,1,343,2,0.00894632206759443,-1.25741424748593,-2.15613810827585,-0.417726316266206,0.570997827066757,-1.24179288044427,1.98642860370027,0.735536616278383,0.286042597610503,0.985763661968715,74,0.0142363380312848,"1",0,2,7,"1",1,FALSE
"9","BH 000131 .B43  2000","BH131 .B43 2000",3680878,"ALDERMAN",2000,"Le Beau et le laid au Moyen Age.","","X006101482","STACKS","STACKS","BOOK","1/12/01","10/10/09",0,0,4,11,1,3509,11,0.00164130110414802,-0.558844342734826,0.0526196794602744,0.0744502237429049,-0.272002601257255,-0.0149312727808568,-0.0905673468091898,0.439774146037766,0.233868925599381,0.644650422694911,597,0.355349577305089,"1",4,11,0,"1",1,FALSE
"10","BH 000131 .B72  1975  V.000001","BH131 .B72 1975 v.1",478400,"ALDERMAN",1975,"Études d'esthétique médiévale.","Bruyne, Edgar de,","X000210708","STACKS","STACKS","BOOK","6/29/96","10/11/09",0,0,0,13,1,3508,13,0.00155502392344498,0.532671133438779,0.695548122589925,0.183822788189374,-0.272002601257255,-0.0153187843436058,-0.115098057376383,0.351037864275899,0.979613003088161,0.263262953526842,839,0.736737046473158,"0",0,39,0,"0",3,TRUE
