"","Item.Shelving.Id","Item.Call.Number","Catalog.Id","Item.Library.Code","Catalog.Pub.Year","Catalog.Title","Catalog.Author","Item.Barcode","Item.Collection","Item.Status","Item.Type","Item.Created.Date","Item.Last.Checkout.Date","Item.Lifetime.Checkout","Item.Lifetime.Renewals","Item.Lifetime.Inhouse.Uses","Item.Legacy.Total.Charges","Number.of.Items","days_since_last_checkout","Item.Lifetime.Checkout.Corrected","checkouts_per_day","x0","x1","x2","x3","x4","x5","scoreA","scoreB","scoreC","modelC","dscoreC","model","NumInhouseUses","NumCheckouts","NumRenewals","MODEL","n","MultiVolume"
"1","BJ 000010 .E8  A42  1966","BJ10 .E8 A42 1966",508888,"ALDERMAN",1966,"Ethical culture fact book, 1876-1966.","American Ethical Union.","X000281223","STACKS","STACKS","BOOK","6/29/96","9/22/08",0,0,0,0,1,3892,0,0,0.110708571252711,0.739790057719721,-0.535722599805647,-0.257390312578287,0.157321025401688,-0.558393360492394,0.333351740530854,0.930438585113734,0.176020925141162,3910,0.823979074858838,"0",0,0,0,"0",1,FALSE
"2","BJ 000010 .E8  M33  2008","BJ10 .E8 M33 2008",4786927,"ALDERMAN",2008,"Reforming the moral subject : ethics and sexuality in Central Europe, 1890-1930 /","Matysik, Tracie.","X030466227","STACKS","STACKS","BOOK","10/28/08","10/27/11",0,0,0,1,1,2762,1,0.000259336099585062,-0.323010616422994,-1.03480380498276,-0.485488755598143,-0.257390312578287,-0.290993450326907,-0.48473956584726,0.631846808885954,0.67720932373777,0.761935292319235,1560,0.238064707680765,"1",0,1,0,"1",1,FALSE
"3","BJ 000010 .E8  R3  1969","BJ10 .E8 R3 1969",1156475,"ALDERMAN",1969,"Toward common ground; the story of the ethical societies in the United States","Radest, Howard B.,","X000620254","STACKS","STACKS","BOOK","6/29/96","5/7/11",0,0,3,12,1,2935,12,0.00143540669856459,0.0797286292758745,0.739790057719721,0.0670835306844087,-0.257390312578287,-0.222357694308281,-0.150724893289089,0.366896110347586,0.0679013717453927,0.370498821431454,2949,0.629501178568546,"0",3,12,0,"0",1,TRUE
"4","BJ 000010 .M6  B8  1949","BJ10 .M6 B8 1949",1156476,"ALDERMAN",1949,"Remaking the world.","Buchman, Frank,","X001993192","STACKS","STACKS","BOOK","6/29/96","4/24/00",0,0,0,4,1,6965,4,0.000478468899521531,0.286261575788115,0.739790057719721,-0.334787222975629,-0.257390312578287,1.37649835629901,-0.422503871424625,0.403716035289132,0.379234819440171,0.0608057932409083,4543,0.939194206759092,"0",0,4,0,"0",1,FALSE
"5","BJ 000010 .M6  B8  1961","BJ10 .M6 B8 1961",810296,"ALDERMAN",1961,"Remaking the world; the speeches of Frank N. D. Buchman.","Buchman, Frank,","X001818316","STACKS","STACKS","BOOK","6/29/96","4/22/05",0,0,0,5,1,5141,5,0.000598086124401914,0.162341807880771,0.739790057719721,-0.284553378768124,-0.257390312578287,0.652847379547718,-0.388531499157683,0.377343067779157,0.2559022619389,0.137106577697525,4107,0.862893422302475,"0",0,5,0,"0",1,FALSE
"6","BJ 000010 .M6  B834  1988","BJ10 .M6 B834 1988",1360585,"ALDERMAN",1988,"On the tail of a comet : the life of Frank Buchman /","Lean, Garth.","X001604935","STACKS","STACKS","BOOK","6/30/96","11/27/17",0,0,0,2,1,539,2,0.000239263069745185,-0.116477669910754,0.739396053753757,-0.435254911390638,-0.257390312578287,-1.17294307824254,-0.490440487624434,0.290350001987584,0.619347566040233,0.528660992194741,2433,0.471339007805259,"0",0,2,0,"0",1,FALSE
"7","BJ 000010 .M6  D7  1965","BJ10 .M6 D7 1965",1156477,"ALDERMAN",1965,"The mystery of Moral Re-armament; a study of Frank Buchman and his movement.","Driberg, Tom,","X001818314","STACKS","STACKS","BOOK","6/29/96","7/22/16",1,0,1,9,1,1032,9,0.00107655502392344,0.121035218578323,0.739790057719721,-0.0836180019381053,-0.257390312578287,-0.977351010513162,-0.252642010089915,0.312959571298274,0.701187981525436,0.508226190724572,2509,0.491773809275428,"0",1,9,0,"0",1,TRUE
"8","BJ 000010 .M6  E5  1967","BJ10 .M6 E5 1967",1156478,"ALDERMAN",1967,"Moral re-armament; what is it?","Entwistle, Basil.","X001993190","STACKS","STACKS","BOOK","6/29/96","4/22/05",0,0,1,5,1,5141,5,0.000598086124401914,0.100381923927099,0.739790057719721,-0.284553378768124,-0.257390312578287,0.652847379547718,-0.388531499157683,0.38155105275945,0.0436925638932735,0.144603110370707,4072,0.855396889629293,"0",1,5,0,"0",1,FALSE
"9","BJ 000010 .M6  H63  1951","BJ10 .M6 H63 1951",624816,"ALDERMAN",1951,"The world rebuilt; the true story of Frank Buchman and the achievements of moral re-armament.","Howard, Peter,","X000401035","STACKS","STACKS","BOOK","6/29/96","4/24/00",0,0,0,4,1,6965,4,0.000478468899521531,0.265608281136891,0.739790057719721,-0.334787222975629,-0.257390312578287,1.37649835629901,-0.422503871424625,0.405150874713979,0.909508479060605,0.061996024913895,4530,0.938003975086105,"0",0,4,0,"0",1,FALSE
"10","BJ 000010 .M6  P3  1954","BJ10 .M6 P3 1954",1156482,"ALDERMAN",1954,"Remaking men,","Campbell, Paul B.","X001818312","STACKS","STACKS","BOOK","6/29/96","3/21/00",0,0,0,4,1,6999,4,0.000478468899521531,0.234628339160055,0.739790057719721,-0.334787222975629,-0.257390312578287,1.38998746441827,-0.422503871424625,0.408050466424297,0.436113451374695,0.0630209871023763,4515,0.936979012897624,"0",0,4,0,"0",1,FALSE
