"","Item.Shelving.Id","Item.Call.Number","Catalog.Id","Item.Library.Code","Catalog.Pub.Year","Catalog.Title","Catalog.Author","Item.Barcode","Item.Collection","Item.Status","Item.Type","Item.Created.Date","Item.Last.Checkout.Date","Item.Lifetime.Checkout","Item.Lifetime.Renewals","Item.Lifetime.Inhouse.Uses","Item.Legacy.Total.Charges","Number.of.Items","days_since_last_checkout","Item.Lifetime.Checkout.Corrected","checkouts_per_day","x0","x1","x2","x3","x4","x5","scoreA","scoreB","scoreC","modelC","dscoreC","model","NumInhouseUses","NumCheckouts","NumRenewals","MODEL","n","MultiVolume"
"1","BM 000100 .K73  2011","BM100 .K73 2011",5390583,"ALDERMAN",2011,"The greening of American orthodox Judaism : Yavneh in the nineteen sixties /","Kraut, Benny.","X030949505","STACKS","STACKS","BOOK","7/15/11","1/1/00",0,0,0,0,1,7079,0,0,-0.322176521571933,-1.72302101297942,-0.5509025070887,-0.186818594368694,1.40535269018106,-0.461741949091688,0.196149532029577,0.841719755902886,0.522220937580934,2711,0.477779062419066,"0",0,0,0,"0",1,FALSE
"2","BM 000103 .A313","BM103 .A313",359360,"ALDERMAN",1977,"Jewish education in Israel and in the United States /","Adar, Zvi.","X000038025","STACKS","STACKS","BOOK","6/28/96","10/10/08",0,0,0,4,1,3874,4,0.000478411673244827,0.049269015931878,0.701236175125831,-0.159364245138943,-0.186818594368694,0.0451808867137635,-0.265429160243,0.641434537970381,0.317396132741123,0.277870296323346,3794,0.722129703676654,"0",0,4,0,"0",1,FALSE
"3","BM 000103 .C65  1996","BM103 .C65 1996",2638021,"ALDERMAN",1996,"The child in Jewish history /","Cooper, John,","X004071954","STACKS","STACKS","BOOK","1/2/97","11/24/06",0,0,3,4,1,4560,4,0.000489416370977609,-0.158303490320252,0.618295255860356,-0.159364245138943,-0.186818594368694,0.336312823430944,-0.260913461686344,0.5815813835993,0.813690241426229,0.277746203911884,3796,0.722253796088116,"0",3,4,0,"0",1,FALSE
"4","BM 000103 .G65  2004","BM103 .G65 2004",4004743,"ALDERMAN",2004,"Making the bible modern : children's bibles and Jewish education in twentieth-century America /","Gold, Penny Schine.","X004742658","STACKS","STACKS","BOOK","2/3/04","1/13/14",1,0,1,10,1,1953,10,0.0017905102954342,-0.245702440321148,-0.523465909347358,0.427943147785693,-0.186818594368694,-0.770073414210004,0.272981071303959,0.401904243003415,0.232646022457629,0.877308423406987,1109,0.122691576593013,"1",1,10,0,"1",1,FALSE
"5","BM 000103 .G7  1915","BM103 .G7 1915",802865,"ALDERMAN",1915,"Methods of teaching the Jewish religion in junior and senior grades.","Greenstone, Julius H. (Julius Hillel),","X001175383","STACKS","STACKS","BOOK","6/29/96","6/19/06",0,0,0,4,1,4718,4,0.000478468899521531,0.726610878438827,0.700795000023355,-0.159364245138943,-0.186818594368694,0.403366534803123,-0.26540567785199,0.64322952079154,0.448230235604569,0.120242405421716,4704,0.879757594578285,"0",0,4,0,"0",1,FALSE
"6","BM 000103 .H48  1968","BM103 .H48 1968",2713547,"ALDERMAN",1968,"Yesodot ha-?inukh,  b si?ot pedagogiyot.  c [Targum: Avi?ezri Volf ve-Shalom Pushinski]","Hirsch, Samson Raphael,","X004148838","STACKS","STACKS","BOOK","8/29/97","10/10/08",0,0,0,0,1,3874,0,0,0.147592834682887,0.512854406368608,-0.5509025070887,-0.186818594368694,0.0451808867137635,-0.461741949091688,0.695405319230943,0.676126723410562,0.221571702216224,4183,0.778428297783776,"0",0,0,0,"0",1,FALSE
"7","BM 000103 .J394  1989","BM103 .J394 1989",1624760,"ALDERMAN",1989,"Jewish education worldwide : cross-cultural perspectives /","","X001665953","STACKS","STACKS","BOOK","6/30/96","4/15/02",0,0,1,26,1,6244,26,0.0031104199066874,-0.081829409069467,0.700353824920879,1.99409619558472,-0.186818594368694,1.05098655729644,0.814596486027967,0.140563330880746,0.0436548779252917,0.580441297745094,2456,0.419558702254906,"0",1,26,0,"0",1,FALSE
"8","BM 000103 .J396  2013","BM103 .J396 2013",6262418,"ALDERMAN",2013,"Jewish literacy and education /","","X031629035","STACKS","STACKS","BOOK","7/22/14","1/1/00",0,0,0,0,1,7079,0,0,-0.344026259072157,-2.20963715101037,-0.5509025070887,-0.186818594368694,1.40535269018106,-0.461741949091688,0.150531547150932,0.543841308681294,0.645063122561939,2169,0.354936877438061,"0",0,0,0,"0",1,FALSE
"9","BM 000103 .R63  1987","BM103 .R63 1987",1973985,"ALDERMAN",1987,"Commandments and concerns : Jewish religious education in secular society /","Rosenak, Michael.","X002108553","STACKS","STACKS","BOOK","6/30/96","6/29/01",0,0,1,9,1,6534,9,0.00107668381385333,-0.0599796715692428,0.700353824920879,0.330058582298253,-0.186818594368694,1.17405982500487,-0.0199324907810382,0.395333674593058,0.721390654332936,0.184767450990355,4428,0.815232549009645,"0",1,9,0,"0",1,FALSE
"10","BM 000103 .R635  2001","BM103 .R635 2001",3799379,"ALDERMAN",2001,"Tree of life, tree of knowledge : conversations with the Torah /","Rosenak, Michael.","X004555967","STACKS","STACKS","BOOK","12/14/01","12/3/02",0,0,0,2,1,6012,2,0.000314169022934339,-0.212927834070812,-0.178908154313654,-0.355133376113821,-0.186818594368694,0.9525279431297,-0.332824950382618,0.417687043937264,0.307242666138336,0.285809274984736,3751,0.714190725015264,"0",0,2,0,"0",1,FALSE
