"","Item.Shelving.Id","Item.Call.Number","Catalog.Id","Item.Library.Code","Catalog.Pub.Year","Catalog.Title","Catalog.Author","Item.Barcode","Item.Collection","Item.Status","Item.Type","Item.Created.Date","Item.Last.Checkout.Date","Item.Lifetime.Checkout","Item.Lifetime.Renewals","Item.Lifetime.Inhouse.Uses","Item.Legacy.Total.Charges","Number.of.Items","days_since_last_checkout","Item.Lifetime.Checkout.Corrected","checkouts_per_day","x0","x1","x2","x3","x4","x5","scoreA","scoreB","scoreC","modelC","dscoreC","model","NumInhouseUses","NumCheckouts","NumRenewals","MODEL","n","MultiVolume"
"1","BT 000010 .B5  1956  V.000002","BT10 .B5 1956 v.2",1173839,"ALDERMAN",1956,"La réforme pastorale en France au XVIIe siècle; recherches sur la tradition pastorale après le Concile de Trente.","Broutin, Paul,","X000388269","STACKS","STACKS","BOOK","6/29/96","1/1/00",0,0,0,1,1,7079,1,0.000119617224880383,0.658256989981804,0.650374104366087,-0.506780701489646,-0.293454709733024,1.61093417683751,-0.545412368522899,0.190462784183516,0.861244116444141,0.031482156769502,7802,0.968517843230498,"0",0,1,0,"0",1,TRUE
"2","BT 000010 .C3  2D SER. NO.000018 001948","BT10 .C3 2d ser. no.18 1948",1175324,"ALDERMAN",1948,"Charity the form of the virtues according to Saint Thomas,","Falanga, Anthony Joseph,","X002178911","STACKS","STACKS","BOOK","6/29/96","5/13/97",0,0,0,9,1,8042,9,0.00107655502392344,0.869177435441455,0.650374104366087,-0.00647048320919854,-0.293454709733024,2.0190449123124,-0.21303230883582,0.110503707985308,0.271395902847871,0.028056783757641,7840,0.971943216242359,"0",0,9,0,"0",1,TRUE
"3","BT 000010 .C3  2D SER. NO.000034 001950","BT10 .C3 2d ser. no.34 1950",1175325,"ALDERMAN",1950,"Orestes Brownson's approach to the problem of God; a critical examination in the light of the principles of St. Thomas Aquinas.","Farrell, Bertin.","X002181826","STACKS","STACKS","BOOK","6/29/96","12/20/10",0,0,0,4,1,3073,4,0.000478468899521531,0.816447324076542,0.650374104366087,-0.319164369634478,-0.293454709733024,-0.0867725794578262,-0.420769846140245,0.265967562383585,0.156295968219638,0.154568051191622,6741,0.845431948808378,"0",0,4,0,"0",1,TRUE
"4","BT 000010 .C3  2D SER. NO.000036 001950","BT10 .C3 2d ser. no.36 1950",1175326,"ALDERMAN",1950,"The distinction between the episcopate and the presbyterate according to the Thomistic opinion.","Dolan, George Edward,","X002181824","STACKS","STACKS","BOOK","6/29/96","1/1/00",0,0,0,2,1,7079,2,0.000239234449760766,0.816447324076542,0.650374104366087,-0.44424192420459,-0.293454709733024,1.61093417683751,-0.503864861062014,0.166292485263334,0.343270890880376,0.0286927733408583,7834,0.971307226659142,"0",0,2,0,"0",1,TRUE
"5","BT 000010 .C3  2D SER. NO.000060 001951","BT10 .C3 2d ser. no.60 1951",801872,"ALDERMAN",1951,"La doctrina monástica de San Gregorio Magno y la ""Regula monachorum.""","Porcel, Olegario Maria,","X031896616","STACKS","STACKS","BOOK","10/12/17","10/23/17",0,0,0,0,1,574,0,0,0.790082268394086,-2.64232128666915,-0.569319478774701,-0.293454709733024,-1.14582629488021,-0.586959875983784,0.9294534835131,0.809382015373558,0.918993215869035,1492,0.0810067841309647,"1",0,0,0,"1",1,TRUE
"6","BT 000010 .C3  2D SER. NO.000008 001948","BT10 .C3 2d ser. no.8 1948",1175323,"ALDERMAN",1948,"Social ideas in the Wisdom literature of the Old Testament,","Gaspar, Joseph Wenzel,","X031896617","STACKS","STACKS","BOOK","6/29/96","10/12/17",0,0,0,0,1,585,0,0,0.869177435441455,0.650374104366087,-0.569319478774701,-0.293454709733024,-1.14116459385194,-0.586959875983784,0.381069677296331,0.45639756321907,0.279346312331383,5464,0.720653687668617,"0",0,0,0,"0",1,TRUE
"7","BT 000010 .C3  2D SER. NO.000080,000087,000111,000120,000121","BT10 .C3 2d ser. no.80,87,111,120,121",1175327,"ALDERMAN",1954,"Père Lagrange and Biblical inspiration.","Schroeder, Francis J.","X002670409","STACKS","STACKS","BOOK","7/1/96","4/24/12",0,1,0,4,1,2582,3,0.000478583393156257,0.710987101346717,0.649527108767107,-0.381703146919534,-0.128368167660232,-0.294853961719686,-0.420730078246049,0.308123951408554,0.370879981899634,0.190407673730659,6407,0.809592326269341,"0",0,3,1,"0",1,TRUE
"8","BT 000010 .C3   NO.000015 001920","BT10 .C3 no.15 1920",1173840,"ALDERMAN",1920,"The concept of mortal sin in early Christianity,","Motry, Hubert Louis,","X031896622","STACKS","STACKS","BOOK","6/29/96","1/1/00",0,0,0,0,1,7079,0,0,1.60739899455023,0.650374104366087,-0.569319478774701,-0.293454709733024,1.61093417683751,-0.586959875983784,0.102613114744045,0.445538251427934,0.0116811751948378,8023,0.988318824805162,"0",0,0,0,"0",1,TRUE
"9","BT 000010 .C3   NO.000055 001939","BT10 .C3 no.55 1939",1173841,"ALDERMAN",1939,"Frederick Barbarossa's conflict with the papacy;","Knapke, Paul Justin,","X004508803","STACKS","STACKS","BOOK","6/29/96","1/1/00",0,0,0,0,1,7079,0,0,1.10646293658356,0.650374104366087,-0.569319478774701,-0.293454709733024,1.61093417683751,-0.586959875983784,0.145863406798841,0.855423186440021,0.0191317161022092,7948,0.980868283897791,"0",0,0,0,"0",1,TRUE
"10","BT 000010 .C3   NO.000069 001942","BT10 .C3 no.69 1942",1173842,"ALDERMAN",1942,"The morality of periodic continence,","Griese, Nicholas Orville,","X031850332","STACKS","STACKS","BOOK","6/29/96","1/1/00",0,0,0,0,1,7079,0,0,1.02736776953619,0.650374104366087,-0.569319478774701,-0.293454709733024,1.61093417683751,-0.586959875983784,0.15393199792409,0.449125434271991,0.0206738416376668,7934,0.979326158362333,"0",0,0,0,"0",1,TRUE
"11","BT 000010 .C3   NO.000077 001944","BT10 .C3 no.77 1944",1173843,"ALDERMAN",1944,"Extra-sacramental justification ...","Tensing, Robert Henry,","X031850333","STACKS","STACKS","BOOK","6/29/96","1/1/00",0,0,0,0,1,7079,0,0,0.97463765817128,0.650374104366087,-0.569319478774701,-0.293454709733024,1.61093417683751,-0.586959875983784,0.159511444382687,0.0909580381121486,0.0217688611753811,7919,0.978231138824619,"0",0,0,0,"0",1,TRUE
"12","BT 000010 .C3   NO.000082 001944","BT10 .C3 no.82 1944",1173844,"ALDERMAN",1944,"The historiography of the American Catholic church: 1785-1943,","Cadden, John Paul,","X031850334","STACKS","STACKS","BOOK","6/29/96","1/1/00",0,0,0,0,1,7079,0,0,0.97463765817128,0.650374104366087,-0.569319478774701,-0.293454709733024,1.61093417683751,-0.586959875983784,0.159511444382687,0.243455670773983,0.0217688611753811,7919,0.978231138824619,"0",0,0,0,"0",1,TRUE
"13","BT 000010 .C3   NO.000085 001946","BT10 .C3 no.85 1946",1173845,"ALDERMAN",1946,"The doctrine of the Catholic church in the theology of John Driedo of Louvain;","Foley, Theodore Daniel.","X031850335","STACKS","STACKS","BOOK","6/29/96","1/1/00",0,0,0,0,1,7079,0,0,0.921907546806367,0.650374104366087,-0.569319478774701,-0.293454709733024,1.61093417683751,-0.586959875983784,0.165253624268461,0.331962556578219,0.0229205225491473,7903,0.977079477450853,"0",0,0,0,"0",1,TRUE
"14","BT 000010 .C3   NO.000086 001944","BT10 .C3 no.86 1944",1173846,"ALDERMAN",1944,"The morality of organic transportation,","Cunningham, Bert Joseph,","1173846-1001","STACKS","STACKS","BOOK","6/29/96","1/1/00",0,0,0,0,1,7079,0,0,0.97463765817128,0.650374104366087,-0.569319478774701,-0.293454709733024,1.61093417683751,-0.586959875983784,0.159511444382687,0.274091319413856,0.0217688611753811,7919,0.978231138824619,"0",0,0,0,"0",1,TRUE
"15","BT 000010 .C3   NO.000088 001945","BT10 .C3 no.88 1945",1173847,"ALDERMAN",1945,"Cardinalis Hosii doctrina de corpore Christi mystico in luce saeculi XVI.","Grabka, Gregory Maria,","X031850329","STACKS","STACKS","BOOK","6/29/96","1/1/00",0,0,0,0,1,7079,0,0,0.948272602488823,0.650374104366087,-0.569319478774701,-0.293454709733024,1.61093417683751,-0.586959875983784,0.162362070734686,0.960567547008395,0.0223374405009782,7911,0.977662559499022,"0",0,0,0,"0",1,TRUE
"16","BT 000010 .C3   NO.000088A 001945","BT10 .C3 no.88a 1945",1173848,"ALDERMAN",1945,"Québec et l'église aux États-Unis sous mgr. Briand et mgr.","Laurent, Laval,","X031850330","STACKS","STACKS","BOOK","6/29/96","1/1/00",0,0,0,0,1,7079,0,0,0.948272602488823,0.650374104366087,-0.569319478774701,-0.293454709733024,1.61093417683751,-0.586959875983784,0.162362070734686,0.366241499548778,0.0223374405009782,7911,0.977662559499022,"0",0,0,0,"0",1,TRUE
"17","BT 000010 .C3   NO.000089 001945","BT10 .C3 no.89 1945",1173849,"ALDERMAN",1945,"The universality of the kingdom of God in the Gospels and the Acts of the apostles ...","Galus, Walter John.","X031850331","STACKS","STACKS","BOOK","6/29/96","1/1/00",0,0,0,0,1,7079,0,0,0.948272602488823,0.650374104366087,-0.569319478774701,-0.293454709733024,1.61093417683751,-0.586959875983784,0.162362070734686,0.294495935784653,0.0223374405009782,7911,0.977662559499022,"0",0,0,0,"0",1,TRUE
"18","BT 000010 .C3   NO.000090-000096 001943-000046","BT10 .C3 no.90-96 1943-46",1173850,"ALDERMAN",1943,"The divinity of Christ in conservatve British Protestantism of the present time,","Wild, Joseph Charles.","X002599906","STACKS","STACKS","BOOK","6/29/96","12/5/12",0,0,2,1,1,2357,1,0.000119617224880383,1.00100271385374,0.650374104366087,-0.506780701489646,-0.293454709733024,-0.390206937297932,-0.545412368522899,0.283510856844904,0.0877576728817075,0.145797379202577,6798,0.854202620797423,"0",2,1,0,"0",1,TRUE
"19","BT 000010 .C3   NO.97  1946","BT10 .C3 no.97 1946",800660,"ALDERMAN",1946,"The relation of the sacramental characters of baptism and confirmation to the lay apostolate, by Rev. Theodore M. Hesburgh, C. S. C., S. T. L.","Hesburgh, Theodore M. (Theodore Martin),","X001141664","STACKS","STACKS","BOOK","6/29/96","11/4/97",0,0,0,1,1,7867,1,0.000119617224880383,0.921907546806367,0.650374104366087,-0.506780701489646,-0.293454709733024,1.94488148686266,-0.545412368522899,0.142990809391423,0.593787741847336,0.0175681419640283,7971,0.982431858035972,"0",0,1,0,"0",1,TRUE
"20","BT 000010 .C5  1966","BT10 .C5 1966",1175331,"ALDERMAN",1966,"Witness to a generation; significant writings from Christianity and crisis, 1941-1966,","","X002185290","STACKS","STACKS","BOOK","6/29/96","8/1/18",1,1,0,4,1,292,3,0.000478468899521531,0.394606433157241,0.650374104366087,-0.381703146919534,-0.128368167660232,-1.26533535760494,-0.420769846140245,0.457322273196493,0.561400334816426,0.459750199961912,4452,0.540249800038088,"0",0,3,1,"0",1,FALSE
"21","BT 000010 .L6  1968","BT10 .L6 1968",813309,"ALDERMAN",1968,"Die hermeneutische Frage in der Theologie.","Loretz, Oswald.","X001862691","STACKS","STACKS","BOOK","6/29/96","1/1/00",0,0,0,1,1,7079,1,0.000119617224880383,0.341876321792329,0.650374104366087,-0.506780701489646,-0.293454709733024,1.61093417683751,-0.545412368522899,0.232601578166334,0.335740822600201,0.0426980623728084,7685,0.957301937627192,"0",0,1,0,"0",1,FALSE
