"","Item.Shelving.Id","Item.Call.Number","Catalog.Id","Item.Library.Code","Catalog.Pub.Year","Catalog.Title","Catalog.Author","Item.Barcode","Item.Collection","Item.Status","Item.Type","Item.Created.Date","Item.Last.Checkout.Date","Item.Lifetime.Checkout","Item.Lifetime.Renewals","Item.Lifetime.Inhouse.Uses","Item.Legacy.Total.Charges","Number.of.Items","days_since_last_checkout","Item.Lifetime.Checkout.Corrected","checkouts_per_day","x0","x1","x2","x3","x4","x5","scoreA","scoreB","scoreC","modelC","dscoreC","model","NumInhouseUses","NumCheckouts","NumRenewals","MODEL","n","MultiVolume"
"1","BV 000010 .B8  1873","BV10 .B8 1873",762750,"ALDERMAN",1873,"Responsive worship; a discourse, with notes.","Budington, William Ives,","X002178611","STACKS","STACKS","BOOK","6/29/96","1/1/00",0,0,0,1,1,7079,1,0.000119617224880383,1.30119467777654,0.642544290390012,-0.447296438350746,-0.216050063081483,1.35176114963972,-0.459610326848366,0.34949573649845,0.677000614115968,0.0231396398683044,6301,0.976860360131696,"0",0,1,0,"0",1,FALSE
"2","BV 000010 .C65","BV10 .C65",4373410,"ALDERMAN",1946,"The public worship of God : a source book  /","Coffin, Henry Sloane,","X030040337","STACKS","STACKS","BOOK","6/14/06","1/1/00",0,0,0,0,1,7079,0,0,0.312577441520056,-0.920469334087826,-0.530422028141782,-0.216050063081483,1.35176114963972,-0.511307552079384,0.762498660780207,0.378055738983676,0.218523539888412,4915,0.781476460111588,"0",0,0,0,"0",1,FALSE
"3","BV 000010 .F5","BV10 .F5",1176048,"ALDERMAN",1931,"The recovery of worship; a study of the crucial problem of the Protestant churches,","Fiske, George Walter,","1176048-1001","STACKS","STACKS","BOOK","6/29/96","1/1/00",0,0,0,0,1,7079,0,0,0.515717969517964,0.642544290390012,-0.530422028141782,-0.216050063081483,1.35176114963972,-0.511307552079384,0.5047532428792,0.601859643589705,0.0456317682647277,6172,0.954368231735272,"0",0,0,0,"0",1,FALSE
"4","BV 000010 .G7  1911","BV10 .G7 1911",796764,"ALDERMAN",1911,"Non-church-going, its reasons and remedies; a symposium","Gray, William Forbes,","X001478370","STACKS","STACKS","BOOK","6/29/96","12/9/08",0,0,0,1,1,3814,1,0.000119617224880383,0.786572006848507,0.642544290390012,-0.447296438350746,-0.216050063081483,0.0215146359356319,-0.459610326848366,0.301565526824344,0.899291464360431,0.13034323488574,5475,0.86965676511426,"0",0,1,0,"0",1,FALSE
"5","BV 000010 .H3  1928","BV10 .H3 1928",1176049,"ALDERMAN",1928,"Christian public worship,","Harris, Thomas Leonard,","X000209474","STACKS","STACKS","BOOK","6/29/96","12/9/08",0,0,0,1,1,3814,1,0.000119617224880383,0.556346075117545,0.642544290390012,-0.447296438350746,-0.216050063081483,0.0215146359356319,-0.459610326848366,0.340449269920082,0.728063461137936,0.158730877251255,5311,0.841269122748745,"0",0,1,0,"0",1,FALSE
"6","BV 000010 .H37  1953","BV10 .H37 1953",1176050,"ALDERMAN",1953,"Christian worship, some meanings and means.","Hedley, George,","X001478373","STACKS","STACKS","BOOK","6/29/96","10/17/96",0,0,0,3,1,8250,3,0.000358851674641148,0.217778528454366,0.642544290390012,-0.281045258768672,-0.216050063081483,1.82885721933267,-0.35621587638633,0.59350205666771,0.649099896661937,0.048789266158348,6148,0.951210733841652,"0",0,3,0,"0",1,FALSE
"7","BV 000010 .H43  1944","BV10 .H43 1944",1176051,"ALDERMAN",1944,"The genius of public worship,","Heimsath, Charles Herman,","X001478284","STACKS","STACKS","BOOK","6/29/96","12/9/08",0,0,0,0,1,3814,0,0,0.339662845253111,0.642544290390012,-0.530422028141782,-0.216050063081483,0.0215146359356319,-0.511307552079384,0.386470192419832,0.84833372454159,0.17738820721108,5192,0.82261179278892,"0",0,0,0,"0",1,FALSE
"8","BV 000010 .M3","BV10 .M3",1176052,"ALDERMAN",1934,"Modern man's worship; a search for reality in religion,","Meland, Bernard Eugene,","X030040308","STACKS","STACKS","BOOK","6/14/06","1/1/00",0,0,0,0,1,7079,0,0,0.475089863918382,-0.920469334087826,-0.530422028141782,-0.216050063081483,1.35176114963972,-0.511307552079384,0.738924138575191,0.465423890622333,0.192040800796249,5087,0.807959199203751,"0",0,0,0,"0",1,FALSE
"9","BV 000010 .P23  1939","BV10 .P23 1939",1220891,"ALDERMAN",1939,"The art of conducting public worship","Palmer, Albert W. (Albert Wentworth),","X000833480","STACKS","STACKS","BOOK","6/30/96","12/9/08",0,0,0,0,1,3814,0,0,0.407376354585747,0.64211453685015,-0.530422028141782,-0.216050063081483,0.0215146359356319,-0.511307552079384,0.374157955989614,0.892179820919409,0.167782188851089,5248,0.832217811148911,"0",0,0,0,"0",1,FALSE
"10","BV 000010 .P3","BV10 .P3",1176053,"ALDERMAN",1900,"Public worship,","Pattison, Thomas Harwood,","X001478285","STACKS","STACKS","BOOK","6/29/96","9/16/16",0,0,0,0,1,976,0,0,0.935541727380306,0.642544290390012,-0.530422028141782,-0.216050063081483,-1.13476089419981,-0.511307552079384,0.188271744978077,0.141329117352143,0.274134245773369,4506,0.725865754226631,"0",0,0,0,"0",1,FALSE
