"","Item.Shelving.Id","Item.Call.Number","Catalog.Id","Item.Library.Code","Catalog.Pub.Year","Catalog.Title","Catalog.Author","Item.Barcode","Item.Collection","Item.Status","Item.Type","Item.Created.Date","Item.Last.Checkout.Date","Item.Lifetime.Checkout","Item.Lifetime.Renewals","Item.Lifetime.Inhouse.Uses","Item.Legacy.Total.Charges","Number.of.Items","days_since_last_checkout","Item.Lifetime.Checkout.Corrected","checkouts_per_day","x0","x1","x2","x3","x4","x5","scoreA","scoreB","scoreC","modelC","dscoreC","model","NumInhouseUses","NumCheckouts","NumRenewals","MODEL","n","MultiVolume"
"1","DF 000010 .J8  V.33  SUPPL.","DF10 .J8 v.33 suppl.",989000,"ALDERMAN",1914,"A catalogue of lantern slides in the library of the Societies for the promotion of Hellenic and Roman studies-- ... Supplementary catalogue of lantern slides in the joint collection of the Societies for the promotion of Hellenic and roman studies.","","989000-1001","STACKS","STACKS","BOOK","6/29/96","1/1/00",0,0,0,0,1,7079,0,0,1.17991338733873,0.652381213587949,-0.587482587842176,-0.282505320887184,2.2532678938389,-0.544912348436277,0.603285614528286,0.470139971701428,0.00925727571191088,3319,0.990742724288089,"0",0,0,0,"0",1,TRUE
"2","DF 000100 .B47  1982","DF100 .B47 1982",662840,"ALDERMAN",1982,"Les rôles du mágeiros : études sur la boucherie, la cuisine et le sacrifice dans la Grèce ancienne /","Berthiaume, Guy.","X000599527","STACKS","CHECKEDOUT","BOOK","6/29/96","6/20/18",3,3,0,12,1,334,9,0.00143540669856459,-0.152133687192666,0.652381213587949,0.172584441668054,0.112375668318522,-1.27000162927792,-0.00599577623964838,0.670636168907102,0.779393724165857,0.719571790394311,1138,0.280428209605689,"1",0,9,3,"1",1,FALSE
"3","DF 000100 .D68  2014","DF100 .D68 2014",7210871,"ALDERMAN",2014,"Food for thought : dietary habits in the Bronze Age city at Akrotiri, Thera (3200-1600 BC) /","D?oumas, Christos,","X031789325","STACKS","STACKS","BOOK","7/25/17","1/1/00",0,0,0,0,1,7079,0,0,-0.778979369325086,-2.59390361765991,-0.587482587842176,-0.282505320887184,2.2532678938389,-0.544912348436277,0.060069307915272,0.866012614220381,0.629980347486464,1326,0.370019652513536,"1",0,0,0,"1",1,FALSE
"4","DF 000100 .G3  1984","DF100 .G3 1984",779248,"ALDERMAN",1984,"Alimentazione e demografia della Grecia antica /","Gallo, Luigi.","X001255040","STACKS","STACKS","BOOK","6/29/96","4/28/08",0,0,0,3,1,4039,3,0.000358851674641148,-0.191311542325942,0.652381213587949,-0.334126911338766,-0.282505320887184,0.665315432715827,-0.41018320538712,0.599183292525138,0.764781529549509,0.188389026297336,2500,0.811610973702664,"0",0,3,0,"0",1,FALSE
"5","DF 000100 .H65  2013","DF100 .H65 2013",5997159,"ALDERMAN",2013,"The symposion in ancient Greek society and thought /","Hobden, Fiona.","X031613073","STACKS","STACKS","BOOK","5/3/13","11/13/18",4,7,0,11,1,188,4,0.00498188405797101,-0.759390441758448,-1.94262194153638,-0.249675019170963,0.638883653926132,-1.34626513563449,1.32551216768699,0.150014217871618,0.914781339233741,0.978088799098149,215,0.0219112009018511,"1",0,4,7,"1",1,FALSE
"6","DF 000100 .S259  2005","DF100 .S259 2005",6744945,"ALDERMAN",2005,"L'arte del convito nella Grecia antica : l'evoluzione del gusto da Achille ad Alessandro Magno : con ricette /","Salza Prina Ricotti, Eugenia.","X031672856","STACKS","STACKS","BOOK","6/15/16","2/8/17",1,0,0,1,1,831,1,0.000935453695042095,-0.602679021225343,-2.4230687220446,-0.503030695674373,-0.282505320887184,-1.01039229599563,-0.193700737619017,0.0986263201243719,0.790252577280626,0.971615290815374,275,0.0283847091846263,"1",0,1,0,"1",1,FALSE
"7","DF 000100 .S96  1994","DF100 .S96 1994",2260012,"ALDERMAN",1994,"Sympotica : a symposium on the symposion /","","X002559488","STACKS","CHECKEDOUT","BOOK","7/1/96","2/20/19",4,10,11,88,1,89,78,0.0105288346494377,-0.387200817992324,0.651537584473799,5.99976500124649,1.03376464313184,-1.39797806117764,3.40808820825208,0.861668854767433,0.929494623560458,0.999202639750385,10,0.000797360249615187,"1",11,78,10,"1",1,FALSE
"8","DF 000100 .V67  2004","DF100 .V67 2004",4217535,"ALDERMAN",2004,"Mensa regia : das Bankett beim hellenistischen König und beim römischen Kaiser /","Vössing, Konrad.","X004855306","STACKS","STACKS","BOOK","12/22/04","11/9/17",1,0,1,3,1,557,3,0.000570125427594071,-0.583090093658705,-0.654400284229861,-0.334126911338766,-0.282505320887184,-1.15351695861001,-0.330861486427354,0.350741723849926,0.821253552567214,0.886641003390091,710,0.113358996609909,"1",1,3,0,"1",1,FALSE
"9","DF 000101 .G754  2013","DF101 .G754 2013",6415789,"ALDERMAN",2013,"Griechische Grabbezirke klassischer Zeit : Normen und Regionalismen : Akten des internationalen Kolloquiums am Deutschen Archäologischen Institut, Abteilung Athen, 20.-21. November 2009 /","","X031656776","STACKS","STACKS","BOOK","10/7/14","10/27/14",1,0,1,1,1,1666,1,0.000593119810201661,-0.759390441758448,-2.16280914032944,-0.503030695674373,-0.282505320887184,-0.574227721970045,-0.322228355575274,0.113292534395413,0.986659637652338,0.952274914530389,445,0.0477250854696106,"1",1,1,0,"1",1,FALSE
"10","DF 000101 .K87  1971","DF101 .K87 1971",546427,"ALDERMAN",1971,"Greek burial customs","Kurtz, Donna C.","X000115922","STACKS","CHECKEDOUT","BOOK","6/29/96","5/10/18",6,11,2,58,1,375,47,0.0069377990430622,0.0633445160403533,0.652381213587949,3.38175634404458,1.16539163953374,-1.24858516516409,2.05985108384743,0.798398698517669,0.0133204804733396,0.980441936703098,187,0.0195580632969025,"1",4,111,13,"1",3,FALSE
