"","Item.Shelving.Id","Item.Call.Number","Catalog.Id","Item.Library.Code","Catalog.Pub.Year","Catalog.Title","Catalog.Author","Item.Barcode","Item.Collection","Item.Status","Item.Type","Item.Created.Date","Item.Last.Checkout.Date","Item.Lifetime.Checkout","Item.Lifetime.Renewals","Item.Lifetime.Inhouse.Uses","Item.Legacy.Total.Charges","Number.of.Items","days_since_last_checkout","Item.Lifetime.Checkout.Corrected","checkouts_per_day","x0","x1","x2","x3","x4","x5","scoreA","scoreB","scoreC","modelC","dscoreC","model","NumInhouseUses","NumCheckouts","NumRenewals","MODEL","n","MultiVolume"
"1","DH 000101 .H88  2007","DH101 .H88 2007",4607001,"ALDERMAN",2007,"Historical dictionary of the Netherlands /","Koopmans, Joop W.","X030260751","STACKS","STACKS","BOOK","7/10/07","12/8/07",0,0,0,3,1,4181,3,0.000692520775623269,-1.13458618225346,-0.801816811625618,0.145089446777316,-0.0480477748919207,-0.359123236300559,0.166119671653389,0.741726325001739,0.995442550163716,0.919872479323434,76,0.0801275206765656,"1",0,3,0,"1",1,FALSE
"2","DH 000101 .H88  2016","DH101 .H88 2016",6786190,"ALDERMAN",2016,"Historical dictionary of the Netherlands /","Koopmans, Joop W.,","X031758274","STACKS","STACKS","BOOK","7/11/16","1/1/00",0,0,0,0,1,7079,0,0,-1.33977204953066,-1.93341195987461,-0.305989923011134,-0.0480477748919207,0.876275216919744,-0.175298127610006,0.91114684971555,0.192775166360661,0.890017402725128,94,0.109982597274872,"0",0,0,0,"0",1,FALSE
"3","DH 000101 .S5","DH101 .S5",599965,"ALDERMAN",1973,"The Netherlands, 57 B.C.-1971 a chronology and factbook,","Smit, Pamela.","X000061485","STACKS","STACKS","BOOK","6/29/96","1/7/08",0,0,0,2,2,4151,2,0.000239234449760766,-0.359439572539559,0.584034589148763,-0.00527034315216743,-0.0480477748919207,-0.371912040164123,-0.0573537969553791,0.445939396023795,0.752099082106724,0.53545207965334,300,0.46454792034666,"0",0,2,0,"0",1,FALSE
"4","DH 000101 .V64","DH101 .V64",127102,"ALDERMAN",1981,"Nijhoffs geschiedenislexicon Nederland en België /","Volmuller, H. W. J.","X000322626","STACKS","STACKS","BOOK","6/28/96","1/1/00",0,0,2,0,4,7079,0,0,-0.541827010119299,0.584378643617674,-0.305989923011134,-0.0480477748919207,0.876275216919744,-0.175298127610006,0.565872120824014,0.540977966273203,0.227089898936872,505,0.772910101063128,"0",2,0,0,"0",1,FALSE
"5","DH 000107 .A58  V.000001","DH107 .A58 V.1",279449,"ALDERMAN",1970,"Algemene geschiedenis der Nederlanden /","","X000216089","STACKS","STACKS","BOOK","6/28/96","1/1/00",0,0,0,0,1,7079,0,0,-0.291044283447156,0.584378643617674,-0.305989923011134,-0.0480477748919207,0.876275216919744,-0.175298127610006,0.528352572704583,0.83716994500719,0.186093009088493,548,0.813906990911508,"0",1,7,0,"0",15,TRUE
"6","DH 000107 .A58  V.000010","DH107 .A58 V.10",279449,"ALDERMAN",1970,"Algemene geschiedenis der Nederlanden /","","X000216090","STACKS","STACKS","BOOK","6/28/96","5/9/01",0,0,0,1,1,6585,1,0.000119602918311207,-0.291044283447156,0.584378643617674,-0.155630133081651,-0.0480477748919207,0.665686246633053,-0.116333015525765,0.501314933067447,0.617361056851223,0.247004863936144,476,0.752995136063856,"0",1,7,0,"0",15,TRUE
"7","DH 000107 .A58  V.000011","DH107 .A58 V.11",279449,"ALDERMAN",1970,"Algemene geschiedenis der Nederlanden /","","X000670562","STACKS","STACKS","BOOK","6/28/96","12/20/06",0,0,0,2,1,4534,2,0.000239205836622414,-0.291044283447156,0.584378643617674,-0.00527034315216743,-0.0480477748919207,-0.20864164417262,-0.0573679034415236,0.443269571099602,0.291556063108146,0.47752439175225,329,0.52247560824775,"0",1,7,0,"0",15,TRUE
"8","DH 000107 .A58  V.000012","DH107 .A58 V.12",279449,"ALDERMAN",1970,"Algemene geschiedenis der Nederlanden /","","X000170499","STACKS","STACKS","BOOK","6/28/96","1/1/00",0,0,0,0,2,7079,0,0,-0.291044283447156,0.584378643617674,-0.305989923011134,-0.0480477748919207,0.876275216919744,-0.175298127610006,0.528352572704583,0.514826004626229,0.186093009088493,548,0.813906990911508,"0",1,7,0,"0",15,TRUE
"9","DH 000107 .A58  V.000013","DH107 .A58 V.13",279449,"ALDERMAN",1970,"Algemene geschiedenis der Nederlanden /","","X000176393","STACKS","STACKS","BOOK","6/28/96","1/1/00",0,0,0,0,1,7079,0,0,-0.291044283447156,0.584378643617674,-0.305989923011134,-0.0480477748919207,0.876275216919744,-0.175298127610006,0.528352572704583,0.387982174754143,0.186093009088493,548,0.813906990911508,"0",1,7,0,"0",15,TRUE
"10","DH 000107 .A58  V.000014","DH107 .A58 V.14",279449,"ALDERMAN",1970,"Algemene geschiedenis der Nederlanden /","","X000176614","STACKS","STACKS","BOOK","6/28/96","1/1/00",0,0,0,0,1,7079,0,0,-0.291044283447156,0.584378643617674,-0.305989923011134,-0.0480477748919207,0.876275216919744,-0.175298127610006,0.528352572704583,0.65454986365512,0.186093009088493,548,0.813906990911508,"0",1,7,0,"0",15,TRUE
