"","Item.Shelving.Id","Item.Call.Number","Catalog.Id","Item.Library.Code","Catalog.Pub.Year","Catalog.Title","Catalog.Author","Item.Barcode","Item.Collection","Item.Status","Item.Type","Item.Created.Date","Item.Last.Checkout.Date","Item.Lifetime.Checkout","Item.Lifetime.Renewals","Item.Lifetime.Inhouse.Uses","Item.Legacy.Total.Charges","Number.of.Items","days_since_last_checkout","Item.Lifetime.Checkout.Corrected","checkouts_per_day","x0","x1","x2","x3","x4","x5","scoreA","scoreB","scoreC","modelC","dscoreC","model","NumInhouseUses","NumCheckouts","NumRenewals","MODEL","n","MultiVolume"
"1","DJK000001 .U2  1980","DJK1 .U2 1980",1787281,"ALDERMAN",1980,"Diverze z éteru : pravda o ?tvavých vysíla?kách svoboda a svobodná Evropa /","U kulatého stolu","X001842733","STACKS","STACKS","BOOK","6/30/96","1/1/00",0,0,0,0,1,7079,0,0,0.913264654322832,0.498155176309726,-0.444772930666689,-0.216328838448163,0.885814878316517,-0.476633356289379,0.329120100848588,0.29345642006956,0.0605396188766506,568,0.939460381123349,"0",0,0,0,"0",1,FALSE
"2","DJK000001.5 .C46  2007","DJK1.5 .C46 2007",4673348,"ALDERMAN",2007,"Central European history and the European Union : the meaning of Europe /","","X030276489","STACKS","STACKS","BOOK","12/13/07","2/16/09",0,0,0,0,1,3745,0,0,-1.37862030294361,-1.87936256918538,-0.444772930666689,-0.216328838448163,-0.447642109233388,-0.476633356289379,0.594174930953465,0.518353570485488,0.963061113861921,93,0.0369388861380791,"1",0,0,0,"1",1,FALSE
"3","DJK000001.5 .R36","DJK1.5 .R36",1265614,"ALDERMAN",1979,"Rapports, co-rapports, communications tchécoslovaques pour le IVe congrès de l'Association internationale d'études du Sud-est européen /","","X001337913","STACKS","STACKS","BOOK","6/30/96","1/1/00",0,0,0,0,1,7079,0,0,0.998149282369737,0.498155176309726,-0.444772930666689,-0.216328838448163,0.885814878316517,-0.476633356289379,0.318930131836078,0.566976800793782,0.055888150244476,573,0.944111849755524,"0",0,0,0,"0",1,FALSE
"4","DJK000001.5 .S624  1992","DJK1.5 .S624 1992",1998659,"ALDERMAN",1992,"Slavi?ane i ikh sosedi : osmanskai?a imperii?a i narody t?sentral?no?, vostochno? i i?ugo-vostochno? Evropy i Kavkaza v XIV-XVIII vv. : tezisy XI konferent?sii /","","X031914550","STACKS","STACKS","BOOK","6/30/96","1/1/00",0,0,0,1,1,7079,1,0.000119631534872592,-0.105350882240033,0.498155176309726,-0.379652819868846,-0.216328838448163,0.885814878316517,-0.42316488115942,0.45336608910021,0.752006065333262,0.159994097824563,489,0.840005902175437,"0",0,1,0,"0",1,FALSE
"5","DJK000010.5 .G43  2003","DJK10.5 .G43 2003",4014004,"ALDERMAN",2003,"Gedächtnisorte in Osteuropa : Vergangenheiten auf dem Prüfstand /","","X004789242","STACKS","STACKS","BOOK","3/11/04","11/15/12",0,0,0,0,1,2377,0,0,-1.03908179075599,-1.09955038969237,-0.444772930666689,-0.216328838448163,-0.994783428659984,-0.476633356289379,0.734147270985224,0.801407372113317,0.936353138706438,113,0.0636468612935619,"1",0,0,0,"1",1,FALSE
"6","DJK000011 .E876  1999","DJK11 .E876 1999",3697644,"ALDERMAN",1999,"Europa nie prowincjonalna : przemiany na ziemiach wschodnich dawnej Rzeczypospolitej (Bia?oru?, Litwa, ?otwa, Ukraina, wschodnie pogranicze III Rzeczypospolitej Polskiej) w latach 1772-1999 / praca zbiorowa pod redakcj? Krzysztofa Jasiewicza = Non-provincial Europe : changes on the Eastern Territories of the former Polish Re","","X004530110","STACKS","STACKS","BOOK","3/8/01","1/1/00",0,0,0,0,1,7079,0,0,-0.69954327856837,-0.474904919384184,-0.444772930666689,-0.216328838448163,0.885814878316517,-0.476633356289379,0.420649642768708,0.404780738055706,0.461044208915485,331,0.538955791084515,"0",0,0,0,"0",1,FALSE
"7","DJK000011 .G74  2000","DJK11 .G74 2000",3578974,"ALDERMAN",2000,"Grenzen in Ostmitteleuropa im 19. und 20. Jahrhundert : aktuelle Forschungsprobleme /","","X004532403","STACKS","STACKS","BOOK","11/6/00","1/1/00",0,0,0,0,1,7079,0,0,-0.784427906615276,-0.40556302004151,-0.444772930666689,-0.216328838448163,0.885814878316517,-0.476633356289379,0.440649525501905,0.793264236999676,0.464908566160533,330,0.535091433839467,"0",0,0,0,"0",1,FALSE
"8","DJK000012 .T87  1989","DJK12 .T87 1989",1327641,"ALDERMAN",1989,"Eastern Europe : an historical geography, 1815-1945 /","Turnock, David.","X001508897","STACKS","STACKS","BOOK","6/30/96","11/21/05",0,0,0,4,1,4928,4,0.00047852613949037,0.149303001900683,0.498155176309726,-0.184292487475318,-0.216328838448163,0.025507145797067,-0.262759455769544,0.560732049248996,0.650490196654573,0.297912585634963,401,0.702087414365037,"0",0,4,0,"0",1,FALSE
"9","DJK000013 .L36  1983","DJK13 .L36 1983",11590,"ALDERMAN",1983,"Landesbeschreibungen Mitteleuropas vom 15. bis 17. Jahrhundert : Vorträge der 2. internationalen Tagung des ""Slawenkomitees"" im Herder-Institut Marburg a.d. Lahn, 10.-13. November 1980 /","","X000976564","STACKS","STACKS","BOOK","6/28/96","1/1/00",0,0,0,0,1,7079,0,0,0.658610770182116,0.499291928757966,-0.444772930666689,-0.216328838448163,0.885814878316517,-0.476633356289379,0.36077168052781,0.263902249746025,0.076668987323935,557,0.923331012676065,"0",0,0,0,"0",1,FALSE
"10","DJK000013 .W65  1994","DJK13 .W65 1994",2354148,"ALDERMAN",1994,"Inventing Eastern Europe : the map of civilization on the mind of the Enlightenment /","Wolff, Larry.","X002533539","STACKS","CHECKEDOUT","BOOK","7/1/96","2/24/19",2,2,6,54,1,85,52,0.00646087580760948,-0.275120138333844,0.497586800085606,2.94147283082114,0.436528371818857,-1.91148511296244,2.41100975390583,0.59665593849582,0.0969837047159672,0.990344176032657,42,0.0096558239673431,"1",6,52,2,"1",1,FALSE
"11","DJK000016 .C45  1990B","DJK16 .C45 1990b",1663353,"ALDERMAN",1990,"In the communist mirror : journeys in Eastern Europe /","Chamberlain, Lesley.","X001740600","STACKS","STACKS","BOOK","6/30/96","1/1/00",0,0,4,10,1,7079,10,0.00119631534872592,0.064418373853778,0.498155176309726,0.206428177311739,-0.216328838448163,0.885814878316517,0.0580513950102084,0.359143047476269,0.875804622890428,0.224094959965019,445,0.775905040034981,"0",4,10,0,"0",1,FALSE
"12","DJK000018 .B35  1983","DJK18 .B35 1983",659887,"ALDERMAN",1983,"Along the edge of the forest : an Iron Curtain journey /","Bailey, Anthony.","X000543435","STACKS","STACKS","BOOK","6/29/96","7/27/10",0,0,0,2,1,3219,2,0.000239234449760766,0.658610770182116,0.498723552533846,-0.314532709071004,-0.216328838448163,-0.658019546381334,-0.369709197530689,0.637464838029023,0.509983267635107,0.30707122644446,396,0.69292877355554,"0",0,2,0,"0",1,FALSE
"13","DJK000018 .D5  1981","DJK18 .D5 1981",124502,"ALDERMAN",1981,"Viajes por la Europa roja /","Díaz-Plaja, Fernando.","X000616755","STACKS","STACKS","BOOK","6/28/96","5/9/00",0,0,0,9,1,6950,9,0.00107642626480086,0.828380026275926,0.499291928757966,0.141308066513896,-0.216328838448163,0.834220411791641,0.00446781013831218,0.284181245637141,0.2779937076848,0.117058586492567,525,0.882941413507433,"0",0,9,0,"0",1,FALSE
"14","DJK000018 .G37","DJK18 .G37",253475,"ALDERMAN",1978,"De viaje por los países socialistas : 90 días en la ""Cortina de hierro"" /","García Márquez, Gabriel,","X000490270","STACKS","STACKS","BOOK","6/28/96","2/7/05",0,0,0,1,2,5215,1,0.000119602918311207,1.08303391041664,0.499291928757966,-0.379652819868846,-0.216328838448163,0.140294834887296,-0.423177671130747,0.436132224293958,0.645987735129893,0.108876045925758,532,0.891123954074242,"0",0,1,0,"0",1,FALSE
"15","DJK000018 .H34  1988","DJK18 .H34 1988",1304972,"ALDERMAN",1988,"Stealing from a deep place : travels in southeastern Europe /","Hall, Brian,","X001452858","STACKS","STACKS","BOOK","6/30/96","6/21/05",0,0,1,6,1,5081,6,0.000717789209235554,0.234187629947589,0.498155176309726,-0.0540522658796324,-0.216328838448163,0.0867005828381995,-0.155822505509627,0.520859224793163,0.402205114951357,0.294610569119998,402,0.705389430880002,"0",1,6,0,"0",1,FALSE
"16","DJK000019 .A66  1994","DJK19 .A66 1994",2340367,"ALDERMAN",1994,"Between East and West : across the borderlands of Europe /","Applebaum, Anne,","X002539412","STACKS","STACKS","BOOK","7/1/96","11/13/05",0,0,1,8,1,4936,8,0.000957166786312515,-0.275120138333844,0.497586800085606,0.0761879557160533,-0.216328838448163,0.0287068026358191,-0.0488343770011999,0.584460354883943,0.410022734897211,0.456364908000968,333,0.543635091999032,"0",1,8,0,"0",1,FALSE
"17","DJK000019 .C85  1991","DJK19 .C85 1991",1897919,"ALDERMAN",1991,"Twilight of empire : inside the crumbling Soviet bloc /","Cullen, Robert,","X002050249","STACKS","STACKS","BOOK","6/30/96","6/17/05",0,0,0,2,1,5085,2,0.000239263069745185,-0.0204662541931274,0.498155176309726,-0.314532709071004,-0.216328838448163,0.0883004112575755,-0.369696406029462,0.587752955464173,0.604440316092223,0.293069610567193,404,0.706930389432807,"0",0,2,0,"0",1,FALSE
"18","DJK000019 .E47  1997","DJK19 .E47 1997",2754843,"ALDERMAN",1997,"Travels in a Europe restored, 1989-1995 /","Elstob, Eric.","X004053721","STACKS","STACKS","BOOK","1/7/98","1/1/00",0,0,0,0,1,7079,0,0,-0.52977402247456,0.182137995698853,-0.444772930666689,-0.216328838448163,0.885814878316517,-0.476633356289379,0.479762316565284,0.934542291332036,0.272306478347079,416,0.727693521652921,"0",0,0,0,"0",1,FALSE
"19","DJK000019 .H64  1993B","DJK19 .H64 1993b",2261103,"ALDERMAN",1993,"Exit into history : a journey through the new Eastern Europe /","Hoffman, Eva.","X002396515","STACKS","STACKS","BOOK","7/1/96","11/27/12",1,0,0,18,1,2365,18,0.00215362526920316,-0.190235510286938,0.497586800085606,0.727389063694481,-0.216328838448163,-0.999582913918112,0.485914347109024,0.682170158441019,0.821240109857172,0.805278945337247,194,0.194721054662753,"0",0,18,0,"0",1,FALSE
"20","DJK000019 .K67  1993","DJK19 .K67 1993",2235755,"ALDERMAN",1993,"Bloodlines : a journey into Eastern Europe /","Kostash, Myrna.","X031914549","STACKS","STACKS","BOOK","7/1/96","10/28/96",0,0,1,4,1,8239,4,0.000478583393156257,-0.190235510286938,0.497586800085606,-0.184292487475318,-0.216328838448163,1.34976511993556,-0.262733866645289,0.353874560867488,0.117538833525032,0.136884749978435,507,0.863115250021565,"0",1,4,0,"0",1,FALSE
"21","DJK000019 .M33  1992B","DJK19 .M33 1992b",1961282,"ALDERMAN",1992,"Stalin's nose : across the face of Europe /","MacLean, Rory,","X031914548","STACKS","STACKS","BOOK","6/30/96","3/3/12",1,0,0,8,1,2634,8,0.000957052278980739,-0.105350882240033,0.498155176309726,0.0761879557160533,-0.216328838448163,-0.891994452715076,-0.048885555249709,0.724292198846957,0.977186281466857,0.6400032185568,261,0.3599967814432,"0",0,8,0,"0",1,FALSE
"22","DJK000019 .S56  1997","DJK19 .S56 1997",2706066,"ALDERMAN",1997,"The gypsy in me : from Germany to Romania in search of youth, truth, and Dad /","Simon, Ted,","X004106061","STACKS","STACKS","BOOK","7/30/97","7/19/01",0,0,0,4,2,6514,4,0.000502260170768458,-0.52977402247456,0.273646567782217,-0.184292487475318,-0.216328838448163,0.659839114079656,-0.252151697016991,0.502125293657778,0.590995602542534,0.357092926611567,377,0.642907073388433,"0",0,4,0,"0",1,FALSE
"23","DJK000019 .S93  1998","DJK19 .S93 1998",2805598,"ALDERMAN",1998,"Room service : reports from Eastern Europe /","Swartz, Richard,","X004141571","STACKS","STACKS","BOOK","6/17/98","8/24/98",0,0,0,2,1,7574,2,0.000261711593823606,-0.614658650521465,0.0906294236154892,-0.314532709071004,-0.216328838448163,1.0837936452143,-0.359663195700181,0.425202790965644,0.944756356067955,0.294360946543361,403,0.705639053456639,"0",0,2,0,"0",1,FALSE
"24","DJK000019 .V69  1990","DJK19 .V69 1990",1766993,"ALDERMAN",1990,"Le Voyage à l'Est : récits /","","X002115645","STACKS","STACKS","BOOK","6/30/96","1/1/00",0,0,1,1,1,7079,1,0.000119631534872592,0.064418373853778,0.498155176309726,-0.379652819868846,-0.216328838448163,0.885814878316517,-0.42316488115942,0.430421844111793,0.0212871988769621,0.138471781616257,506,0.861528218383743,"0",1,1,0,"0",1,FALSE
"25","DJK000023 .B34  1989","DJK23 .B34 1989",1651858,"ALDERMAN",1989,"Die Archäologie der Steppe : Steppenvölker zwischen Volga und Donau vom 6. bis zum 10. Jahrhundert /","Bálint, Csanád.","X001958261","STACKS","STACKS","BOOK","6/30/96","10/20/00",0,0,1,2,1,6786,2,0.000239263069745185,0.149303001900683,0.498155176309726,-0.314532709071004,-0.216328838448163,0.768627446597224,-0.369696406029462,0.433263510379843,0.298220590921119,0.150508505152338,496,0.849491494847662,"0",1,2,0,"0",1,FALSE
"26","DJK000023 .B37","DJK23 .B37",119908,"ALDERMAN",1981,"Cherni?akhivs?ka kul?tura : za materialamy Verkhn?oho Dnistra i Zakhidnoho Buhu /","Baran, V. D. (Volodymyr Danylovych)","X000481398","STACKS","STACKS","BOOK","6/28/96","5/2/11",0,0,0,0,1,2940,0,0,0.828380026275926,0.499291928757966,-0.444772930666689,-0.216328838448163,-0.769607578632811,-0.476633356289379,0.65135703944105,0.322654996300116,0.268383938792928,418,0.731616061207072,"0",0,0,0,"0",1,FALSE
"27","DJK000023 .B62","DJK23 .B62",195638,"ALDERMAN",1978,"Goncharstvo Vostochno? Evropy : Istochniki i metody izuchenii?a /","Bobrinski?, Aleksandr Afanas?evich.","X031914546","STACKS","STACKS","BOOK","6/28/96","1/1/00",0,0,0,0,1,7079,0,0,1.08303391041664,0.499291928757966,-0.444772930666689,-0.216328838448163,0.885814878316517,-0.476633356289379,0.30903308408247,0.215986161492765,0.0515188747947602,577,0.94848112520524,"0",0,0,0,"0",1,FALSE
"28","DJK000023 .C66  1985  T.000002","DJK23 .C66 1985 t.2",1650747,"ALDERMAN",1900,"Trudy V mezhdunarodnogo kongressa arkheologov-slavistov : Kiev, 18-25 senti?abri?a, 1985 g. : v chetyrekh tomakh /","Congrès international d'archéologie slave","X001508305","STACKS","STACKS","BOOK","6/30/96","2/24/09",0,0,5,0,1,3737,0,0,7.70403489807526,0.498155176309726,-0.444772930666689,-0.216328838448163,-0.45084176607214,-0.476633356289379,0.0325293875799796,0.225721387658268,0.000275644953170026,594,0.99972435504683,"0",6,0,0,"0",2,TRUE
