"","Item.Shelving.Id","Item.Call.Number","Catalog.Id","Item.Library.Code","Catalog.Pub.Year","Catalog.Title","Catalog.Author","Item.Barcode","Item.Collection","Item.Status","Item.Type","Item.Created.Date","Item.Last.Checkout.Date","Item.Lifetime.Checkout","Item.Lifetime.Renewals","Item.Lifetime.Inhouse.Uses","Item.Legacy.Total.Charges","Number.of.Items","days_since_last_checkout","Item.Lifetime.Checkout.Corrected","checkouts_per_day","x0","x1","x2","x3","x4","x5","scoreA","scoreB","scoreC","modelC","dscoreC","model","NumInhouseUses","NumCheckouts","NumRenewals","MODEL","n","MultiVolume"
"1","DJ 000104 .V65","DJ104 .V65",28440,"ALDERMAN",1982,"Vrouwen in het landsbestuur : van Adela van Hamaland tot en met Koningin Juliana : vijftien biografische opstellen /","","X000913906","STACKS","STACKS","BOOK","6/28/96","1/1/00",0,0,0,1,1,7079,1,0.000119602918311207,-0.657746860435313,0.525972837156751,-0.0969249540961042,-0.1430346260709,1.07085964154316,-0.151928410145458,0.816414911579837,0.572639609221369,0.261920489834248,427,0.738079510165752,"0",0,1,0,"0",1,FALSE
"2","DJ 000104 .W54  R66  1978","DJ104 .W54 R66 1978",195186,"ALDERMAN",1978,"Willem van Oranje /","Roosbroeck, Robert van,","X000542224","STACKS","STACKS","BOOK","6/28/96","2/9/11",0,0,0,0,1,3022,0,0,-0.550117192207015,0.525972837156751,-0.218862799571848,-0.1430346260709,-0.697486513772557,-0.251863401046866,0.518689705601494,0.32139242021367,0.623109616905058,246,0.376890383094942,"0",0,0,0,"0",1,TRUE
"3","DJ 000105 .J87","DJ105 .J87",471011,"ALDERMAN",1974,"De Nederlandse ministers van buitenlandse zaken, 1813-1900.","Jurriaanse, Maria Wilhelmina,","X000282080","STACKS","STACKS","BOOK","6/29/96","1/1/00",0,0,0,2,2,7079,2,0.000239234449760766,-0.442487523978716,0.525585233921398,0.0250128913796398,-0.1430346260709,1.07085964154316,-0.0519695113514909,0.782370689288654,0.923743663122877,0.24435594965403,441,0.75564405034597,"0",0,2,0,"0",1,FALSE
"4","DJ 000105 .P83  1984","DJ105 .P83 1984",86222,"ALDERMAN",1984,"Nederlandse minister-presidenten van de twintigste eeuw /","Puchinger, G.","X000864616","STACKS","STACKS","BOOK","6/28/96","1/1/00",0,0,0,0,1,7079,0,0,-0.711561694549463,0.525972837156751,-0.218862799571848,-0.1430346260709,1.07085964154316,-0.251863401046866,0.82430768979295,0.242893802002072,0.248966186800555,438,0.751033813199445,"0",0,0,0,"0",1,FALSE
"5","DJ 000105.7 .K5  1965","DJ105.7 .K5 1965",492820,"ALDERMAN",1965,"De Trippen in de 17e eeuw : een studie over het ondernemersgedrag op de Hollandse stapelmarkt /","Klein, P. W.","X000011080","STACKS","STACKS","BOOK","6/29/96","1/1/00",0,0,0,2,1,7079,2,0.000239234449760766,-0.200320770465044,0.525585233921398,0.0250128913796398,-0.1430346260709,1.07085964154316,-0.0519695113514909,0.739018628029736,0.876866878708825,0.202440372479601,484,0.7975596275204,"0",0,2,0,"0",1,FALSE
"6","DJ 000106.5 .N48  1969","DJ106.5 .N48 1969",2470250,"ALDERMAN",1969,"Bibliografisch vademecum voor de leraar Nederlands /","Neuts, E. F.","X002709045","STACKS","STACKS","BOOK","7/1/96","1/1/00",0,0,0,1,1,7079,1,0.000119645848289064,-0.307950438693343,0.524810027450693,-0.0969249540961042,-0.1430346260709,1.07085964154316,-0.151892539725178,0.75903619427262,0.875170984072611,0.200264158988484,489,0.799735841011516,"0",0,1,0,"0",1,FALSE
"7","DJ 000109 .A6  1841  D.000001","DJ109 .A6 1841 d.1",950017,"ALDERMAN",1840,"Algemeene geschiedenis des vaderlands, van de vroegste tijden tot op heden.","Arend, J. P. (Johannes Pieter),","X032050309","STACKS","STACKS","BOOK","11/3/17","1/1/00",0,0,0,0,1,7079,0,0,3.16310636166929,-2.49655719212401,-0.218862799571848,-0.1430346260709,1.07085964154316,-0.251863401046866,0.0720793174877859,0.90750399325043,0.123871111586946,544,0.876128888413054,"0",0,0,0,"0",8,TRUE
"8","DJ 000109 .A6  1841  D.000002 STUK000001","DJ109 .A6 1841 d.2 stuk1",950017,"ALDERMAN",1840,"Algemeene geschiedenis des vaderlands, van de vroegste tijden tot op heden.","Arend, J. P. (Johannes Pieter),","X032050310","STACKS","STACKS","BOOK","11/3/17","1/1/00",0,0,0,0,1,7079,0,0,3.16310636166929,-2.49655719212401,-0.218862799571848,-0.1430346260709,1.07085964154316,-0.251863401046866,0.0720793174877859,0.462909200461581,0.123871111586946,544,0.876128888413054,"0",0,0,0,"0",8,TRUE
"9","DJ 000109 .A6  1841  D.000002 STUK000002","DJ109 .A6 1841 d.2 stuk2",950017,"ALDERMAN",1840,"Algemeene geschiedenis des vaderlands, van de vroegste tijden tot op heden.","Arend, J. P. (Johannes Pieter),","X004332874","STACKS","STACKS","BOOK","6/29/96","12/12/17",0,0,0,0,1,524,0,0,3.16310636166929,0.525585233921398,-0.218862799571848,-0.1430346260709,-1.78630305209611,-0.251863401046866,0.012218713377221,0.200747739989311,0.107048396977085,551,0.892951603022915,"0",0,0,0,"0",8,TRUE
"10","DJ 000109 .A6  1841  D.000002 STUK000003","DJ109 .A6 1841 d.2 stuk3",950017,"ALDERMAN",1840,"Algemeene geschiedenis des vaderlands, van de vroegste tijden tot op heden.","Arend, J. P. (Johannes Pieter),","X032050311","STACKS","STACKS","BOOK","11/3/17","1/1/00",0,0,0,0,1,7079,0,0,3.16310636166929,-2.49655719212401,-0.218862799571848,-0.1430346260709,1.07085964154316,-0.251863401046866,0.0720793174877859,0.243131309514865,0.123871111586946,544,0.876128888413054,"0",0,0,0,"0",8,TRUE
"11","DJ 000109 .A6  1841  D.000002 STUK000004","DJ109 .A6 1841 d.2 stuk4",950017,"ALDERMAN",1840,"Algemeene geschiedenis des vaderlands, van de vroegste tijden tot op heden.","Arend, J. P. (Johannes Pieter),","X032050312","STACKS","STACKS","BOOK","11/3/17","1/1/00",0,0,0,0,1,7079,0,0,3.16310636166929,-2.49655719212401,-0.218862799571848,-0.1430346260709,1.07085964154316,-0.251863401046866,0.0720793174877859,0.777129209600389,0.123871111586946,544,0.876128888413054,"0",0,0,0,"0",8,TRUE
"12","DJ 000109 .A6  1841  D.000002 STUK000005","DJ109 .A6 1841 d.2 stuk5",950017,"ALDERMAN",1840,"Algemeene geschiedenis des vaderlands, van de vroegste tijden tot op heden.","Arend, J. P. (Johannes Pieter),","X032050313","STACKS","STACKS","BOOK","11/3/17","1/1/00",0,0,0,0,1,7079,0,0,3.16310636166929,-2.49655719212401,-0.218862799571848,-0.1430346260709,1.07085964154316,-0.251863401046866,0.0720793174877859,0.743148376233876,0.123871111586946,544,0.876128888413054,"0",0,0,0,"0",8,TRUE
"13","DJ 000109 .A6  1841  D.000002 STUK000006","DJ109 .A6 1841 d.2 stuk6",950017,"ALDERMAN",1840,"Algemeene geschiedenis des vaderlands, van de vroegste tijden tot op heden.","Arend, J. P. (Johannes Pieter),","X032050314","STACKS","STACKS","BOOK","11/3/17","1/1/00",0,0,0,0,1,7079,0,0,3.16310636166929,-2.49655719212401,-0.218862799571848,-0.1430346260709,1.07085964154316,-0.251863401046866,0.0720793174877859,0.576550639001653,0.123871111586946,544,0.876128888413054,"0",0,0,0,"0",8,TRUE
"14","DJ 000109 .A6  1841  D.000003 STUK000001","DJ109 .A6 1841 d.3 stuk1",950017,"ALDERMAN",1840,"Algemeene geschiedenis des vaderlands, van de vroegste tijden tot op heden.","Arend, J. P. (Johannes Pieter),","X032050253","STACKS","STACKS","BOOK","11/2/17","1/1/00",0,0,0,0,1,7079,0,0,3.16310636166929,-2.49616958888865,-0.218862799571848,-0.1430346260709,1.07085964154316,-0.251863401046866,0.072081739746889,0.6007618480362,0.123829052279939,545,0.876170947720061,"0",0,0,0,"0",8,TRUE
"15","DJ 000109 .B3  1939","DJ109 .B3 1939",950018,"ALDERMAN",1939,"Holland's house; a nation building a home; a short story","Balluseck, Daniel Johannes von,","X030587148","STACKS","STACKS","BOOK","6/29/96","2/9/11",0,0,1,0,1,3022,0,0,0.499272073018897,0.525585233921398,-0.218862799571848,-0.1430346260709,-0.697486513772557,-0.251863401046866,0.276989979740016,0.20062282984145,0.366738684919883,358,0.633261315080117,"0",1,0,0,"0",1,FALSE
