"","Item.Shelving.Id","Item.Call.Number","Catalog.Id","Item.Library.Code","Catalog.Pub.Year","Catalog.Title","Catalog.Author","Item.Barcode","Item.Collection","Item.Status","Item.Type","Item.Created.Date","Item.Last.Checkout.Date","Item.Lifetime.Checkout","Item.Lifetime.Renewals","Item.Lifetime.Inhouse.Uses","Item.Legacy.Total.Charges","Number.of.Items","days_since_last_checkout","Item.Lifetime.Checkout.Corrected","checkouts_per_day","x0","x1","x2","x3","x4","x5","scoreA","scoreB","scoreC","modelC","dscoreC","model","NumInhouseUses","NumCheckouts","NumRenewals","MODEL","n","MultiVolume"
"1","DL 000001.5 .I56  1983","DL1.5 .I56 1983",1809694,"ALDERMAN",1985,"Probleme des Friedens und des gesellschaftlichen Fortschritts in Kultur, Literatur und Sprachen Nordeuropas : 3. Internationale Wissenschaftliche Konferenz der Nordeuropawissenschaftler Sozialistischer Staaten, Greifswald, Oktober 1983.","Internationale Wissenschaftliche Konferenz der Nordeuropawissenschaftler Sozialistischer Staaten","X001984225","STACKS","STACKS","BOOK","6/30/96","1/1/00",0,0,0,1,3,7079,1,0.000119631534872592,-0.343484466837964,0.519353512208046,-0.274472817156954,-0.181335556668499,0.892886009766155,-0.284004648747043,0.635962347329612,0.0347533239983022,0.206979737289388,727,0.793020262710612,"0",0,1,0,"0",1,FALSE
"2","DL 000010 .C33  1940","DL10 .C33 1940",396894,"ALDERMAN",1940,"Travels in the north: exemplified by the author?s own drawings;","?apek, Karel,","X000012551","STACKS","STACKS","BOOK","6/28/96","1/2/10",0,0,0,4,1,3425,4,0.000478411673244827,0.359605027057105,0.520145016735295,0.225867055998652,-0.181335556668499,-0.613521214538332,-0.0106265639930392,0.360810010978279,0.935981587506831,0.489910926301871,494,0.510089073698129,"0",0,4,0,"0",1,FALSE
"3","DL 001004 .S68  1981","DL1004 .S68 1981",74784,"ALDERMAN",1985,"Trudy VIII Sovetsko-finli?andskogo simpoziuma istorikov : Petrozavodsk 21-23 okti?abri?a 1981 g. /","Sovetsko-finli?andski? simpozium istorikov","X001029976","STACKS","STACKS","BOOK","6/28/96","3/20/09",0,0,0,0,1,3713,0,0,-0.343484466837964,0.520145016735295,-0.441252774875489,-0.181335556668499,-0.494789610652264,-0.375159750108089,0.440005161661805,0.508524416945875,0.469257897772019,508,0.530742102227981,"0",0,0,0,"0",1,FALSE
"4","DL 001004 .S68  1985","DL1004 .S68 1985",2480002,"ALDERMAN",1988,"Trudy X Sovetsko-finli?andskogo simpoziuma istorikov : Riga, 2-4 dekabri?a 1985 g. /","Sovetsko-finli?andski? simpozium istorikov","X002647888","STACKS","STACKS","BOOK","7/1/96","1/1/00",0,0,0,1,1,7079,1,0.000119645848289064,-0.390357099764301,0.518957759944422,-0.274472817156954,-0.181335556668499,0.892886009766155,-0.283993742417615,0.646707307020097,0.699799577239901,0.214845814001371,711,0.785154185998629,"0",0,1,0,"0",1,FALSE
"5","DL 001005 .P345  1988","DL1005 .P345 1988",1325958,"ALDERMAN",1988,"Quellenkunde zur Geschichte Finnlands /","Paloposki, Toivo J. (Toivo Johannes),","X001502218","STACKS","STACKS","BOOK","6/30/96","1/1/00",0,0,0,0,1,7079,0,0,-0.390357099764301,0.519353512208046,-0.441252774875489,-0.181335556668499,0.892886009766155,-0.375159750108089,0.621849689345986,0.902912754332647,0.187988273284754,753,0.812011726715246,"0",0,0,0,"0",1,FALSE
"6","DL 001007 .M38  1995  NO.000008","DL1007 .M38 1995 no.8",2636808,"ALDERMAN",1995,"Historical dictionary of Finland /","Maude, George.","X004041562","STACKS","STACKS","BOOK","12/18/96","1/1/00",0,0,0,0,1,7079,0,0,-0.499726576592423,0.451679875128284,-0.441252774875489,-0.181335556668499,0.892886009766155,-0.375159750108089,0.648673168306941,0.828680436592549,0.216515000757482,708,0.783484999242518,"0",0,0,0,"0",1,TRUE
"7","DL 001007 .U66  1982  V.000001","DL1007 .U66 1982 v.1",762306,"ALDERMAN",1982,"Uppslagsverket Finland.","","X001155895","STACKS","STACKS","BOOK","6/29/96","1/1/00",0,0,0,0,1,7079,0,0,-0.296611833911626,0.519749264471671,-0.441252774875489,-0.181335556668499,0.892886009766155,-0.375159750108089,0.599652457382238,0.168217761674896,0.174037839898867,785,0.825962160101133,"0",0,0,0,"0",3,TRUE
"8","DL 001007 .U66  1982  V.000002","DL1007 .U66 1982 v.2",762306,"ALDERMAN",1982,"Uppslagsverket Finland.","","X001155896","STACKS","STACKS","BOOK","6/29/96","1/1/00",0,0,0,0,1,7079,0,0,-0.296611833911626,0.519749264471671,-0.441252774875489,-0.181335556668499,0.892886009766155,-0.375159750108089,0.599652457382238,0.378077758243307,0.174037839898867,785,0.825962160101133,"0",0,0,0,"0",3,TRUE
"9","DL 001007 .U66  1982  V.000003","DL1007 .U66 1982 v.3",762306,"ALDERMAN",1982,"Uppslagsverket Finland.","","X001155897","STACKS","STACKS","BOOK","6/29/96","1/1/00",0,0,0,0,1,7079,0,0,-0.296611833911626,0.519749264471671,-0.441252774875489,-0.181335556668499,0.892886009766155,-0.375159750108089,0.599652457382238,0.827481346437708,0.174037839898867,785,0.825962160101133,"0",0,0,0,"0",3,TRUE
"10","DL 001015 .L33  1986","DL1015 .L33 1986",779439,"ALDERMAN",1986,"Bilden av inlandet : i den finlandssvenska skönlitterära prosan under ryska tiden och i det realistiska landskapsmåleriet jämförd med den geografiska bilden av motsvarande område : en tvärvetenskaplig, topografisk studie = The image of the Finnish interior : presented in Finland Swedish prose literature and landscape pain","Lahti, Lea-Liisa.","X001279001","STACKS","STACKS","BOOK","6/29/96","1/1/00",0,0,0,0,1,7079,0,0,-0.35910867781341,0.519749264471671,-0.441252774875489,-0.181335556668499,0.892886009766155,-0.375159750108089,0.614495784971105,0.0693440183531493,0.183205453358313,765,0.816794546641687,"0",0,0,0,"0",1,FALSE
"11","DL 001016 .R69  2006","DL1016 .R69 2006",4396902,"ALDERMAN",2006,"Finland and Tallinn : report and proceedings of the 151st Summer Meeting of the Royal Archaeological Institute in 2005 /","Royal Archaeological Institute (Great Britain). Summer Meeting","X030138577","STACKS","STACKS","BOOK","9/18/06","1/1/00",0,0,0,0,1,7079,0,0,-0.671592897322329,-0.957593935637988,-0.441252774875489,-0.181335556668499,0.892886009766155,-0.375159750108089,0.716670004320905,0.832343145040795,0.573231527124619,421,0.426768472875381,"0",0,0,0,"0",1,FALSE
"12","DL 001017 .S8513  1999","DL1017 .S8513 1999",4783684,"ALDERMAN",1999,"Europe's northern frontier : perspectives on Finland's western identity /","","X030269436","STACKS","STACKS","BOOK","10/16/08","11/27/18",1,0,0,2,1,174,2,0.000517063081695967,-0.562223420494207,-1.25796990372886,-0.107692859438419,-0.181335556668499,-1.95378664590502,0.0188244754746323,0.412139777668525,0.369712567422539,0.9750663472647,103,0.0249336527353005,"1",0,2,0,"1",1,FALSE
"13","DL 001019 .F48  2006","DL1019 .F48 2006",4473872,"ALDERMAN",2006,"Visions of past glory : nationalism and the construction of early Finnish history /","Fewster, Derek,","X030273659","STACKS","STACKS","BOOK","3/14/07","11/16/08",0,0,0,1,1,3837,1,0.000224719101123596,-0.671592897322329,-1.0276420862995,-0.274472817156954,-0.181335556668499,-0.443669058979096,-0.203931549596408,0.592904553648793,0.0851475687231869,0.866276652804358,204,0.133723347195642,"0",0,1,0,"0",1,FALSE
"14","DL 001020 .L3  N99  2007","DL1020 .L3 N99 2007",4699234,"ALDERMAN",2007,"""Everybody recognized that we were not white"" : Sami identity politics in Finland, 1945-1990 /","Nyyssönen, Jukka.","X030368000","STACKS","STACKS","BOOK","3/19/08","11/27/10",0,0,0,2,1,3096,2,0.00049031625398382,-0.687217108297775,-1.17446617610413,-0.107692859438419,-0.181335556668499,-0.749155581477625,-0.00155568426990181,0.589371322786887,0.400000656489283,0.924362072646108,157,0.0756379273538919,"1",0,2,0,"1",1,FALSE
"15","DL 001020 .R8  B37  2001","DL1020 .R8 B37 2001",3823710,"ALDERMAN",2001,"Russian life in Finland 1917-1939 : a local and oral history /","Bashmakova, Natal?i?a.","X004617635","STACKS","STACKS","BOOK","3/26/02","1/1/00",0,0,0,0,1,7079,0,0,-0.593471842445099,-0.309747480084945,-0.441252774875489,-0.181335556668499,0.892886009766155,-0.375159750108089,0.686579338376086,0.721476329257712,0.393906793892759,570,0.606093206107241,"0",0,0,0,"0",1,FALSE
"16","DL 001020 .S93  H38","DL1020 .S93 H38",114033,"ALDERMAN",1978,"La Finlande et la Suède : une grande minorité, les Suédois de l'Est /","Havel, Jean Eugène Martial,","X000474663","STACKS","STACKS","BOOK","6/28/96","1/1/00",0,0,0,0,1,7079,0,0,-0.234114990009842,0.520145016735295,-0.441252774875489,-0.181335556668499,0.892886009766155,-0.375159750108089,0.584614138818184,0.70796316396445,0.165181590355806,802,0.834818409644194,"0",0,0,0,"0",1,FALSE
"17","DL 001020 .S93  T63  1978","DL1020 .S93 T63 1978",152020,"ALDERMAN",1978,"Svenska språkets ställning i Finland /","Törnudd, Klaus.","X000529779","STACKS","STACKS","BOOK","6/28/96","1/1/00",0,0,0,0,1,7079,0,0,-0.234114990009842,0.520145016735295,-0.441252774875489,-0.181335556668499,0.892886009766155,-0.375159750108089,0.584614138818184,0.565091996453702,0.165181590355806,802,0.834818409644194,"0",0,0,0,"0",1,TRUE
"18","DL 000103 .A35  BD.1","DL103 .A35 bd.1",2407417,"ALDERMAN",1936,"Reformationen i Danmark : gengivelser af aktstykker og breve /","Kornerup, Bjørn,","X030531121","STACKS","STACKS","BOOK","7/1/96","3/19/09",0,0,0,0,2,3714,0,0,0.422101870958889,0.518957759944422,-0.441252774875489,-0.181335556668499,-0.494377348138771,-0.375159750108089,0.268319525449264,0.926145288627595,0.291536142786849,645,0.708463857213151,"0",0,0,0,"0",1,TRUE
"19","DL 000103 .A35  BD.2","DL103 .A35 Bd.2",2413365,"ALDERMAN",1939,"Gehejmearkivet : i tiden fra enevældens indførelse til rigsarkivets oprettelse (1660-1889) /","","X002605968","STACKS","STACKS","BOOK","7/1/96","3/19/09",0,0,0,0,1,3714,0,0,0.375229238032551,0.518957759944422,-0.441252774875489,-0.181335556668499,-0.494377348138771,-0.375159750108089,0.277581337118107,0.928891047602519,0.301311072264849,641,0.698688927735151,"0",0,0,0,"0",1,TRUE
"20","DL 000103 .A35  BD.3","DL103 .A35 Bd.3",2413375,"ALDERMAN",1953,"Danske adelsbreve : fra tiden indtil 1660 /","","X002605970","STACKS","STACKS","BOOK","7/1/96","3/19/09",0,0,0,0,1,3714,0,0,0.156490284376307,0.518957759944422,-0.441252774875489,-0.181335556668499,-0.494377348138771,-0.375159750108089,0.323293663716124,0.0100349590647966,0.349253198821803,612,0.650746801178197,"0",0,0,0,"0",1,TRUE
