"","Item.Shelving.Id","Item.Call.Number","Catalog.Id","Item.Library.Code","Catalog.Pub.Year","Catalog.Title","Catalog.Author","Item.Barcode","Item.Collection","Item.Status","Item.Type","Item.Created.Date","Item.Last.Checkout.Date","Item.Lifetime.Checkout","Item.Lifetime.Renewals","Item.Lifetime.Inhouse.Uses","Item.Legacy.Total.Charges","Number.of.Items","days_since_last_checkout","Item.Lifetime.Checkout.Corrected","checkouts_per_day","x0","x1","x2","x3","x4","x5","scoreA","scoreB","scoreC","modelC","dscoreC","model","NumInhouseUses","NumCheckouts","NumRenewals","MODEL","n","MultiVolume"
"1","DP 000001 .T4  NO.542  1976","DP1 .T4 no.542 1976",6369164,"ALDERMAN",1976,"Pablo Casals /","Alavedra, Joan,","X031648746","STACKS","STACKS","BOOK","7/24/14","1/1/00",0,0,0,0,1,7079,0,0,0.0420599360210236,-2.17615593733304,-0.399737646568748,-0.181485681137083,0.90281746757443,-0.40319876375273,0.370066565872083,0.95482029998675,0.696680643700287,2182,0.303319356299713,"0",0,0,0,"0",1,TRUE
"2","DP 000100 .A99  2013","DP100 .A99 2013",6244490,"ALDERMAN",2013,"?A?r al-?aw??if f? al-Andalus min khil?l ras??il d?w?n?yah : al-qarn al-kh?mis al-Hijr?/11 M /","?Azz?w?, A?mad.","X031635249","STACKS","STACKS","BOOK","4/18/14","1/1/00",0,0,0,0,1,7079,0,0,-0.118581165582818,-2.13702993977219,-0.399737646568748,-0.181485681137083,0.90281746757443,-0.40319876375273,0.403108877285938,0.824554855469614,0.721729347054016,2015,0.278270652945984,"0",0,0,0,"0",1,FALSE
"3","DP 000100 .D45  2013","DP100 .D45 2013",6549517,"ALDERMAN",2013,"Del Nilo al Guadalquivir : II estudios sobre las fuentes de la conquista islámica : homenaje al profesor Yves Modéran /","","X031729880","STACKS","STACKS","BOOK","4/24/15","4/25/17",3,2,0,5,1,755,3,0.00336247478143914,-0.118581165582818,-2.28667679642246,-0.0173504402232124,0.617790188868167,-1.65784032514963,1.97628537342747,0.652850871186639,0.674705324228853,0.982804252402822,346,0.0171957475971783,"1",0,3,2,"1",1,FALSE
"4","DP 000100 .H6","DP100 .H6",216688,"ALDERMAN",1965,"Spanisch-Islamische Urkunden aus der Zeit der Na?riden und Moriscos.","Hoenerbach, Wilhelm","X000749720","STACKS","STACKS","BOOK","6/28/96","1/1/00",0,0,0,1,1,7079,1,0.000119602918311207,0.0898181013627063,0.486025340003278,-0.272275244453569,-0.181485681137083,0.90281746757443,-0.31856073213003,0.37519197081581,0.794230405706912,0.147929160629248,4711,0.852070839370752,"0",0,1,0,"0",1,FALSE
"5","DP 000100 .L55","DP100 .L55",149100,"ALDERMAN",1973,"Teodomiro de Oriola, su vida y su obra","Llobregat Conesa, Enrique.","X000596909","STACKS","STACKS","BOOK","6/28/96","1/1/00",0,0,0,0,1,7079,0,0,0.0550848902051189,0.486025340003278,-0.399737646568748,-0.181485681137083,0.90281746757443,-0.40319876375273,0.366944224650061,0.318447511876002,0.136618375174025,4832,0.863381624825975,"0",0,0,0,"0",1,FALSE
"6","DP 000100 .S3  1946  V.000001","DP100 .S3 1946 v.1",346252,"ALDERMAN",1946,"La España musulmana, según los autores islamitas y cristianos medievales.","Sánchez-Albornoz, Claudio,","X000372719","STACKS","CLEM-RESV","BOOK","6/28/96","3/24/09",0,0,3,3,1,3709,3,0.00035880875493362,0.172309477861977,0.486025340003278,-0.0173504402232124,-0.181485681137083,-0.461732937466697,-0.149284668884631,0.49758922720566,0.633693004027009,0.446715027551013,3493,0.553284972448987,"0",3,5,1,"1",2,TRUE
"7","DP 000100 .S3  1946  V.000002","DP100 .S3 1946 v.2",346252,"ALDERMAN",1946,"La España musulmana, según los autores islamitas y cristianos medievales.","Sánchez-Albornoz, Claudio,","X030553179","STACKS","CHECKEDOUT","BOOK","5/14/09","2/28/19",2,1,0,3,1,81,2,0.000820120284308365,0.172309477861977,-1.41098050049865,-0.144812842338391,0.218152253865542,-1.93075040615786,0.177166394036274,0.598956118887549,0.173960546497256,0.953673560453915,730,0.0463264395460845,"1",3,5,1,"1",2,TRUE
"8","DP 000100 .S3  1973  V.000001","DP100 .S3 1973 v.1",949669,"ALDERMAN",1973,"La España musulmana,","Sánchez-Albornoz, Claudio,","X000371410","STACKS","CLEM-RESV","BOOK","6/29/96","11/2/03",0,0,1,10,2,5678,10,0.00119617224880383,0.0550848902051189,0.485621979203681,0.874886374583037,-0.181485681137083,0.335537017288786,0.443282794138887,0.572701265389879,0.725285605760291,0.499660622023481,3059,0.500339377976519,"0",3,16,0,"0",2,TRUE
"9","DP 000100 .S3  1973  V.000002","DP100 .S3 1973 v.2",949669,"ALDERMAN",1973,"La España musulmana,","Sánchez-Albornoz, Claudio,","X000891461","STACKS","CLEM-RESV","BOOK","6/29/96","9/28/03",0,0,2,6,1,5713,6,0.000717703349282297,0.0550848902051189,0.485621979203681,0.365036766122323,-0.181485681137083,0.349708905768442,0.10469017098224,0.506584852746256,0.145592056913301,0.371595304147185,3836,0.628404695852815,"0",3,16,0,"0",2,TRUE
"10","DP 000100 .V28  2006","DP100 .V28 2006",4599024,"ALDERMAN",2006,"Sobre el pergamino y láminas de Granada /","Valencia, Pedro de,","X030243628","STACKS","STACKS","BOOK","6/15/07","2/18/11",0,0,0,1,1,3013,1,0.000229515721826945,-0.0881896058199294,-1.12903130158076,-0.272275244453569,-0.181485681137083,-0.743551062662135,-0.24077999340676,0.544344065143481,0.349026107694954,0.844026362354658,1191,0.155973637645342,"0",0,1,0,"0",1,FALSE
