"","Item.Shelving.Id","Item.Call.Number","Catalog.Id","Item.Library.Code","Catalog.Pub.Year","Catalog.Title","Catalog.Author","Item.Barcode","Item.Collection","Item.Status","Item.Type","Item.Created.Date","Item.Last.Checkout.Date","Item.Lifetime.Checkout","Item.Lifetime.Renewals","Item.Lifetime.Inhouse.Uses","Item.Legacy.Total.Charges","Number.of.Items","days_since_last_checkout","Item.Lifetime.Checkout.Corrected","checkouts_per_day","x0","x1","x2","x3","x4","x5","scoreA","scoreB","scoreC","modelC","dscoreC","model","NumInhouseUses","NumCheckouts","NumRenewals","MODEL","n","MultiVolume"
"1","DQ 000001 .S72  SER.2  T.12  1924","DQ1 .S72 ser.2 t.12 1924",4865627,"ALDERMAN",1924,"Les origines de Fribourg et le quartier du Bourg au XVe et XVIe siècles /","Zurich, Pierre de,","X030574056","STACKS","STACKS","BOOK","4/20/09","2/25/11",0,0,0,0,1,3006,0,0,1.37665099846608,-1.82039706847597,-0.312425616333538,-0.0711524973180409,-0.900197555874767,-0.325292661943818,0.470529246211195,0.484049666905776,0.737210087788142,170,0.262789912211858,"0",0,0,0,"0",1,TRUE
"2","DQ 000101 .E5","DQ101 .E5",949009,"ALDERMAN",1948,"Les entreprises du duc de Bourgogne contre les Suisses.","","X002521437","STACKS","STACKS","BOOK","6/29/96","3/26/09",0,0,1,14,1,3707,14,0.00167464114832536,0.646129105025824,0.483047741351217,2.64197264414581,-0.0711524973180409,-0.593837852891234,2.50241355368276,0.511403740754483,0.41633060737513,0.891546264568347,96,0.108453735431653,"0",1,14,0,"0",1,FALSE
"3","DQ 000101 .H56  1999","DQ101 .H56 1999",2930209,"ALDERMAN",1999,"Die Renaissance des Krieges : Kriegsmonographien und das Bild des Krieges in der spätmittelalterlichen Chronistik am Beispiel der Burgunderkriege /","Himmelsbach, Gerrit.","X004358257","STACKS","STACKS","BOOK","7/22/99","1/1/00",0,0,0,0,1,7079,0,0,-0.906229918534723,-0.0674548874189402,-0.312425616333538,-0.0711524973180409,0.879835354613007,-0.325292661943818,0.651355403529995,0.335836001671851,0.445572478423918,336,0.554427521576082,"0",0,0,0,"0",1,FALSE
"4","DQ 000101 .S73","DQ101 .S73",189896,"ALDERMAN",1979,"Burgund und die Eidgenossenschaft zur Zeit Karls des Kühnen : d. polit. Beziehungen in ihrer Abhängigkeit von d. inneren Struktur beider Staaten /","Stein, Norbert,","X000914763","STACKS","STACKS","BOOK","6/28/96","1/1/00",0,0,0,0,1,7079,0,0,-0.297461674001175,0.483540140840278,-0.312425616333538,-0.0711524973180409,0.879835354613007,-0.325292661943818,0.443544516466124,0.011174617568031,0.201275825734317,515,0.798724174265683,"0",0,0,0,"0",1,FALSE
"5","DQ 000106 .P57  1988","DQ106 .P57 1988",1763069,"ALDERMAN",1988,"Der Schweizerkrieg /","Pirckheimer, Willibald,","X001508172","STACKS","STACKS","BOOK","6/30/96","3/21/02",0,0,1,2,1,6269,2,0.000239263069745185,-0.571407384041272,0.482555341862156,0.109631278020654,-0.0711524973180409,0.525839121493661,0.0787136949792272,0.546054907108605,0.3036827838514,0.418884136180262,347,0.581115863819738,"0",1,2,0,"0",1,FALSE
"6","DQ 000110 .M8  S3  1988","DQ110 .M8 S3 1988",1762746,"ALDERMAN",1988,"Sebastian Münster : Katalog zur Ausstellung aus Anlass des 500. Gebartstages am 20. Januar 1988 im Museum-Altes Rathaus Ingelheim am Rhein /","","X002126342","STACKS","STACKS","BOOK","6/30/96","9/24/01",0,0,0,9,1,6447,9,0.00107668381385333,-0.571407384041272,0.482555341862156,1.58683040826033,-0.0711524973180409,0.603630886302604,1.49273594420989,0.653304104328535,0.110795365413651,0.744986870779416,164,0.255013129220584,"0",0,9,0,"0",1,FALSE
"7","DQ 000110 .U47  B33","DQ110 .U47 B33",727220,"ALDERMAN",1977,"Freiherr Ulrich VIII. von Hohensax, Herr zu Bürglen und Forstegg (1462-1538) : Studien zu einem Vertreter des privaten militärischen Unternehmertums im ausgehenden 15. und beginnenden 16. Jahrhundert /","Bänziger, Martin,","X001184226","STACKS","STACKS","BOOK","6/29/96","1/1/00",0,0,0,0,1,7079,0,0,-0.23658484954782,0.483047741351217,-0.312425616333538,-0.0711524973180409,0.879835354613007,-0.325292661943818,0.430607537569601,0.730885206256062,0.19174304351629,526,0.80825695648371,"0",0,0,0,"0",1,FALSE
"8","DQ 000113 .P37  1989","DQ113 .P37 1989",1739074,"ALDERMAN",1989,"Pour le salut de mon âme : les Lausannois face à la mort, XIVe siècle /","Pasche, Véronique.","X001807127","STACKS","STACKS","BOOK","6/30/96","1/1/00",0,0,1,1,1,7079,1,0.000119631534872592,-0.601845796267949,0.482555341862156,-0.101397169156442,-0.0711524973180409,0.879835354613007,-0.123289483482296,0.525875791587919,0.344986289739609,0.296933751468749,427,0.703066248531251,"0",1,1,0,"0",1,FALSE
"9","DQ 000113 .S77  1989  BD.000001","DQ113 .S77 1989 Bd.1",1360840,"ALDERMAN",1989,"Actensammlung zur schweizerischen Reformationsgeschichte in den Jahren 1521-1532 : im Anschluss an die gleichzeitigen eidgenössischen Abschiede /","Strickler, Joh. (Johannes)","X001584645","STACKS","STACKS","BOOK","6/30/96","1/1/00",0,0,0,0,1,7079,0,0,-0.601845796267949,0.482555341862156,-0.312425616333538,-0.0711524973180409,0.879835354613007,-0.325292661943818,0.509536641340466,0.884174305712804,0.254838584633624,459,0.745161415366376,"0",0,0,0,"0",5,TRUE
"10","DQ 000113 .S77  1989  BD.000002","DQ113 .S77 1989 Bd.2",1360840,"ALDERMAN",1989,"Actensammlung zur schweizerischen Reformationsgeschichte in den Jahren 1521-1532 : im Anschluss an die gleichzeitigen eidgenössischen Abschiede /","Strickler, Joh. (Johannes)","X001597269","STACKS","STACKS","BOOK","6/30/96","1/1/00",0,0,0,0,1,7079,0,0,-0.601845796267949,0.482555341862156,-0.312425616333538,-0.0711524973180409,0.879835354613007,-0.325292661943818,0.509536641340466,0.0902505461126566,0.254838584633624,459,0.745161415366376,"0",0,0,0,"0",5,TRUE
"11","DQ 000113 .S77  1989  BD.000003","DQ113 .S77 1989 Bd.3",1360840,"ALDERMAN",1989,"Actensammlung zur schweizerischen Reformationsgeschichte in den Jahren 1521-1532 : im Anschluss an die gleichzeitigen eidgenössischen Abschiede /","Strickler, Joh. (Johannes)","X001584644","STACKS","STACKS","BOOK","6/30/96","1/1/00",0,0,0,0,1,7079,0,0,-0.601845796267949,0.482555341862156,-0.312425616333538,-0.0711524973180409,0.879835354613007,-0.325292661943818,0.509536641340466,0.201597261009738,0.254838584633624,459,0.745161415366376,"0",0,0,0,"0",5,TRUE
"12","DQ 000113 .S77  1989  BD.000004","DQ113 .S77 1989 Bd.4",1360840,"ALDERMAN",1989,"Actensammlung zur schweizerischen Reformationsgeschichte in den Jahren 1521-1532 : im Anschluss an die gleichzeitigen eidgenössischen Abschiede /","Strickler, Joh. (Johannes)","X001597262","STACKS","STACKS","BOOK","6/30/96","1/1/00",0,0,0,0,1,7079,0,0,-0.601845796267949,0.482555341862156,-0.312425616333538,-0.0711524973180409,0.879835354613007,-0.325292661943818,0.509536641340466,0.617392738349736,0.254838584633624,459,0.745161415366376,"0",0,0,0,"0",5,TRUE
"13","DQ 000113 .S77  1989  BD.000005","DQ113 .S77 1989 Bd.5",1360840,"ALDERMAN",1989,"Actensammlung zur schweizerischen Reformationsgeschichte in den Jahren 1521-1532 : im Anschluss an die gleichzeitigen eidgenössischen Abschiede /","Strickler, Joh. (Johannes)","X001596503","STACKS","STACKS","BOOK","6/30/96","1/1/00",0,0,0,0,1,7079,0,0,-0.601845796267949,0.482555341862156,-0.312425616333538,-0.0711524973180409,0.879835354613007,-0.325292661943818,0.509536641340466,0.792412337847054,0.254838584633624,459,0.745161415366376,"0",0,0,0,"0",5,TRUE
"14","DQ 000114 .B85  1985","DQ114 .B85 1985",710624,"ALDERMAN",1985,"Heinrich Bullingers Diarium (Annales vitae) der Jahre 1504-1574 /","Bullinger, Heinrich,","X001156440","STACKS","STACKS","BOOK","6/29/96","1/1/00",0,0,0,2,2,7079,2,0.000239234449760766,-0.48009214736124,0.483047741351217,0.109631278020654,-0.0711524973180409,0.879835354613007,0.0786653688599781,0.515746396635599,0.530800025910139,0.315796002742132,404,0.684203997257868,"0",0,2,0,"0",1,FALSE
"15","DQ 000116 .G7613  2002","DQ116 .G7613 2002",3857724,"ALDERMAN",2002,"Liquid assets, dangerous gifts : presents and politics at the end of the Middle Ages /","Groebner, Valentin.","X004558858","STACKS","STACKS","BOOK","6/19/02","6/28/07",0,0,0,1,1,4344,1,0.000161838485191779,-0.997545155214756,-0.590875544290744,-0.101397169156442,-0.0711524973180409,-0.315448222647995,-0.0520211667569161,0.771876789872468,0.772013564361259,0.858449553683826,114,0.141550446316174,"0",0,1,0,"0",1,FALSE
"16","DQ 000118 .J4  P45  1984","DQ118 .J4 P45 1984",40594,"ALDERMAN",1984,"Jörg Jenatsch : Sein Leben und seine Zeit /","Pfister, Alexander,","X000821140","STACKS","STACKS","BOOK","6/28/96","1/1/00",0,0,0,1,1,7079,1,0.000119602918311207,-0.449653735134562,0.483540140840278,-0.101397169156442,-0.0711524973180409,0.879835354613007,-0.1233378038216,0.492709744273596,0.715483488515019,0.265979263719969,453,0.734020736280031,"0",0,1,0,"0",1,FALSE
"17","DQ 000118 .P6  A3  1988","DQ118 .P6 A3 1988",4579437,"ALDERMAN",1988,"La mia vita : 1505 (c.)-1582 /","Platter, Thomas,","X030236565","STACKS","STACKS","BOOK","5/17/07","2/25/11",0,0,0,0,1,3006,0,0,-0.571407384041272,-1.47374782817705,-0.312425616333538,-0.0711524973180409,-0.900197555874767,-0.325292661943818,0.797485235624601,0.733396763447672,0.932950885303277,60,0.0670491146967227,"0",0,0,0,"0",1,FALSE
"18","DQ 000118 .P6  A32","DQ118 .P6 A32",949012,"ALDERMAN",1911,"Thomas und Felix Platters und Theodor Agrippa d'Aubignés Lebensbeschreibungen","Platter, Thomas,","X000591333","STACKS","STACKS","BOOK","6/29/96","2/25/11",0,0,1,5,1,3006,5,0.000598086124401914,1.77235035741289,0.483047741351217,0.742716619551943,-0.0711524973180409,-0.900197555874767,0.684602415065673,0.184665648013597,0.872241033939645,0.35149278985697,381,0.64850721014303,"0",1,5,0,"0",1,FALSE
"19","DQ 000118 .P6  L47  1995  T.000001","DQ118 .P6 L47 1995 t.1",2418921,"ALDERMAN",1995,"Le siècle des Platter, 1499-1628 /","Le Roy Ladurie, Emmanuel.","X002641411","STACKS","STACKS","BOOK","7/1/96","2/25/11",0,0,1,3,1,3006,3,0.000358937544867193,-0.784476269628014,0.482062942373095,0.32065972519775,-0.0711524973180409,-0.900197555874767,0.280789379965682,0.646864334922435,0.695127298822626,0.821019589489445,135,0.178980410510555,"0",1,3,0,"0",3,TRUE
"20","DQ 000118 .P6  L47  1995  T.000002","DQ118 .P6 L47 1995 t.2",2418921,"ALDERMAN",1995,"Le siècle des Platter, 1499-1628 /","Le Roy Ladurie, Emmanuel.","X004469722","STACKS","STACKS","BOOK","10/24/00","4/15/15",0,0,0,0,1,1496,0,0,-0.784476269628014,-0.293958652386983,-0.312425616333538,-0.0711524973180409,-1.56011645959108,-0.325292661943818,0.719606941590205,0.475718032103032,0.911017773975478,78,0.0889822260245215,"0",1,3,0,"0",3,TRUE
"21","DQ 000118 .P6  L47  1995  T.000003","DQ118 .P6 L47 1995 t.3",2418921,"ALDERMAN",1995,"Le siècle des Platter, 1499-1628 /","Le Roy Ladurie, Emmanuel.","X030006185","STACKS","STACKS","BOOK","2/8/06","4/15/15",0,0,0,0,1,1496,0,0,-0.784476269628014,-1.24576686474182,-0.312425616333538,-0.0711524973180409,-1.56011645959108,-0.325292661943818,0.817662162386476,0.632115957560018,0.96366400969426,40,0.0363359903057398,"0",1,3,0,"0",3,TRUE
"22","DQ 000121 .B38  2004","DQ121 .B38 2004",4326850,"ALDERMAN",2004,"Bauern, Untertanen und ""Rebellen"" : eine Kulturgeschichte des Schweizerischen Bauernkrieges von 1653 /","","X004972032","STACKS","STACKS","BOOK","11/9/05","12/1/05",0,0,0,2,1,4918,2,0.000404858299595142,-1.05842197966811,-1.20095851123728,0.109631278020654,-0.0711524973180409,-0.0645916327584831,0.358328620954914,0.840922152709466,0.0763883325271308,0.919354100722976,71,0.0806458992770239,"0",0,2,0,"0",1,FALSE
"23","DQ 000121.8 .W3  D65","DQ121.8 .W3 D65",485912,"ALDERMAN",1975,"Bürgermeister Johann Heinrich Waser (1600-1669) als Politiker : ein Beitrag zur Schweizer Geschichte des 17. Jahrhunderts /","Domeisen, Norbert.","X000282173","STACKS","STACKS","BOOK","6/29/96","1/1/00",0,0,0,0,1,7079,0,0,-0.175708025094466,0.483047741351217,-0.312425616333538,-0.0711524973180409,0.879835354613007,-0.325292661943818,0.417694382660088,0.539895883994177,0.182485087445817,535,0.817514912554183,"0",0,0,0,"0",1,TRUE
"24","DQ 000122 .G355  2017","DQ122 .G355 2017",7347543,"ALDERMAN",2017,"Gallotropismus aus helvetischer Sicht = Le gallotropisme dans une perspective helvétique /","","X031812334","STACKS","STACKS","BOOK","1/25/18","1/1/00",0,0,0,0,1,7079,0,0,-1.45412133861492,-3.39706023244917,-0.312425616333538,-0.0711524973180409,0.879835354613007,-0.325292661943818,0.954916534002315,0.994613985996693,0.974886624771622,30,0.0251133752283775,"0",0,0,0,"0",1,FALSE
"25","DQ 000122 .I48  1983  V.000001","DQ122 .I48 1983 v.1",7592,"ALDERMAN",1983,"Die Helvetische Gesellschaft : Spätaufklärung und Vorrevolution in der Schweiz /","Im Hof, Ulrich.","X000789190","STACKS","STACKS","BOOK","6/28/96","1/1/00",0,0,0,0,1,7079,0,0,-0.419215322907885,0.483540140840278,-0.312425616333538,-0.0711524973180409,0.879835354613007,-0.325292661943818,0.469775920708009,0.97069192561321,0.221562189523872,489,0.778437810476128,"0",0,0,0,"0",2,TRUE
"26","DQ 000122 .I48  1983  V.000002","DQ122 .I48 1983 v.2",7592,"ALDERMAN",1983,"Die Helvetische Gesellschaft : Spätaufklärung und Vorrevolution in der Schweiz /","Im Hof, Ulrich.","X000789189","STACKS","STACKS","BOOK","6/28/96","1/1/00",0,0,0,0,1,7079,0,0,-0.419215322907885,0.483540140840278,-0.312425616333538,-0.0711524973180409,0.879835354613007,-0.325292661943818,0.469775920708009,0.344643959775567,0.221562189523872,489,0.778437810476128,"0",0,0,0,"0",2,TRUE
"27","DQ 000123 .T73  R8","DQ123 .T73 R8",316441,"ALDERMAN",1963,"Johann Baptista von Tscharner, 1751-1835; eine Biographie im Rahmen der Zeitgeschichte.","Rufer, Alfred,","X001102761","STACKS","STACKS","BOOK","6/28/96","3/26/09",0,0,0,1,1,3707,1,0.000119602918311207,0.189552921625663,0.483540140840278,-0.101397169156442,-0.0711524973180409,-0.593837852891234,-0.1233378038216,0.39917579189942,0.131101120728999,0.454959331651629,333,0.545040668348371,"0",0,1,0,"0",1,TRUE
"28","DQ 000124 .C64  1982","DQ124 .C64 1982",693491,"ALDERMAN",1982,"Die de Latour von Brigels in der Bündner Politik des 19. Jahrhunderts : ein Beitrag zur Geschichte Graubündens von 1800-1851 und des aufgeklärten bündnerischen liberalen Katholizismus /","Collenberg, Adolf,","X001188320","STACKS","STACKS","BOOK","6/29/96","1/1/00",0,0,0,0,2,7079,0,0,-0.388776910681207,0.483047741351217,-0.312425616333538,-0.0711524973180409,0.879835354613007,-0.325292661943818,0.463268427891704,0.571303525706753,0.216440417866363,494,0.783559582133637,"0",0,0,0,"0",1,FALSE
"29","DQ 000124 .S39  1982","DQ124 .S39 1982",12183,"ALDERMAN",1982,"Die Schweiz im Aufbruch : das 19. Jahrhundert in zeitgenössischen Berichten /","","X000480516","STACKS","STACKS","BOOK","6/28/96","1/1/00",0,0,0,0,1,7079,0,0,-0.388776910681207,0.483540140840278,-0.312425616333538,-0.0711524973180409,0.879835354613007,-0.325292661943818,0.463196640831342,0.528152431594208,0.216356921545274,495,0.783643078454726,"0",0,0,0,"0",1,FALSE
"30","DQ 000124 .T74  1988","DQ124 .T74 1988",1660978,"ALDERMAN",1988,"Die Magnetische Zeit : Alltag und Lebensgefühl im frühen 19. Jahrhundert /","Treichler, Hans Peter,","X001730370","STACKS","STACKS","BOOK","6/30/96","8/24/96",0,0,0,4,1,8304,4,0.00047852613949037,-0.571407384041272,0.482555341862156,0.531688172374846,-0.0711524973180409,1.4152000281577,0.482720051902273,0.552249504012977,0.51980863022618,0.311168993860738,406,0.688831006139262,"0",0,4,0,"0",1,FALSE
