"","Item.Shelving.Id","Item.Call.Number","Catalog.Id","Item.Library.Code","Catalog.Pub.Year","Catalog.Title","Catalog.Author","Item.Barcode","Item.Collection","Item.Status","Item.Type","Item.Created.Date","Item.Last.Checkout.Date","Item.Lifetime.Checkout","Item.Lifetime.Renewals","Item.Lifetime.Inhouse.Uses","Item.Legacy.Total.Charges","Number.of.Items","days_since_last_checkout","Item.Lifetime.Checkout.Corrected","checkouts_per_day","x0","x1","x2","x3","x4","x5","scoreA","scoreB","scoreC","modelC","dscoreC","model","NumInhouseUses","NumCheckouts","NumRenewals","MODEL","n","MultiVolume"
"1","DR 000001 .B365  SB.2","DR1 .B365 sb.2",2266289,"ALDERMAN",1993,"Simvolicheski? i?azyk tradit?sionno? kul?tury  /","","X002455794","STACKS","STACKS","BOOK","7/1/96","5/11/99",0,0,0,2,1,7314,2,0.000239291696578129,-0.428387892620887,0.534013141190684,-0.217077277299549,-0.180125682714645,1.11645744750527,-0.285893464703252,0.481276895965024,0.620355813764036,0.191675465202973,2830,0.808324534797027,"0",0,2,0,"0",1,TRUE
"2","DR 000001 .B365  SB.3","DR1 .B365 sb.3",2387361,"ALDERMAN",1994,"Lingvo-?tnokul?turnai?a istorii?a Balkan i Vostochno? Evropy : tezisy i materialy simpoziuma /","","X006035866","STACKS","STACKS","BOOK","7/1/96","3/1/11",0,0,0,1,1,3002,1,0.000119645848289064,-0.474006527210618,0.534013141190684,-0.325422333471679,-0.180125682714645,-0.696045325146851,-0.355738104878353,0.839009341805727,0.0482773419935256,0.577035704801273,1795,0.422964295198727,"0",0,1,0,"0",1,TRUE
"3","DR 000001 .B4  1966","DR1 .B4 1966",958996,"ALDERMAN",1966,"Beiträge zur Südosteuropa-Forschung.","","X002403690","STACKS","STACKS","BOOK","6/29/96","1/1/00",0,0,0,2,1,7079,2,0.000239234449760766,0.803315241301843,0.53487010865261,-0.217077277299549,-0.180125682714645,1.01767772775266,-0.285926883191375,0.269802095789554,0.669473396148533,0.0709003680411483,3244,0.929099631958852,"0",0,2,0,"0",1,FALSE
"4","DR 000001 .B45  BD.000014","DR1 .B45 Bd.14",2526967,"ALDERMAN",1969,"Die Eroberung von Kasan 1552 als Gegenstand der zeitgenössischen russischen Historiographie /","","X002705528","STACKS","STACKS","BOOK","7/1/96","3/1/11",0,0,0,0,1,3002,0,0,0.666459337532651,0.534013141190684,-0.43376738964381,-0.180125682714645,-0.696045325146851,-0.425582745053454,0.691370213579106,0.220699562691152,0.281265180661609,2591,0.718734819338391,"0",0,0,0,"0",1,TRUE
"5","DR 000001 .B45  BD.000016","DR1 .B45 Bd.16",2503052,"ALDERMAN",1972,"Die sowjetische Politik auf dem Gebiet der bildenden Kunst von 1917 [neunzehnhundertsiebzehn] bis 1934 [neunzehnhundertvierunddreissig] /","Drengenberg, Hans-Jürgen,","X002708599","STACKS","STACKS","BOOK","7/1/96","1/1/00",0,0,0,0,1,7079,0,0,0.529603433763459,0.534013141190684,-0.43376738964381,-0.180125682714645,1.01767772775266,-0.425582745053454,0.355875709666617,0.786122620105743,0.0748090215759849,3223,0.925190978424015,"0",0,0,0,"0",1,TRUE
"6","DR 000001 .B45  BD.000017-000018 001973","DR1 .B45 Bd.17-18 1973",2503053,"ALDERMAN",1973,"Politische und gesellschaftliche Vorstellungen in der Aufstandsbewegung unter Pugacev (1773-1775).","Peters, Dorothea.","X002708601","STACKS","STACKS","BOOK","7/1/96","11/7/17",0,0,1,0,1,559,0,0,0.483984799173728,0.534013141190684,-0.43376738964381,-0.180125682714645,-1.72293407134099,-0.425582745053454,0.865516326444923,0.0467945481650531,0.5673798067289,1812,0.4326201932711,"0",1,0,0,"0",1,TRUE
"7","DR 000001 .B45  BD.000019-000020 001973","DR1 .B45 Bd.19-20 1973",2499059,"ALDERMAN",1973,"Die Petersburger religiös-philosophischen Vereinigungen : die Entwicklung d. religiösen Selbstverständnisses ihrer Intelligencija-Mitglieder, (1901-1917) /","Scherrer, Jutta.","X002694570","STACKS","STACKS","BOOK","7/1/96","11/7/17",0,0,1,0,1,559,0,0,0.483984799173728,0.534013141190684,-0.43376738964381,-0.180125682714645,-1.72293407134099,-0.425582745053454,0.865516326444923,0.300785017432645,0.5673798067289,1812,0.4326201932711,"0",1,0,0,"0",1,TRUE
"8","DR 000001 .B45  BD.000022-000023 001975-001976","DR1 .B45 Bd.22-23 1975-1976",2499049,"ALDERMAN",1975,"Die Struktur der russischen Posadgemeinden und der Katalog der Beschwerden und Forderungen der Kaufmannschaft (1762-1767) /","Knabe, Bernd.","X002708607","STACKS","STACKS","BOOK","7/1/96","11/7/17",0,0,0,0,1,559,0,0,0.392747529994266,0.534013141190684,-0.43376738964381,-0.180125682714645,-1.72293407134099,-0.425582745053454,0.873976363903131,0.922707912512124,0.589622736328018,1770,0.410377263671982,"0",0,0,0,"0",1,TRUE
"9","DR 000001 .B45  BD.000024-000026","DR1 .B45 Bd.24-26",2499039,"ALDERMAN",1978,"Beiträge zur 3. Internationalen Konferenz über altrussische Geschichte. (Oxford, 1.-4. 9. 1975) /","Internationale Konferenz über Altrussische Geschichte","X002708603","STACKS","STACKS","BOOK","7/1/96","3/1/11",0,0,0,0,1,3002,0,0,0.255891626225074,0.534013141190684,-0.43376738964381,-0.180125682714645,-0.696045325146851,-0.425582745053454,0.758172246294171,0.0551269012503326,0.371070561687731,2280,0.628929438312269,"0",0,0,0,"0",1,TRUE
"10","DR 000001 .B45  BD.000027","DR1 .B45 Bd.27",2499032,"ALDERMAN",1980,"Beiträge zur 4. Internationalen Konferenz über Altrussische Geschichte. Begunov, ""Weisse Rus"" /","Internationale Konferenz über Altrussische Geschichte","X002694520","STACKS","STACKS","BOOK","7/1/96","3/1/11",0,0,0,0,1,3002,0,0,0.164654357045613,0.534013141190684,-0.43376738964381,-0.180125682714645,-0.696045325146851,-0.425582745053454,0.771603084942097,0.333900538040325,0.392601599634575,2187,0.607398400365425,"0",0,0,0,"0",1,TRUE
