"","Item.Shelving.Id","Item.Call.Number","Catalog.Id","Item.Library.Code","Catalog.Pub.Year","Catalog.Title","Catalog.Author","Item.Barcode","Item.Collection","Item.Status","Item.Type","Item.Created.Date","Item.Last.Checkout.Date","Item.Lifetime.Checkout","Item.Lifetime.Renewals","Item.Lifetime.Inhouse.Uses","Item.Legacy.Total.Charges","Number.of.Items","days_since_last_checkout","Item.Lifetime.Checkout.Corrected","checkouts_per_day","x0","x1","x2","x3","x4","x5","scoreA","scoreB","scoreC","modelC","dscoreC","model","NumInhouseUses","NumCheckouts","NumRenewals","MODEL","n","MultiVolume"
"1","DU 000001 .I44  1945  V.000002 NO.000001","DU1 .I44 1945 v.2 no.1",7344018,"ALDERMAN",1945,"The Australian balance of payments /","Giblin, L. F. (Lyndhurst Falkiner),","X031955551","STACKS","STACKS","BOOK","1/16/18","1/1/00",0,0,0,0,1,7079,0,0,0.764454376910555,-4.17433315150809,-0.510669997909652,-0.0707550447182798,1.08679708176467,-0.296933610795623,0.858033169425692,0.504615062382072,0.859653096871674,394,0.140346903128326,"1",0,0,0,"1",1,TRUE
"2","DU 000001 .I44  1945  V.000005 NO.000003","DU1 .I44 1945 v.5 no.3",7344017,"ALDERMAN",1945,"A program of social and cultural activity in Indo-China /","De La R. (De La Roche)","X031955550","STACKS","STACKS","BOOK","1/16/18","1/1/00",0,0,0,0,1,7079,0,0,0.764454376910555,-4.17433315150809,-0.510669997909652,-0.0707550447182798,1.08679708176467,-0.296933610795623,0.858033169425692,0.250965018989518,0.859653096871674,394,0.140346903128326,"1",0,0,0,"1",1,TRUE
"3","DU 000001 .I525  1947  NO.000001","DU1 .I525 1947 no.1",272885,"ALDERMAN",1947,"United States economic policy towards the Philippine Republic. Based on a larger IPR research report on United States relations with the Philippine Republic to be pub. later. Submitted by the American IPR as a document for the Tenth Conference of the Institute of Pacific Relations to be held at Stratford-upon-Avon, England, Sept","Jenkins, Shirley.","X001124512","STACKS","STACKS","BOOK","6/28/96","1/1/00",0,0,0,0,1,7079,0,0,0.719905390033611,0.379126982416804,-0.510669997909652,-0.0707550447182798,1.08679708176467,-0.296933610795623,0.554175447898787,0.382847828324884,0.0631802316533544,1908,0.936819768346646,"0",0,0,0,"1",2,TRUE
"4","DU 000001 .I525  1947  NO.000001","DU1 .I525 1947 no.1",272885,"ALDERMAN",1947,"United States economic policy towards the Philippine Republic. Based on a larger IPR research report on United States relations with the Philippine Republic to be pub. later. Submitted by the American IPR as a document for the Tenth Conference of the Institute of Pacific Relations to be held at Stratford-upon-Avon, England, Sept","Jenkins, Shirley.","X030533117","STACKS","STACKS","BOOK","3/16/09","3/16/09",0,0,0,0,1,3717,0,0,0.719905390033611,-2.30713684659072,-0.510669997909652,-0.0707550447182798,-0.371250097695823,-0.296933610795623,0.517139000489732,0.791265290463343,0.809661401868268,471,0.190338598131732,"1",0,0,0,"1",2,TRUE
"5","DU 000001 .I525  1947  NO.000002","DU1 .I525 1947 no.2",4865699,"ALDERMAN",1947,"Two problems related to economic development in the Orient : Based on a larger research study for the IPR on economic development in the Orient /","Staley, Eugene,","X030574082","STACKS","STACKS","BOOK","4/20/09","5/4/09",0,0,0,0,1,3668,0,0,0.719905390033611,-2.32738215968617,-0.510669997909652,-0.0707550447182798,-0.392500636599323,-0.296933610795623,0.514956027654439,0.284237516578287,0.815974295606413,461,0.184025704393587,"1",0,0,0,"1",1,TRUE
"6","DU 000001 .I525  1947  NO.000003","DU1 .I525 1947 no.3",972953,"ALDERMAN",1947,"American business with East Asia;","Stein, Guenther.","X030533116","STACKS","STACKS","BOOK","6/29/96","3/16/09",0,0,0,0,1,3717,0,0,0.719905390033611,0.378548544899791,-0.510669997909652,-0.0707550447182798,-0.371250097695823,-0.296933610795623,0.296365085117198,0.684117215918377,0.224806292318847,1544,0.775193707681153,"0",0,0,0,"0",1,TRUE
"7","DU 000001 .I525  1947  NO.000004","DU1 .I525 1947 no.4",972954,"ALDERMAN",1947,"The results of the Allied occupation of Japan, an interim report.","Martin, Edwin M.","X000501308","STACKS","STACKS","BOOK","6/29/96","3/16/09",0,0,0,3,1,3717,3,0.000358851674641148,0.719905390033611,0.378548544899791,-0.188134975482765,-0.0707550447182798,-0.371250097695823,-0.162374935117214,0.358063790774504,0.609974005026743,0.285908594550313,1445,0.714091405449687,"0",0,3,0,"0",1,TRUE
"8","DU 000001 .I525  1947  NO.000005","DU1 .I525 1947 no.5",972955,"ALDERMAN",1947,"Issues in Micronesia;","Dean, Arthur Lyman,","X002706984","STACKS","STACKS","BOOK","6/29/96","3/16/09",0,0,1,1,1,3717,1,0.000119617224880383,0.719905390033611,0.378548544899791,-0.403158323767357,-0.0707550447182798,-0.371250097695823,-0.25208071890282,0.31625469033898,0.168553175637498,0.244094271567416,1514,0.755905728432584,"0",1,1,0,"0",1,TRUE
"9","DU 000001 .I525  1950  NO.000002","DU1 .I525 1950 no.2",972956,"ALDERMAN",1950,"American policy in Southeast Asia.","Finkelstein, Lawrence S.","X000382682","STACKS","STACKS","BOOK","6/29/96","1/1/00",0,0,0,0,1,7079,0,0,0.653081909718194,0.378548544899791,-0.510669997909652,-0.0707550447182798,1.08679708176467,-0.296933610795623,0.554518260453445,0.0051438242662698,0.0672890683499508,1900,0.932710931650049,"0",0,0,0,"0",1,TRUE
"10","DU 000001 .I525  1950  NO.000003","DU1 .I525 1950 no.3",972957,"ALDERMAN",1950,"Commentaries on American Far Eastern policy.","Lippmann, Walter,","X000382669","STACKS","STACKS","BOOK","6/29/96","1/1/00",0,0,0,0,1,7079,0,0,0.653081909718194,0.378548544899791,-0.510669997909652,-0.0707550447182798,1.08679708176467,-0.296933610795623,0.554518260453445,0.831355464411899,0.0672890683499508,1900,0.932710931650049,"0",0,0,0,"0",1,TRUE
"11","DU 000001 .I54  1936  NO.000017","DU1 .I54 1936 no.17",972959,"ALDERMAN",1936,"The red influence in China,","?tsuka, Reiz?,","X030533110","STACKS","STACKS","BOOK","6/29/96","3/16/09",0,0,0,0,1,3717,0,0,0.964924817856806,0.378548544899791,-0.510669997909652,-0.0707550447182798,-0.371250097695823,-0.296933610795623,0.295458558554616,0.372649866621941,0.18499080669992,1606,0.81500919330008,"0",0,0,0,"0",1,TRUE
