"","Item.Shelving.Id","Item.Call.Number","Catalog.Id","Item.Library.Code","Catalog.Pub.Year","Catalog.Title","Catalog.Author","Item.Barcode","Item.Collection","Item.Status","Item.Type","Item.Created.Date","Item.Last.Checkout.Date","Item.Lifetime.Checkout","Item.Lifetime.Renewals","Item.Lifetime.Inhouse.Uses","Item.Legacy.Total.Charges","Number.of.Items","days_since_last_checkout","Item.Lifetime.Checkout.Corrected","checkouts_per_day","x0","x1","x2","x3","x4","x5","scoreA","scoreB","scoreC","modelC","dscoreC","model","NumInhouseUses","NumCheckouts","NumRenewals","MODEL","n","MultiVolume"
"1","HA 000001 .A38  A15  T.21","HA1 .A38 A15 t.21",2089590,"ALDERMAN",1973,"Statistika kachestva produkt?sii /","","X002214734","STACKS","STACKS","BOOK","6/30/96","1/1/00",0,0,0,0,1,7079,0,0,-0.00888877707351253,0.950672445410621,-0.255147943987467,-0.136034730622901,0.618831053997743,-0.256028655719069,0.433006863423136,0.507284136954695,0.139943096642449,1465,0.860056903357551,"0",0,0,0,"0",1,TRUE
"2","HA 000001 .A38  A15  T.25","HA1 .A38 A15 t.25",2079693,"ALDERMAN",1974,"Statisticheskie issledovanii?a v otrasli?akh narodnogo khozi?a?stva. [Sbornik state?.","","X002215326","STACKS","STACKS","BOOK","6/30/96","1/1/00",0,0,0,0,1,7079,0,0,-0.0215697769745835,0.950672445410621,-0.255147943987467,-0.136034730622901,0.618831053997743,-0.256028655719069,0.43022932331135,0.11504752212204,0.141476349548256,1461,0.858523650451744,"0",0,0,0,"0",1,TRUE
"3","HA 000001 .A38  A15  T.49","HA1 .A38 A15 t.49",765408,"ALDERMAN",1985,"Statistika, veroi?atnost?, ?konomika /","","X001284086","STACKS","STACKS","BOOK","6/29/96","1/1/00",0,0,0,0,1,7079,0,0,-0.161060775886364,0.951029342422283,-0.255147943987467,-0.136034730622901,0.618831053997743,-0.256028655719069,0.399974275746429,0.143652195110917,0.159232794842324,1401,0.840767205157676,"0",0,0,0,"0",1,TRUE
"4","HA 000001 .M332","HA1 .M332",986413,"ALDERMAN",1934,"Economic and social investigations in Manchester, 1833-1933; a centenary history of the Manchester Statistical Society,","Ashton, T. S. (Thomas Southcliffe)","X001198788","STACKS","STACKS","BOOK","6/29/96","1/1/00",0,0,0,0,1,7079,0,0,0.485670219068254,0.951029342422283,-0.255147943987467,-0.136034730622901,0.618831053997743,-0.256028655719069,0.542856520332959,0.577422426780686,0.0902424203427693,1535,0.909757579657231,"0",0,0,0,"0",1,FALSE
"5","HA 000001 .S3  V.49  1990","HA1 .S3 v.49 1990",3634778,"ALDERMAN",1990,"Basic content analysis /","Weber, Robert Philip.","X031602616","STACKS","CHECKEDOUT","BOOK","1/29/13","4/17/18",3,2,0,5,1,398,3,0.00217202432667246,-0.224465775391718,-1.21105275422418,0.131838723017874,0.96634153186698,-2.47777158982308,1.43925693370171,0.449439937799946,0.468047105707228,0.98279378806684,131,0.0172062119331602,"1",0,3,2,"1",1,TRUE
"6","HA 001007 .M35  V.000001","HA1007 .M35 v.1",270696,"ALDERMAN",1978,"Historical statistics of Chile /","Mamalakis, Markos.","X000000827","STACKS","STACKS","BOOK","6/28/96","8/19/13",1,2,2,5,1,2100,3,0.000598014591556034,-0.0722937765788672,0.951386239433945,0.131838723017874,0.96634153186698,-1.68890499802799,0.210727405379678,0.347638490921539,0.506495398003608,0.719433083170357,506,0.280566916829643,"0",3,5,2,"0",4,TRUE
"7","HA 001007 .M35  V.000002","HA1007 .M35 v.2",270696,"ALDERMAN",1978,"Historical statistics of Chile /","Mamalakis, Markos.","X000089006","STACKS","STACKS","BOOK","6/28/96","1/1/00",0,0,1,1,1,7079,1,0.000119602918311207,-0.0722937765788672,0.951386239433945,-0.12615238831902,-0.136034730622901,0.618831053997743,-0.162677443499319,0.426641974449139,0.845505028963089,0.164643519847557,1383,0.835356480152443,"0",3,5,2,"0",4,TRUE
"8","HA 001007 .M35  V.000003","HA1007 .M35 v.3",270696,"ALDERMAN",1978,"Historical statistics of Chile /","Mamalakis, Markos.","X000405083","STACKS","STACKS","BOOK","6/28/96","1/1/00",0,0,0,0,1,7079,0,0,-0.0722937765788672,0.951386239433945,-0.255147943987467,-0.136034730622901,0.618831053997743,-0.256028655719069,0.419108611875417,0.429041323717684,0.14766021569143,1442,0.85233978430857,"0",3,5,2,"0",4,TRUE
"9","HA 001007 .M35  V.000004","HA1007 .M35 v.4",270696,"ALDERMAN",1978,"Historical statistics of Chile /","Mamalakis, Markos.","X000821152","STACKS","STACKS","BOOK","6/28/96","1/1/00",0,0,0,1,1,7079,1,0.000119602918311207,-0.0722937765788672,0.951386239433945,-0.12615238831902,-0.136034730622901,0.618831053997743,-0.162677443499319,0.426641974449139,0.48482010839507,0.164643519847557,1383,0.835356480152443,"0",3,5,2,"0",4,TRUE
"10","HA 001011.5 1973  .I55  1981","HA1011.5 1973 .I55 1981",52338,"ALDERMAN",1981,"Intendencias y comisarías : XIV censo nacional de población y III de vivienda : Octubre 24 de 1973.","","X000888366","STACKS","STACKS","BOOK","6/28/96","8/20/09",0,0,1,0,1,3560,0,0,-0.11033677628208,0.951386239433945,-0.255147943987467,-0.136034730622901,-1.01220392633536,-0.256028655719069,0.345245951643554,0.87619844917208,0.479013966221111,995,0.520986033778889,"0",1,0,0,"0",1,FALSE
