"","Item.Shelving.Id","Item.Call.Number","Catalog.Id","Item.Library.Code","Catalog.Pub.Year","Catalog.Title","Catalog.Author","Item.Barcode","Item.Collection","Item.Status","Item.Type","Item.Created.Date","Item.Last.Checkout.Date","Item.Lifetime.Checkout","Item.Lifetime.Renewals","Item.Lifetime.Inhouse.Uses","Item.Legacy.Total.Charges","Number.of.Items","days_since_last_checkout","Item.Lifetime.Checkout.Corrected","checkouts_per_day","x0","x1","x2","x3","x4","x5","scoreA","scoreB","scoreC","modelC","dscoreC","model","NumInhouseUses","NumCheckouts","NumRenewals","MODEL","n","MultiVolume"
"1","HE 000001 .R47  V.16","HE1 .R47 v.16",4441642,"ALDERMAN",2006,"Port economics /","","X030144827","STACKS","CHECKEDOUT","BOOK","11/6/06","9/9/15",1,2,0,16,1,1349,14,0.00349497597204019,-0.37132148385484,-0.709560956876381,1.03642152050029,0.40169468870927,-1.38559782798466,1.66092951526381,0.661599208933854,0.0891991276293993,0.970770221252677,244,0.0292297787473235,"1",0,14,2,"1",1,TRUE
"2","HE 000001 .R47  V.20","HE1 .R47 v.20",4622496,"ALDERMAN",2007,"Railroad economics /","","X030262513","STACKS","STACKS","BOOK","11/21/07","10/2/09",0,0,0,9,1,3517,9,0.00214387803716055,-0.38416249896585,-0.845534971996514,0.503633025948884,-0.158472395699925,-0.495052191736127,0.846050885119111,0.508936845503582,0.21887095621787,0.90276948914312,618,0.0972305108568802,"1",0,9,0,"1",1,TRUE
"3","HE 000001 .R47  V.21","HE1 .R47 v.21",4622621,"ALDERMAN",2007,"Maritime transport : the Greek paradigm /","","X030263023","STACKS","STACKS","BOOK","11/20/07","1/1/00",0,0,0,0,1,7079,0,0,-0.38416249896585,-0.845177145640934,-0.455386264243654,-0.158472395699925,0.968104430181433,-0.44697188770774,0.287152763639555,0.628013792214915,0.451614132758039,1972,0.548385867241961,"0",0,0,0,"0",1,TRUE
"4","HE 000001 .T62  V.000010 JAN.-JUNE 001971","HE1 .T62 v.10 Jan.-June 1971",7323472,"ALDERMAN",1964,"Traffic management","[Watson Publications, Inc.]","X031950469","STACKS","STACKS","BOOK","12/21/17","1/1/00",0,0,0,0,1,7079,0,0,0.1680011508076,-2.16340943959506,-0.455386264243654,-0.158472395699925,0.968104430181433,-0.44697188770774,0.113366200949577,0.236385593190789,0.639205532197467,1402,0.360794467802533,"0",0,0,0,"0",13,TRUE
"5","HE 000001 .T62  V.000010 JULY-DEC. 001971","HE1 .T62 v.10 July-Dec. 1971",7323472,"ALDERMAN",1964,"Traffic management","[Watson Publications, Inc.]","X031950471","STACKS","STACKS","BOOK","12/21/17","1/1/00",0,0,0,0,1,7079,0,0,0.1680011508076,-2.16340943959506,-0.455386264243654,-0.158472395699925,0.968104430181433,-0.44697188770774,0.113366200949577,0.0397640974260867,0.639205532197467,1402,0.360794467802533,"0",0,0,0,"0",13,TRUE
"6","HE 000001 .T62  V.000011 JAN.-JUNE 001972","HE1 .T62 v.11 Jan.-June 1972",7323472,"ALDERMAN",1964,"Traffic management","[Watson Publications, Inc.]","X031950476","STACKS","STACKS","BOOK","12/21/17","1/1/00",0,0,0,0,1,7079,0,0,0.1680011508076,-2.16340943959506,-0.455386264243654,-0.158472395699925,0.968104430181433,-0.44697188770774,0.113366200949577,0.168502048589289,0.639205532197467,1402,0.360794467802533,"0",0,0,0,"0",13,TRUE
"7","HE 000001 .T62  V.000011 JULY-DEC. 001972","HE1 .T62 v.11 July-Dec. 1972",7323472,"ALDERMAN",1964,"Traffic management","[Watson Publications, Inc.]","X031950470","STACKS","STACKS","BOOK","12/21/17","1/1/00",0,0,0,0,1,7079,0,0,0.1680011508076,-2.16340943959506,-0.455386264243654,-0.158472395699925,0.968104430181433,-0.44697188770774,0.113366200949577,0.589907267596573,0.639205532197467,1402,0.360794467802533,"0",0,0,0,"0",13,TRUE
"8","HE 000001 .T62  V.000003 001964","HE1 .T62 v.3 1964",7323472,"ALDERMAN",1964,"Traffic management","[Watson Publications, Inc.]","X031950468","STACKS","STACKS","BOOK","12/21/17","1/1/00",0,0,0,0,1,7079,0,0,0.1680011508076,-2.16340943959506,-0.455386264243654,-0.158472395699925,0.968104430181433,-0.44697188770774,0.113366200949577,0.395691144280136,0.639205532197467,1402,0.360794467802533,"0",0,0,0,"0",13,TRUE
"9","HE 000001 .T62  V.000004 001965","HE1 .T62 v.4 1965",7323472,"ALDERMAN",1964,"Traffic management","[Watson Publications, Inc.]","X031964586","STACKS","STACKS","BOOK","12/19/17","1/1/00",0,0,0,0,1,7079,0,0,0.1680011508076,-2.1626937868839,-0.455386264243654,-0.158472395699925,0.968104430181433,-0.44697188770774,0.11341388718158,0.416134698083624,0.639040470630017,1403,0.360959529369983,"0",0,0,0,"0",13,TRUE
"10","HE 000001 .T62  V.000005 001966","HE1 .T62 v.5 1966",7323472,"ALDERMAN",1964,"Traffic management","[Watson Publications, Inc.]","X031964587","STACKS","STACKS","BOOK","12/19/17","1/1/00",0,0,0,0,1,7079,0,0,0.1680011508076,-2.1626937868839,-0.455386264243654,-0.158472395699925,0.968104430181433,-0.44697188770774,0.11341388718158,0.191242387285456,0.639040470630017,1403,0.360959529369983,"0",0,0,0,"0",13,TRUE
