"","Item.Shelving.Id","Item.Call.Number","Catalog.Id","Item.Library.Code","Catalog.Pub.Year","Catalog.Title","Catalog.Author","Item.Barcode","Item.Collection","Item.Status","Item.Type","Item.Created.Date","Item.Last.Checkout.Date","Item.Lifetime.Checkout","Item.Lifetime.Renewals","Item.Lifetime.Inhouse.Uses","Item.Legacy.Total.Charges","Number.of.Items","days_since_last_checkout","Item.Lifetime.Checkout.Corrected","checkouts_per_day","x0","x1","x2","x3","x4","x5","scoreA","scoreB","scoreC","modelC","dscoreC","model","NumInhouseUses","NumCheckouts","NumRenewals","MODEL","n","MultiVolume"
"1","HJ 000010 .B3  D4","HJ10 .B3 D4",762031,"ALDERMAN",1840,"Remarks of Mr. Dellet, of Alabama, on the civil and diplomatic appropriation bill. Delivered in committee of the whole, in the House of representatives, April 25 and 27, 1840.","Dellet, James,","X031886925","STACKS","STACKS","BOOK","6/29/96","1/1/00",0,0,0,0,1,7079,0,0,1.51114541130247,0.537501431646638,-0.380012611144726,-0.166838223284957,0.780296090008049,-0.389623848423267,0.700925177076711,0.143598170718178,0.0388300972074919,2410,0.961169902792508,"0",0,0,0,"0",1,TRUE
"2","HJ 000010 .H2632","HJ10 .H2632",272257,"CLEMONS",1937,"Board of Tax Appeals Index-digest, 1-30; organizing the official index-digests of all decisions promulgated by the U.S. Board of Tax Appeals from its beginning to July 31, 1934, as officially reported in volumes 1 to 30 United States Board of Tax Appeals Reports.","Commerce Clearing House.","272257-1001","BY-REQUEST","BY-REQUEST","BOOK","6/28/96","1/1/00",0,0,0,0,2,7079,0,0,0.429643612001,0.537885207151801,-0.380012611144726,-0.166838223284957,0.780296090008049,-0.389623848423267,0.641947629043371,0.250427714316174,0.106420458039351,2356,0.893579541960649,"0",0,0,0,"0",1,FALSE
"3","HJ 000010.3 .T39  2017","HJ10.3 .T39 2017",7307093,"ALDERMAN",2017,"Tax policy and the economy /","","X031810162","STACKS","STACKS","BOOK","11/29/17","12/1/17",0,0,0,0,1,535,0,0,-0.46231663484557,-2.46477434524639,-0.380012611144726,-0.166838223284957,-1.91478893515522,-0.389623848423267,0.37545096288132,0.770882970886305,0.988590877338281,81,0.0114091226617195,"1",0,0,0,"1",1,FALSE
"4","HJ 001000 .A98  1993  T.000001","HJ1000 .A98 1993 t.1",2798644,"ALDERMAN",1993,"Aux sources de la gestion publique /","","X004241041","STACKS","STACKS","BOOK","6/1/98","1/1/00",0,0,1,0,1,7079,0,0,-0.194728560791599,0.268091027021954,-0.380012611144726,-0.166838223284957,0.780296090008049,-0.389623848423267,0.64307823638966,0.869925719918683,0.225539531550486,1922,0.774460468449514,"0",1,0,0,"0",3,TRUE
"5","HJ 001000 .A98  1993  T.000002","HJ1000 .A98 1993 t.2",2798644,"ALDERMAN",1993,"Aux sources de la gestion publique /","","X004241042","STACKS","STACKS","BOOK","6/1/98","1/1/00",0,0,0,0,1,7079,0,0,-0.194728560791599,0.268091027021954,-0.380012611144726,-0.166838223284957,0.780296090008049,-0.389623848423267,0.64307823638966,0.281634242506698,0.225539531550486,1922,0.774460468449514,"0",1,0,0,"0",3,TRUE
"6","HJ 001000 .A98  1993  T.000003","HJ1000 .A98 1993 t.3",2798644,"ALDERMAN",1993,"Aux sources de la gestion publique /","","X004241043","STACKS","STACKS","BOOK","6/1/98","1/1/00",0,0,0,0,1,7079,0,0,-0.194728560791599,0.268091027021954,-0.380012611144726,-0.166838223284957,0.780296090008049,-0.389623848423267,0.64307823638966,0.953894851030782,0.225539531550486,1922,0.774460468449514,"0",1,0,0,"0",3,TRUE
"7","HJ 001000 .D56  2011","HJ1000 .D56 2011",5418893,"ALDERMAN",2011,"Political transformations and public finances : Europe, 1650-1913 /","Dincecco, Mark,","X031188596","STACKS","CHECKEDOUT","BOOK","10/7/11","10/3/18",2,4,0,6,1,229,2,0.00215672178289001,-0.395419616332077,-1.60319833615463,-0.173611523656888,0.988676743983864,-2.04081216524385,1.00358876994182,0.242117390404693,0.0632722536101937,0.979483955011342,161,0.0205160449886582,"1",0,2,4,"1",1,FALSE
"8","HJ 001000 .E25  1995","HJ1000 .E25 1995",2505326,"ALDERMAN",1995,"Economic systems and state finance /","","X002715498","STACKS","STACKS","BOOK","7/1/96","2/23/11",0,0,2,10,1,3008,10,0.00119645848289064,-0.217027566962763,0.536733880636311,0.651992826294465,-0.166838223284957,-0.896307078916107,0.383271881075753,0.213984744815362,0.306860427139327,0.77357232510466,767,0.22642767489534,"0",2,10,0,"0",1,FALSE
"9","HJ 001000 .F55  1994","HJ1000 .F55 1994",2289694,"ALDERMAN",1994,"Fiscal crises, liberty, and representative government, 1450-1789 /","","X002444797","STACKS","CHECKEDOUT","BOOK","7/1/96","3/8/19",1,20,3,34,1,73,14,0.00406795884182819,-0.205878063877181,0.536733880636311,1.06479500127014,5.61073661305915,-2.10505930215177,2.2382216318734,0.0746791861076083,0.758273642277345,0.944747206578828,297,0.0552527934211718,"1",3,14,20,"1",1,FALSE
"10","HJ 001000 .F5645  2009","HJ1000 .F5645 2009",5205572,"ALDERMAN",2009,"Fiscal policy making in the European Union : an assessment of current practice and challenges /","","X030780510","STACKS","STACKS","BOOK","8/18/10","8/24/10",0,0,0,0,1,3191,0,0,-0.373120610160913,-1.44393150151183,-0.380012611144726,-0.166838223284957,-0.820940245235655,-0.389623848423267,0.496000946040701,0.901962420437485,0.90533663251266,412,0.0946633674873395,"1",0,0,0,"1",1,FALSE
