"","Item.Shelving.Id","Item.Call.Number","Catalog.Id","Item.Library.Code","Catalog.Pub.Year","Catalog.Title","Catalog.Author","Item.Barcode","Item.Collection","Item.Status","Item.Type","Item.Created.Date","Item.Last.Checkout.Date","Item.Lifetime.Checkout","Item.Lifetime.Renewals","Item.Lifetime.Inhouse.Uses","Item.Legacy.Total.Charges","Number.of.Items","days_since_last_checkout","Item.Lifetime.Checkout.Corrected","checkouts_per_day","x0","x1","x2","x3","x4","x5","scoreA","scoreB","scoreC","modelC","dscoreC","model","NumInhouseUses","NumCheckouts","NumRenewals","MODEL","n","MultiVolume"
"1","HS 001001 .W5  1896","HS1001 .W5 1896",1631026,"ALDERMAN",1896,"Digest of the laws and decisions of the Sovereign Grand Lodge of the Independent Order of Odd Fellows from its organization to 1896.","White, John Hull.","X001478830","STACKS","STACKS","BOOK","6/30/96","11/3/15",0,0,1,0,1,1294,0,0,2.69633028820877,0.466650138011161,-0.46634725458236,-0.22515817651588,-1.22195753507172,-0.362315765406951,0.907962577565779,0.503611656371504,0.0826124098187624,571,0.917387590181238,"0",1,0,0,"0",1,FALSE
"2","HS 001019 .O3  1930","HS1019 .O3 1930",1628686,"ALDERMAN",1930,"Revised Odd-fellowship illustrated. The complete revised ritual of the lodge, encampment and Rebekah degrees, with the secret ""work"" added; profusely illustrated, by a past grand patriarch.  With an historical sketch of the order, and an introduction and critical analysis of the character of each degree by President J. Blanchard","Independent Order of Odd Fellows. Sovereign Grand Lodge.","X001476795","STACKS","STACKS","BOOK","6/30/96","9/14/09",0,0,0,1,1,3535,1,0.000119631534872592,1.56005277764115,0.466650138011161,-0.392723715120661,-0.22515817651588,-0.346485595746334,-0.324275921710256,0.851560716612614,0.462091422406957,0.111754761324564,553,0.888245238675436,"0",0,1,0,"0",1,FALSE
"3","HS 001030 .W7  1914","HS1030 .W7 1914",792146,"ALDERMAN",1914,"Album of Odd Fellows homes.","","X001290192","STACKS","STACKS","BOOK","6/29/96","1/1/00",0,0,0,0,1,7079,0,0,2.09477160614356,0.467107826642055,-0.46634725458236,-0.22515817651588,1.03801799772496,-0.362315765406951,0.964489967632023,0.14490992273204,0.016852756166012,606,0.983147243833988,"0",0,0,0,"0",1,FALSE
"4","HS 000125 .E55  1998","HS125 .E55 1998",2788118,"ALDERMAN",1998,"Warrior cults : a history of magical, mystical and murderous organizations /","Elliott, Paul,","X006048485","STACKS","STACKS","BOOK","4/20/98","7/24/07",0,0,0,14,1,4318,14,0.00181818181818182,-0.712502243494086,0.16503333025152,0.564382297881425,-0.22515817651588,-0.040597809716983,0.215820695430634,0.244137269648694,0.122042249655351,0.759957956269257,194,0.240042043730743,"0",0,14,0,"0",1,FALSE
"5","HS 000125 .G44  1987","HS125 .G44 1987",1786369,"ALDERMAN",1987,"Geheimgesellschaften und der Mythos der Weltverschwörung /","","X002058999","STACKS","STACKS","BOOK","6/30/96","9/14/09",0,0,0,1,1,3535,1,0.000119631534872592,-0.34488304889868,0.466650138011161,-0.392723715120661,-0.22515817651588,-0.346485595746334,-0.324275921710256,0.47629144656237,0.858700767625123,0.458097213009348,309,0.541902786990652,"0",0,1,0,"0",1,FALSE
"6","HS 000125 .G65  2009","HS125 .G65 2009",5004720,"CLEMONS",2009,"Cults, conspiracies, and secret societies : the straight scoop on Freemasons, the Illuminati, Skull and Bones, Black Helicopters, the New World Order, and many, many more /","Goldwag, Arthur.","X030565128","BY-REQUEST","BY-REQUEST","BOOK","9/1/09","4/23/13",2,14,1,18,1,2218,4,0.00507328072153326,-1.08012143808949,-1.73528986522349,-0.171853096735564,2.5207869957687,-0.860986507879994,1.25086094324358,0.109719803624435,0.762454866664484,0.970816803872213,62,0.0291831961277872,"1",1,4,14,"1",1,FALSE
"7","HS 000126 .I51  1980","HS126 .I51 1980",1327470,"ALDERMAN",1980,"T?r?kh al-jam??y?t al-sirr?yah wa-al-?arak?t al-hadd?mah f? al-mashriq /","?In?n, Mu?ammad ?Abd All?h,","X001504442","STACKS","STACKS","BOOK","6/30/96","9/14/09",0,0,0,0,1,3535,0,0,-0.110943561428876,0.466650138011161,-0.46634725458236,-0.22515817651588,-0.346485595746334,-0.362315765406951,0.54794123054076,0.483327503316104,0.383299166566083,359,0.616700833433917,"0",0,0,0,"0",1,FALSE
"8","HS 000126 .M3  1968A","HS126 .M3 1968a",1139193,"ALDERMAN",1968,"Secret societies;","MacKenzie, Norman,","X000210217","STACKS","STACKS","BOOK","6/29/96","5/13/16",4,19,3,48,1,1102,29,0.00574162679425837,0.29009555994793,0.467107826642055,1.66873538980691,3.50148170015604,-1.29696450176091,1.46337832144858,0.134538067435777,0.745979369385168,0.901009909344794,118,0.0989900906552056,"1",3,29,19,"1",1,FALSE
"9","HS 001355 .C34  P843  1984","HS1355 .C34 P843 1984",705870,"ALDERMAN",1984,"Carbonária, o, exército secreto da república /","Brandão, José.","X001189032","STACKS","STACKS","BOOK","6/29/96","1/1/00",0,0,0,0,1,7079,0,0,-0.244623268554478,0.467107826642055,-0.46634725458236,-0.22515817651588,1.03801799772496,-0.362315765406951,0.738835400132581,0.426945576211438,0.150990967205405,510,0.849009032794595,"0",0,0,0,"0",1,FALSE
"10","HS 001355 .S63  S63  2015","HS1355 .S63 S63 2015",7562758,"ALDERMAN",2015,"La Sociedad Abakuá : los hijos de Ékpè /","Coloquio Internacional sobre Investigaciones de las Religiones Afroamericanas","X032404481","STACKS","STACKS","BOOK","6/4/18","1/1/00",0,0,0,0,1,7079,0,0,-1.28064099877789,-3.1989781068249,-0.46634725458236,-0.22515817651588,1.03801799772496,-0.362315765406951,0.232084677835338,0.00190482055768371,0.95144357468579,86,0.0485564253142101,"1",0,0,0,"1",1,FALSE
