"","Item.Shelving.Id","Item.Call.Number","Catalog.Id","Item.Library.Code","Catalog.Pub.Year","Catalog.Title","Catalog.Author","Item.Barcode","Item.Collection","Item.Status","Item.Type","Item.Created.Date","Item.Last.Checkout.Date","Item.Lifetime.Checkout","Item.Lifetime.Renewals","Item.Lifetime.Inhouse.Uses","Item.Legacy.Total.Charges","Number.of.Items","days_since_last_checkout","Item.Lifetime.Checkout.Corrected","checkouts_per_day","x0","x1","x2","x3","x4","x5","scoreA","scoreB","scoreC","modelC","dscoreC","model","NumInhouseUses","NumCheckouts","NumRenewals","MODEL","n","MultiVolume"
"1","HT 000101 .M66  2015","HT101 .M66 2015",6691348,"ALDERMAN",2015,"MONU #23 : participatory urbanism.","","X031782604","STACKS","STACKS","BOOK","2/16/16","3/29/16",1,0,1,1,1,1147,1,0.000841042893187553,-0.646891045688683,-2.32305876652256,-0.457053497835412,-0.26190690799498,-1.07428214441739,-0.230996710901849,0.733088030801128,0.931341689778492,0.973069039409902,498,0.0269309605900984,"1",1,1,0,"1",1,FALSE
"2","HT 000101 .R39  V.1","HT101 .R39 v.1",4232201,"ALDERMAN",1989,"Race, class, and urban change /","","X001608524","STACKS","STACKS","BOOK","3/18/05","12/15/12",1,0,0,2,1,2347,2,0.000386398763523957,-0.0510421526710969,-0.689141473358276,-0.392775450460892,-0.26190690799498,-0.63024804372591,-0.381937918807394,0.56154494058604,0.201372182928026,0.72664291155367,2264,0.27335708844633,"1",0,2,0,"1",1,TRUE
"3","HT 000101 .R39  V.7","HT101 .R39 v.7",4232198,"ALDERMAN",2004,"Race and ethnicity in New York city /","","X004810762","STACKS","STACKS","BOOK","3/18/05","12/15/12",1,0,1,2,1,2347,2,0.000386398763523957,-0.394801129412012,-0.689141473358276,-0.392775450460892,-0.26190690799498,-0.63024804372591,-0.381937918807394,0.619226944840099,0.943342777900398,0.789417061905197,1993,0.210582938094803,"1",1,2,0,"1",1,TRUE
"4","HT 001023 .F55  1982","HT1023 .F55 1982",131085,"ALDERMAN",1982,"Fiscal stress in cities /","","X000505285","STACKS","STACKS","BOOK","6/28/96","1/1/00",0,0,0,0,2,7079,0,0,0.10937870314133,0.616107229608429,-0.521331545209933,-0.26190690799498,1.1207264266675,-0.510221761694951,0.161834802013661,0.0656816849950701,0.0856813543977013,5422,0.914318645602299,"0",0,0,0,"0",1,FALSE
"5","HT 001025 .A26  2003","HT1025 .A26 2003",3993680,"ALDERMAN",2003,"The abolitions of slavery : from Léger Félcité Sonthonax to Victor Schoelcher, 1793, 1794, 1848 /","","X004702215","STACKS","STACKS","BOOK","12/9/03","4/2/18",2,0,4,15,1,413,15,0.00265910299592271,-0.371883864295951,-0.498579260837235,0.442839165407876,-0.26190690799498,-1.34588300267368,0.372596671365674,0.877101678298098,0.795662021497265,0.934574869219833,1014,0.0654251307801674,"1",4,15,0,"1",1,FALSE
"6","HT 001025 .A37  2000","HT1025 .A37 2000",3562764,"ALDERMAN",2000,"After slavery : emancipation and its discontents /","","X006091665","STACKS","STACKS","BOOK","9/5/00","4/24/18",5,11,9,39,1,391,28,0.0057092665788318,-0.303132068947768,-0.0109039212672567,1.27845378127664,1.63577274132959,-1.35402362785302,1.38524666610873,0.939463804663566,0.126208428293467,0.950098443027674,851,0.0499015569723261,"1",9,28,11,"1",1,FALSE
"7","HT 001025 .A57","HT1025 .A57",256452,"ALDERMAN",1980,"Anti-slavery, religion, and reform : essays in memory of Roger Anstey /","","X000142737","STACKS","STACKS","BOOK","6/28/96","7/2/18",4,7,3,27,1,322,20,0.00322927879440258,0.155213233373452,0.616107229608429,0.764229402280479,0.945707414302474,-1.37955558864278,0.561894229886316,0.875566933153583,0.987362279789522,0.797778043319338,1953,0.202221956680662,"1",3,20,7,"1",1,FALSE
"8","HT 001025 .B74  1993","HT1025 .B74 1993",2253811,"ALDERMAN",1993,"Breaking the chains : slavery, bondage, and emancipation in modern Africa and Asia /","","X002328065","STACKS","STACKS","BOOK","7/1/96","1/14/08",0,0,6,35,2,4144,35,0.00418760469011725,-0.142711213135341,0.614877795979261,1.72840011289829,-0.26190690799498,0.034693022059582,0.880057071609065,0.852361022512644,0.736890511820093,0.772334536590376,2084,0.227665463409624,"1",6,35,0,"1",1,FALSE
"9","HT 001025 .G56  2013","HT1025 .G56 2013",6076406,"ALDERMAN",2013,"A global history of anti-slavery politics in the nineteenth century /","","X030610583","STACKS","STACKS","BOOK","6/8/13","6/7/17",4,0,1,4,1,712,4,0.00184162062615101,-0.601056515456561,-1.92021434736518,-0.264219355711851,-0.26190690799498,-1.23524450591805,0.101193681017754,0.789478934545949,0.696360053494573,0.970467770859362,546,0.0295322291406378,"1",1,4,0,"1",1,FALSE
"10","HT 001025 .O54  2013","HT1025 .O54 2013",6677818,"ALDERMAN",2013,"Transatlantic abolitionism in the age of revolution : an international history of anti-slavery, c.1787-1820 /","Oldfield, J. R. (John R.)","X031666337","STACKS","STACKS","BOOK","1/14/16","1/24/17",2,0,1,2,1,846,2,0.0016366612111293,-0.601056515456561,-2.30953499660172,-0.392775450460892,-0.26190690799498,-1.1856606980075,0.0331474451675679,0.758964649957845,0.500288421520963,0.975954703272761,426,0.024045296727239,"1",1,2,0,"1",1,FALSE
