"","Item.Shelving.Id","Item.Call.Number","Catalog.Id","Item.Library.Code","Catalog.Pub.Year","Catalog.Title","Catalog.Author","Item.Barcode","Item.Collection","Item.Status","Item.Type","Item.Created.Date","Item.Last.Checkout.Date","Item.Lifetime.Checkout","Item.Lifetime.Renewals","Item.Lifetime.Inhouse.Uses","Item.Legacy.Total.Charges","Number.of.Items","days_since_last_checkout","Item.Lifetime.Checkout.Corrected","checkouts_per_day","x0","x1","x2","x3","x4","x5","scoreA","scoreB","scoreC","modelC","dscoreC","model","NumInhouseUses","NumCheckouts","NumRenewals","MODEL","n","MultiVolume"
"1","H  000001 .A123  NO.58","H1 .A123 no.58",120303,"ALDERMAN",1981,"Du mythe, de la religion grecque et de la compréhension d'autrui /","Rudhardt, Jean.","X000389953","STACKS","STACKS","BOOK","6/28/96","12/20/18",0,0,2,6,1,151,6,0.000717617509867241,-0.186807620681668,0.701463484379594,0.0458344399097421,-0.211224705377264,-1.79608405166808,-0.10917784150395,0.677078379959375,0.612740004202351,0.790387480851578,918,0.209612519148422,"1",2,6,0,"1",1,TRUE
"2","H  000001 .A4  V.000423","H1 .A4 v.423",4690451,"ALDERMAN",1976,"Crime and justice in America, 1776-1976 /","","X030357357","STACKS","STACKS","BOOK","2/20/08","1/1/00",0,0,0,0,1,7079,0,0,-0.107390534582586,-0.649741250449832,-0.391731679761929,-0.211224705377264,0.817405322190846,-0.402744765086757,0.500287260408659,0.885194974020123,0.388884113669142,2189,0.611115886330858,"0",0,0,0,"0",1,TRUE
"3","H  000001 .A4  V.000424","H1 .A4 v.424",4690454,"ALDERMAN",1976,"International exchange of persons : a reassessment /","","X030357356","STACKS","STACKS","BOOK","2/20/08","1/1/00",0,0,0,0,1,7079,0,0,-0.107390534582586,-0.649741250449832,-0.391731679761929,-0.211224705377264,0.817405322190846,-0.402744765086757,0.500287260408659,0.267944384599105,0.388884113669142,2189,0.611115886330858,"0",0,0,0,"0",1,TRUE
"4","H  000001 .A4  V.000425","H1 .A4 v.425",4690457,"ALDERMAN",1976,"Political finance : reform and reality /","","X030357355","STACKS","STACKS","BOOK","2/20/08","1/1/00",0,0,0,0,1,7079,0,0,-0.107390534582586,-0.649741250449832,-0.391731679761929,-0.211224705377264,0.817405322190846,-0.402744765086757,0.500287260408659,0.639706704067066,0.388884113669142,2189,0.611115886330858,"0",0,0,0,"0",1,TRUE
"5","H  000001 .A4  V.000426","H1 .A4 v.426",4690460,"ALDERMAN",1976,"Bicentennial Conference on the Constitution : a report to the Academy /","Bicentennial Conference on the Constitution","X030357354","STACKS","STACKS","BOOK","2/20/08","1/1/00",0,0,0,0,1,7079,0,0,-0.107390534582586,-0.649741250449832,-0.391731679761929,-0.211224705377264,0.817405322190846,-0.402744765086757,0.500287260408659,0.534793520113453,0.388884113669142,2189,0.611115886330858,"0",0,0,0,"0",1,TRUE
"6","H  000001 .A4  V.000427","H1 .A4 v.427",4690670,"ALDERMAN",1976,"Role of the mass media in American politics /","","X030357353","STACKS","STACKS","BOOK","2/21/08","1/1/00",0,0,0,0,1,7079,0,0,-0.107390534582586,-0.650058882028306,-0.391731679761929,-0.211224705377264,0.817405322190846,-0.402744765086757,0.500296276984317,0.637307399883866,0.388959602512846,2188,0.611040397487154,"0",0,0,0,"0",1,TRUE
"7","H  000001 .A4  V.000428","H1 .A4 v.428",4690672,"ALDERMAN",1976,"The American Revolution abroad /","","X030357352","STACKS","STACKS","BOOK","2/21/08","10/22/12",2,1,0,3,1,2401,2,0.000730638090599123,-0.107390534582586,-0.650058882028306,-0.245876306538038,0.0268365096780199,-0.947303582386532,-0.103851310620628,0.678456470696946,0.324161131633446,0.811360807700523,871,0.188639192299477,"1",0,2,1,"1",1,TRUE
"8","H  000001 .A4  V.000429","H1 .A4 v.429",4690674,"ALDERMAN",1977,"The New rural America /","","X030357351","STACKS","STACKS","BOOK","2/21/08","1/1/00",0,0,0,0,1,7079,0,0,-0.123273951802402,-0.650058882028306,-0.391731679761929,-0.211224705377264,0.817405322190846,-0.402744765086757,0.499645450668314,0.429565090686083,0.392741204875225,2174,0.607258795124775,"0",0,0,0,"0",1,TRUE
"9","H  000001 .A4  V.000430","H1 .A4 v.430",4690677,"ALDERMAN",1977,"Nuclear proliferation : prospects, problems, and proposals /","","X030357350","STACKS","STACKS","BOOK","2/21/08","11/1/11",0,0,0,1,1,2757,1,0.000243546030199708,-0.123273951802402,-0.650058882028306,-0.318803993149984,-0.211224705377264,-0.813007650357984,-0.303113613598047,0.677589469878825,0.784262229921296,0.780320744152907,945,0.219679255847093,"1",0,1,0,"1",1,TRUE
"10","H  000001 .A4  V.000431","H1 .A4 v.431",4690679,"ALDERMAN",1977,"Industrial democracy in international perspective /","","X030357349","STACKS","STACKS","BOOK","2/21/08","1/1/00",0,0,0,0,1,7079,0,0,-0.123273951802402,-0.650058882028306,-0.391731679761929,-0.211224705377264,0.817405322190846,-0.402744765086757,0.499645450668314,0.567498716525733,0.392741204875225,2174,0.607258795124775,"0",0,0,0,"0",1,TRUE
