"","Item.Shelving.Id","Item.Call.Number","Catalog.Id","Item.Library.Code","Catalog.Pub.Year","Catalog.Title","Catalog.Author","Item.Barcode","Item.Collection","Item.Status","Item.Type","Item.Created.Date","Item.Last.Checkout.Date","Item.Lifetime.Checkout","Item.Lifetime.Renewals","Item.Lifetime.Inhouse.Uses","Item.Legacy.Total.Charges","Number.of.Items","days_since_last_checkout","Item.Lifetime.Checkout.Corrected","checkouts_per_day","x0","x1","x2","x3","x4","x5","scoreA","scoreB","scoreC","modelC","dscoreC","model","NumInhouseUses","NumCheckouts","NumRenewals","MODEL","n","MultiVolume"
"1","PB 000001 .M65  V.100  SUPPL. 2005","PB1 .M65 v.100 suppl. 2005",4357885,"ALDERMAN",2005,"One hundred years of MLR : general and comparative studies /","","X030015852","STACKS","STACKS","BOOK","3/29/06","3/16/11",0,0,0,0,1,2987,0,0,-0.645466478014046,-1.10795301655429,-0.412596247168538,-0.181571204014609,-0.554066803008833,-0.394291993170172,0.29670973879534,0.0388185624033213,0.869312086264243,142,0.130687913735757,"1",0,0,0,"1",1,TRUE
"2","PB 000010 .N4  V.000011","PB10 .N4 v.11",2414075,"ALDERMAN",1936,"Fremdes im baltendeutsch /","Kiparsky, Valentin,","X032015224","STACKS","STACKS","BOOK","3/13/18","1/1/00",0,0,0,0,1,7079,0,0,0.424519349986748,-2.99677035035499,-0.412596247168538,-0.181571204014609,0.990314305091728,-0.394291993170172,0.734505890013515,0.760914389509708,0.763025777931692,266,0.236974222068308,"0",0,0,0,"0",1,TRUE
"3","PB 000010 .N4  V.000012","PB10 .N4 v.12",2414078,"ALDERMAN",1939,"Die ursprünglich reduplizierenden verba im niederdeutschen; beiträge zur geschichte der deutschen verbalflexion,","Katara, Pekka,","X032015225","STACKS","STACKS","BOOK","3/13/18","1/1/00",0,0,0,0,1,7079,0,0,0.377998227030191,-2.99677035035499,-0.412596247168538,-0.181571204014609,0.990314305091728,-0.394291993170172,0.729648997661789,0.735933957854286,0.771334442933325,261,0.228665557066675,"0",0,0,0,"0",1,TRUE
"4","PB 000010 .N4  V.000013","PB10 .N4 v.13",2414080,"ALDERMAN",0,"Moniot d'Arras et Moniot de Paris, trouv?eres du XIIIe. siècle;","Moniot,","X004061352","STACKS","STACKS","BOOK","7/1/96","2/8/18",0,0,0,2,1,466,2,0.000239291696578129,30.446150697951,0.430955175262258,-0.215309212863366,-0.181571204014609,-1.50552935763286,-0.255701638398772,0.999999670355261,0.0979156398680061,1.41442131174204e-13,1005,0.999999999999859,"0",0,2,0,"0",1,TRUE
"5","PB 000010 .N4  V.000014","PB10 .N4 v.14",2414082,"ALDERMAN",1943,"Der französische einfluss auf die mittelhochdeutsche sprache in der 2. hälfte des XIV. jahrhunderts,","Rosenqvist, Arvid,","X032015226","STACKS","STACKS","BOOK","3/13/18","1/1/00",0,0,0,0,1,7079,0,0,0.315970063088116,-2.99677035035499,-0.412596247168538,-0.181571204014609,0.990314305091728,-0.394291993170172,0.723086822889166,0.628532957518473,0.782090348532751,253,0.217909651467249,"0",0,0,0,"0",1,TRUE
"6","PB 000010 .N4  V.000015","PB10 .N4 v.15",2414084,"ALDERMAN",1949,"L'expression du commandement dans le français actuel; comprenant l'usage de l'impératif et de ses substituts d'après des pièces de théâtre et des romans publiés entre 1917 et 1947.","Wainstein, Lia.","X032015227","STACKS","STACKS","BOOK","3/13/18","1/1/00",0,0,0,0,1,7079,0,0,0.222927817175004,-2.99677035035499,-0.412596247168538,-0.181571204014609,0.990314305091728,-0.394291993170172,0.713061447292176,0.310631972970441,0.79753068737568,229,0.20246931262432,"0",0,0,0,"0",1,TRUE
"7","PB 000010 .N4  V.000016","PB10 .N4 v.16",2414092,"ALDERMAN",1951,"Gace Brulé, trouvère champenois : édition des Chansons et étude historique /","Gace Brulé,","X000685905","STACKS","STACKS","BOOK","7/1/96","3/17/10",0,0,1,2,1,3351,2,0.000239291696578129,0.191913735203966,0.430955175262258,-0.215309212863366,-0.181571204014609,-0.416687838358636,-0.255701638398772,0.421261726183124,0.541425626259297,0.396160193084954,627,0.603839806915046,"0",1,2,0,"0",1,TRUE
"8","PB 000010 .N4  V.000017","PB10 .N4 v.17",312707,"ALDERMAN",1955,"Ricerche sopra gli italianismi nella lingua tedesca dalla metà del secolo XIV alla fine del secolo XVI.","Wis, Marjatta.","X000713744","STACKS","STACKS","BOOK","6/28/96","1/1/00",0,0,0,0,1,7079,0,0,0.129885571261891,0.432252736975425,-0.412596247168538,-0.181571204014609,0.990314305091728,-0.394291993170172,0.667828701798501,0.409427701961249,0.12292168299063,914,0.87707831700937,"0",0,0,0,"0",1,TRUE
"9","PB 000010 .N4  V.000018 NO.000001","PB10 .N4 v.18 no.1",2414095,"ALDERMAN",1956,"The Old English verbs of vision, a semantic study.","Penttilä, Erkki.","X032015228","STACKS","STACKS","BOOK","3/13/18","1/1/00",0,0,0,0,1,7079,0,0,0.114378530276373,-2.99677035035499,-0.412596247168538,-0.181571204014609,0.990314305091728,-0.394291993170172,0.701095383906086,0.506021832115948,0.814494216490295,209,0.185505783509705,"0",0,0,0,"0",2,TRUE
"10","PB 000010 .N4  V.000018 NO.000001-000003","PB10 .N4 v.18 no.1-3",2414095,"ALDERMAN",1956,"The Old English verbs of vision, a semantic study.","Penttilä, Erkki.","X002608523","STACKS","STACKS","BOOK","5/26/98","1/1/00",0,0,0,0,1,7079,0,0,0.114378530276373,0.13078589894953,-0.412596247168538,-0.181571204014609,0.990314305091728,-0.394291993170172,0.669163378978784,0.42187361442484,0.16136929108547,835,0.83863070891453,"0",0,0,0,"0",2,TRUE
"11","PB 000010 .N4  V.000019","PB10 .N4 v.19",2414099,"ALDERMAN",1956,"Poésies du troubadour Guillem de Saint-Didier.","Guillem de Saint-Didier,","X032015229","STACKS","STACKS","BOOK","3/13/18","1/1/00",0,0,0,0,1,7079,0,0,0.114378530276373,-2.99677035035499,-0.412596247168538,-0.181571204014609,0.990314305091728,-0.394291993170172,0.701095383906086,0.913614816498011,0.814494216490295,209,0.185505783509705,"0",0,0,0,"0",1,TRUE
"12","PB 000010 .N4  V.000020","PB10 .N4 v.20",2414100,"ALDERMAN",1957,"Der Wandel der Worträume in der Synonymik für 'Hügel.'","Valtavuo, Toivi.","X002124710","STACKS","STACKS","BOOK","6/29/96","1/1/00",0,0,0,1,1,7079,1,0.000119617224880383,0.0988714892908539,0.43182021640437,-0.313952730015952,-0.181571204014609,0.990314305091728,-0.325013393578105,0.671249625398609,0.992166908923537,0.137648605055482,887,0.862351394944518,"0",0,1,0,"0",1,TRUE
"13","PB 000010 .N4  V.000021","PB10 .N4 v.21",2414105,"ALDERMAN",1959,"Giacomo Leopardi : studio biografico.","Wis, Roberto,","X032015230","STACKS","STACKS","BOOK","3/13/18","1/1/00",0,0,0,0,1,7079,0,0,0.0678574073198164,-2.99677035035499,-0.412596247168538,-0.181571204014609,0.990314305091728,-0.394291993170172,0.695880354101105,0.662041836883873,0.821420663175694,201,0.178579336824306,"1",0,0,0,"1",1,TRUE
"14","PB 000010 .N4  V.000022","PB10 .N4 v.22",2414106,"ALDERMAN",1959,"Essai d'un glossaire génévois d'après les registres du Conseil de la ville de 1409 à 1536.","Ahokas, Jaakko,","X032015231","STACKS","STACKS","BOOK","3/13/18","1/1/00",0,0,0,0,2,7079,0,0,0.0678574073198164,-2.99677035035499,-0.412596247168538,-0.181571204014609,0.990314305091728,-0.394291993170172,0.695880354101105,0.747864918084815,0.821420663175694,201,0.178579336824306,"1",0,0,0,"1",1,TRUE
"15","PB 000010 .N4  V.000023","PB10 .N4 v.23",2414107,"ALDERMAN",1960,"A Middle English syntax.","Mustanoja, Tauno F. (Tauno Frans),","X000412155","STACKS","CHECKEDOUT","BOOK","6/29/96","1/28/19",3,7,3,28,1,112,21,0.00334928229665072,0.0523503663342977,0.43182021640437,1.65891761303578,1.44936765030334,-1.63913417490255,1.54550879540771,0.320417689196093,0.671419022604823,0.94342134515672,91,0.0565786548432798,"1",3,21,7,"1",1,TRUE
"16","PB 000010 .N4  V.000024","PB10 .N4 v.24",2414109,"ALDERMAN",1960,"American fiction in Finland; an essay and bibliography","Durham, Philip.","X032015232","STACKS","STACKS","BOOK","3/13/18","1/1/00",0,0,0,0,1,7079,0,0,0.0523503663342977,-2.99677035035499,-0.412596247168538,-0.181571204014609,0.990314305091728,-0.394291993170172,0.694130671011335,0.0622390676289797,0.823684045054498,196,0.176315954945502,"1",0,0,0,"1",1,TRUE
"17","PB 000010 .N4  V.000025","PB10 .N4 v.25",2414110,"ALDERMAN",1961,"Der Ursprung und die Entwicklung der niederländischen Weinbauterminologie: mit besonderer Berücksichtigung der mittelniederlandischen Zeit.","Alanne, Eero.","X032015233","STACKS","STACKS","BOOK","3/13/18","1/1/00",0,0,0,0,1,7079,0,0,0.036843325348779,-2.99677035035499,-0.412596247168538,-0.181571204014609,0.990314305091728,-0.394291993170172,0.692375371527055,0.299236483406276,0.825924819307236,193,0.174075180692764,"1",0,0,0,"1",1,TRUE
"18","PB 000010 .N4  V.000026","PB10 .N4 v.26",2414115,"ALDERMAN",1964,"L'expression imagée dans l'?uvre de Chateaubriand.","Lehtonen, Maija.","X032015234","STACKS","STACKS","BOOK","3/13/18","1/1/00",0,0,0,0,1,7079,0,0,-0.00967779760777727,-2.99677035035499,-0.412596247168538,-0.181571204014609,0.990314305091728,-0.394291993170172,0.687076107648657,0.260791175533086,0.832512232361921,187,0.167487767638079,"1",0,0,0,"1",1,TRUE
"19","PB 000010 .N4  V.000027","PB10 .N4 v.27",2414116,"ALDERMAN",1964,"Studien zur Terminologie des Paradisus anime intelligentis; Beiträge zur Erforschung der Sprache der mittelhochdeutschen Mystik und Scholastik.","Seppänen, Lauri,","X032015235","STACKS","STACKS","BOOK","3/13/18","1/1/00",0,0,0,0,1,7079,0,0,-0.00967779760777727,-2.99677035035499,-0.412596247168538,-0.181571204014609,0.990314305091728,-0.394291993170172,0.687076107648657,0.452750546159223,0.832512232361921,187,0.167487767638079,"1",0,0,0,"1",1,TRUE
"20","PB 000010 .N4  V.000028","PB10 .N4 v.28",2414117,"ALDERMAN",1965,"Les termes d'appellation et d'interpellation dans La comédie humaine d'Honoré de Balzac.","Välikangas, Olli.","X032015236","STACKS","STACKS","BOOK","3/13/18","1/1/00",0,0,0,0,1,7079,0,0,-0.025184838593296,-2.99677035035499,-0.412596247168538,-0.181571204014609,0.990314305091728,-0.394291993170172,0.685298678485086,0.185265621403232,0.834663331387285,182,0.165336668612715,"1",0,0,0,"1",2,TRUE
"21","PB 000010 .N4  V.000028","PB10 .N4 v.28",2414117,"ALDERMAN",1965,"Les termes d'appellation et d'interpellation dans La comédie humaine d'Honoré de Balzac.","Välikangas, Olli.","X032015237","STACKS","STACKS","BOOK","3/13/18","1/1/00",0,0,0,0,1,7079,0,0,-0.025184838593296,-2.99677035035499,-0.412596247168538,-0.181571204014609,0.990314305091728,-0.394291993170172,0.685298678485086,0.134336301591247,0.834663331387285,182,0.165336668612715,"1",0,0,0,"1",2,TRUE
"22","PB 000010 .N4  V.000029","PB10 .N4 v.29",2414118,"ALDERMAN",1966,"Les expressions du commandement et de la défense en latin et leur survie dans les langues romanes.","Löfstedt, Leena.","X032015238","STACKS","STACKS","BOOK","3/13/18","1/1/00",0,0,0,0,1,7079,0,0,-0.0406918795788148,-2.99677035035499,-0.412596247168538,-0.181571204014609,0.990314305091728,-0.394291993170172,0.683515803831461,0.954044988378882,0.836792219275029,180,0.163207780724971,"1",0,0,0,"1",1,TRUE
"23","PB 000010 .N4  V.000030","PB10 .N4 v.30",2414119,"ALDERMAN",1966,"Das französische Lehngut in mittelnieder-deutschen Denkmälern von 1300 bis 1600.","Katara, Pekka,","X032015239","STACKS","STACKS","BOOK","3/13/18","1/1/00",0,0,0,0,1,7079,0,0,-0.0406918795788148,-2.99677035035499,-0.412596247168538,-0.181571204014609,0.990314305091728,-0.394291993170172,0.683515803831461,0.874364570714533,0.836792219275029,180,0.163207780724971,"1",0,0,0,"1",1,TRUE
