"","Item.Shelving.Id","Item.Call.Number","Catalog.Id","Item.Library.Code","Catalog.Pub.Year","Catalog.Title","Catalog.Author","Item.Barcode","Item.Collection","Item.Status","Item.Type","Item.Created.Date","Item.Last.Checkout.Date","Item.Lifetime.Checkout","Item.Lifetime.Renewals","Item.Lifetime.Inhouse.Uses","Item.Legacy.Total.Charges","Number.of.Items","days_since_last_checkout","Item.Lifetime.Checkout.Corrected","checkouts_per_day","x0","x1","x2","x3","x4","x5","scoreA","scoreB","scoreC","modelC","dscoreC","model","NumInhouseUses","NumCheckouts","NumRenewals","MODEL","n","MultiVolume"
"1","PD 000101 .A5","PD101 .A5",382518,"ALDERMAN",1975,"A concise grammar of the older Runic inscriptions /","Antonsen, Elmer H.","X000714038","STACKS","STACKS","BOOK","6/28/96","4/26/97",0,0,0,2,1,8059,2,0.000239205836622414,-0.495988034500985,0.573441910484439,-0.0912137214587164,-0.14510009235013,1.18739655981122,-0.13933949459275,0.699169449480875,0.00308398064225912,0.204880724519774,592,0.795119275480226,"0",0,2,0,"0",1,FALSE
"2","PD 000101 .D45","PD101 .D45",225586,"ALDERMAN",1907,"Synkretismus, ein Beitrag zur germanischen Kasuslehre /","Delbrück, Berthold,","X000915980","STACKS","STACKS","BOOK","6/28/96","11/16/07",0,0,0,2,1,4203,2,0.000239205836622414,1.34755572608907,0.573441910484439,-0.0912137214587164,-0.14510009235013,-0.359479838574396,-0.13933949459275,0.785556409903394,0.274187625618652,0.160740118572372,632,0.839259881427628,"0",0,2,0,"0",1,FALSE
"3","PD 000101 .I57  1995  V.1","PD101 .I57 1995 v.1",2831754,"ALDERMAN",1995,"Insights in Germanic linguistics /","","X002653244","STACKS","STACKS","BOOK","9/16/98","11/6/09",0,0,0,0,1,3482,0,0,-1.03820678761571,0.295802359797897,-0.329193263122619,-0.14510009235013,-0.648716841488304,-0.347517997725736,0.240277114021807,0.85823118686676,0.743058817357417,214,0.256941182642583,"0",0,0,0,"0",2,TRUE
"4","PD 000101 .I57  1995  V.2","PD101 .I57 1995 v.2",2831754,"ALDERMAN",1995,"Insights in Germanic linguistics /","","X004188526","STACKS","STACKS","BOOK","9/16/98","1/1/00",0,0,0,0,1,7079,0,0,-1.03820678761571,0.295802359797897,-0.329193263122619,-0.14510009235013,0.794258885947658,-0.347517997725736,0.440819284140178,0.796524383593351,0.405874224313679,439,0.594125775686321,"0",0,0,0,"0",2,TRUE
"5","PD 000101 .J33  1985","PD101 .J33 1985",1296366,"ALDERMAN",1985,"Jacob und Wilhelm Grimm als Sprachwissenschaftler : Geschichtlichkeit und Aktualität ihres Wirkens.","","X001433137","STACKS","STACKS","BOOK","6/30/96","8/15/02",0,0,1,12,1,6122,12,0.00143557841847111,-0.767097411058346,0.572756380729657,1.0986839868608,-0.14510009235013,0.410347912593136,0.901851877638463,0.710171837084627,0.638372562127188,0.707376675615206,236,0.292623324384794,"0",1,12,0,"0",1,FALSE
"6","PD 000101 .K65  1986  HALBBD.000001","PD101 .K65 1986 Halbbd.1",704449,"ALDERMAN",1986,"Kontrastive Grammatik Deutsch-Serbokroatisch /","","X001186177","STACKS","STACKS","BOOK","6/29/96","2/8/18",0,0,0,2,2,466,2,0.000239234449760766,-0.794208348714083,0.573099145607048,-0.0912137214587164,-0.14510009235013,-1.85861809084801,-0.139314592857926,0.211331843511073,0.670917664654553,0.87958579192585,109,0.12041420807415,"0",0,3,0,"0",2,TRUE
"7","PD 000101 .K65  1986  HALBBD.000002","PD101 .K65 1986 Halbbd.2",704449,"ALDERMAN",1986,"Kontrastive Grammatik Deutsch-Serbokroatisch /","","X001186178","STACKS","STACKS","BOOK","6/29/96","1/1/00",0,0,0,1,1,7079,1,0.000119617224880383,-0.794208348714083,0.573099145607048,-0.210203492290668,-0.14510009235013,0.794258885947658,-0.243416295291831,0.571159503479778,0.527395646553487,0.313597650402643,498,0.686402349597357,"0",0,3,0,"0",2,TRUE
"8","PD 000101 .K7  1963  V.000001","PD101 .K7 1963 V.1",445730,"ALDERMAN",1963,"Germanische Sprachwissenschaft.","Krahe, Hans,","X001153638","STACKS","STACKS","BOOK","6/29/96","1/1/00",0,0,0,0,1,7079,0,0,-0.170656782632151,0.573099145607048,-0.329193263122619,-0.14510009235013,0.794258885947658,-0.347517997725736,0.667304393749711,0.993889700155705,0.178595161969821,617,0.821404838030179,"0",0,0,0,"0",3,TRUE
"9","PD 000101 .K7  1963  V.000002","PD101 .K7 1963 v.2",445730,"ALDERMAN",1963,"Germanische Sprachwissenschaft.","Krahe, Hans,","X031981349","STACKS","STACKS","BOOK","2/12/18","1/1/00",0,0,0,0,1,7079,0,0,-0.170656782632151,-2.13405785602543,-0.329193263122619,-0.14510009235013,0.794258885947658,-0.347517997725736,0.137948431005986,0.626425667665899,0.765174726816897,193,0.234825273183103,"0",0,0,0,"0",3,TRUE
"10","PD 000101 .K7  1963  V.000003","PD101 .K7 1963 V.3",445730,"ALDERMAN",1963,"Germanische Sprachwissenschaft.","Krahe, Hans,","X004061888","STACKS","STACKS","BOOK","1/5/00","11/6/09",0,0,0,0,1,3482,0,0,-0.170656782632151,0.132646278159879,-0.329193263122619,-0.14510009235013,-0.648716841488304,-0.347517997725736,0.347809285395519,0.594509213464335,0.588443374258195,321,0.411556625741805,"0",0,0,0,"0",3,TRUE
"11","PD 000101 .M413  1970","PD101 .M413 1970",535035,"ALDERMAN",1970,"General characteristics of the Germanic languages.","Meillet, A. (Antoine),","X000113504","STACKS","STACKS","BOOK","6/29/96","5/11/10",0,0,1,3,1,3296,3,0.000358851674641148,-0.360433346222304,0.573099145607048,0.027776049373235,-0.14510009235013,-0.723332767344042,-0.0352128904240211,0.453810051181297,0.180578176863492,0.631450149610586,294,0.368549850389414,"0",1,13,1,"0",2,FALSE
"12","PD 000101 .M413  1970","PD101 .M413 1970",535035,"ALDERMAN",1970,"General characteristics of the Germanic languages.","Meillet, A. (Antoine),","X000321786","STACKS","CHECKEDOUT","BOOK","6/29/96","4/21/18",1,1,0,11,1,394,10,0.00131578947368421,-0.360433346222304,0.573099145607048,0.860704445196894,0.402273763493084,-1.88750167505023,0.797600729047218,0.403049092330569,0.820335915312171,0.926596074463374,81,0.0734039255366256,"0",1,13,1,"0",2,FALSE
"13","PD 000101 .P7  1939","PD101 .P7 1939",564661,"ALDERMAN",1939,"A comparative Germanic grammar, by E. Prokosch.","Prokosch, Eduard,","X000397943","STACKS","STACKS","BOOK","6/29/96","4/21/18",2,1,0,7,1,394,6,0.000837320574162679,0.480005721105516,0.573099145607048,0.384745361869089,0.402273763493084,-1.88750167505023,0.381193919311598,0.489627340406885,0.0841572834178805,0.771912552086162,183,0.228087447913838,"0",0,8,1,"0",2,FALSE
"14","PD 000101 .P7  1939","PD101 .P7 1939",564661,"ALDERMAN",1939,"A comparative Germanic grammar, by E. Prokosch.","Prokosch, Eduard,","X000600458","STACKS","STACKS","BOOK","6/29/96","10/16/17",1,0,0,2,1,581,2,0.000239234449760766,0.480005721105516,0.573099145607048,-0.0912137214587164,-0.14510009235013,-1.8124845883028,-0.139314592857926,0.426410969800195,0.42129088123329,0.661092374392381,271,0.338907625607619,"0",0,8,1,"0",2,FALSE
"15","PD 000101 .S75  1892","PD101 .S75 1892",506672,"ALDERMAN",1892,"Zur germanischen Sprachgeschichte /","Streitberg, Wilhelm,","X001153639","STACKS","STACKS","BOOK","6/29/96","1/1/00",0,0,0,1,2,7079,1,0.000119617224880383,1.75421979092512,0.573099145607048,-0.210203492290668,-0.14510009235013,0.794258885947658,-0.243416295291831,0.906276587878402,0.709439096972346,0.0344968511367625,737,0.965503148863237,"0",0,1,0,"0",1,FALSE
"16","PD 001047 .R6  V.000001","PD1047 .R6 v.1",198792,"ALDERMAN",1979,"Nordseegermanische Studien /","Rooth, Erik,","X031981330","STACKS","STACKS","BOOK","2/9/18","1/1/00",0,0,0,0,1,7079,0,0,-0.604431785123929,-2.13302956139326,-0.329193263122619,-0.14510009235013,0.794258885947658,-0.347517997725736,0.10257762830526,0.464867215370759,0.833967266961869,144,0.166032733038131,"0",0,0,0,"0",3,TRUE
"17","PD 001047 .R6  V.000002","PD1047 .R6 V.2",198792,"ALDERMAN",1979,"Nordseegermanische Studien /","Rooth, Erik,","X000400356","STACKS","STACKS","BOOK","6/28/96","12/15/09",0,0,0,0,1,3443,0,0,-0.604431785123929,0.573441910484439,-0.329193263122619,-0.14510009235013,-0.664362116264507,-0.347517997725736,0.362548653271707,0.457227486884221,0.590530466577705,319,0.409469533422295,"0",0,0,0,"0",3,TRUE
"18","PD 001047 .R6  V.000003","PD1047 .R6 V.3",198792,"ALDERMAN",1979,"Nordseegermanische Studien /","Rooth, Erik,","X000985625","STACKS","STACKS","BOOK","6/28/96","11/6/09",0,0,0,0,1,3482,0,0,-0.604431785123929,0.573441910484439,-0.329193263122619,-0.14510009235013,-0.648716841488304,-0.347517997725736,0.364840312028739,0.756769280182198,0.586742084393553,323,0.413257915606447,"0",0,0,0,"0",3,TRUE
"19","PD 000107 .K87  2008","PD107 .K87 2008",4826580,"ALDERMAN",2008,"Deklinationsklassen-Wandel : eine diachron-kontrastive Studie zur Entwicklung der Pluralallomorphie im Deutschen, Niederländischen, Schwedischen und Dänischen /","Kürschner, Sebastian.","X030470190","STACKS","STACKS","BOOK","3/3/09","1/1/00",0,0,0,0,1,7079,0,0,-1.39064897714028,-1.01390223671232,-0.329193263122619,-0.14510009235013,0.794258885947658,-0.347517997725736,0.149917248574376,0.769147363258526,0.782636803486801,178,0.217363196513199,"0",0,0,0,"0",1,FALSE
"20","PD 001115 .S28  1987","PD1115 .S28 1987",1782721,"ALDERMAN",1987,"Goti e Longobardi : studi di filologia germanica /","Scardigli, Piergiuseppe.","X002060490","STACKS","STACKS","BOOK","6/30/96","10/17/97",0,0,0,2,1,7885,2,0.000239263069745185,-0.821319286369819,0.572756380729657,-0.0912137214587164,-0.14510009235013,1.11759456465586,-0.139289685165036,0.633079528260787,0.646071220748127,0.276829068306488,526,0.723170931693512,"0",0,2,0,"0",1,FALSE
"21","PD 001115 .S315","PD1115 .S315",1013762,"ALDERMAN",1973,"Die Goten: Sprache und Kultur.","Scardigli, Piergiuseppe.","X031981331","STACKS","STACKS","BOOK","6/29/96","1/1/00",0,0,0,0,1,7079,0,0,-0.441766159189513,0.573099145607048,-0.329193263122619,-0.14510009235013,0.794258885947658,-0.347517997725736,0.6189569404809,0.119249198585749,0.221872908211122,579,0.778127091788878,"0",0,0,0,"0",1,FALSE
"22","PD 001117 .M8  1961","PD1117 .M8 1961",1880986,"ALDERMAN",1961,"Modéles d'alphabets : la Gothique.","Munsch, René H.","X031981374","STACKS","STACKS","BOOK","2/12/18","1/1/00",0,0,0,0,1,7079,0,0,-0.116434907320679,-2.13405785602543,-0.329193263122619,-0.14510009235013,0.794258885947658,-0.347517997725736,0.143041319715815,0.467225360916927,0.755292341528363,202,0.244707658471637,"0",0,0,0,"0",1,FALSE
"23","PD 001118 .R47  1984","PD1118 .R47 1984",75516,"ALDERMAN",1984,"Goti, Tedeschi, Longobardi : rapporti di cultura e di lingua /","Restelli, Giuseppe.","X001046987","STACKS","STACKS","BOOK","6/28/96","11/6/09",0,0,0,1,1,3482,1,0.000119602918311207,-0.73998647340261,0.573441910484439,-0.210203492290668,-0.14510009235013,-0.648716841488304,-0.243428746159243,0.357957430328988,0.576193432090804,0.646812622464794,282,0.353187377535206,"0",0,1,0,"0",1,FALSE
"24","PD 001123 .B4  1980","PD1123 .B4 1980",198494,"ALDERMAN",1980,"An introduction to the Gothic language /","Bennett, William Holmes.","X000167925","STACKS","CHECKEDOUT","BOOK","6/28/96","6/24/18",5,3,1,25,1,330,22,0.00299007295778017,-0.631542722779666,0.573441910484439,2.28858169518031,1.49702147517951,-1.91317597211887,2.25471329143658,0.571477542958539,0.430082606384531,0.986072416241676,29,0.013927583758324,"1",1,22,3,"1",1,FALSE
"25","PD 001123 .B7  1883","PD1123 .B7 1883",424411,"ALDERMAN",1883,"Gothic grammar : with selections for reading and a glossary /","Braune, Wilhelm,","X001163943","STACKS","STACKS","BOOK","6/29/96","3/10/11",0,0,0,2,1,2993,2,0.000239234449760766,1.99821822982674,0.573099145607048,-0.0912137214587164,-0.14510009235013,-0.844884517528389,-0.139314592857926,0.817117545854751,0.366121445316821,0.13971650447111,646,0.86028349552889,"0",0,2,0,"0",1,FALSE
"26","PD 001123 .B7  1928","PD1123 .B7 1928",368026,"ALDERMAN",1928,"Gotische Grammatik, mit Lesestücken und wortverzeichnis,","Braune, Wilhelm,","X031981332","STACKS","STACKS","BOOK","6/28/96","2/12/18",0,0,0,0,1,462,0,0,0.778226035318614,0.573441910484439,-0.329193263122619,-0.14510009235013,-1.8602227344148,-0.347517997725736,0.438890085285503,0.685611918568611,0.54472055517532,350,0.45527944482468,"0",0,0,0,"0",1,FALSE
"27","PD 001123 .D6","PD1123 .D6",264830,"ALDERMAN",1886,"An introduction, phonological, morphological, syntactic to the Gothic of Ulfilas.","Douse, Thomas Le Marchant.","X001163945","STACKS","STACKS","BOOK","6/28/96","1/4/17",0,0,0,3,1,866,3,0.00035880875493362,1.91688541685953,0.573441910484439,0.027776049373235,-0.14510009235013,-1.698153734169,-0.0352502430262578,0.725028360851003,0.0302544482983649,0.317692274212433,494,0.682307725787567,"0",0,3,0,"0",1,FALSE
"28","PD 001123 .J3  1914","PD1123 .J3 1914",1013767,"ALDERMAN",1914,"Gotische sprachdenkmäler, mit grammatik,","Jantzen, Hermann,","X030833264","STACKS","STACKS","BOOK","6/29/96","3/10/11",0,0,0,0,1,2993,0,0,1.15777916249892,0.573099145607048,-0.329193263122619,-0.14510009235013,-0.844884517528389,-0.347517997725736,0.666393352379173,0.0162168745882809,0.228784548607393,568,0.771215451392607,"0",0,0,0,"0",1,FALSE
"29","PD 001123 .K77  1968","PD1123 .K77 1968",1013768,"ALDERMAN",1968,"Handbuch des Gotischen.","Krause, Wolfgang,","X031981333","STACKS","STACKS","BOOK","6/29/96","1/1/00",0,0,0,0,1,7079,0,0,-0.306211470910832,0.573099145607048,-0.329193263122619,-0.14510009235013,0.794258885947658,-0.347517997725736,0.643496108624361,0.954317775554955,0.199353511461803,599,0.800646488538197,"0",0,0,0,"0",1,FALSE
"30","PD 001123 .V64  1995","PD1123 .V64 1995",2451762,"ALDERMAN",1995,"Minimalgrammatik des Gotischen : mit einer ausführlichen Einleitung /","Vogel, Petra Maria.","X006041739","STACKS","STACKS","BOOK","7/1/96","7/9/97",0,0,0,1,1,7985,1,0.000119645848289064,-1.03820678761571,0.572413615852266,-0.210203492290668,-0.14510009235013,1.15771065382561,-0.243391384618839,0.580830201466811,0.716736600268632,0.288614831581874,515,0.711385168418126,"0",0,1,0,"0",1,FALSE
"31","PD 001123 .W7  1899","PD1123 .W7 1899",513238,"ALDERMAN",1899,"A primer of the Gothic language... /","Wright, Joseph,","X001024052","STACKS","STACKS","BOOK","6/29/96","4/27/10",0,0,0,11,1,3310,11,0.00131578947368421,1.56444322733496,0.573099145607048,0.979694216028846,-0.14510009235013,-0.717716514860277,0.797600729047218,0.872206490552493,0.126607469050214,0.391709602034532,450,0.608290397965468,"0",0,11,0,"0",1,FALSE
"32","PD 001123 .W8  1924","PD1123 .W8 1924",1013770,"ALDERMAN",1910,"Grammar of the Gothic language, and the Gospel of St. Mark;","Wright, Joseph,","X000833923","STACKS","STACKS","BOOK","6/29/96","6/24/18",1,0,2,4,1,330,4,0.000478468899521531,1.26622291312186,0.573099145607048,0.146765820205186,-0.14510009235013,-1.91317597211887,0.0688888120098838,0.599312471837375,0.129217309178784,0.554932303630018,345,0.445067696369982,"0",3,19,1,"0",3,FALSE
"33","PD 001123 .W8  1924","PD1123 .W8 1924",1013770,"ALDERMAN",1910,"Grammar of the Gothic language, and the Gospel of St. Mark;","Wright, Joseph,","X001639963","STACKS","CHECKEDOUT","BOOK","6/29/96","4/21/18",1,1,1,6,1,394,5,0.000717703349282297,1.26622291312186,0.573099145607048,0.265755591037138,0.402273763493084,-1.88750167505023,0.277092216877694,0.621160124639653,0.0261280783452094,0.577845508838495,329,0.422154491161505,"0",3,19,1,"0",3,FALSE
"34","PD 001123 .W8  1924","PD1123 .W8 1924",1013770,"ALDERMAN",1910,"Grammar of the Gothic language, and the Gospel of St. Mark;","Wright, Joseph,","X002124712","STACKS","STACKS","BOOK","6/29/96","10/17/17",1,0,0,10,1,580,10,0.00119617224880383,1.26622291312186,0.573099145607048,0.860704445196894,-0.14510009235013,-1.81288574919449,0.693499026613313,0.715005682754332,0.298524567624554,0.697256647594795,247,0.302743352405205,"0",3,19,1,"0",3,FALSE
