"","Item.Shelving.Id","Item.Call.Number","Catalog.Id","Item.Library.Code","Catalog.Pub.Year","Catalog.Title","Catalog.Author","Item.Barcode","Item.Collection","Item.Status","Item.Type","Item.Created.Date","Item.Last.Checkout.Date","Item.Lifetime.Checkout","Item.Lifetime.Renewals","Item.Lifetime.Inhouse.Uses","Item.Legacy.Total.Charges","Number.of.Items","days_since_last_checkout","Item.Lifetime.Checkout.Corrected","checkouts_per_day","x0","x1","x2","x3","x4","x5","scoreA","scoreB","scoreC","modelC","dscoreC","model","NumInhouseUses","NumCheckouts","NumRenewals","MODEL","n","MultiVolume"
"1","PE 000001 .C66  N.S. V.000010-000011","PE1 .C66 n.s. v.10-11",300165,"ALDERMAN",1978,"Wynkyn de Worde and Chaucer's Canterbury tales : a transcription and collation of the 1498 ed. with Caxton from The general prologue through The knight's tale /","Chaucer, Geoffrey,","X032077576","STACKS","STACKS","BOOK","6/28/96","1/1/00",0,0,0,1,1,7079,1,0.000119602918311207,-0.131431267322185,0.567795827322887,-0.427689023942998,-0.219173203999182,1.1341773046719,-0.439343505478132,0.562256218428224,0.784992529312149,0.11938879253671,4203,0.88061120746329,"0",0,1,0,"0",1,TRUE
"2","PE 000001 .C66  N.S. V.000100","PE1 .C66 n.s. v.100",2488138,"ALDERMAN",1995,"The literature of politics, the politics of literature : proceedings of the Leiden IASAIL Conference /","International Association for the Study of Anglo-Irish Literature. International Congress","X002643873","STACKS","STACKS","BOOK","7/1/96","11/6/09",0,0,0,0,1,3482,0,0,-0.361178357685486,0.5664745553408,-0.49853989245629,-0.219173203999182,-0.243456031036184,-0.484780540244486,0.733727191068963,0.0635767097119242,0.386895667157358,2905,0.613104332842642,"0",0,1,0,"0",5,TRUE
"3","PE 000001 .C66  N.S. V.000101","PE1 .C66 n.s. v.101",2488138,"ALDERMAN",1995,"The literature of politics, the politics of literature : proceedings of the Leiden IASAIL Conference /","International Association for the Study of Anglo-Irish Literature. International Congress","X002643877","STACKS","STACKS","BOOK","7/1/96","11/6/09",0,0,0,0,1,3482,0,0,-0.361178357685486,0.5664745553408,-0.49853989245629,-0.219173203999182,-0.243456031036184,-0.484780540244486,0.733727191068963,0.662211820948869,0.386895667157358,2905,0.613104332842642,"0",0,1,0,"0",5,TRUE
"4","PE 000001 .C66  N.S. V.000102","PE1 .C66 n.s. v.102",2488138,"ALDERMAN",1995,"The literature of politics, the politics of literature : proceedings of the Leiden IASAIL Conference /","International Association for the Study of Anglo-Irish Literature. International Congress","X002643869","STACKS","STACKS","BOOK","7/1/96","11/6/09",0,0,0,0,1,3482,0,0,-0.361178357685486,0.5664745553408,-0.49853989245629,-0.219173203999182,-0.243456031036184,-0.484780540244486,0.733727191068963,0.514680398860946,0.386895667157358,2905,0.613104332842642,"0",0,1,0,"0",5,TRUE
"5","PE 000001 .C66  N.S. V.103","PE1 .C66 n.s. v.103",2488380,"ALDERMAN",1995,"New essays in deixis : discourse, narrative, literature /","","X002609391","STACKS","STACKS","BOOK","7/1/96","8/21/16",1,1,2,28,1,1002,27,0.0033500837520938,-0.361178357685486,0.5664745553408,1.41443355740258,-0.0312776718945729,-1.19328385215268,0.787913086829161,0.717533405950677,0.652275678934529,0.917011746781932,855,0.0829882532180677,"1",2,27,1,"1",1,TRUE
"6","PE 000001 .C66  N.S. V.104","PE1 .C66 n.s. v.104",2491964,"ALDERMAN",1995,"Yeats in Holland : the reception of the work of W.B. Yeats in the Netherlands before World War Two /","Supheert, R.","X002654197","STACKS","STACKS","BOOK","7/1/96","1/1/00",0,0,0,1,1,7079,1,0.000119645848289064,-0.361178357685486,0.5664745553408,-0.427689023942998,-0.219173203999182,1.1341773046719,-0.439327196420427,0.60175011645013,0.308968029217795,0.145895551509048,4020,0.854104448490952,"0",0,1,0,"0",1,TRUE
"7","PE 000001 .C66  N.S. V.105","PE1 .C66 n.s. v.105",2631773,"ALDERMAN",1996,"A politic theatre : the drama of David Hare /","Fraser, Scott.","X004062628","STACKS","STACKS","BOOK","11/22/96","2/11/97",0,0,0,2,1,8133,2,0.000243486729973216,-0.374692892412739,0.50305350020063,-0.356838155429707,-0.219173203999182,1.53785412864641,-0.392280163404582,0.543547349637124,0.608204101212323,0.116803684150806,4228,0.883196315849194,"0",0,2,0,"0",1,TRUE
"8","PE 000001 .C66  N.S. V.106","PE1 .C66 n.s. v.106",2633462,"ALDERMAN",1996,"The life and the art : a study of Conrad's ""Under western eyes"" /","Carabine, Keith.","X004062967","STACKS","STACKS","BOOK","12/2/96","12/12/96",0,0,0,1,1,8194,1,0.000121891760117016,-0.374692892412739,0.49864926026034,-0.427689023942998,-0.219173203999182,1.56121682908517,-0.438473976655811,0.544518067367057,0.156820475589484,0.107852952608683,4296,0.892147047391317,"0",0,1,0,"0",1,TRUE
"9","PE 000001 .C66  N.S. V.107","PE1 .C66 n.s. v.107",2633465,"ALDERMAN",1996,"John Keats and the loss of romantic innocence /","White, Keith D.","X004062966","STACKS","STACKS","BOOK","12/2/96","11/13/16",2,32,0,39,1,918,7,0.00475377864456363,-0.374692892412739,0.49864926026034,-0.00258381286324866,5.79348382334831,-1.22545543964211,1.32117543971381,0.777359822163944,0.0106188738718629,0.750056802621531,1602,0.249943197378469,"0",0,7,32,"0",1,TRUE
"10","PE 000001 .C66  N.S. V.108","PE1 .C66 n.s. v.108",2638143,"ALDERMAN",0,"Laurence Nowell, William Lambarde, and the laws of the Anglo-Saxons /","Grant, Raymond J. S.","X004062984","STACKS","STACKS","BOOK","1/2/97","11/6/09",0,0,0,3,1,3482,3,0.000367062278233207,26.6003184231842,0.484996116445442,-0.285987286916415,-0.219173203999182,-0.243456031036184,-0.345333930303895,1.10267535296546e-08,0.115155617706478,1.65396480956527e-12,4777,0.999999999998346,"0",0,3,0,"0",1,TRUE
