"","Item.Shelving.Id","Item.Call.Number","Catalog.Id","Item.Library.Code","Catalog.Pub.Year","Catalog.Title","Catalog.Author","Item.Barcode","Item.Collection","Item.Status","Item.Type","Item.Created.Date","Item.Last.Checkout.Date","Item.Lifetime.Checkout","Item.Lifetime.Renewals","Item.Lifetime.Inhouse.Uses","Item.Legacy.Total.Charges","Number.of.Items","days_since_last_checkout","Item.Lifetime.Checkout.Corrected","checkouts_per_day","x0","x1","x2","x3","x4","x5","scoreA","scoreB","scoreC","modelC","dscoreC","model","NumInhouseUses","NumCheckouts","NumRenewals","MODEL","n","MultiVolume"
"1","PF 000101 .B68  1987","PF101 .B68 1987",1247282,"ALDERMAN",1987,"Historische grammatica van het Nederlands /","Bree, C. van (Cor)","X001315975","STACKS","STACKS","BOOK","6/30/96","11/6/09",0,0,0,1,2,3482,1,0.000119631534872592,-0.307537537501891,0.506399515356387,-0.206509551960418,-0.109541766723116,-0.84833528995764,-0.224518576196446,0.428995959436051,0.305701108882204,0.608965008428361,637,0.391034991571639,"0",0,1,0,"0",1,FALSE
"2","PF 000101 .B7","PF101 .B7",339467,"ALDERMAN",1977,"Leerboek voor de historische grammatica van het Nederlands : klank- en vormleer, met een beknopte grammatica van het Gotisch /","Bree, C. van (Cor)","X000033012","STACKS","STACKS","BOOK","6/28/96","1/1/00",0,0,0,0,1,7079,0,0,-0.159843132848783,0.507161920690042,-0.291973941490906,-0.109541766723116,0.721055519337729,-0.292782173064274,0.365630834975649,0.146628211019561,0.204183708580304,1177,0.795816291419696,"0",0,0,0,"0",1,FALSE
"3","PF 000103 .A4  1887","PF103 .A4 1887",1335503,"ALDERMAN",1887,"Middelnederlandsche spraakkunst,","Helten, W. L. van (Willem Lodewijk),","1335503-1001","STACKS","STACKS","BOOK","6/30/96","1/1/00",0,0,0,0,1,7079,0,0,1.16940650902919,0.506399515356387,-0.291973941490906,-0.109541766723116,0.721055519337729,-0.292782173064274,0.191308543827033,0.267421770142391,0.063635371759704,1364,0.936364628240296,"0",0,0,0,"0",1,FALSE
"4","PF 000103 .H4  1887","PF103 .H4 1887",7357353,"ALDERMAN",1887,"Middelnederlandsche spraakkunst /","Helten, W. L. van (Willem Lodewijk),","X031989372","STACKS","STACKS","BOOK","2/12/18","1/1/00",0,0,0,0,1,7079,0,0,1.16940650902919,-2.50395794458301,-0.291973941490906,-0.109541766723116,0.721055519337729,-0.292782173064274,0.705204829223964,0.538659855723381,0.57969512420541,691,0.42030487579459,"0",0,0,0,"0",1,FALSE
"5","PF 000103 .T84  1985","PF103 .T84 1985",691017,"ALDERMAN",1985,"Twe-spraack vande Nederduitsche letterkunst, 1584 /","","X001162977","STACKS","STACKS","BOOK","6/29/96","11/6/09",0,0,2,0,1,3482,0,0,-0.27799865657127,0.506780718023215,-0.291973941490906,-0.109541766723116,-0.84833528995764,-0.292782173064274,0.408276856315172,0.84594720415771,0.581170263775933,687,0.418829736224067,"0",2,0,0,"0",1,FALSE
"6","PF 000107 .R84  1989","PF107 .R84 1989",1661118,"ALDERMAN",1989,"Terminografische index op de oudste Nederlandse grammaticale werken : Voorreden (1568), Twe-spraack (1584), Noodige waarschouwinge (1624), De Nederduytsche grammatica (1625), Nederlandsch tael-bericht (1628), De Nederduytsche spraec-konst (1633), Waernemingen op de Hollandsche tael, Ont-werp der Neder-duitsche letter-konst (1649","Ruijsendaal, E.","X002116167","STACKS","STACKS","BOOK","6/30/96","1/1/00",0,0,0,1,1,7079,1,0.000119631534872592,-0.337076418432513,0.506399515356387,-0.206509551960418,-0.109541766723116,0.721055519337729,-0.224518576196446,0.409373179221994,0.575130400946364,0.250323411903796,1073,0.749676588096204,"0",0,1,0,"0",1,FALSE
"7","PF 000109 .H3  1814","PF109 .H3 1814",105501,"ALDERMAN",1814,"Dutch grammar, : with practical exercises; containing also a vocabulary, dialogues, idioms, letters, &c. /","Hasendonck, J. B. van.","X000304191","STACKS","STACKS","BOOK","6/28/96","9/21/15",0,0,1,2,1,1337,2,0.000239205836622414,2.24757566299688,0.507161920690042,-0.12104516242993,-0.109541766723116,-1.78421054320717,-0.156287637430216,0.133019919070676,0.469094914384186,0.251322337961308,1071,0.748677662038692,"0",1,2,0,"0",1,FALSE
"8","PF 000109 .S3","PF109 .S3",1015804,"ALDERMAN",1799,"A grammar of the Dutch language;","Schwiers, Conradus.","X001406083","STACKS","STACKS","BOOK","6/29/96","9/12/14",1,0,0,1,2,1711,1,0.000119617224880383,2.46911726997654,0.506780718023215,-0.206509551960418,-0.109541766723116,-1.62103229392264,-0.224526741698463,0.109268807424119,0.217745801666752,0.173449396727055,1243,0.826550603272945,"0",0,1,0,"0",1,FALSE
"9","PF 000111 .A5  1894","PF111 .A5 1894",1015805,"ALDERMAN",1894,"A new practical grammar of the Dutch language, with dialogues and readings in prose and verse,","Ahn, F. (Franz),","X000236999","STACKS","STACKS","BOOK","6/29/96","1/1/00",0,0,0,0,1,7079,0,0,1.06602042577201,0.506780718023215,-0.291973941490906,-0.109541766723116,0.721055519337729,-0.292782173064274,0.202213906398274,0.509860558435321,0.0700559245869255,1360,0.929944075413074,"0",0,0,0,"0",1,FALSE
"10","PF 000111 .D8  1940","PF111 .D8 1940",20133,"ALDERMAN",1940,"Dutch simplified : an easy and rapid self-instructor. Containing a condensed and simplified grammar, practical conversation ... and supplements dealing with AFrikaans, South African Dutch, and Flemish.","","X000206009","STACKS","STACKS","BOOK","6/28/96","11/6/09",0,0,0,1,1,3482,1,0.000119602918311207,0.386626164367716,0.507161920690042,-0.206509551960418,-0.109541766723116,-0.84833528995764,-0.224534905247245,0.320409250513244,0.860043562948704,0.437340557700007,885,0.562659442299993,"0",0,1,0,"0",1,FALSE
