"","Item.Shelving.Id","Item.Call.Number","Catalog.Id","Item.Library.Code","Catalog.Pub.Year","Catalog.Title","Catalog.Author","Item.Barcode","Item.Collection","Item.Status","Item.Type","Item.Created.Date","Item.Last.Checkout.Date","Item.Lifetime.Checkout","Item.Lifetime.Renewals","Item.Lifetime.Inhouse.Uses","Item.Legacy.Total.Charges","Number.of.Items","days_since_last_checkout","Item.Lifetime.Checkout.Corrected","checkouts_per_day","x0","x1","x2","x3","x4","x5","scoreA","scoreB","scoreC","modelC","dscoreC","model","NumInhouseUses","NumCheckouts","NumRenewals","MODEL","n","MultiVolume"
"1","PH 001051 .L9  1996","PH1051 .L9 1996",2517238,"ALDERMAN",1995,"Zyri?anski? kra? pri episkopakh permskikh i zyri?anski? i?azyk, 1383-1501 : posobie pri izuchenii zyri?anami russkogo i?azyka /","Lytkin, G. S. (Georgi? Stepanovich),","X004082832","STACKS","STACKS","BOOK","7/1/96","4/6/10",0,0,0,1,1,3331,1,0.000119645848289064,-0.269447920141546,0.973141404648528,-0.403674750844837,-0.211005547916179,-0.243326322152206,-0.432768019953387,0.227758166053721,0.784644280560315,0.296495566469248,206,0.703504433530752,"0",0,1,0,"0",1,FALSE
"2","PH 001108 .P76  1992","PH1108 .P76 1992",2141460,"ALDERMAN",1992,"Problemy pis?mennosti i kul?tury : materialy konferent?sii, posvi?ashchenno? 250-letii?u so dni?a rozhdenii?a chuvashskogo uchenogo i prosvetiteli?a Ermei?a Rozhanskogo /","","X002267565","STACKS","STACKS","BOOK","7/1/96","1/1/00",0,0,0,0,1,7079,0,0,-0.128866396589435,0.973141404648528,-0.539141301755158,-0.211005547916179,1.14811687209041,-0.489577118871326,0.514806045560666,0.535896048182622,0.0736769405902129,291,0.926323059409787,"0",0,0,0,"0",1,FALSE
"3","PH 001108.4 .G94  1991","PH1108.4 .G94 1991",2334884,"ALDERMAN",1991,"Gydyke /","","X002626836","STACKS","STACKS","BOOK","7/1/96","1/1/00",0,0,1,0,1,7079,0,0,-0.0820058887387313,0.973141404648528,-0.539141301755158,-0.211005547916179,1.14811687209041,-0.489577118871326,0.522276833408874,0.212275551399216,0.070541977293766,295,0.929458022706234,"0",1,0,0,"0",1,FALSE
"4","PH 000131 .K2913  1983","PH131 .K2913 1983",674949,"ALDERMAN",1983,"Finnish grammar /","Karlsson, Fred.","X001205461","STACKS","STACKS","BOOK","6/29/96","12/15/16",1,0,0,20,1,886,20,0.00239234449760766,0.292878174066897,0.973916972397715,2.17018971645127,-0.211005547916179,-1.15103139417014,0.646333045617032,0.293377085073996,0.794483553851023,0.886394074410338,69,0.113605925589662,"1",0,20,0,"1",1,FALSE
"5","PH 000131 .L8","PH131 .L8",417454,"ALDERMAN",1973,"Phonological and lexical aspects of colloquial Finnish,","Luthy, Melvin J.","X000079646","STACKS","STACKS","BOOK","6/29/96","6/15/11",0,0,1,4,1,2896,4,0.000478468899521531,0.761483252573933,0.973916972397715,0.00272490188612713,-0.211005547916179,-0.404819862572574,-0.262395085973655,0.358487509701235,0.792085509747267,0.209514318444401,231,0.790485681555599,"0",1,4,0,"0",1,FALSE
"6","PH 000133 .G73  2006","PH133 .G73 2006",4455399,"ALDERMAN",2006,"Grammar from the human perspective : case, space and person in Finnish /","","X030111186","STACKS","STACKS","BOOK","1/16/07","8/29/17",1,0,0,2,1,629,2,0.000443754160195252,-0.784913506499285,-0.520214296409656,-0.268208199934515,-0.211005547916179,-1.24644252034953,-0.278878006931618,0.2129556555635,0.892849718919024,0.907489691334648,58,0.0925103086653523,"1",0,2,0,"1",1,FALSE
"7","PH 000135 .K35  2008","PH135 .K35 2008",4678561,"ALDERMAN",2008,"Finnish : an essential grammar /","Karlsson, Fred.","X030278564","STACKS","STACKS","BOOK","1/11/08","2/7/19",5,16,1,25,1,102,9,0.00602845430431637,-0.878634522200692,-0.659816491263186,0.680057656437734,2.11548730514775,-1.44209101644501,2.37279597466698,0.240776344720094,0.754815488122404,0.974927700562835,24,0.0250722994371652,"1",1,9,16,"1",1,FALSE
"8","PH 000135 .L4","PH135 .L4",267440,"ALDERMAN",1963,"Basic course in Finnish.","Lehtinen, Meri K. Tuulikki.","X000377742","STACKS","STACKS","BOOK","6/28/96","5/29/12",1,0,3,23,1,2547,23,0.00275086712115776,1.23008833108097,0.974304756272308,2.57658936918223,-0.211005547916179,-0.534385944427076,0.816563333394082,0.596136726968295,0.210451499791816,0.712300271700396,121,0.287699728299604,"0",3,23,0,"0",1,FALSE
"9","PH 000014 .D42  1990","PH14 .D42 1990",1789642,"ALDERMAN",1990,"The Uralic Protolanguage : a comprehensive reconstruction /","Décsy, Gyula.","X001878962","STACKS","STACKS","BOOK","6/30/96","12/15/16",1,0,1,7,1,886,7,0.000837420744108147,-0.0351453808880277,0.973529188523122,0.409124554617091,-0.211005547916179,-1.15103139417014,-0.0919609995636415,0.164275607724169,0.691885790321976,0.650621487040532,133,0.349378512959468,"0",1,7,0,"0",1,FALSE
"10","PH 000143 .T5  1976","PH143 .T5 1976",427372,"ALDERMAN",1976,"Le système graphique du français : introduction à une pédagogie rationnelle de l'orthographe /","Thimonnier, René.","427372-2001","STACKS","STACKS","BOOK","6/28/96","1/1/00",0,0,0,0,1,7079,0,0,0.620901729021822,0.974304756272308,-0.539141301755158,-0.211005547916179,1.14811687209041,-0.489577118871326,0.631158597768173,0.486242952756584,0.0361776782232287,314,0.963822321776771,"0",0,0,0,"0",1,FALSE
"11","PH 002111 .B34  1965","PH2111 .B34 1965",1023266,"ALDERMAN",1965,"Learn Hungarian,","Bánhidi, Zoltán.","X000209336","STACKS","CHECKEDOUT","BOOK","6/29/96","2/20/01",0,0,2,11,1,6663,11,0.00131578947368421,1.13636731537956,0.973916972397715,0.950990758258376,-0.211005547916179,0.993677072515993,0.135173471597271,0.765951164258564,0.0754517707973719,0.104053957685289,267,0.895946042314711,"0",7,65,8,"1",2,FALSE
"12","PH 002111 .B34  1965A","PH2111 .B34 1965a",1023266,"ALDERMAN",1965,"Learn Hungarian,","Bánhidi, Zoltán.","X000276904","STACKS","STACKS","BOOK","6/29/96","5/7/18",14,8,5,62,1,378,54,0.00741626794258373,1.13636731537956,0.973916972397715,6.77605244740219,0.952240878615787,-1.33962614941967,3.03174439104259,0.711172412711571,0.136039094766602,0.99754064631175,2,0.0024593536882499,"1",7,65,8,"1",2,FALSE
"13","PH 002121 .S42  1944  V.000001","PH2121 .S42 1944 v.1",246059,"ALDERMAN",1944,"Spoken Hungarian, basic course.","Sebeok, Thomas A. (Thomas Albert),","X000681781","STACKS","STACKS","BOOK","6/28/96","5/11/14",1,5,1,17,1,1835,12,0.00203324961129052,2.12043798024434,0.974304756272308,1.0864573091687,0.5160234686663,-0.798715601390989,0.475831041498758,0.566668012560707,0.832974729128182,0.229777174144006,224,0.770222825855994,"0",1,12,5,"0",1,TRUE
"14","PH 002131 .S55  2000","PH2131 .S55 2000",3556409,"ALDERMAN",2000,"The phonology of Hungarian /","Siptár, Péter.","X004435651","STACKS","STACKS","BOOK","8/10/00","4/2/18",2,1,0,6,1,413,5,0.000875018229546449,-0.503750459395063,0.391077808884225,0.138191452796448,-0.0655997445996834,-1.3266324162824,-0.0741093206305791,0.149399451205062,0.856888486305252,0.828849671839677,85,0.171150328160323,"1",0,5,1,"1",1,FALSE
"15","PH 002361 .E94  2006","PH2361 .E94 2006",4447123,"ALDERMAN",2006,"Event structure and the left periphery : studies on Hungarian /","","X030113835","STACKS","STACKS","BOOK","12/5/06","1/1/00",0,0,0,0,1,7079,0,0,-0.784913506499285,-0.503927373676744,-0.539141301755158,-0.211005547916179,1.14811687209041,-0.489577118871326,0.672182535004344,0.659727473044768,0.401692661415185,186,0.598307338584815,"0",0,0,0,"0",1,FALSE
"16","PH 002361 .K55  2002","PH2361 .K55 2002",3883854,"ALDERMAN",2002,"The syntax of Hungarian /","Kiss, Katalin É.","X004631055","STACKS","STACKS","BOOK","9/10/02","4/2/18",2,0,0,6,1,413,6,0.000984251968503937,-0.597471475096471,0.0959742803188447,0.27365800370677,-0.211005547916179,-1.3266324162824,-0.0222440000168638,0.176184581394014,0.60803471878171,0.891076804121063,65,0.108923195878937,"1",0,6,0,"1",1,FALSE
"17","PH 002375 .Z7513  1967","PH2375 .Z7513 1967",445645,"ALDERMAN",1967,"The system of Hungarian sentence patterns.","Zsilka, János.","X000305420","STACKS","STACKS","BOOK","6/29/96","9/1/11",0,0,0,6,2,2818,6,0.000717703349282297,1.04264629967815,0.973916972397715,0.27365800370677,-0.211005547916179,-0.433777324992778,-0.148804069524819,0.414553409128571,0.0841903381515294,0.212632807339001,230,0.787367192660999,"0",0,6,0,"0",1,FALSE
"18","PH 002390 .K5  1967","PH2390 .K5 1967",445488,"ALDERMAN",1967,"On emphasis and word order in Hungarian.","Kiefer, Ferenc.","X000298422","STACKS","STACKS","BOOK","6/29/96","5/14/13",0,3,0,10,1,2197,7,0.00119617224880383,1.04264629967815,0.973916972397715,0.409124554617091,0.225211862033308,-0.664323275799786,0.078377963372853,0.375695187070372,0.375723985955119,0.280271467659855,209,0.719728532340145,"0",0,7,3,"0",1,FALSE
"19","PH 002576 .K313  1978","PH2576 .K313 1978",1312092,"ALDERMAN",1978,"The world of names : a study in Hungarian onomatology /","Kálmán, Béla,","X001509466","STACKS","STACKS","BOOK","6/30/96","5/14/13",0,3,0,11,1,2197,8,0.00131594688359852,0.527180713320415,0.973529188523122,0.544591105527412,0.225211862033308,-0.664323275799786,0.135248211469321,0.311026175704212,0.0261975454632193,0.427564350852506,178,0.572435649147494,"0",0,8,3,"0",1,FALSE
"20","PH 002635 .R4  1957","PH2635 .R4 1957",677159,"ALDERMAN",1957,"A-B-C; Magyar, Angol, Francia ...","","X001168167","STACKS","STACKS","BOOK","6/29/96","5/1/14",1,7,0,12,1,1845,5,0.00143540669856459,1.51125137818519,0.973916972397715,0.138191452796448,0.806835075299291,-0.795003106208912,0.191968979821689,0.399593695403024,0.791509886272252,0.174801374139172,240,0.825198625860828,"0",0,5,7,"0",1,FALSE
"21","PH 002640 .O67  1989","PH2640 .O67 1989",1649875,"ALDERMAN",1989,"Angol-Magyar kéziszótár = a concise English-Hungarian dictionary /","Országh, László.","X001937039","STACKS","STACKS","BOOK","6/30/96","5/14/13",0,3,0,26,1,2197,23,0.0031104199066874,0.0117151269626759,0.973529188523122,2.57658936918223,0.225211862033308,-0.664323275799786,0.987282752842932,0.376806325799047,0.450377400731668,0.905138353340458,61,0.094861646659542,"1",0,23,3,"1",1,FALSE
"22","PH 002640 .O715  1959","PH2640 .O715 1959",3493068,"ALDERMAN",1959,"Magyar-angol kéziszótár.","Országh, László.","X004274730","STACKS","STACKS","BOOK","1/31/00","5/1/15",2,9,1,20,1,1480,11,0.00283728188395517,1.41753036248378,0.465532312806108,0.950990758258376,1.09764668193228,-0.930509180354738,0.857593965697078,0.508131123130141,0.961838332237676,0.499609315910315,168,0.500390684089685,"0",1,11,9,"0",1,FALSE
"23","PH 002640 .O715  1979","PH2640 .O715 1979",238944,"ALDERMAN",1979,"Magyar-angol kéziszótár = A concise Hungarian-English dictionary /","Országh, László.","X000323604","STACKS","STACKS","BOOK","6/28/96","4/24/14",0,3,0,17,1,1852,14,0.00203324961129052,0.480320205469712,0.974304756272308,1.35739041098934,0.225211862033308,-0.792404359581457,0.475831041498758,0.333885542970769,0.0865907012484968,0.667115987993778,132,0.332884012006222,"0",0,14,3,"0",1,FALSE
"24","PH 002640 .O95  1994","PH2640 .O95 1994",2330834,"ALDERMAN",1994,"The Oxford-Duden pictorial Hungarian-English dictionary.","","X002560101","STACKS","STACKS","BOOK","7/1/96","5/14/13",0,3,1,15,1,2197,12,0.00179468772433597,-0.222587412290842,0.973141404648528,1.0864573091687,0.225211862033308,-0.664323275799786,0.362559364897758,0.248217552299944,0.376223711064085,0.731103127108694,115,0.268896872891306,"0",1,12,3,"0",1,FALSE
"25","PH 002645 .G4  H3  1966","PH2645 .G4 H3 1966",1023281,"ALDERMAN",1966,"Német-magyar kéziszótár.","Halász, El?d.","X002417479","STACKS","STACKS","BOOK","6/29/96","4/6/10",0,0,0,2,1,3331,2,0.000239234449760766,1.08950680752886,0.973916972397715,-0.268208199934515,-0.211005547916179,-0.243326322152206,-0.375986102422491,0.422545292865468,0.716024910099804,0.110238656062765,262,0.889761343937235,"0",0,2,0,"0",1,FALSE
"26","PH 000275 .S8  1967  O.000001-000002","PH275 .S8 1967 O.1-2",706676,"ALDERMAN",1967,"Nykysuomen sanakirja; lyhentämätön kansanpainos.","Suomalaisen Kirjallisuuden Seura.","X032014496","STACKS","STACKS","BOOK","3/7/18","1/1/00",0,0,0,0,1,7079,0,0,1.04264629967815,-2.09771909825455,-0.539141301755158,-0.211005547916179,1.14811687209041,-0.489577118871326,0.95470007830451,0.949378308374435,0.347015175874821,194,0.652984824125179,"0",2,0,0,"0",3,FALSE
"27","PH 000275 .S8  1967  O.3-4","PH275 .S8 1967 O.3-4",706676,"ALDERMAN",1967,"Nykysuomen sanakirja; lyhentämätön kansanpainos.","Suomalaisen Kirjallisuuden Seura.","X031710522","STACKS","STACKS","BOOK","4/20/15","1/1/00",0,0,1,0,1,7079,0,0,1.04264629967815,-1.68977046218257,-0.539141301755158,-0.211005547916179,1.14811687209041,-0.489577118871326,0.939937188495709,0.773066118359566,0.261124137164748,214,0.738875862835252,"0",2,0,0,"0",3,FALSE
