"","Item.Shelving.Id","Item.Call.Number","Catalog.Id","Item.Library.Code","Catalog.Pub.Year","Catalog.Title","Catalog.Author","Item.Barcode","Item.Collection","Item.Status","Item.Type","Item.Created.Date","Item.Last.Checkout.Date","Item.Lifetime.Checkout","Item.Lifetime.Renewals","Item.Lifetime.Inhouse.Uses","Item.Legacy.Total.Charges","Number.of.Items","days_since_last_checkout","Item.Lifetime.Checkout.Corrected","checkouts_per_day","x0","x1","x2","x3","x4","x5","scoreA","scoreB","scoreC","modelC","dscoreC","model","NumInhouseUses","NumCheckouts","NumRenewals","MODEL","n","MultiVolume"
"1","PM 001001 .G73  2007","PM1001 .G73 2007",4642915,"ALDERMAN",2007,"A grammar of Crow = Apsáalooke Aliláau /","Graczyk, Randolph,","X030261789","STACKS","STACKS","BOOK","10/23/07","7/22/14",2,1,0,14,1,1763,13,0.00331204163709487,-1.09238755980964,-1.37578937313886,0.870358613913998,-0.0448343131629462,-0.806674407304307,1.36455200491228,0.837721141447971,0.935341948876157,0.984406886722973,80,0.0155931132770266,"1",0,13,1,"1",1,FALSE
"2","PM 001001 .Z77  C76","PM1001 .Z77 C76",282822,"ALDERMAN",1978,"Crow texts /","","X000156461","STACKS","STACKS","BOOK","6/28/96","11/14/11",0,0,0,12,1,2744,12,0.00143523501973448,0.166670486270325,0.468303717271401,0.75493050657306,-0.216007705805956,-0.438442255140335,0.257997769617476,0.75891042071972,0.486818364355713,0.636081916633741,474,0.363918083366259,"0",0,12,0,"0",1,TRUE
"3","PM 001004 .H55  2005","PM1004 .H55 2005",4347330,"ALDERMAN",2005,"A grammar of Cupeño /","Hill, Jane H.","X004901122","STACKS","STACKS","BOOK","2/13/06","4/2/12",0,0,1,4,1,2604,4,0.000825763831544178,-1.00555597042481,-1.10055825635533,-0.168494352154441,-0.216007705805956,-0.490993224868119,-0.101342888255235,0.578279266350885,0.375242104288191,0.918983333912625,198,0.0810166660873751,"1",1,4,0,"1",1,FALSE
"4","PM 000101 .A5  V.000001","PM101 .A5 v.1",1041305,"ALDERMAN",1907,"Fox texts,","Jones, William,","X000530468","STACKS","STACKS","BOOK","6/29/96","1/17/97",0,0,0,3,1,8158,3,0.000358851674641148,3.24919190943162,0.467857637665593,-0.283922459495379,-0.216007705805956,1.59377881704697,-0.376631572743325,0.149328426148194,0.68358876160346,0.00370355815859479,1093,0.996296441841405,"0",0,3,0,"0",1,TRUE
"5","PM 000101 .A5  V.000010","PM101 .A5 v.10",732658,"ALDERMAN",1921,"Passamaquoddy texts /","Prince, John Dyneley,","X001189899","STACKS","STACKS","BOOK","6/29/96","5/27/14",1,3,1,5,1,1819,2,0.000598086124401914,2.64137078373784,0.467857637665593,-0.399350566836317,0.297512472123073,-0.785654019413193,-0.235580336477162,0.59959247976144,0.0480244285427034,0.0616340826841092,1004,0.938365917315891,"0",1,2,3,"0",1,TRUE
"6","PM 000101 .A5  V.000011","PM101 .A5 v.11",1041314,"ALDERMAN",1928,"The relationship systems of the Tlingit, Haida and Tsimshian,","Durlach, Theresa Mayer,","X000420165","STACKS","STACKS","BOOK","6/29/96","4/19/13",1,2,2,8,1,2222,6,0.000956937799043062,2.33746022089095,0.467857637665593,0.0623618625274339,0.126339079480063,-0.634382299411072,-0.0240034820779172,0.669242761550834,0.769438978051767,0.108266291878098,939,0.891733708121902,"0",2,6,2,"0",1,TRUE
"7","PM 000101 .A5  V.000012","PM101 .A5 v.12",1041315,"ALDERMAN",1928,"Menomini texts,","Bloomfield, Leonard,","X001123084","STACKS","STACKS","BOOK","6/29/96","5/15/97",0,0,3,8,1,8040,8,0.000956937799043062,2.33746022089095,0.467857637665593,0.293218077209309,-0.216007705805956,1.54948585684784,-0.0240034820779172,0.239932669457234,0.905051978537813,0.0169301247234338,1068,0.983069875276566,"0",3,8,0,"0",1,TRUE
"8","PM 000101 .A5  V.000013","PM101 .A5 v.13",1041316,"ALDERMAN",1931,"Yuchi tales,","Wagner, Günter,","X002221189","STACKS","STACKS","BOOK","6/29/96","1/1/00",0,0,0,1,1,7079,1,0.000119617224880383,2.20721283681372,0.467857637665593,-0.514778674177254,-0.216007705805956,1.18876098607355,-0.517682809009488,0.167525257699547,0.19046241696924,0.0123874067762851,1073,0.987612593223715,"0",0,1,0,"0",1,TRUE
"9","PM 000101 .A5  V.000014 001932","PM101 .A5 v.14 1932",1041317,"ALDERMAN",1932,"Dakota texts,","Deloria, Ella Cara.","X001406161","STACKS","STACKS","BOOK","6/29/96","3/14/18",2,2,3,26,1,432,24,0.00311004784688995,2.1637970421213,0.467857637665593,2.14006779466431,0.126339079480063,-1.30628398378774,1.24545764431755,0.96698364784313,0.596070776926354,0.693109523342124,409,0.306890476657876,"1",3,24,2,"1",1,TRUE
"10","PM 000101 .A5  V.000015","PM101 .A5 v.15",1041318,"ALDERMAN",1933,"Zuni texts,","Bunzel, Ruth Leah,","X001406063","STACKS","STACKS","BOOK","6/29/96","9/20/10",0,0,3,24,1,3164,24,0.00287081339712919,2.12038124742889,0.467857637665593,2.14006779466431,-0.216007705805956,-0.280789345956983,1.10440640805139,0.916645330124483,0.724002446513623,0.458251988345954,625,0.541748011654046,"0",3,24,0,"0",1,TRUE
"11","PM 000101 .A5  V.000016","PM101 .A5 v.16",1041319,"ALDERMAN",1934,"Plains Cree texts,","Bloomfield, Leonard,","X000858388","STACKS","STACKS","BOOK","6/29/96","10/13/03",0,0,1,9,1,5698,9,0.00107655502392344,2.07696545273648,0.467857637665593,0.408646184550247,-0.216007705805956,0.670383206115907,0.0465221360551643,0.448424793560855,0.730296439025551,0.0569707075562859,1010,0.943029292443714,"0",1,9,0,"0",1,TRUE
"12","PM 000101 .A5  V.000017","PM101 .A5 v.17",1041320,"ALDERMAN",1937,"Caddoan texts,","Weltfish, Gene.","X001043295","STACKS","STACKS","BOOK","6/29/96","5/19/10",0,0,1,10,1,3288,10,0.00119617224880383,1.94671806865924,0.467857637665593,0.524074291891185,-0.216007705805956,-0.234244201340945,0.117047754188246,0.682719727395783,0.287786704022437,0.160265061586128,870,0.839734938413872,"0",1,10,0,"0",1,TRUE
"13","PM 000101 .A5  V.000018 001951","PM101 .A5 v.18 1951",756856,"ALDERMAN",1951,"The Tsimshian: their arts and music.","Garfield, Viola Edmundson,","X000418915","STACKS","STACKS","BOOK","6/29/96","1/1/00",0,0,0,1,1,7079,1,0.000119617224880383,1.33889694296546,0.467857637665593,-0.514778674177254,-0.216007705805956,1.18876098607355,-0.517682809009488,0.164784139201953,0.495648813201115,0.0290207434088066,1048,0.970979256591193,"0",0,1,0,"0",1,TRUE
