"","Item.Shelving.Id","Item.Call.Number","Catalog.Id","Item.Library.Code","Catalog.Pub.Year","Catalog.Title","Catalog.Author","Item.Barcode","Item.Collection","Item.Status","Item.Type","Item.Created.Date","Item.Last.Checkout.Date","Item.Lifetime.Checkout","Item.Lifetime.Renewals","Item.Lifetime.Inhouse.Uses","Item.Legacy.Total.Charges","Number.of.Items","days_since_last_checkout","Item.Lifetime.Checkout.Corrected","checkouts_per_day","x0","x1","x2","x3","x4","x5","scoreA","scoreB","scoreC","modelC","dscoreC","model","NumInhouseUses","NumCheckouts","NumRenewals","MODEL","n","MultiVolume"
"1","PZ 000001 .A43  NE","PZ1 .A43 Ne",1106652,"ALDERMAN",1965,"New American story.","Allen, Donald,","X000378836","STACKS","STACKS","BOOK","6/29/96","7/1/08",0,0,0,1,2,3975,1,0.000119617224880383,0.0183125388395251,0.907042410950973,-0.41022135238149,-0.253047131285017,0.423483112020539,-0.429895195208665,0.611197212152822,0.113549523521215,0.146908180670292,2447,0.853091819329708,"0",0,1,0,"0",1,FALSE
"2","PZ 000001 .A48  TO","PZ1 .A48 To",1354047,"ALDERMAN",1965,"To catch a spy, an anthology of favourite spy stories.","Ambler, Eric,","X001590903","STACKS","STACKS","BOOK","6/30/96","7/7/17",1,0,1,5,1,682,5,0.000598157674362962,0.0183125388395251,0.906693207922039,-0.050756744564003,-0.253047131285017,-0.976954089743307,-0.286376203170502,0.801267617338554,0.733665127540007,0.500297899569186,1393,0.499702100430814,"1",1,5,0,"1",1,TRUE
"3","PZ 000001 .B23","PZ1 .B23",281536,"ALDERMAN",1978,"Banquet : five short stories /","","X000077952","STACKS","STACKS","BOOK","6/28/96","7/1/08",0,0,1,1,1,3975,1,0.000119602918311207,-0.0581622461614406,0.907391613979908,-0.41022135238149,-0.253047131285017,0.423483112020539,-0.42989948588961,0.61913418341865,0.893056485336274,0.15670737185589,2371,0.84329262814411,"0",1,1,0,"0",1,FALSE
"4","PZ 000001 .E35  WE","PZ1 .E35 We",815873,"ALDERMAN",1963,"West African narrative; an anthology for schools.","Edwards, Paul,","X002173613","STACKS","STACKS","BOOK","6/29/96","7/1/08",0,0,0,2,1,3975,2,0.000239234449760766,0.0300778903781352,0.907042410950973,-0.320355200427118,-0.253047131285017,0.423483112020539,-0.394020811833557,0.593488148685681,0.546796552836895,0.156968574342622,2368,0.843031425657378,"0",0,2,0,"0",1,FALSE
"5","PZ 000001 .H124  MO 1939","PZ1 .H124 Mo 1939",422120,"CLEMONS",1939,"Modern short stories.","Hadfield, John,","X000232317","BY-REQUEST","BY-REQUEST","BOOK","6/29/96","4/30/13",1,0,1,2,1,2211,2,0.000239234449760766,0.171262108841457,0.907042410950973,-0.320355200427118,-0.253047131285017,-0.326705537815909,-0.394020811833557,0.724917052323389,0.182884216774255,0.255031630383192,1992,0.744968369616808,"0",1,2,0,"0",1,FALSE
"6","PZ 000001 .I596","PZ1 .I596",327909,"ALDERMAN",1978,"International relations through science fiction /","","X000065812","STACKS","STACKS","BOOK","6/28/96","7/1/08",0,0,1,5,1,3975,5,0.000598014591556034,-0.0581622461614406,0.907391613979908,-0.050756744564003,-0.253047131285017,0.423483112020539,-0.286419115112952,0.552459291463681,0.0346082171890885,0.210241683996788,2160,0.789758316003212,"0",1,5,0,"0",1,FALSE
"7","PZ 000001 .R7147  MAN","PZ1 .R7147 Man",621074,"ALDERMAN",1974,"The man to send rain clouds; contemporary stories by American Indians.","Rosen, Kenneth Mark,","X000232318","STACKS","STACKS","BOOK","6/29/96","7/1/08",0,0,4,2,1,3975,2,0.000239234449760766,-0.0346315430842204,0.907042410950973,-0.320355200427118,-0.253047131285017,0.423483112020539,-0.394020811833557,0.600273785327297,0.290880519198254,0.165722803855408,2320,0.834277196144592,"0",4,2,0,"0",1,FALSE
"8","PZ 000001 .S234  SAQ","PZ1 .S234 Saq",1106659,"ALDERMAN",1962,"The Saturday evening post reader of sea stories;","","X002219973","STACKS","STACKS","BOOK","6/29/96","7/1/08",0,0,1,2,1,3975,2,0.000239234449760766,0.0359605661474403,0.907042410950973,-0.320355200427118,-0.253047131285017,0.423483112020539,-0.394020811833557,0.592869457372289,0.879623485263437,0.156191693088626,2375,0.843808306911374,"0",1,2,0,"0",1,FALSE
"9","PZ 000010 .B294  SO 1916","PZ10 .B294 So 1916",1113516,"ALDERMAN",1916,"The story of glass,","Bassett, Sara Ware,","X002243520","STACKS","STACKS","BOOK","6/29/96","7/3/08",0,0,0,2,2,3973,2,0.000239234449760766,0.306563651535473,0.907042410950973,-0.320355200427118,-0.253047131285017,0.422632557995781,-0.394020811833557,0.564303102709432,0.352923923637718,0.123836147293855,2629,0.876163852706145,"0",0,2,0,"0",1,FALSE
"10","PZ 000010 .B655  LI 1969","PZ10 .B655 Li 1969",1113520,"ALDERMAN",1969,"Lisa's spring baby.","Brawley, Eleanor Riggins.","X001181410","STACKS","STACKS","BOOK","6/29/96","7/3/08",0,0,0,0,1,3973,0,0,-0.00521816423769512,0.907042410950973,-0.500087504335861,-0.253047131285017,0.422632557995781,-0.465769578583774,0.629986213360538,0.280934052076191,0.138889484851342,2506,0.861110515148658,"0",0,0,0,"0",1,TRUE
