"","Item.Shelving.Id","Item.Call.Number","Catalog.Id","Item.Library.Code","Catalog.Pub.Year","Catalog.Title","Catalog.Author","Item.Barcode","Item.Collection","Item.Status","Item.Type","Item.Created.Date","Item.Last.Checkout.Date","Item.Lifetime.Checkout","Item.Lifetime.Renewals","Item.Lifetime.Inhouse.Uses","Item.Legacy.Total.Charges","Number.of.Items","days_since_last_checkout","Item.Lifetime.Checkout.Corrected","checkouts_per_day","x0","x1","x2","x3","x4","x5","scoreA","scoreB","scoreC","modelC","dscoreC","model","NumInhouseUses","NumCheckouts","NumRenewals","MODEL","n","MultiVolume"
"1","V  000001 .A42  D6","V1 .A42 D6",596452,"ALDERMAN",1972,"Thirty years of the American neptune.","Dodge, Ernest S. (Ernest Stanley),","X000125140","STACKS","STACKS","BOOK","7/1/96","1/1/00",0,0,0,0,1,7079,0,0,-0.0993291156184436,0.440988571423357,-0.706469809247231,-0.137900750947485,1.19709608584213,-0.600360943821879,0.533901010695511,0.269908444490284,0.0957621127947412,1384,0.904237887205259,"0",0,0,0,"0",1,TRUE
"2","V  000010 .R2  I76  1985","V10 .R2 I76 1985",86643,"ALDERMAN",1985,"Ironclad to Trident : 100 years of defence commentary : Brassey's, 1886-1986 /","","X000970686","STACKS","STACKS","BOOK","6/28/96","1/1/00",0,0,1,3,1,7079,3,0.00035880875493362,-0.155778085758022,0.442529728914684,-0.328568180736741,-0.137900750947485,1.19709608584213,-0.345061622851488,0.528548702503596,0.940751205896959,0.140346394613465,1240,0.859653605386535,"0",1,3,0,"0",1,FALSE
"3","V  000101 .O4  1937","V101 .O4 1937",711052,"ALDERMAN",1937,"Arte da guerra do mar de Fernando Oliveira, 1555, 1937.","Oliveira, Fernão de,","711052-1001","STACKS","STACKS","BOOK","6/29/96","1/1/00",0,0,0,0,1,7079,0,0,0.0526488809111919,0.442016009750908,-0.706469809247231,-0.137900750947485,1.19709608584213,-0.600360943821879,0.566794772387666,0.854369877604768,0.0833077074543022,1437,0.916692292545698,"0",0,0,0,"0",1,FALSE
"4","V  000101 .S58  1627  1968ED.","V101 .S58 1627 1968ed.",1187163,"ALDERMAN",1968,"A sea grammar.","Smith, John,","X002037226","STACKS","STACKS","BOOK","6/29/96","5/12/12",0,2,0,11,1,2564,9,0.00131578947368421,-0.0819602017293424,0.442016009750908,0.427235076284239,0.303070011969331,-0.768716289729857,0.335848539789279,0.589078265914651,0.262767200823873,0.69760006955227,506,0.30239993044773,"0",0,9,2,"0",1,FALSE
"5","V  000103 .D4  1910  V.000001","V103 .D4 1910 V.1",1187164,"ALDERMAN",1910,"The genius of naval warfare ...","Daveluy, René,","X001688827","STACKS","STACKS","BOOK","6/29/96","1/30/11",0,0,0,5,1,3032,5,0.000598086124401914,0.169889049662625,0.442016009750908,-0.076633761729748,-0.137900750947485,-0.564951020235353,-0.17481117854408,0.62962212531469,0.306725637754425,0.469142316323931,788,0.530857683676069,"0",0,7,0,"0",2,TRUE
"6","V  000103 .D4  1910  V.000002","V103 .D4 1910 v.2",1187164,"ALDERMAN",1910,"The genius of naval warfare ...","Daveluy, René,","X002707108","STACKS","STACKS","BOOK","6/29/96","10/28/15",0,0,0,2,1,1300,2,0.000239234449760766,0.169889049662625,0.442016009750908,-0.454535390240238,-0.137900750947485,-1.31905667571502,-0.430141037710759,0.635024382861259,0.263786304509267,0.562820338188794,679,0.437179661811206,"0",0,7,0,"0",2,TRUE
"7","V  000103 .L43  1947","V103 .L43 1947",1187166,"ALDERMAN",1947,"Fundamentals of naval warfare,","Levert, Lee J.,","X000364247","STACKS","STACKS","BOOK","6/29/96","11/30/98",0,0,1,4,1,7476,4,0.000478468899521531,0.00922659618843891,0.442016009750908,-0.202600971233245,-0.137900750947485,1.36994824821246,-0.259921131599639,0.563361425288163,0.733587567927316,0.116727476919641,1290,0.883272523080359,"0",1,4,0,"0",1,FALSE
"8","V  000103 .M3  1967","V103 .M3 1967",1187167,"ALDERMAN",1967,"The sea in modern strategy","Martin, Laurence W.","1187167-1001","STACKS","STACKS","BOOK","6/29/96","1/1/00",0,0,0,0,2,7079,0,0,-0.0776179732570671,0.442016009750908,-0.706469809247231,-0.137900750947485,1.19709608584213,-0.600360943821879,0.538798846906713,0.751612831838429,0.0938111565937022,1396,0.906188843406298,"0",0,0,0,"0",1,FALSE
"9","V  000103 .S65  V.000002","V103 .S65 V.2",1221273,"ALDERMAN",1968,"War at sea.","Southworth, John Van Duyn,","X000958781","STACKS","STACKS","BOOK","6/30/96","8/1/08",0,0,2,8,1,3944,8,0.000957052278980739,-0.0819602017293424,0.441502290587133,0.301267866780742,-0.137900750947485,-0.167869982246062,0.0806001352971355,0.577235134100144,0.379338714061305,0.527371548360203,724,0.472628451639797,"0",2,14,0,"0",2,TRUE
"10","V  000103 .S65  V.000003 PT.000001","V103 .S65 V.3 PT.1",1221273,"ALDERMAN",1968,"War at sea.","Southworth, John Van Duyn,","X002078802","STACKS","STACKS","BOOK","6/30/96","4/26/10",0,0,0,6,1,3311,6,0.000717789209235554,-0.0819602017293424,0.441502290587133,0.0493334477737487,-0.137900750947485,-0.443475571113629,-0.0896401344826181,0.577369355832068,0.235375559190288,0.533267510952059,714,0.466732489047941,"0",2,14,0,"0",2,TRUE
"11","V  000103 .Y34  2018","V103 .Y34 2018",7856896,"ALDERMAN",2018,"Arba?at kutub min tur?th ???ib al-?a?amah Sul??n ?a?ramawt al-Sul??n ??li? ibn Gh?lib al-Qu?ay?? : Hay?at al-mil??ah al-ba?r?yah, al-Mil??ah al-ba?r?yah, al-?ar?qah al-w??i?ah ilá al-jabr wa-al-muq?balah, al-Asr?r al-mun?awiyah f? al-muthallath?t al-mustawiyah /","Y?fi??, ??li? ibn Gh?lib al-Qu?ay??,","X032214936","STACKS","STACKS","BOOK","12/20/18","1/1/00",0,0,0,0,1,7079,0,0,-0.299071625343107,-3.7751046056833,-0.706469809247231,-0.137900750947485,1.19709608584213,-0.600360943821879,0.0327268164792543,0.121978795854375,0.89757908888514,219,0.10242091111486,"1",0,0,0,"1",1,FALSE
"12","V  000105 .G37  1970","V105 .G37 1970",1187168,"ALDERMAN",1970,"Fundamentals of naval operations analysis,","Garrett, Roger A.","X001134068","STACKS","STACKS","BOOK","6/29/96","1/1/00",0,0,0,1,2,7079,1,0.000119617224880383,-0.090644658673893,0.442016009750908,-0.580502599743735,-0.137900750947485,1.19709608584213,-0.515250990766319,0.538168142625573,0.164696526713669,0.106312809227479,1319,0.893687190772521,"0",0,1,0,"0",1,FALSE
"13","V  000105 .R5  1984","V105 .R5 1984",73941,"ALDERMAN",1984,"F. ?ngel's i flot /","Ri?abov, F. G.","X001017971","STACKS","STACKS","BOOK","6/28/96","8/1/08",0,0,0,0,1,3944,0,0,-0.151435857285747,0.442529728914684,-0.706469809247231,-0.137900750947485,-0.167869982246062,-0.600360943821879,0.545254671388198,0.243837387766689,0.303709839885143,1062,0.696290160114857,"0",0,0,0,"0",1,FALSE
"14","V  000105 .U55  1968","V105 .U55 1968",1187169,"ALDERMAN",1968,"Naval operations analysis.","United States Naval Academy. Naval Science Dept. Operations Committee.","X000360593","STACKS","STACKS","BOOK","6/29/96","8/1/08",0,0,0,2,1,3944,2,0.000239234449760766,-0.0819602017293424,0.442016009750908,-0.454535390240238,-0.137900750947485,-0.167869982246062,-0.430141037710759,0.564415539081074,0.772759827552363,0.343728783708333,979,0.656271216291667,"0",0,2,0,"0",1,FALSE
"15","V  000107 .B7  1942","V107 .B7 1942",1187170,"ALDERMAN",1942,"A layman's guide to naval strategy,","Brodie, Bernard,","X000982963","STACKS","STACKS","BOOK","6/29/96","1/1/00",0,0,1,1,1,7079,1,0.000119617224880383,0.0309377385498154,0.442016009750908,-0.580502599743735,-0.137900750947485,1.19709608584213,-0.515250990766319,0.564315713975204,0.670597881544381,0.0953018237386559,1389,0.904698176261344,"0",1,1,0,"0",1,FALSE
"16","V  000107 .B7  1943","V107 .B7 1943",1187171,"ALDERMAN",1943,"A layman's guide to naval strategy,","Brodie, Bernard,","X000412482","STACKS","STACKS","BOOK","6/29/96","8/1/08",0,0,1,0,1,3944,0,0,0.0265955100775401,0.442016009750908,-0.706469809247231,-0.137900750947485,-0.167869982246062,-0.600360943821879,0.583199169039255,0.274880260927603,0.26752594918407,1121,0.73247405081593,"0",1,0,0,"0",1,FALSE
"17","V  000107 .B7  1944","V107 .B7 1944",1272767,"ALDERMAN",1944,"A guide to naval strategy,","Brodie, Bernard,","X001272412","STACKS","STACKS","BOOK","6/30/96","3/24/02",0,0,0,1,1,6266,1,0.000119631534872592,0.0222532816052648,0.441502290587133,-0.580502599743735,-0.137900750947485,0.843119239476673,-0.515240808932002,0.56807989661276,0.629017471335828,0.131543784601673,1258,0.868456215398327,"0",0,1,0,"0",1,FALSE
"18","V  000107 .B7  1965","V107 .B7 1965",4028486,"ALDERMAN",1965,"A guide to naval strategy.","Brodie, Bernard,","X002537539","STACKS","STACKS","BOOK","5/5/04","4/23/15",0,8,1,12,1,1488,4,0.00218459858001092,-0.0689335163125165,-1.03081683279384,-0.202600971233245,1.62598230071978,-1.23720225121722,0.954022906630289,0.307599445532177,0.185518238926306,0.894197415772455,223,0.105802584227545,"1",1,4,8,"1",1,FALSE
"19","V  000011 .C6  L58  2004","V11 .C6 L58 2004",4335669,"ALDERMAN",2004,"Zhongguo jin dai hai jun zhi guan biao /","Liu, Chuanbiao,","X004995856","STACKS","STACKS","BOOK","12/21/05","1/1/00",0,0,0,0,1,7079,0,0,-0.238280426731253,-1.33647973524035,-0.706469809247231,-0.137900750947485,1.19709608584213,-0.600360943821879,0.198344096647337,0.629188563209027,0.41853123502899,860,0.58146876497101,"0",0,0,0,"0",1,TRUE
"20","V  000011 .G7  C66  1954  V.000001","V11 .G7 C66 1954 v.1",3706986,"ALDERMAN",1954,"The commissioned sea officers of the Royal Navy, 1660-1815.","Great Britain. Admiralty.","X004562424","STACKS","CHECKEDOUT","BOOK","4/6/01","6/1/06",0,0,0,3,1,4736,3,0.000453309156844968,-0.0211690031174882,-0.452882773546252,-0.328568180736741,-0.137900750947485,0.176963550744639,-0.27782277177089,0.398275827873951,0.221892398782074,0.492130661152929,756,0.507869338847071,"0",0,9,0,"0",3,TRUE
