"","Catalog.Id","Item.Barcode","Item.Call.Number","Item.Library.Code","Catalog.Title","Catalog.Author","Catalog.Pub.Year","Item.Created.Date","Item.Last.Checkout.Date","NumInhouseUses","NumCheckouts","NumRenewals","Duplicates","Bib.Marc.Subfield.Data","MultiVolume","modelC","MODEL","LiaisonRecommendation"
"1",202683,"X006114338","BP166.93 .S22","ALDERMAN","Islamic messianism : the idea of Mahd? in twelver Sh??ism /","Sachedina, Abdulaziz Abdulhussein,",1981,"6/28/96","6/13/18",28,372,15,1,"2 3",FALSE,1,"1",0
"2",90568,"X000954067","BP192 .M65 1985b","ALDERMAN","An introduction to Shi?i Islam : the history and doctrines of Twelver Shi?ism /","Momen, Moojan.",1985,"6/28/96","6/13/18",16,210,13,1,"2 3",FALSE,2,"1",0
"3",2094275,"X002244085","BP130.45 .A67 1993","ALDERMAN","Approaches to the Qur??n /","",1993,"6/30/96","5/19/18",13,208,6,1,"2",FALSE,3,"1",0
"4",4444095,"X030144976","BP188 .G47413 1983 v.1","ALDERMAN","I?y?? ?ul?m al-d?n  /","Ghazz?l?,",1983,"11/21/06","12/8/18",0,400,153,4,"2",TRUE,4,"1",0
"5",4031900,"X004765579","BP130.45 .S336 2004","ALDERMAN","The formation of the classical tafs?r tradition : the Qur??n commentary of al-Tha?lab? (d. 427/1035) by Walid A. Saleh.","Saleh, Walid A.",2004,"5/18/04","7/5/17",5,175,8,1,"2",FALSE,5,"1",0
"6",40356,"X002048621","BP42 .A67 1985","ALDERMAN","Approaches to Islam in religious studies /","",1985,"6/28/96","9/12/10",20,322,6,2,"2 3",FALSE,6,"1",0
"7",2888744,"X004266414","BP189.36 .K58 1999","ALDERMAN","Ibn ?Arabi in the later Islamic tradition : the making of a polemical image in medieval Islam /","Knysh, Alexander D.",1999,"3/8/99","5/11/17",1,176,9,1,"2",FALSE,7,"1",0
"8",2626573,"X004066431","BP192 .H3513 1997","ALDERMAN","Shi'a Islam : from religion to revolution /","Halm, Heinz,",1997,"1/24/97","9/20/17",4,176,0,1,"2",FALSE,8,"1",0
"9",224696,"X000078578","BP166.1 .I72","ALDERMAN","Islamic philosophical theology /","",1979,"6/28/96","4/13/18",4,176,2,1,"2",FALSE,9,"1",0
"10",4449765,"X030162312","BP130.4 .A77 2003 v.1","ALDERMAN","The message of the Qur?an : the full account of the revealed Arabic text accompanied by parallel transliteration /","Asad, Muhammad,",2003,"12/20/06","7/9/18",6,408,8,6,"2",TRUE,10,"1",0
"11",2358918,"X002522842","BP166.1 .F73 1994","ALDERMAN","Al-Ghaz?l? and the Ash?arite School /","Frank, Richard M.",1994,"7/1/96","5/11/17",3,168,4,1,"2",FALSE,11,"1",0
