"","Catalog.Id","Item.Barcode","Item.Call.Number","Item.Library.Code","Catalog.Title","Catalog.Author","Catalog.Pub.Year","Item.Created.Date","Item.Last.Checkout.Date","NumInhouseUses","NumCheckouts","NumRenewals","Duplicates","Bib.Marc.Subfield.Data","MultiVolume","modelC","MODEL","LiaisonRecommendation"
"1",2633279,"X004105888","BT610 .P45 1996","CLEMONS","Mary through the centuries : her place in the history of culture /","Pelikan, Jaroslav,",1996,"7/29/97","10/26/13",12,447,5,2,"2 3",FALSE,1,"1",0
"2",4735017,"X030259270","BT603 .K43 2008","ALDERMAN","The Virgin Mary, monotheism, and sacrifice /","Kearns, Cleo McNelly,",2008,"6/17/08","4/19/18",0,272,0,1,"2",FALSE,2,"1",0
"3",2497016,"X002741602","BT614 .H35 1995","ALDERMAN","Hail Mary? : the struggle for ultimate womanhood in Catholicism /","Hamington, Maurice.",1995,"7/1/96","11/21/11",0,319,0,1,"2",FALSE,3,"1",0
"4",4000916,"X004745922","BT603 .S67 2004","ALDERMAN","Missing Mary : the Queen of Heaven and her re-emergence in the modern church /","Spretnak, Charlene,",2004,"1/20/04","11/21/11",0,288,0,1,"2",FALSE,4,"1",0
"5",435877,"X000447775","BT602 .R83","ALDERMAN","Mary, the feminine face of the Church /","Ruether, Rosemary Radford.",1977,"6/29/96","5/1/17",5,296,6,1,"2",FALSE,5,"1",0
"6",1779290,"X001859198","BT741 .B95 1991","ALDERMAN","Fragmentation and redemption : essays on gender and the human body in Medieval religion /","Bynum, Caroline Walker.",1991,"6/30/96","11/27/18",27,178,34,2,"2",FALSE,6,"1",0
"7",1301211,"X006025474","BT708 .B77 1988","CLEMONS","The body and society : men, women, and sexual renunciation in early Christianity /","Brown, Peter,",1988,"6/30/96","11/29/18",16,295,61,3,"2 3",FALSE,7,"1",0
"8",1224595,"X006025805","BT736.15 .G5613 1986","CLEMONS","The scapegoat /","Girard, RenÈ,",1986,"6/30/96","1/31/17",7,202,20,2,"2 3",FALSE,8,"1",0
"9",1854660,"X002014970","BT736.2 .J87 1991","ALDERMAN","Just war and jihad : historical and theoretical perspectives on war and peace in Western and Islamic traditions /","",1991,"6/30/96","6/27/17",14,125,0,1,"2",FALSE,9,"1",0
"10",620227,"X000014881","BT70 .B8513 1972","ALDERMAN","Common places of Martin Bucer /","Bucer, Martin,",1972,"6/29/96","7/22/14",13,133,31,1,"2",FALSE,10,"1",0
"11",3565928,"X004402884","BT40 .R335 2000","ALDERMAN","Radical orthodoxy? : a Catholic enquiry /","",2000,"9/14/00","4/28/17",6,105,5,2,"2",FALSE,11,"1",0
"12",1789201,"X002214157","BT82.2 .M39 1991","ALDERMAN","Understanding fundamentalism and evangelicalism /","Marsden, George M.,",1991,"6/30/96","10/15/18",10,216,21,3,"2 3",FALSE,12,"1",0
"13",778566,"X004796014","BT736.15 .G5713 1987b","ALDERMAN","Things hidden since the foundation of the world /","Girard, RenÈ,",1987,"6/29/96","12/12/18",4,106,20,1,"2 3",FALSE,13,"1",0
"14",3737494,"X004559277","BT764.2 .J8613 2001","ALDERMAN","Justification : the heart of the Christian faith : a theological study with an ecumenical purpose /","J¸ngel, Eberhard.",2001,"7/25/01","4/17/18",3,88,10,1,"2",FALSE,14,"1",0
"15",807344,"X000958947","BT921 .S3 1903","ALDERMAN","The Christian doctrine of immortality /","Salmond, S. D. F. (Stewart Dingwall Fordyce),",1903,"6/29/96","9/29/15",0,140,47,1,"2",FALSE,15,"1",0
"16",2845119,"X004253783","BT75.2 .J45 1997 v.2","ALDERMAN","Systematic theology /","Jenson, Robert W.",1997,"8/23/99","6/23/17",11,182,1,2,"2",TRUE,16,"1",0
"17",788549,"X001263004","BT1350 .W54 1987b","ALDERMAN","Arius : heresy and tradition /","Williams, Rowan,",1987,"6/29/96","3/1/18",2,99,2,1,"2",FALSE,18,"1",0
"18",3527024,"X004405663","BT301.2 .C34 1999b","CLEMONS","Desire of the everlasting hills : the world before and after Jesus /","Cahill, Thomas.",1999,"4/19/00","6/15/12",1,98,5,1,"3",FALSE,19,"1",0
"19",386069,"X000025777","BT602 .W37 1976","ALDERMAN","Alone of all her sex : the myth and the cult of the Virgin Mary /","Warner, Marina,",1976,"6/28/96","1/19/17",5,156,7,3,"2 3 4",FALSE,20,"1",0
"20",1326132,"X001507876","BT1391 .A3 1988b","ALDERMAN","The Nag Hammadi library in English /","",1988,"6/30/96","11/29/18",8,93,44,1,"2",FALSE,21,"1",0
"21",1943061,"X002105904","BT102 .J344 1990","ALDERMAN","The purpose of it all /","Jaki, Stanley L.",1990,"6/30/96","7/15/10",2,113,0,1,"2",FALSE,22,"1",0
"22",4135724,"X004844682","BT109 .A94 2004","CLEMONS","Nicaea and its legacy : an approach to fourth-century Trinitarian theology /","Ayres, Lewis.",2004,"4/1/05","7/17/18",2,65,4,1,"2 3",FALSE,23,"1",0
"23",2392509,"X001016208","BT78 .B2613 1982 v.2","ALDERMAN","Studies in theological style /","Balthasar, Hans Urs von,",1984,"7/1/96","12/1/17",16,148,27,2,"2",TRUE,24,"1",0
"24",2392513,"X001016207","BT78 .B2613 1982 v.1","ALDERMAN","Seeing the form /","Balthasar, Hans Urs von,",1982,"7/1/96","11/26/18",8,91,40,1,"2",TRUE,25,"1",0
"25",3898046,"X004660196","BT30 .U6 N65 2002","ALDERMAN","America's God : from Jonathan Edwards to Abraham Lincoln /","Noll, Mark A.,",2002,"11/23/02","3/6/18",9,68,8,1,"2",FALSE,26,"1",0
"26",188643,"X000156895","BT82.2 .M37","ALDERMAN","Fundamentalism and American culture : the shaping of twentieth century evangelicalism, 1870-1925 /","Marsden, George M.,",1980,"6/28/96","6/7/16",18,185,3,2,"2 3",FALSE,27,"1",0
"27",136067,"X000483846","BT966 .S36 1982","ALDERMAN","Angels and demons according to Lactantius.","Schneweis, Emil.",1982,"6/28/96","12/1/18",2,89,94,1,"2",FALSE,28,"1",0
"28",2858878,"X006120612","BT380 .B67413 1995","ALDERMAN","The Cost of discipleship /","Bonhoeffer, Dietrich,",1995,"8/1/01","12/10/18",7,102,46,2,"2",FALSE,29,"1",0
"29",523505,"X006115235","BT734.2 .C6 1969","ALDERMAN","Black theology and black power","Cone, James H.",1969,"6/29/96","8/27/18",11,94,7,1,"2 3",FALSE,30,"1",0
"30",1175699,"X000241337","BT715 .R48","ALDERMAN","The symbolism of evil.","Ric?ur, Paul.",1967,"6/29/96","8/30/17",8,97,12,1,"2",FALSE,31,"1",0
"31",2644076,"X006038737","BT80 .M53 1997","ALDERMAN","The word made strange : theology, language, culture /","Milbank, John.",1997,"1/22/97","5/22/17",21,139,5,2,"2",FALSE,32,"1",0
"32",1617866,"X001651339","BT708 .M45 1989","CLEMONS","Men and women : sexual ethics in turbulent times /","",1989,"6/30/96","9/12/11",2,103,0,1,"3",FALSE,33,"1",0
"33",183970,"X000370026","BT111.2 .J46 1982","ALDERMAN","The triune identity : God according to the gospel /","Jenson, Robert W.",1982,"6/28/96","5/9/15",8,95,4,1,"2",FALSE,34,"1",0
"34",2229338,"X002329559","BT28 .G86 1993","ALDERMAN","The One, the Three, and the many : God, creation, and the culture of modernity /","Gunton, Colin E.",1993,"7/1/96","1/31/18",1,84,11,1,"2",FALSE,35,"1",0
"35",122322,"X006083059","BT602 .W37 1983","CLEMONS","Alone of all her sex : the myth and the cult of the Virgin Mary /","Warner, Marina,",1983,"6/28/96","11/14/16",6,90,7,1,"3",FALSE,36,"1",0
"36",2146629,"X002280121","BT111.2 .L33 1991","ALDERMAN","God for us : The Trinity and Christian life /","LaCugna, Catherine Mowry,",1991,"7/1/96","3/23/17",2,86,9,1,"2",FALSE,37,"1",0
"37",1913928,"X002042846","BT102 .M299 1991","ALDERMAN","God without being : hors-texte /","Marion, Jean-Luc,",1991,"6/30/96","10/19/18",5,82,15,1,"2",FALSE,38,"1",0
"38",695275,"X001187074","BT981 .R865 1986","CLEMONS","Mephistopheles : the Devil in the modern world /","Russell, Jeffrey Burton.",1986,"6/29/96","12/7/17",11,100,8,2,"2 3",FALSE,39,"1",0
"39",2237722,"X002314696","BT80 .F74 1993","ALDERMAN","Theology and narrative : selected essays /","Frei, Hans W.",1993,"7/1/96","1/1/18",9,181,35,3,"2",FALSE,40,"1",0
"40",1998271,"X002163260","BT83.55 .J64 1992","ALDERMAN","She who is : the mystery of God in a feminist theological perspective /","Johnson, Elizabeth A.,",1992,"6/30/96","11/16/18",7,134,28,2,"2 3",FALSE,41,"1",0
"41",1751259,"X001827972","BT304.95 .J44 1989","ALDERMAN","The Jefferson Bible : the life and morals of Jesus of Nazareth /","Jefferson, Thomas,",1989,"6/30/96","6/10/16",5,88,2,1,"2 10",FALSE,42,"1",0
"42",1175688,"X000359138","BT708 .B3 1959","ALDERMAN","Sexual relation in Christian thought.","Bailey, Derrick Sherwin,",1959,"6/29/96","7/24/18",1,93,0,1,"2",FALSE,43,"1",0
"43",87198,"X001144151","BT82.7 .C666 1986","ALDERMAN","A Black theology of liberation /","Cone, James H.",1986,"6/28/96","4/13/18",7,81,17,1,"2",FALSE,45,"1",0
"44",3807338,"X004606027","BT83.55 .C63 2002","ALDERMAN","Powers and submissions : spirituality, philosophy, and gender /","Coakley, Sarah,",2002,"1/22/02","5/19/18",7,60,13,1,"2",FALSE,47,"1",0
"45",3999608,"X004745543","BT55 .H37 2003","ALDERMAN","The beauty of the infinite : the aesthetics of Christian truth /","Hart, David Bentley.",2003,"1/13/04","12/8/18",8,53,26,1,"2",FALSE,48,"1",0
"46",1171125,"X000266690","BT80 .P3413 v.2","ALDERMAN","Basic questions in theology; collected essays.","Pannenberg, Wolfhart,",1970,"6/29/96","5/16/16",6,90,3,1,"2",TRUE,49,"1",0
"47",1175490,"X000371962","BT380.2 .B56","ALDERMAN","The Sermon on the Mount; an exposition.","Boice, James Montgomery,",1972,"6/29/96","2/24/17",2,86,1,1,"2",FALSE,50,"1",0
"48",1362959,"X001606359","BT160 .B66 1989","ALDERMAN","Tragic method and tragic theology : evil in contemporary drama and religious thought /","Bouchard, Larry D.,",1989,"6/30/96","2/14/18",11,77,6,1,"2",FALSE,51,"1",0
"49",89982,"X000863665","BT19 .L55 1984","ALDERMAN","The nature of doctrine : religion and theology in a postliberal age /","Lindbeck, George A.",1984,"6/28/96","12/9/18",9,76,13,1,"2",FALSE,52,"1",0
"50",682342,"X001159595","BT130 .F86 1986","ALDERMAN","Theology and the scientific imagination from the Middle Ages to the seventeenth century /","Funkenstein, Amos.",1986,"6/29/96","11/9/18",4,75,9,1,"2 5",FALSE,53,"1",0
"51",1174784,"X000210316","BT202 .Y63","ALDERMAN","The politics of Jesus; vicit Agnus noster","Yoder, John Howard.",1972,"6/29/96","8/4/17",5,83,4,1,"2",FALSE,54,"1",0
"52",1616019,"X001666740","BT83.78 .W59 1989","ALDERMAN","Why narrative? : readings in narrative theology /","",1989,"6/30/96","8/31/16",9,79,10,1,"2",FALSE,55,"1",0
"53",6664029,"X031738470","BT703.3 .W55 2016","CLEMONS","Soul mates : religion, sex, love, and marriage among African Americans and Latinos /","Wilcox, William Bradford,",2016,"1/6/16","12/7/18",0,14,2,1,"1 3",FALSE,56,"1",0
"54",4598683,"X030260593","BT301.3 .M87 2007","ALDERMAN","Jesus and Paul : parallel lives /","Murphy-O'Connor, J. (Jerome),",2007,"6/13/07","6/11/15",1,47,24,1,"2",FALSE,57,"1",0
"55",538703,"X006165789","BT1315 .B313 1971","ALDERMAN","Orthodoxy and heresy in earliest Christianity.","Bauer, Walter,",1971,"6/29/96","11/12/18",4,141,5,2,"2 3",FALSE,58,"1",0
"56",694401,"X001109281","BT736.15 .G5613 1986b","ALDERMAN","The scapegoat /","Girard, RenÈ,",1986,"6/29/96","11/30/18",7,73,15,1,"2 3",FALSE,59,"1",0
"57",2383245,"X002559498","BT872 .B96 1995","ALDERMAN","The Resurrection of the body in Western Christianity, 200-1336 /","Bynum, Caroline Walker.",1995,"7/1/96","5/3/18",11,135,11,2,"2",FALSE,60,"1",0
"58",1645937,"X001703233","BT704 .M55 1989","ALDERMAN","Carnal knowing : female nakedness and religious meaning in the Christian west /","Miles, Margaret R. (Margaret Ruth),",1989,"6/30/96","5/15/18",9,73,9,1,"2",FALSE,62,"1",0
"59",3813890,"X006126490","BT708 .T45 2002","ALDERMAN","Theology and sexuality : classic and contemporary readings /","",2002,"2/12/02","5/26/18",15,54,5,1,"2",FALSE,63,"1",0
"60",304428,"X004727509","BT1390 .P3","CLEMONS","The gnostic Gospels /","Pagels, Elaine H.,",1979,"6/28/96","12/11/18",3,75,4,1,"2 3",FALSE,64,"1",0
"61",4718354,"X030204302","BT1103 .K45 2008","ALDERMAN","The reason for God : belief in an age of skepticism /","Keller, Timothy,",2008,"5/13/08","12/8/18",2,34,30,1,"2",FALSE,66,"1",0
"62",3709617,"X004541225","BT702 .N49 2001","ALDERMAN","Why God won't go away : brain science and the biology of belief /","Newberg, Andrew B.,",2001,"4/13/01","12/14/18",4,54,0,1,"2",FALSE,67,"1",0
"63",458819,"X000158610","BT715 .R48 1969","CLEMONS","The symbolism of evil.","Ric?ur, Paul.",1969,"6/29/96","8/31/17",7,81,0,1,"3",FALSE,68,"1",0
"64",2267708,"X002424118","BT83.55 .R84 1993","ALDERMAN","Sexism and God-talk : toward a feminist theology : with a new introduction /","Ruether, Rosemary Radford.",1993,"7/1/96","5/19/18",2,70,11,1,"2",FALSE,69,"1",0
"65",573112,"X000121793","BT102 .P55 1967","ALDERMAN","God and other minds; a study of the rational justification of belief in God.","Plantinga, Alvin.",1967,"6/29/96","3/18/18",5,155,8,2,"2 3",FALSE,70,"1",0
"66",457021,"X000000792","BT202 .F7 1975","ALDERMAN","The identity of Jesus Christ : the hermeneutical bases of dogmatic theology /","Frei, Hans W.",1975,"6/29/96","7/19/18",6,76,12,1,"2",FALSE,71,"1",0
"67",2374762,"X002562212","BT825 .G36 1994","ALDERMAN","Living with the dead in the Middle Ages /","Geary, Patrick J.,",1994,"7/1/96","2/5/18",5,70,21,1,"2",FALSE,72,"1",0
"68",4692021,"X030249757","BT695.5 .J464 2008","ALDERMAN","Ecologies of grace : environmental ethics and Christian theology /","Jenkins, Willis.",2008,"2/26/08","10/10/17",1,36,3,1,"2",FALSE,73,"1",0
"69",114163,"X000401569","BT97.2 .W36 1982","ALDERMAN","Miracles and the medieval mind : theory, record, and event, 1000-1215 /","Ward, Benedicta,",1982,"6/28/96","4/29/18",2,73,8,1,"2",FALSE,74,"1",0
"70",2396982,"X002604587","BT111.2 .T670 1994","ALDERMAN","Trinitarian perspectives : toward doctrinal agreement /","Torrance, Thomas F. (Thomas Forsyth),",1994,"7/1/96","5/17/18",3,68,2,1,"2",FALSE,75,"1",0
"71",3926142,"X004690172","BT265.3 .M55 2003","ALDERMAN","Being reconciled : ontology and pardon /","Milbank, John.",2003,"3/25/03","4/17/18",3,48,8,1,"2",FALSE,76,"1",0
"72",7739104,"X031814169","BT83.57 .B3655 2018","ALDERMAN","The world come of age : an intellectual history of liberation theology /","Barger, Lilian Calles,",2018,"9/26/18","10/25/18",0,2,1,1,"2",FALSE,77,"1",0
"73",2391777,"X002600819","BT40 .T438 1994","ALDERMAN","Theology without foundations : religious practice and the future of theological truth /","",1994,"7/1/96","10/15/09",5,89,0,1,"2",FALSE,78,"1",0
