"","Catalog.Id","Item.Barcode","Item.Call.Number","Item.Library.Code","Catalog.Title","Catalog.Author","Catalog.Pub.Year","Item.Created.Date","Item.Last.Checkout.Date","NumInhouseUses","NumCheckouts","NumRenewals","Duplicates","Bib.Marc.Subfield.Data","MultiVolume","modelC","MODEL","LiaisonRecommendation"
"1",181690,"X000358748","CB425 .B458","ALDERMAN","All that is solid melts into air : the experience of modernity /","Berman, Marshall,",1982,"6/28/96","4/10/18",42,356,7,2,"2 3",FALSE,1,"1",0
"2",1624833,"X001687238","CB357 .T64 1990","ALDERMAN","Cosmopolis : the hidden agenda of modernity /","Toulmin, Stephen,",1990,"6/30/96","6/19/18",15,187,7,1,"2",FALSE,2,"1",0
"3",576670,"X000411860","CT275 .R75 N42 1953 v.1","ALDERMAN","Study in power: John D. Rockefeller, industrialist and philanthropist.","Nevins, Allan,",1953,"6/29/96","5/5/15",30,364,0,2,"2 14",TRUE,3,"1",0
"4",605264,"X000214563","CD1041 .I73","ALDERMAN","Enjoying archives: what they are, where to find them, how to use them.","Iredale, David.",1973,"6/29/96","4/1/08",0,196,0,1,"2",FALSE,4,"1",0
"5",651343,"X004008550","CB478 .K46 1983","ALDERMAN","The culture of time and space 1880-1918 /","Kern, Stephen.",1983,"6/29/96","8/26/16",22,168,5,1,"2",FALSE,5,"1",0
"6",2224616,"X032012510","CB478 .R57 1993","ALDERMAN","Contra technologiam : the crisis of value in a technological age /","Rivers, Theodore John,",1993,"7/1/96","3/9/12",0,173,3,1,"2 5",FALSE,6,"1",0
"7",2372045,"X032012511","CB478 .H477 1994","ALDERMAN","The innovation matrix : culture and structure prerequisites to innovation /","Herbig, Paul A.",1994,"7/1/96","3/9/12",0,171,3,1,"2 5",FALSE,7,"1",0
"8",224776,"X000155954","CS95 .D45","ALDERMAN","Genealogical historical guide to Latin America /","Platt, Lyman De.",1978,"6/28/96","12/1/18",0,151,195,1,"2",FALSE,8,"1",0
"9",425593,"X000184645","CB428 .J63 1977","ALDERMAN","Enemies of society /","Johnson, Paul,",1977,"6/29/96","12/1/18",0,152,196,2,"2 14",FALSE,10,"1",0
"10",308751,"X000318551","CS16 .B35","ALDERMAN","How to find your family roots /","Beard, Timothy F. (Timothy Field)",1977,"6/28/96","12/1/18",0,151,195,1,"2",FALSE,11,"1",0
"11",348067,"X000980263","CD1850 .A5 v.1","ALDERMAN","GuÌa de fuentes para la historia de Ibero-AmÈrica conservadas en EspaÒa.","Spain. DirecciÛn General de Archivos y Bibliotecas.",1966,"6/28/96","12/1/18",0,151,195,1,"2",TRUE,12,"1",0
"12",1823886,"X000878552","CB427 .A33 1991","ALDERMAN","The culture industry : selected essays on mass culture /","Adorno, Theodor W.,",1991,"6/30/96","10/5/18",23,145,37,1,"2",FALSE,13,"1",0
"13",401379,"X000856324","CS957 .G7 F62 1943 v.3","ALDERMAN","GenealogÌas del nuevo reino de Granada.","FlÛrez de Oc·riz, Juan.",1943,"6/28/96","12/1/18",0,151,195,3,"2",TRUE,14,"1",0
"14",594650,"X000195382","CB478 .M8","ALDERMAN","Technics and civilization,","Mumford, Lewis,",1934,"6/29/96","6/18/18",9,280,16,5,"2",FALSE,15,"1",0
"15",2535172,"X002784300","CB425 .B458 1988","ALDERMAN","All that is solid melts into air : the experience of modernity /","Berman, Marshall,",1988,"7/1/96","5/22/18",24,262,25,2,"2 4",FALSE,16,"1",0
