"","Catalog.Id","Item.Barcode","Item.Call.Number","Item.Library.Code","Catalog.Title","Catalog.Author","Catalog.Pub.Year","Item.Created.Date","Item.Last.Checkout.Date","NumInhouseUses","NumCheckouts","NumRenewals","Duplicates","Bib.Marc.Subfield.Data","MultiVolume","modelC","MODEL","LiaisonRecommendation"
"1",953458,"X000278150","DD422 .H2 A45","ALDERMAN","Briefwechsel des F¸rsten Karl August von Hardenberg mit dem F¸rsten Wilhelm Ludwig von Sayn-Wittgenstein 1806-1822.","Hardenberg, Karl August,",9172,"6/29/96","1/1/00",0,0,0,1,"2",FALSE,1,"1",0
"2",463014,"X006025409","DD5 .H56","CLEMONS","The historical essays of Otto Hintze /","Hintze, Otto,",1975,"6/29/96","12/17/14",42,432,2,2,"2 3",FALSE,2,"1",0
"3",636033,"X000178682","DD240 .H373 1935","ALDERMAN","A history of national socialism,","Heiden, Konrad,",1935,"6/29/96","7/15/15",0,230,54,1,"2",FALSE,3,"1",0
"4",221318,"X032050200","DD90 .L7 1889","ALDERMAN","History of the German people : from the earliest times to the accession of Emperor William II : including a full and complete life of Emperor William I, founder of the new German empire /","Lieb, Hermann.",1889,"6/28/96","1/30/17",0,179,67,1,"2",FALSE,5,"1",0
"5",230454,"X001099265","DD89 .P35 1847","ALDERMAN","A history of Germany : from the invasion of Germany by Marius to the Battle of Leipzic, 1813 : on the plan of Mrs. Markham's histories, for the use of young persons.","Paul, R. B. (Robert Bateman),",1847,"6/28/96","8/13/15",0,179,50,1,"2",FALSE,6,"1",0
"6",100954,"X001042255","DD801 .B322 S3 Bd.76","ALDERMAN","Der bayerische Staatsabsolutismus 1806/08-1817 : Staats- und gesellschaftspolitische Motivationen und Hintergr¸nde der Reform‰ra in der ersten Phase des Kˆnigreichs Bayern /","Demel, Walter.",1983,"6/28/96","2/26/09",0,143,0,1,"2",TRUE,7,"1",0
"7",953809,"X000686647","DD247 .H5 S65 1967","ALDERMAN","Adolf Hitler; his family, childhood, and youth,","Smith, Bradley F.",1967,"6/29/96","12/28/06",0,148,0,2,"2",FALSE,8,"1",0
"8",953686,"X000194616","DD247 .E5 A7 1964","ALDERMAN","Eichmann in Jerusalem; a report on the banality of evil.","Arendt, Hannah,",1964,"6/29/96","12/12/18",13,111,18,1,"2",FALSE,9,"1",0
"9",791810,"X001299855","DD176.8 .S35 1987","ALDERMAN","Popular culture and popular movements in reformation Germany /","Scribner, Robert W.",1987,"6/29/96","10/19/17",12,101,1,1,"2",FALSE,10,"1",0
"10",1835590,"X001927185","DD247 .H5 K46 1991","ALDERMAN","Hitler /","Kershaw, Ian.",1991,"6/30/96","11/24/17",10,99,18,1,"2",FALSE,11,"1",0
"11",1969903,"X002135121","DD65 .M86 1992","ALDERMAN","Lebensformen in der fr¸hen Neuzeit /","M¸nch, Paul,",1992,"6/30/96","1/13/09",1,107,0,1,"2",FALSE,12,"1",0
