"","Catalog.Id","Item.Barcode","Item.Call.Number","Item.Library.Code","Catalog.Title","Catalog.Author","Catalog.Pub.Year","Item.Created.Date","Item.Last.Checkout.Date","NumInhouseUses","NumCheckouts","NumRenewals","Duplicates","Bib.Marc.Subfield.Data","MultiVolume","modelC","MODEL","LiaisonRecommendation"
"1",1293334,"X001398163","DP681 .S58 1987 v.1","ALDERMAN","IntervenÁıes /","Soares, M·rio.",9999,"6/30/96","11/6/17",2,4,0,7,"2",TRUE,1,"1",0
"2",1971573,"X002122551","DP269.9 .O7 1980","ALDERMAN","Homage to Catalonia /","Orwell, George,",1980,"6/30/96","4/25/18",9,165,28,2,"2",FALSE,4,"1",0
"3",554645,"X000109461","DP171 .E4 1964","ALDERMAN","Imperial Spain, 1469-1716.","Elliott, J. H. (John Huxtable)",1964,"6/29/96","5/14/18",11,165,9,2,"2 3 14",FALSE,5,"1",0
"4",1965694,"X002119129","DP182 .L96 1992","ALDERMAN","The Hispanic world in crisis and change, 1598-1700 /","Lynch, John,",1992,"6/30/96","6/18/17",3,104,9,1,"2",FALSE,6,"1",0
"5",2687120,"X004103796","DP52 .D68 1997","ALDERMAN","Bulls, bullfighting, and Spanish identities /","Douglass, Carrie B.,",1997,"5/7/97","4/18/18",6,172,4,2,"2 3",FALSE,7,"1",0
"6",228896,"X000141325","DP270 .C258","ALDERMAN","Spain, dictatorship to democracy /","Carr, Raymond.",1979,"6/28/96","5/8/13",7,149,2,2,"2 3",FALSE,8,"1",0
"7",336743,"X006143202","DP99 .M23","ALDERMAN","Spain in the Middle Ages : from frontier to empire, 1000-1500 /","MacKay, Angus,",1977,"6/28/96","10/6/17",14,135,16,2,"2 3",FALSE,9,"1",0
"8",794131,"X000491369","DP203 .C3 1982","ALDERMAN","Spain, 1808-1975 /","Carr, Raymond.",1982,"6/29/96","12/15/16",7,130,11,2,"2 3",FALSE,10,"1",0
"9",208126,"X000324337","DP233 .C37","ALDERMAN","Modern Spain, 1875-1980 /","Carr, Raymond.",1980,"6/28/96","1/26/18",4,80,16,1,"2",FALSE,11,"1",0
"10",2057696,"X002194943","DP103 .L38 1992","ALDERMAN","The legacy of Muslim Spain /","",1992,"6/30/96","10/12/18",18,78,9,1,"2",FALSE,12,"1",0
"11",1819501,"X001924974","DP75 .P34 1990","ALDERMAN","Spanish imperialism and the political imagination : studies in European and Spanish-American social and political theory, 1513-1830 /","Pagden, Anthony.",1990,"6/30/96","4/17/16",9,80,0,1,"2",FALSE,14,"1",0
