"","Catalog.Id","Item.Barcode","Item.Call.Number","Item.Library.Code","Catalog.Title","Catalog.Author","Catalog.Pub.Year","Item.Created.Date","Item.Last.Checkout.Date","NumInhouseUses","NumCheckouts","NumRenewals","Duplicates","Bib.Marc.Subfield.Data","MultiVolume","modelC","MODEL","LiaisonRecommendation"
"1",1362153,"X001509721","DQ54 .L83 1985","ALDERMAN","A history of Switzerland : the first 100,000 years : before the beginnings to the days of the present /","Luck, James Murray,",1985,"6/30/96","1/4/12",11,101,1,1,"2",FALSE,1,"1",0
"2",2067992,"X006113907","DQ17 .C66 1992","ALDERMAN","Switzerland : an inside view, : politics, economy, culture, society, nature /","Coordinating Committee for the Presence of Switzerland Abroad.",1992,"6/30/96","2/15/17",3,36,0,1,"2",FALSE,2,"1",0
"3",2310417,"X002474040","DQ36 .B63 1994","ALDERMAN","Geneva, Zurich, Basel : history, culture, & national identity /","Bouvier, Nicolas.",1994,"7/1/96","2/15/17",1,25,0,1,"2",FALSE,3,"1",0
"4",7370965,"X031838865","DQ549.4 .M44 2018","ALDERMAN","The Irish scholarly presence at St. Gall : networks of knowledge in the early middle ages /","Meeder, Sven,",2018,"3/2/18","4/20/18",0,1,0,1,"2",FALSE,4,"1",0
"5",6681451,"X032582279","DQ17 .S7 2015","ALDERMAN","Why Switzerland? /","Steinberg, Jonathan,",2015,"5/22/17","12/11/18",0,0,0,1,"2",FALSE,5,"1",0
"6",6993198,"X031818549","DQ823.5 .O84 2017","ALDERMAN","The Alps : a human history from Hannibal to Heidi and beyond /","O'Shea, Stephen,",2017,"2/24/17","6/21/17",1,1,0,1,"2",FALSE,6,"1",0
"7",7092939,"X031818953","DQ74 .S42 2017","ALDERMAN","The Swiss and their neighbours, 1460-1560 : between accommodation and aggression /","Scott, Tom,",2017,"7/3/17","8/7/17",0,0,0,1,"2",FALSE,7,"1",0
"8",6148455,"X031618509","DQ54 .C47 2013","ALDERMAN","A concise history of Switzerland /","Church, Clive H.,",2013,"10/30/13","2/15/17",0,2,0,1,"2",FALSE,8,"1",0
"9",323234,"X000886772","DQ401 .H5 Bd.56","ALDERMAN","Berner Oberland und Staat Bern. Untersuchungen zu den wechselseitigen Beziehungen in den Jahren 1798 bis 1846.","RobÈ, Udo.",1972,"6/28/96","3/26/09",0,28,0,1,"2",TRUE,9,"1",0
"10",2112727,"X002160640","DQ498 .V3 B65 1991","ALDERMAN","Vadian und Graub¸nden : Aspekte der Personen- und Kommunikationsgeschichte im Zeitalter des Humanismus und der Reformation : mit Anhang, Reiseberichte, Briefe, Diarien /","Bonorand, Conradin,",1991,"6/30/96","7/20/09",0,24,0,1,"2",FALSE,10,"1",0
"11",4466467,"X030106604","DQ823.5 .B448 2006","ALDERMAN","The Alps : a cultural history /","Beattie, Andrew.",2006,"2/13/07","11/1/17",0,6,0,1,"2",FALSE,11,"1",0
"12",2643237,"X004071544","DQ17 .S7 1996","ALDERMAN","Why Switzerland? /","Steinberg, Jonathan.",1996,"1/27/97","12/1/10",3,29,0,2,"2 3",FALSE,12,"1",0
"13",3534333,"X004400025","DQ389.6 .G67 2000","ALDERMAN","Basel in the age of Burckhardt / a study in unseasonable ideas /","Gossman, Lionel.",2000,"5/16/00","10/17/16",0,13,0,1,"2",FALSE,13,"1",0
"14",5074737,"X030614798","DQ69 .R4413 2009","ALDERMAN","Faces of neutrality : a comparative analysis of the neutrality of Switzerland and other neutral nations during WW II /","Reginbogin, Herbert R.",2009,"12/16/09","11/30/17",0,2,1,1,"2",FALSE,14,"1",0
