"","Catalog.Id","Item.Barcode","Item.Call.Number","Item.Library.Code","Catalog.Title","Catalog.Author","Catalog.Pub.Year","Item.Created.Date","Item.Last.Checkout.Date","NumInhouseUses","NumCheckouts","NumRenewals","Duplicates","Bib.Marc.Subfield.Data","MultiVolume","modelC","MODEL","LiaisonRecommendation"
"1",135678,"X000400860","HT1321 .F67 1982","ALDERMAN","Forced migration : the impact of the export slave trade on African societies /","",1982,"6/28/96","7/5/18",29,253,10,1,"2",FALSE,1,"1",0
"2",1251332,"X001365040","HT114 .S7 1988","ALDERMAN","The ancient Roman city /","Stambaugh, John E.",1988,"6/30/96","5/12/16",47,213,15,1,"2 3 14",FALSE,2,"1",0
"3",1144788,"X031960019","HT975 .K3 1968","ALDERMAN","The shameful trade","Kay, F. George (Frederick George),",1968,"6/29/96","2/22/12",0,187,3,1,"2",FALSE,3,"1",0
"4",443410,"X000266459","HT1322 .D6","ALDERMAN","Slave ships and slaving.","Dow, George Francis,",1927,"6/28/96","4/12/17",0,189,48,1,"2",FALSE,4,"1",0
"5",118861,"X000405199","HT871 .P37","CLEMONS","Slavery and social death : a comparative study /","Patterson, Orlando,",1982,"6/28/96","4/12/18",35,300,28,2,"2 3",FALSE,5,"1",0
"6",1193443,"X000985489","HT1322 .C58 1968","ALDERMAN","Captain Canot, an African slaver","Canot, Theodore,",1968,"6/29/96","4/11/17",1,154,42,1,"2",FALSE,7,"1",0
"7",198728,"X000167592","HT720 .D813 1980","ALDERMAN","Homo hierarchicus : the caste system and its implications /","Dumont, Louis,",1980,"6/28/96","4/13/17",20,142,7,1,"2",FALSE,8,"1",0
"8",4075492,"X004771784","HT119 .W67 2004","ALDERMAN","World cities beyond the West : globalization, development, and inequality /","",2004,"10/13/04","7/7/17",1,109,0,1,"2",FALSE,9,"1",0
"9",1909939,"X002305342","HT111 .K63 1991","CLEMONS","The city shaped : urban patterns and meanings through history /","Kostof, Spiro.",1991,"6/30/96","5/7/17",3,132,10,1,"3 4 14",FALSE,10,"1",0
"10",4356400,"X030106462","HT352 .U6 S795 2006","ALDERMAN","The suburb reader /","",2006,"9/26/06","1/31/13",0,104,2,1,"2 4",FALSE,11,"1",0
"11",41117,"X004916004","HT384 .U5 J33 1985","CLEMONS","Crabgrass frontier : the suburbanization of the United States /","Jackson, Kenneth T.",1985,"11/2/98","10/12/18",4,115,22,1,"3 4 14 17",FALSE,12,"1",0
"12",646825,"X000616710","HT865 .H43 1981","ALDERMAN","Esclaves et domestiques au Moyen Age dans le monde mÈditerranÈen /","Heers, Jacques.",1981,"6/29/96","11/27/18",1,120,56,1,"2",FALSE,13,"1",0
"13",2023018,"X002159843","HT690 .U6 L36 1992","ALDERMAN","Money, morals, and manners : the culture of the French and American upper-middle class /","Lamont, MichËle,",1992,"6/30/96","7/5/18",9,115,1,1,"2",TRUE,14,"1",0
"14",619392,"X000379946","HT609 .L65","ALDERMAN","Social stratification: a reader","Lopreato, Joseph",1974,"6/29/96","10/2/07",7,139,0,1,"2",FALSE,15,"1",0
"15",539254,"X000114378","HT720 .D813","ALDERMAN","Homo hierarchicus; an essay on the caste system.","Dumont, Louis,",1970,"6/29/96","5/13/18",10,185,4,2,"2 3",FALSE,16,"1",0
"16",1944790,"X002083972","HT1521 .B3313 1991b","ALDERMAN","Race, nation, class : ambiguous identities /","Balibar, …tienne,",1991,"6/30/96","8/9/18",20,172,21,2,"2",FALSE,17,"1",0
"17",681990,"X001108919","HT1052.5 .K54 1986","ALDERMAN","African slavery in Latin America and the Caribbean /","Klein, Herbert S.",1986,"6/29/96","10/29/18",20,108,0,1,"2 3",FALSE,18,"1",0
"18",233593,"X000154323","HT1048 .G43","CLEMONS","From rebellion to revolution : Afro-American slave revolts in the making of the modern world /","Genovese, Eugene D.,",1979,"6/28/96","11/26/18",12,187,6,2,"2 3",FALSE,19,"1",0
"19",1306211,"X001703105","HT1221 .M55 1988","ALDERMAN","Way of death : merchant capitalism and the Angolan slave trade, 1730-1830 /","Miller, Joseph Calder.",1988,"6/30/96","10/2/18",33,203,9,2,"2",FALSE,20,"1",0
"20",659561,"X000690637","HT1126 .C455 1983","ALDERMAN","Children of God's fire : a documentary history of black slavery in Brazil /","",1983,"6/29/96","4/20/15",19,116,5,1,"2",FALSE,21,"1",0
"21",2848249,"X004587406","HT177 .C47 S27 1998","ALDERMAN","Urban renewal and the end of black culture in Charlottesville, Virginia : an oral history of Vinegar Hill /","Saunders, James Robert,",1998,"3/4/02","10/16/18",17,252,38,3,"2 3 4 10 17",FALSE,22,"1",0
"22",3518195,"X004410574","HT384 .U5 D83 2000","CLEMONS","Suburban nation : the rise of sprawl and the decline of the American Dream /","Duany, Andres.",2000,"4/26/00","1/6/14",10,170,1,2,"2 3 4 17",TRUE,23,"1",0
