"","Catalog.Id","Item.Barcode","Item.Call.Number","Item.Library.Code","Catalog.Title","Catalog.Author","Catalog.Pub.Year","Item.Created.Date","Item.Last.Checkout.Date","NumInhouseUses","NumCheckouts","NumRenewals","Duplicates","Bib.Marc.Subfield.Data","MultiVolume","modelC","MODEL","LiaisonRecommendation"
"1",4406401,"X030131932","PJ7633 .M83 1971 v.1","ALDERMAN","Shar? ikhtiy?r?t al-Mufa??al /","Mufa??al ibn Mu?ammad al-?abb?,",9999,"10/9/06","11/3/13",0,4,8,4,"2",TRUE,1,"1",0
"2",745378,"X001168554","PJ6640 .M25 1961","ALDERMAN","English-Arabic dictionary of political, diplomatic, and conference terms.","Mansoor, Menahem.",1961,"6/29/96","9/25/12",0,146,10,1,"2",FALSE,2,"1",0
"3",1730477,"X001784000","PJ6073 .W53 1990b","ALDERMAN","Mastering Arabic /","Wightwick, Jane.",1990,"6/30/96","11/14/17",11,137,1,1,"2",FALSE,3,"1",0
"4",460743,"X032087662","PJ6307 .L6","ALDERMAN","A reference handbook for Arabic grammar /","Lovell, Emily Kalled.",1974,"6/29/96","9/17/12",0,144,9,1,"2",FALSE,4,"1",0
"5",1055578,"X000210941","PJ6640 .S24","ALDERMAN","Mu?jam al-lugh?t, Inkil?z?-Farans?-?Arab?. = Trilingual dictionary, anglais-franÁais-arabe","al-S?biq, Jirw?n.",1974,"6/29/96","9/17/12",2,126,9,1,"2",FALSE,5,"1",0
"6",321087,"X000818476","PJ6307 .N3","ALDERMAN","The structure of Arabic, from sound to sentence","Nasr, Raja Tewfik,",1967,"6/28/96","8/27/17",0,116,0,1,"2",FALSE,6,"1",0
"7",291511,"X000402417","PJ4567 .K235","ALDERMAN","Modern Hebrew : an introductory course /","Kamhi, D. J.",1982,"6/28/96","9/27/12",1,122,1,1,"2",FALSE,7,"1",0
"8",1038964,"X000982955","PJ6640 .W43 1971","ALDERMAN","A dictionary of modern written Arabic.","Wehr, Hans,",1971,"6/29/96","7/9/18",32,158,18,2,"2",FALSE,8,"1",0
"9",207097,"X001272019","PJ2373.7 .P6","ALDERMAN","PoËmes kabyles anciens /","",1980,"6/28/96","11/12/17",3,101,9,1,"2",FALSE,9,"1",0
"10",30865,"X000483929","PJ6640 .O93 1982","ALDERMAN","The Concise Oxford English-Arabic dictionary of current usage /","",1982,"6/28/96","11/8/09",0,112,0,1,"2 17",FALSE,10,"1",0
"11",2468890,"X002777210","PJ4833 .O9 1996","ALDERMAN","The Oxford English-Hebrew dictionary /","",1996,"7/1/96","10/26/17",4,99,4,1,"2",FALSE,11,"1",0
"12",3881827,"X004635552","PJ64 .M8 Z466 2002","ALDERMAN","Friedrich Max M¸ller : a life devoted to humanities /","Bosch, Lourens van den,",2002,"8/27/02","3/19/13",0,96,14,1,"2",FALSE,12,"1",0
"13",1020965,"X000763100","PJ5008 .W323 V.1","ALDERMAN","A history of Jewish literature.","Waxman, Meyer,",1960,"6/29/96","11/27/18",0,100,123,7,"2",TRUE,13,"1",0
"14",728431,"X000417813","PJ4567 .R64 1966","ALDERMAN","A textbook of Israeli Hebrew, with an introduction to the classical language","RosÈn, Haiim B.,",1966,"6/29/96","9/23/08",2,106,0,1,"2",FALSE,14,"1",0
"15",526025,"X000111608","PJ7862 .A564 M313","CLEMONS","Season of migration to the North /","??li?, al-?ayyib.",1969,"6/29/96","10/29/18",21,162,48,2,"2 3",FALSE,15,"1",0
"16",2959032,"X004628044","PJ4833 .L39 1999","ALDERMAN","The new dictionary : Hebrew-English English-Hebrew /","Lazar, Yisrael.",1999,"10/26/99","11/8/16",3,84,1,1,"2",FALSE,16,"1",0
"17",4240387,"X004833002","PJ4567.3 .G58 2005","ALDERMAN","Modern Hebrew : an essential grammar.","Glinert, Lewis.",2004,"4/18/05","5/12/18",1,75,16,1,"2",FALSE,17,"1",0
"18",1275550,"X000417498","PJ4567 .U5 1965","ALDERMAN","Hebrew basic course.","Foreign Service Institute (U.S.)",1965,"6/30/96","7/17/09",4,95,0,1,"2",FALSE,18,"1",0
"19",583032,"X031224039","PJ6305 .C5 1967","ALDERMAN","A grammar of the Arabic language;","Caspari, C. P. (Carl Paul),",1967,"6/29/96","1/5/07",0,96,0,1,"2",FALSE,19,"1",0
"20",4232667,"X004861417","PJ6307 .S385 2004","ALDERMAN","A student grammar of modern standard Arabic /","Schulz, Eckehard.",2004,"3/22/05","3/22/16",2,71,5,1,"2",FALSE,20,"1",0
"21",1054864,"X000390466","PJ6095 .B3 1967","ALDERMAN","Arabic language handbook.","Bateson, Mary Catherine.",1967,"6/29/96","5/28/08",3,89,0,1,"2",FALSE,21,"1",0
"22",449070,"X001996002","PJ7816 .A813 D3","ALDERMAN","Days of dust /","Barakat, Halim Isber.",1974,"6/29/96","10/11/18",2,69,6,1,"2",TRUE,23,"1",0
"23",1022981,"X000388879","PJ6111 .E4 pt.1","ALDERMAN","Elementary modern standard Arabic,","",1968,"6/29/96","9/21/17",4,70,0,1,"2",TRUE,24,"1",0
"24",1375711,"X001607114","PJ3771 .G5 E5 1989","ALDERMAN","The epic of Gilgamesh /","",1989,"6/30/96","4/20/16",11,68,9,1,"2",FALSE,25,"1",0
"25",3913120,"X004664445","PJ6773 .H34 2003","ALDERMAN","Sacred language, ordinary people : dilemmas of culture and politics in Egypt /","Haeri, Niloofar,",2003,"1/28/03","12/12/18",7,56,0,1,"2",FALSE,26,"1",0
"26",1793369,"X001857199","PJ8007.2 .C38 1990","ALDERMAN","""Peaks of Yemen I summon"" : poetry as cultural practice in a North Yemeni tribe /","Caton, Steven Charles,",1990,"6/30/96","11/12/12",0,69,0,1,"2",FALSE,27,"1",0
"27",374314,"X000379718","PJ7542 .M8 C6","ALDERMAN","Andalusian lyrical poetry and old Spanish love songs : the muwashshah and its kharja /","Compton, Linda,",1976,"6/28/96","10/5/18",5,61,2,1,"2",TRUE,28,"1",0
"28",1248187,"X001299784","PJ4567 .S424 1987","ALDERMAN","A grammar for Biblical Hebrew /","Seow, C. L. (Choon Leong)",1987,"6/30/96","8/29/18",6,60,1,1,"2",FALSE,29,"1",0
"29",49417,"X000969852","PJ827 .S3313 1985","ALDERMAN","And Muhammad is his messenger : the veneration of the Prophet in Islamic piety /","Schimmel, Annemarie,",1985,"6/28/96","11/1/15",5,69,0,2,"2",FALSE,30,"1",0
"30",1671881,"X001779339","PJ5113 .H33 1990","ALDERMAN","The meaning of Yiddish /","Harshav, Benjamin,",1990,"6/30/96","11/5/18",2,53,1,1,"2",FALSE,31,"1",0
"31",1362802,"X001606011","PJ5054 .A65 Z54 1989","ALDERMAN","The writing of Yehuda Amichai : a thematic approach /","Abramson, Glenda,",1989,"6/30/96","5/17/17",0,52,62,1,"2",FALSE,32,"1",0
"32",2265433,"X002532412","PJ4567.3 .G58 1994","ALDERMAN","Modern Hebrew : an essential grammar /","Glinert, Lewis.",1994,"7/1/96","3/1/17",0,51,0,1,"2",FALSE,33,"1",0
"33",6393576,"X031649785","PJ7862 .I76 A4713 2013","CLEMONS","The silence and the roar /","S?r?s, Nih?d.",2013,"9/26/14","10/23/18",2,29,6,1,"3",FALSE,34,"1",0
"34",295154,"X000001240","PJ7842 .A5 M4","ALDERMAN","Men in the sun, and other Palestinian stories /","Kanaf?n?, Ghass?n.",1978,"6/28/96","7/21/17",9,50,31,1,"2",FALSE,35,"1",0
"35",4618942,"X030251030","PJ7694 .E3 P56 2007","ALDERMAN","Poems from Guant·namo : the detainees speak /","",2007,"9/11/07","10/1/14",1,45,33,2,"2 3 10",FALSE,36,"1",0
"36",2876301,"X004247744","PJ5054 .Y42 M3713 1999","CLEMONS","A journey to the end of the millennium /","Yehoshua, Abraham B.",1999,"2/5/99","10/28/14",0,50,0,1,"3",FALSE,37,"1",0
"37",3684165,"X004501326","PJ8417 .A5 A65 2000","ALDERMAN","The literature of Al-Andalus /","",2000,"1/24/01","6/25/18",6,48,15,2,"2",FALSE,39,"1",0
"38",6188248,"X031581085","PJ7828 .B53 W313 2003","CLEMONS","The secret life of Saeed : the Pessoptimist /","?ab?b?, Im?l.",2003,"1/21/14","9/25/18",0,27,9,1,"3",FALSE,40,"1",0
"39",1945743,"X002106678","PJ5054 .Y42 M3413 1992","ALDERMAN","Mr. Mani /","Yehoshua, Abraham B.",1992,"6/30/96","10/15/17",5,47,5,1,"2",FALSE,41,"1",0
"40",754346,"X000754928","PJ4569 .R5 1962","ALDERMAN","First steps in reading Hebrew.","Richards, I. A. (Ivor Armstrong),",1962,"6/29/96","3/9/18",0,47,9,1,"2",FALSE,42,"1",0
"41",740958,"X000231399","PJ7862 .A564 U713 1969b","CLEMONS","The wedding of Zein and other stories /","??li?, al-?ayyib.",1969,"6/29/96","11/19/17",3,77,21,2,"2 3",FALSE,43,"1",0
"42",1238098,"X001257761","PJ7694 .E3 M64 1987","ALDERMAN","Modern Arabic poetry : an anthology /","",1987,"6/30/96","6/29/15",6,48,4,1,"2",FALSE,44,"1",0
"43",1731076,"X002187139","PJ7538 .C33 1990","ALDERMAN","An overview of modern Arabic literature /","Cachia, Pierre.",1990,"6/30/96","1/15/18",2,59,25,2,"2",FALSE,45,"1",0
"44",1935979,"X002552652","PJ7846 .A46 Z4813 1992","CLEMONS","Midaq Alley /","Ma?f??, Naj?b,",1992,"6/30/96","5/1/16",2,46,19,1,"2 3",FALSE,46,"1",0
"45",2639236,"X004068432","PJ5054 .A65 A2 1996","ALDERMAN","The selected poetry of Yehuda Amichai /","Amichai, Yehuda.",1996,"1/7/97","7/10/18",0,42,13,1,"2",FALSE,47,"1",0
"46",1971904,"X002120194","PJ3771 .G5 E5 1992","CLEMONS","Gilgamesh : a new rendering in English verse /","Ferry, David,",1992,"6/30/96","9/28/13",5,83,0,2,"2 3 10",FALSE,48,"1",0
"47",78971,"X006065674","PJ6307 .S56 1986b","ALDERMAN","Arabic /","Smart, J. R.",1986,"6/28/96","8/15/16",4,45,1,1,"2",FALSE,49,"1",0
"48",4718830,"X030407861","PJ6307 .S3813 2000","ALDERMAN","Standard Arabic : an elementary-intermediate course = al-Lughah al-?Arab?yah : dawrah as?s?yah mutawasi?ah /","Schulz, Eckehard.",2000,"5/14/08","2/13/18",1,30,62,1,"2",FALSE,50,"1",0
"49",2693982,"X004096913","PJ5054 .A65 Z64 1997","ALDERMAN","The Experienced soul : studies in Amichai /","",1997,"6/10/97","5/17/17",0,42,62,1,"2",FALSE,51,"1",0
"50",4317551,"X004995366","PJ6303 .R93 2005","ALDERMAN","A reference grammar of modern standard Arabic /","Ryding, Karin C.",2005,"2/9/06","7/9/18",2,31,3,1,"2",FALSE,52,"1",0
"51",265636,"X000326501","PJ5054 .Y42 L613","ALDERMAN","The lover /","Yehoshua, Abraham B.",1978,"6/28/96","3/15/14",6,48,6,1,"2",TRUE,53,"1",0
"52",1624411,"X001518605","PJ7694 .E3 W5 1988","ALDERMAN","When the words burn : an anthology of modern Arabic poetry, 1945-1987 /","",1988,"6/30/96","9/13/13",5,48,1,1,"2",FALSE,54,"1",0
"53",4390225,"X004913493","PJ3771 .G5 E5 2003","ALDERMAN","The Epic of Gilgamesh : the Babylonian epic poem and other texts in Akkadian and Sumerian /","",2003,"8/21/06","3/14/17",0,32,25,1,"2",FALSE,55,"1",0
"54",1020837,"X000528087","PJ4567 .G855 1965","ALDERMAN","Introduction to Hebrew.","Greenberg, Moshe.",1965,"6/29/96","4/25/16",4,45,7,1,"2",FALSE,56,"1",0
"55",4718341,"X030260116","PJ5053 .Y55 K5513 2008","ALDERMAN","Khirbet Khizeh /","Yizhar, S.,",2008,"5/13/08","11/19/15",2,31,5,1,"2",FALSE,57,"1",0
"56",2511006,"X002712059","PJ7862 .A3 Z78 1995","ALDERMAN","Men, women, and God(s) : Nawal El Saadawi and Arab feminist poetics /","Malti-Douglas, Fedwa.",1995,"7/1/96","12/6/17",3,41,1,1,"2",FALSE,58,"1",0
"57",111056,"X000352181","PJ3771 .G6 T5 1982","ALDERMAN","The evolution of the Gilgamesh epic /","Tigay, Jeffrey H.",1982,"6/28/96","9/30/12",3,48,0,1,"2",TRUE,59,"1",0
"58",83875,"X001106034","PJ6640 .E55 1980","ALDERMAN","Q?m?s Ily?s al-j?mi?? : ?Arab?-Injil?z? /","Elias, Edward Elias.",1980,"6/28/96","11/29/11",1,49,0,1,"2",FALSE,60,"1",0
"59",4597137,"X004832631","PJ6307 .A384 2007","ALDERMAN","Arabic : an essential grammar /","Ab? Shaqr?, F?r?q.",2007,"6/7/07","5/4/17",2,29,4,1,"2",FALSE,61,"1",0
"60",1020844,"X000275119","PJ4567 .L3 1973","ALDERMAN","Introduction to Biblical Hebrew","Lambdin, Thomas O. (Thomas Oden)",1971,"6/29/96","6/27/17",6,41,4,1,"2",FALSE,62,"1",0
"61",174042,"X000353559","PJ5129 .S49 A22 1982","ALDERMAN","The collected stories of Isaac Bashevis Singer.","Singer, Isaac Bashevis,",1982,"6/28/96","8/7/17",4,40,0,1,"2 14",FALSE,63,"1",0
"62",760462,"X000368138","PJ6395 .W4","ALDERMAN","Language in orthodox Muslim thought a study of ""Wad al-lughah"" and its development /","Weiss, Bernard George,",1966,"6/29/96","7/30/08",0,53,0,1,"2",FALSE,64,"1",0
"63",609891,"X000272607","PJ1943 .L5 v.2","CLEMONS","Ancient Egyptian literature; a book of readings.","Lichtheim, Miriam,",1973,"6/29/96","5/6/13",39,135,76,6,"2 3",TRUE,65,"1",0
"64",2490902,"X002615061","PJ7846 .A46 R513 1992b","ALDERMAN","The journey of Ibn Fattouma /","Ma?f??, Naj?b,",1992,"7/1/96","7/19/18",1,38,5,1,"2",TRUE,66,"1",0
"65",1023759,"X002085800","PJ7715 .B8 1932","ALDERMAN","The Arabian nights;","",1932,"6/29/96","5/15/13",3,47,17,1,"2",FALSE,67,"1",0
"66",776257,"X001214903","PJ5129 .R2 T4518 1987","ALDERMAN","Tevye the dairyman and The railroad stories /","Sholem Aleichem,",1987,"6/29/96","4/1/18",4,66,6,2,"2 3",TRUE,68,"1",0
"67",2467745,"X002668542","PJ7816 .A672 H3513 1994","ALDERMAN","The stone of laughter /","Barak?t, Hud·.",1994,"7/1/96","1/9/18",5,38,10,1,"2",FALSE,69,"1",0
"68",288658,"X000134754","PJ7715 .D3 1974","CLEMONS","Tales from the Thousand and one nights /","",1974,"6/28/96","8/25/11",8,47,0,1,"2 3",FALSE,70,"1",0
"69",3731518,"X004522319","PJ3771 .G5 E5 2001","ALDERMAN","The epic of Gilgamesh : a new translation, analogues, criticism /","",2001,"7/3/01","3/24/14",3,44,12,2,"2 3",FALSE,71,"1",0
"70",4376290,"X030116724","PJ6640 .W57 1985","ALDERMAN","English-Arabic and Arabic-English dictionary","Wortabet, John,",1985,"6/28/06","2/5/18",5,27,6,1,"2",FALSE,72,"1",0
"71",759093,"X001107436","PJ4065 .C37 1972","ALDERMAN","Two ?ulgi hymns (BC)","Castellino, Giorgio Raffaele,",1972,"6/29/96","11/27/07",10,52,0,1,"2",FALSE,73,"1",0
"72",2489957,"X002685780","PJ7715 .H33 1990","ALDERMAN","The Arabian nights = Alf laylah wa-laylah /","",1990,"7/1/96","9/27/18",8,36,12,1,"2",FALSE,74,"1",0
"73",2724980,"X004101842","PJ4911 .P4713 1997","ALDERMAN","An introductory grammar of rabbinic Hebrew /","PÈrez Fern·ndez, Miguel.",1997,"10/13/97","1/4/18",4,35,24,1,"2",FALSE,75,"1",0
"74",2852344,"X004247426","PJ7862 .H356 A7613 1998","CLEMONS","I sweep the sun off rooftops /","Shaykh, ?an?n.",1998,"11/11/98","2/11/14",1,39,2,1,"3",FALSE,76,"1",0
"75",1055568,"X000988553","PJ6307 .H36 1962 key","ALDERMAN","A new Arabic grammar of the written language,","Haywood, John A.",1962,"6/29/96","9/15/14",3,60,3,2,"2",FALSE,77,"1",0
