"","Catalog.Id","Item.Barcode","Item.Call.Number","Item.Library.Code","Catalog.Title","Catalog.Author","Catalog.Pub.Year","Item.Created.Date","Item.Last.Checkout.Date","NumInhouseUses","NumCheckouts","NumRenewals","Duplicates","Bib.Marc.Subfield.Data","MultiVolume","modelC","MODEL","LiaisonRecommendation"
"1",320922,"X000714772","PK1662 .D5 1976 v.1","ALDERMAN","Introduction to Bengali : a basic course in spoken Bengali, with emphasis upon speaking and understanding the language /","Dimock, Edward C.",1976,"6/28/96","12/3/18",0,174,135,2,"2",TRUE,1,"1",0
"2",1037212,"X000674928","PK6465 .D5 1973","ALDERMAN","(D?v?n-i ??fiz)","",1973,"6/29/96","12/3/18",0,158,118,1,"2",FALSE,2,"1",0
"3",540356,"X000033711","PK6427.6 .I5 R3","ALDERMAN","Persian literature in India during the time of Jahangir and Shah Jahan,","Rahman, M. L. (Mohammad Lutfur),",1970,"6/29/96","9/27/18",0,158,54,1,"2",TRUE,3,"1",0
"4",2229925,"X001045751","PK6561 .I5 K82 1973","ALDERMAN","Kull?y?t-i Iqb?l F?rs? / [az] Iqb?l.","Iqbal, Muhammad,",1973,"7/1/96","8/7/15",0,158,42,1,"2",FALSE,4,"1",0
"5",546790,"X000745039","PK6427.6 .I5 G6","ALDERMAN","Indo-Iran relations: cultural aspects,","Gorekar, Ni??mudd?n Es.",1970,"6/29/96","8/7/15",0,157,42,1,"2",TRUE,5,"1",0
"6",128866,"X000498137","PK6406 .M6 1981","ALDERMAN","History of Persian literature : from the beginning of the Islamic period to the present day /","Morrison, George.",1981,"6/28/96","9/15/18",1,132,0,1,"2",FALSE,6,"1",0
"7",4383591,"X004963799","PK6451 .A59 D6 2005","ALDERMAN","Do g?nah : ?az?rat Am?r K?h?usrau k? sau g?h?azalon? k? Urd? man??m tarjumah /","Am?r Khusraw Dihlav?,",2005,"7/27/06","4/23/10",0,121,0,1,"2",TRUE,7,"1",0
"8",2470387,"X002670893","PK6451 .F47 D319 1969","ALDERMAN","D?st?n-i Am?r ?amzah.","Fayz??, Ab? al-Fayz? ibn Mub?rak,",1969,"7/1/96","7/15/10",0,119,0,1,"2",TRUE,8,"1",0
"9",423929,"X006095538","PK6481 .D6 E5 1977","ALDERMAN","Selected poems from the D?v?ni Shamsi Tabr?z /","Jal?l al-D?n R?m?,",1977,"6/29/96","10/5/18",6,104,20,1,"2",FALSE,9,"1",0
"10",4506640,"X030209094","PK6379 .R5 1984","ALDERMAN","Dictionary, Persian, Arabic, and English : with a dissertation on the languages, literature, and manners of Eastern nations /","Richardson, John,",1984,"4/5/07","4/23/14",0,90,5,1,"2",FALSE,10,"1",0
"11",220245,"X000323674","PK6482 .S35 1980","ALDERMAN","The triumphal sun : a study of the works of Jal?loddin Rumi /","Schimmel, Annemarie,",1980,"6/28/96","9/15/18",2,85,0,1,"2",FALSE,11,"1",0
"12",1055557,"X000422942","PK6379 .S7 1930","ALDERMAN","A comprehensive Persian-English dictionary, including the Arabic words and phrases to be met with in Persian literature,","Steingass, F. (Francis),",1930,"6/29/96","5/12/18",2,85,11,1,"2",FALSE,12,"1",0
