"","Catalog.Id","Item.Barcode","Item.Call.Number","Item.Library.Code","Catalog.Title","Catalog.Author","Catalog.Pub.Year","Item.Created.Date","Item.Last.Checkout.Date","NumInhouseUses","NumCheckouts","NumRenewals","Duplicates","Bib.Marc.Subfield.Data","MultiVolume","modelC","MODEL","LiaisonRecommendation"
"1",42616,"X000931410","P94 .P63 1985","ALDERMAN","Amusing ourselves to death : public discourse in the age of show business /","Postman, Neil.",1985,"6/28/96","11/7/18",19,166,12,1,"2 3",FALSE,1,"1",0
"2",1309075,"X001683837","P106 .R586 1989","ALDERMAN","Contingency, irony, and solidarity /","Rorty, Richard.",1989,"6/30/96","12/3/18",38,471,91,4,"2 3 17",FALSE,2,"1",0
"3",1314023,"X032016635","P94 .A48 1988","ALDERMAN","Mediated communication : a social action perspective /","Anderson, James A. (James Arthur),",1988,"6/30/96","3/9/12",1,168,3,1,"2",FALSE,3,"1",0
"4",1945562,"X002079114","P306 .T453 1992","ALDERMAN","Theories of translation : an anthology of essays from Dryden to Derride /","",1992,"6/30/96","10/11/18",4,152,33,1,"2",FALSE,4,"1",0
"5",13889,"X000906678","P106 .M3593 1985","ALDERMAN","The philosophy of language /","Martinich, Aloysius.",1985,"6/28/96","11/2/18",0,153,76,1,"2",FALSE,5,"1",0
"6",188555,"X000156055","P106 .L235","ALDERMAN","Metaphors we live by /","Lakoff, George.",1981,"6/28/96","6/26/18",38,232,30,3,"2 14",FALSE,6,"1",0
"7",529561,"X031982285","P90 .S43","ALDERMAN","Foundations of communication theory","Sereno, Kenneth K.",1970,"6/29/96","3/9/12",0,164,3,2,"2 3",FALSE,7,"1",0
"8",1998413,"X000157404","P106 .A9 1967","CLEMONS","How to do things with words /","Austin, J. L. (John Langshaw),",1967,"6/30/96","8/14/17",4,141,38,1,"3",FALSE,9,"1",0
"9",2396804,"X002580017","P240.8 .L37 1995","ALDERMAN","Plurality, conjunction, and events /","Lasersohn, Peter.",1995,"7/1/96","11/2/18",0,125,76,1,"2",FALSE,10,"1",0
"10",2623477,"X004020540","P240.8 .S35 1996","ALDERMAN","Pluralities /","Schwarzschild, Roger.",1996,"10/28/96","11/2/18",0,123,76,1,"2",FALSE,11,"1",0
"11",4610455,"X030281349","P107 .P548 2007","CLEMONS","The stuff of thought : language as a window into human nature /","Pinker, Steven,",2007,"12/6/07","9/25/18",4,97,39,1,"3 5 17",FALSE,12,"1",0
"12",129275,"X000359107","P106 .F67 1980","CLEMONS","Language, counter-memory, practice : selected essays and interviews /","Foucault, Michel,",1980,"6/28/96","2/1/16",28,265,50,3,"2 3",FALSE,13,"1",0
"13",2531703,"X002758484","P90 .P378 1996","ALDERMAN","Theory and research in mass communication : contexts and consequences /","Perry, David K.",1996,"7/1/96","4/4/12",0,134,0,1,"2",FALSE,14,"1",0
"14",993288,"X000763277","P211 .D5 1968 V.1","ALDERMAN","The alphabet: a key to the history of mankind.","Diringer, David,",1968,"6/29/96","11/27/18",0,132,79,2,"2 4",TRUE,15,"1",0
"15",22112,"X000756593","P121 .S3613 1983","ALDERMAN","Course in general linguistics /","Saussure, Ferdinand de,",1983,"6/28/96","6/15/18",23,146,12,2,"2 3",FALSE,16,"1",0
"16",1289755,"X001468233","P92 .U5 M55 1988","ALDERMAN","Boxed in : the culture of TV /","Miller, Mark Crispin.",1988,"6/30/96","7/20/14",13,218,32,2,"2",FALSE,17,"1",0
"17",2268533,"X002423958","P106 .P476 1994","ALDERMAN","The language instinct /","Pinker, Steven,",1994,"7/1/96","9/6/18",10,217,100,2,"2 3",FALSE,18,"1",0
"18",993289,"X002418572","P211 .D5 1968a V.2","ALDERMAN","The alphabet; a key to the history of mankind.","Diringer, David,",1968,"6/29/96","11/27/18",1,129,79,2,"2",TRUE,19,"1",0
"19",2300052,"X002481361","P94.5 .W652 U634 1994","ALDERMAN","Where the girls are : growing up female with the mass media /","Douglas, Susan J. (Susan Jeanne),",1994,"7/1/96","11/16/18",24,132,8,2,"2 3 14",FALSE,20,"1",0
"20",188269,"X000086975","P95.82 .U6 G57","ALDERMAN","The Whole world is watching : mass media in the making & unmaking of the New Left /","Gitlin, Todd.",1980,"6/28/96","2/8/16",26,154,11,2,"2 10",TRUE,21,"1",0
"21",774163,"X001295323","P301 .R465 1987","ALDERMAN","The Rhetoric of the human sciences : language and argument in scholarship and public affairs /","",1987,"6/29/96","2/26/16",16,122,4,1,"2",FALSE,22,"1",0
"22",559259,"X000118731","P41 .G79","ALDERMAN","Directions in sociolinguistics; the ethnography of communication.","Gumperz, John J. (John Joseph),",1972,"6/29/96","5/11/17",21,240,9,3,"2 3",FALSE,23,"1",0
"23",4377168,"X004904453","P128 .D63 E85 2006","ALDERMAN","Essentials of language documentation /","",2006,"7/4/06","5/4/09",0,104,0,1,"2",FALSE,24,"1",0
"24",1305098,"X001488485","P35 .O5 1988","ALDERMAN","Orality and literacy : the technologizing of the word /","Ong, Walter J.",1988,"6/30/96","5/2/18",15,184,13,2,"2",FALSE,25,"1",0
"25",621196,"X000279091","P90 .H293","ALDERMAN","Handbook of communication.","",1973,"6/29/96","4/27/09",1,136,0,2,"2 14",FALSE,26,"1",0
"26",1647898,"X001704065","P95.455 .I5 1990","ALDERMAN","The Interpretation of dialogue /","",1990,"6/30/96","6/12/17",0,108,4,1,"2",FALSE,28,"1",0
"27",1862075,"X001978423","P106 .B6813 1991","ALDERMAN","Language and symbolic power /","Bourdieu, Pierre,",1991,"6/30/96","5/12/18",19,167,8,2,"2",FALSE,29,"1",0
"28",2377834,"X002557966","P90 .M26 1994","ALDERMAN","Understanding media : the extensions of man /","McLuhan, Marshall,",1994,"7/1/96","6/26/17",13,105,7,1,"2",FALSE,30,"1",0
"29",509250,"X031986190","P275 .H8","ALDERMAN","The linguistic theory of numerals /","Hurford, James R.",1975,"6/29/96","4/25/18",0,110,1,1,"2",FALSE,31,"1",0
