"","Item.Library.Code","Item.Shelving.Id","Item.Barcode","Catalog.Title","Catalog.Author","Catalog.Pub.Year","MultiVolume"
"1","ALDERMAN","AM 000005 .A38","X000152206","Museums in motion : an introduction to the history and functions of museums /","Alexander, Edward P. (Edward Porter),",1979,FALSE
"2","ALDERMAN","AM 000005 .A38  1996","X004268479","Museums in motion : an introduction to the history and functions of museums /","Alexander, Edward P. (Edward Porter),",1996,FALSE
"3","ALDERMAN","AM 000005 .A38  2008","X030281467","Museums in motion : an introduction to the history and functions of museums /","Alexander, Edward P. (Edward Porter),",2008,FALSE
"4","ALDERMAN","AM 000005 .B335  2014","X031595237","Museums in the digital age : changing meanings of place, community, and culture /","Bautista, Susana Smith,",2014,FALSE
"5","ALDERMAN","AM 000005 .B88","X000329737","Introduction to museum work /","Burcaw, George Ellis,",1975,FALSE
"6","ALDERMAN","AM 000005 .L38  2014","X031758917","Foundations of museum studies : evolving systems of knowledge /","Latham, Kiersten Fourshé,",2014,FALSE
"7","ALDERMAN","AM 000005 .N5  1966","X000380320","Fundamentals of museology","Nigam, M. L.,",1966,FALSE
"8","ALDERMAN","AM 000005 .P7","X000389705","Museums and society.","Prakash, Satya,",1964,FALSE
"9","ALDERMAN","AM 000005 .R45  2016","X031796107","Remix : changing conversations in museums of the Americas /","",2016,FALSE
"10","ALDERMAN","AM 000005 .S58  2016","X031806478","Museums : a history /","Simmons, John E.,",2016,FALSE
"11","ALDERMAN","AM 000005 .W35  2015","X031794597","Museums 101 /","Walhimer, Mark,",2015,FALSE
"12","ALDERMAN","AM 000005 .W5","X030267156","The museum, its history and its tasks in education.","Wittlin, Alma Stephanie.",1949,FALSE
"13","ALDERMAN","AM 000005 .W52  1970","X000865051","Museums: in search of a usable future","Wittlin, Alma Stephanie.",1970,FALSE
"14","ALDERMAN","AM 000007 .A37  1985","X001313561","The museum and nation building /","Afigbo, A. E. (Adiele Eberechukwu)",1985,FALSE
"15","ALDERMAN","AM 000007 .A525  2016","X031839423","Living history : effective costumed interpretation and enactment at museums and historic sites /","Allison, David B.,",2016,FALSE
"16","ALDERMAN","AM 000007 .B755  1992","X006084023","Building museum & school partnerships /","",1993,FALSE
"17","ALDERMAN","AM 000007 .C563  2015","X031819327","Cities, museums and soft power /","",2015,FALSE
"18","ALDERMAN","AM 000007 .C64  2001","X006122294","Proceedings of the sixth Ontario Museum Association Colloquium on Learning in Museums.","Colloquium on Learning in Museums",2002,FALSE
"19","ALDERMAN","AM 000007 .D53  2008","X030505814","Digital technologies and the museum experience : handheld guides and other media /","",2008,FALSE
"20","ALDERMAN","AM 000007 .E54  2015","X031791874","Engagement and access : innovative approaches for museums /","",2015,FALSE
