"","Item.Library.Code","Item.Shelving.Id","Item.Barcode","Catalog.Title","Catalog.Author","Catalog.Pub.Year","MultiVolume"
"1","ALDERMAN","BC 000006 .F6  1951","X030237618","Essays on logic and language","Flew, Antony,",1951,FALSE
"2","ALDERMAN","BC 000006 .H36  1983  V.000001","X000669306","Elements of classical logic /","",1983,TRUE
"3","ALDERMAN","BC 000006 .H36  1983  V.000002","X000905193","Extensions of classical logic /","",1984,TRUE
"4","ALDERMAN","BC 000009 .C66  2009","X030278444","A dictionary of philosophical logic /","Cook, Roy T.,",2009,FALSE
"5","ALDERMAN","BC 000009 .D48","X000325003","Dictionary of logic as applied in the study of language : concepts, methods, theories /","",1981,FALSE
"6","ALDERMAN","BC 000009 .L585  2004","X030011134","Luo ji xue da ci dian = Luojixue dacidian /","",2004,FALSE
"7","ALDERMAN","BC 000015 .B643  1961","X001585677","A history of formal logic.","Bochenski, Joseph M.,",1961,FALSE
"8","ALDERMAN","BC 000015 .H36  2004  V.000001","X031721692","Handbook of the history of logic /","",2004,TRUE
"9","ALDERMAN","BC 000015 .H37  2010","X030732873","The evolution of logic /","Hart, W. D. (Wilbur Dyre),",2010,FALSE
"10","ALDERMAN","BC 000015 .H56  1997","X004107003","Historical foundations of informal logic /","",1997,FALSE
"11","ALDERMAN","BC 000015 .K55  1962","X006172634","The development of logic,","Kneale, W. C. (William Calvert)",1962,FALSE
"12","ALDERMAN","BC 000015 .S54  2013","X031613819","If A, then B : how the world discovered logic /","Shenefelt, Michael,",2013,FALSE
"13","ALDERMAN","BC 000015 .T74  2003","X004745098","Trends in logic : 50 years of Studia logica /","",2003,FALSE
"14","ALDERMAN","BC 000021 .E64  R47  2005","X004862927","Epistemic logic : a survey of the logic of knowledge /","Rescher, Nicholas.",2005,TRUE
"15","ALDERMAN","BC 000021 .S9  E4  2010","X031190856","Relational syllogisms and the history of Arabic logic, 900-1900 /","El-Rouayheb, Khaled.",2010,FALSE
"16","ALDERMAN","BC 000025 .A43  2010","X031610217","Studies in Indian logic /","Ambikadevi, K. K.",2010,FALSE
"17","CLEMONS","BC 000025 .A65  2011","X031788568","Apoha : Buddhist nominalism and human cognition /","",2011,FALSE
"18","ALDERMAN","BC 000025 .B83  1986","X001080103","Buddhist logic and epistemology : studies in the Buddhist analysis of inference and language /","",1986,FALSE
"19","ALDERMAN","BC 000025 .D25913","X002454306","A compendium of ways of knowing : a clear mirror of what should be accepted and rejected /","Dbya?s-can-dga?-ba?i-blo-gros,",1976,FALSE
"20","ALDERMAN","BC 000025 .F324  1962","X030891294","Yin ming lun li gai lun /","Fafeng.",1962,FALSE
"21","ALDERMAN","BC 000025 .G362  2007","X031609906","Fo jiao yin ming lun /","Gangxiao.",2007,FALSE
"22","ALDERMAN","BC 000025 .H84  2002","X004717668","Le Rtags kyi rnam gzhag rigs lam gsal ba?i sgron me de Glo bo mkhan chen bsod nams lhun grub : un manuel tibétain d'introduction à la logique : édition et traduction annotée /","Hugon, Pascale.",2002,FALSE
"23","ALDERMAN","BC 000025 .L64  2010","X004087991","Logic in earliest classical India /","",2010,FALSE
"24","ALDERMAN","BC 000025 .L64  2015","X031799376","Logic in Buddhist Scholasticism from philosophical, philological, historical and comparative perspectives /","",2015,FALSE
"25","ALDERMAN","BC 000025 .M37  2010","X030745471","Buddhist philosophy of language in India : Jñ?na?r?mitra on exclusion /","McCrea, Lawrence J.",2010,FALSE
"26","ALDERMAN","BC 000025 .M58  2006","X030332953","Vaidika-Bauddha-Jaina tarkabh?????? tulan?tmaka? sam?k??tmakamadhyayanam /","Mi?r?, Indumat?,",2006,FALSE
"27","ALDERMAN","BC 000025 .N39  2002","X030374255","Nay?mr?tam /","",2002,FALSE
"28","ALDERMAN","BC 000025 .O38  1994","X030267440","Studies on the doctrine of trair?pya /","Oetke, Claus.",1994,FALSE
"29","ALDERMAN","BC 000025 .O66  1992","X030126356","Monastic Debate in Tibet : a study on the history and structures of bsdus grwa logic /","Onoda, Shunz?.",1992,FALSE
"30","ALDERMAN","BC 000025 .P463  P468  1992","X030126333","Debate in Tibetan Buddhism /","Perdue, Daniel.",1992,FALSE
"31","ALDERMAN","BC 000025 .P463  P47  1980","X002454377","Introductory debate in Tibetan Buddhism /","Perdue, Daniel.",1980,FALSE
"32","ALDERMAN","BC 000025 .P463  R65  2009","X030467966","Tibetan logic /","Rogers, Katherine,",2009,TRUE
"33","ALDERMAN","BC 000025 .P83","X030598033","Knowledge and reality : a comparative study of quine and some  buddhist logicians /","Puhakka, Kaisa.",1975,FALSE
"34","ALDERMAN","BC 000025 .R34  2013","X031581555","?ippan?sahita? ?khy?tav?da? Nañv?da? ca /","Raghun?tha ?iroma?i.",2013,FALSE
"35","ALDERMAN","BC 000025 .S253  H84  2008  V.000001","X030407039","Trésors du raisonnement : Sa skya Pa??ita et ses prédécesseurs tibétains sur les modes de fonctionnement de la pensée et le fondement de l'inférence : édition et traduction annotée du quatrième chapitre et d'une section du dixième chapitre du Tshad ma rigs pa 'i gter /","Hugon, Pascale.",2008,TRUE
"36","ALDERMAN","BC 000025 .S346  2008","X030504914","Dunhuang yin ming wen xian yan jiu /","Shen, Jianying.",2008,FALSE
"37","ALDERMAN","BC 000025 .S462  1970  V.000001","X006075096","Buddhist logic /","Shcherbatsko?, F. I. (Fedor Ippolitovich),",1970,TRUE
"38","ALDERMAN","BC 000025 .T36  2010","X030933846","Fo jiao luo ji xue zhi yan jiu /","Takemura, Sh?h?,",2010,FALSE
"39","ALDERMAN","BC 000025 .T363  G36  2011","X031611792","Ny?yaparicayakalpalatik? /","Ga?gop?dhy?ya, ?ivar?ma.",2011,TRUE
"40","ALDERMAN","BC 000025 .U35  1933","X030266557","Bukky? ronrigaku /","Ui, Hakuju.",1933,FALSE
"41","ALDERMAN","BC 000025 .W42  1999  V.000001","X004383575","A millennium of Buddhist logic /","Wayman, Alex.",1999,TRUE
"42","ALDERMAN","BC 000025 .X56  1939","X030878704","Yin ming zhi yan jiu : bu fen juan /","Xiong, Shaokun.",1939,FALSE
"43","ALDERMAN","BC 000025 .Y37  2009","X030852761","Jainatarkabh??? /","Ya?ovijaya,",2009,FALSE
"44","ALDERMAN","BC 000025 .Y8  1939","X030891310","Yindu luo ji /","Yu, Yu.",1939,FALSE
