"","Item.Library.Code","Item.Shelving.Id","Item.Barcode","Catalog.Title","Catalog.Author","Catalog.Pub.Year","MultiVolume"
"1","ALDERMAN","BD 000021 .A68  2003","X004658432","Thinking it through : an introduction to contemporary philosophy /","Appiah, Anthony.",2003,FALSE
"2","ALDERMAN","BD 000021 .B44  1999","X004087739","Landscape of wisdom : a guided tour of western philosophy /","Biffle, Christopher.",1999,FALSE
"3","ALDERMAN","BD 000021 .B53  1999","X004341340","Think : a compelling introduction to philosophy /","Blackburn, Simon,",1999,FALSE
"4","ALDERMAN","BD 000021 .B62  2008","X030253270","The dream weaver : one boy's journey through the landscape of reality /","Bowen, Jack.",2008,FALSE
"5","ALDERMAN","BD 000021 .C594  1998","X004114148","Classic philosophical questions /","",1998,FALSE
"6","CLEMONS","BD 000021 .C635  1999","X004295558","101 philosophy problems /","Cohen, Martin,",1999,FALSE
"7","ALDERMAN","BD 000021 .C635  2007","X004832190","101 philosophy problems /","Cohen, Martin,",2007,FALSE
"8","ALDERMAN","BD 000021 .C66  1968","X000310327","Philosophical problems and arguments; an introduction","Cornman, James W.",1968,FALSE
"9","ALDERMAN","BD 000021 .C72  2002","X030216915","Philosophy : a very short introduction.","Craig, Edward,",2002,FALSE
"10","ALDERMAN","BD 000021 .E96  2000","X004393500","Exploring philosophy : an introductory anthology /","",2000,FALSE
"11","ALDERMAN","BD 000021 .F34  2007","X030115456","Philosophy goes to the movies : an introduction to philosophy /","Falzon, Christopher,",2007,FALSE
"12","ALDERMAN","BD 000021 .F34  2015","X031655048","Philosophy goes to the movies : an introduction to philosophy /","Falzon, Christopher,",2015,FALSE
"13","ALDERMAN","BD 000021 .F59  1989","X030476868","An introduction to Western philosophy : ideas and argument from Plato to Popper /","Flew, Antony,",1989,FALSE
"14","ALDERMAN","BD 000021 .G74  2006","X004972290","Engaging philosophy : a brief introduction /","Green, Mitchell S.",2006,FALSE
"15","ALDERMAN","BD 000021 .H48  2003","X004719995","Reality? knowledge? philosophy! : an introduction to metaphysics and epistemology /","Hetherington, Stephen Cade.",2003,FALSE
"16","CLEMONS","BD 000021 .H648  2000","X004476150","Thinking through philosophy : an introduction /","Horner, Chris.",2000,FALSE
"17","CLEMONS","BD 000021 .I53  1995","X004142241","An introduction to modern European philosophy /","",1995,FALSE
"18","ALDERMAN","BD 000021 .I54  1986","X001033719","Introduction to philosophy : classical and contemporary readings  /","",1986,FALSE
"19","ALDERMAN","BD 000021 .I54  1999","X004153362","Introduction to philosophy : classical and contemporary readings /","",1999,FALSE
"20","ALDERMAN","BD 000021 .I54  2016","X031763029","Introduction to philosophy : classical and contemporary readings /","",2016,FALSE
"21","ALDERMAN","BD 000021 .J87  2011","X031187131","Just the arguments : 100 of the most important arguments in Western philosophy /","",2011,FALSE
"22","ALDERMAN","BD 000021 .K74  2002","X004660091","Philosophy 101 by Socrates : an introduction to philosophy via Plato's Apology ; (Forty things philosophy is according to history's first and wisest philosopher) /","Kreeft, Peter.",2002,FALSE
"23","ALDERMAN","BD 000021 .L385  2005","X004863178","Plato's sun : an introduction to philosophy /","Lawless, Andrew.",2005,FALSE
"24","ALDERMAN","BD 000021 .M225  2009","X030473915","The engaged intellect : philosophical essays /","McDowell, John,",2009,FALSE
"25","CLEMONS","BD 000021 .M36  2003","X004553298","The many faces of wisdom : great philosophers' visions of philosophy /","",2003,FALSE
"26","ALDERMAN","BD 000021 .M44  2003","X004659861","Inroads : paths in ancient and modern western philosophy /","Miles, Murray Lewis,",2003,FALSE
"27","ALDERMAN","BD 000021 .N24  1987","X001260822","What does it all mean? : a very short introduction to philosophy /","Nagel, Thomas.",1987,FALSE
"28","ALDERMAN","BD 000021 .P4  1999","X006018888","Philosophy : basic readings /","",1999,FALSE
"29","ALDERMAN","BD 000021 .P4  2005","X004839375","Philosophy : basic readings /","",2005,FALSE
"30","ALDERMAN","BD 000021 .P476  2007","X030251301","Philosophy in multiple voices /","",2007,FALSE
"31","ALDERMAN","BD 000021 .P485  2005","X004839568","Issues in philosophy : an introduction /","Pinchin, Calvin.",2005,FALSE
"32","ALDERMAN","BD 000021 .R467  2014","X031652750","Metaphilosophy : philosophy in philosophical perspective /","Rescher, Nicholas,",2014,FALSE
"33","ALDERMAN","BD 000021 .R47  2010","X030695102","Philosophical inquiries : an introduction to problems of philosophy /","Rescher, Nicholas.",2010,FALSE
"34","ALDERMAN","BD 000021 .R8  1959B","X000962834","The problems of philosophy.","Russell, Bertrand,",1959,FALSE
"35","ALDERMAN","BD 000021 .S57  2016","X031795232","The philosopher : a history in six types /","Smith, Justin E. H.,",2016,FALSE
"36","ALDERMAN","BD 000021 .S76  2003","X004707725","Philosophy, 100 essential thinkers /","Stokes, Philip Andrew.",2003,FALSE
"37","ALDERMAN","BD 000021 .T35  1991","X002038506","Philosophy : a beginner's guide /","Teichman, Jenny.",1991,FALSE
"38","CLEMONS","BD 000021 .T75  2002","X004552072","Philosophy matters : an introduction to philosophy /","Trigg, Roger.",2002,FALSE
"39","ALDERMAN","BD 000021 .V59  2004","X004780371","Voices of wisdom : a multicultural philosophy reader /","",2004,FALSE
"40","ALDERMAN","BD 000021 .V67  2007","X030279162","What not to say : finding the right words at difficult moments /","Vernon, Mark,",2007,FALSE
"41","ALDERMAN","BD 000021 .W33  2011","X031647026","Elements of philosophy : a compendium for philosophers and theologians /","Wallace, William A.",2011,FALSE
"42","CLEMONS","BD 000021 .W35  1992","X002253822","Philosophy : the basics /","Warburton, Nigel,",1992,FALSE
"43","ALDERMAN","BD 000021 .W35  2004","X004743973","Philosophy : the basics /","Warburton, Nigel,",2004,FALSE
"44","ALDERMAN","BD 000021 .W43  1996","X004044580","Western philosophy : an anthology /","",1996,FALSE
"45","ALDERMAN","BD 000021 .W434  2004","X004808683","Western philosophy : an illustrated guide /","",2004,FALSE
"46","ALDERMAN","BD 000021 .W434  2009","X030467656","Philosophy /","",2009,FALSE
"47","ALDERMAN","BD 000021 .W4725  2018","X031813961","Introduction to philosophy : Christianity and the big questions /","Wilkens, Steve,",2018,FALSE
"48","ALDERMAN","BD 000022 .F4713  2010","X030774393","Learning to live : a user's manual /","Ferry, Luc.",2010,FALSE
"49","ALDERMAN","BD 000023 .B5423  1970","X000539071","A philosophy of the future.","Bloch, Ernst,",1970,FALSE
"50","ALDERMAN","BD 000023 .B5613  1996","X030793507","The road to understanding : more than dreamt of in your philosophy /","Bochenski, Joseph M.,",1996,FALSE
"51","ALDERMAN","BD 000028 .A76  2010","X030774078","Sketch for a systematic metaphysics /","Armstrong, D. M. (David Malet),",2010,FALSE
"52","ALDERMAN","BD 000031 .D46  2013","X031603316","Intuition pumps and other tools for thinking /","Dennett, D. C. (Daniel Clement)",2013,FALSE
"53","ALDERMAN","BD 000031 .L28  2014","X031655684","Freedom and limits /","Lachs, John,",2014,FALSE
"54","CLEMONS","BD 000031 .P56  2001","X004479544","Socrates café : a fresh taste of philosophy /","Phillips, Christopher,",2001,FALSE
"55","ALDERMAN","BD 000031 .R38  2006","X004909737","The big questions : philosophy for everyone /","Rauhut, Nils Ch.",2006,FALSE
"56","ALDERMAN","BD 000032 .M3  1953","X030340933","An introduction to philosophy.","Maritain, Jacques,",1947,FALSE
"57","ALDERMAN","BD 000041 .C66  2016","X031792515","Commonplace commitments : thinking through the legacy of Joseph P. Fell /","",2016,FALSE
"58","ALDERMAN","BD 000041 .M34  2017","X031819476","Philosophical provocations : 55 short essays /","McGinn, Colin,",2017,FALSE
"59","ALDERMAN","BD 000041 .P5413  2006","X030102878","For the love of wisdom : essays on the nature of philosophy /","Pieper, Josef,",2006,FALSE
"60","ALDERMAN","BD 000095 .C66  2008","X030251848","Contemporary debates in metaphysics /","",2008,FALSE
"61","ALDERMAN","BD 000095 .F57  2009","X030566547","Our stories : essays on life, death, and free will /","Fischer, John Martin,",2009,FALSE
"62","ALDERMAN","BD 000095 .V37  2013","X031725000","Varieties of dependence : ontological dependence, grounding, supervenience, response-dependence /","",2013,FALSE
"63","ALDERMAN","BD 000111 .A22  2014  V.000002","X031821709","Mind, values, and metaphysics : philosophical essays in honor of Kevin Mulligan /","",2014,TRUE
"64","ALDERMAN","BD 000111 .A67  2009","X030470156","Arguing about metaphysics /","",2009,FALSE
"65","CLEMONS","BD 000111 .A96  1985","X001079560","Metaphysics : the elements /","Aune, Bruce,",1985,FALSE
"66","ALDERMAN","BD 000111 .B33  2011","X030817907","Metaphysics : the key concepts /","Beebee, Helen.",2011,FALSE
"67","ALDERMAN","BD 000111 .B36  2000","X004438514","Being and dialectic : metaphysics and culture /","",2000,FALSE
"68","ALDERMAN","BD 000111 .B37  2008","X030467666","Being : developments in contemporary metaphysics /","",2008,FALSE
"69","ALDERMAN","BD 000111 .B398  2017","X031818678","Making things up /","Bennett, Karen,",2017,FALSE
"70","ALDERMAN","BD 000111 .B53  2012","X030843692","Essential difference : toward a metaphysics of emergence /","Blachowicz, James,",2012,FALSE
"71","ALDERMAN","BD 000111 .B57  2002","X006126980","The Blackwell guide to metaphysics /","",2002,FALSE
"72","ALDERMAN","BD 000111 .B58  2010","X030818931","Heidegger and Nietzsche : overcoming metaphysics /","Blond, Louis P.",2010,FALSE
"73","ALDERMAN","BD 000111 .B85","X000144241","Metaphysics and the philosophy of science; the classical origins: Descartes to Kant.","Buchdahl, Gerd.",1969,FALSE
"74","ALDERMAN","BD 000111 .C37  1987B","X006172473","Metaphysics : an introduction /","Carr, Brian.",1987,FALSE
"75","ALDERMAN","BD 000111 .C445  2015","X031706776","Chinese metaphysics and its problems /","",2015,FALSE
"76","ALDERMAN","BD 000111 .C45  1989","X002012594","On metaphysics /","Chisholm, Roderick M.",1989,FALSE
"77","ALDERMAN","BD 000111 .C626  1995","X004140879","A Companion to metaphysics /","",1995,FALSE
"78","ALDERMAN","BD 000111 .C66  2014","X031654288","Riddles of existence : a guided tour of metaphysics /","Conee, Earl Brink,",2014,FALSE
"79","ALDERMAN","BD 000111 .C66  2014","X031651003","Composition as identity /","",2014,FALSE
