"","Item.Library.Code","Item.Shelving.Id","Item.Barcode","Catalog.Title","Catalog.Author","Catalog.Pub.Year","MultiVolume"
"1","CLEMONS","BF 000020 .F57  2003","X004721181","Flourishing : positive psychology and the life well-lived /","",2003,FALSE
"2","ALDERMAN","BF 000020 .M87  1992","X030204732","Bu??th al-Mu?tamar al-Th?min li-?Ilm al-Nafs f? Mi?r, 6-8 Y?niy? 1992 /","Mu?tamar li-?Ilm al-Nafs f? Mi?r",1992,FALSE
"3","ALDERMAN","BF 000021 .A7  1932  NO.000140","X000393019","A technique for the measurement of attitudes,","Likert, Rensis,",1932,TRUE
"4","ALDERMAN","BF 000028 .A7  D57  1994","X030404866","Dir?s?t nafs?yah muhd?h ilá al-ust?dh al-dukt?r Mu??afá Suwayf /","",1994,TRUE
"5","ALDERMAN","BF 000028 .A7  I44  1994","X030500751","?Ilm al-nafs al-?a??r? al-muq?ran : maf?h?m wa-dir?s?t /","",1994,FALSE
"6","ALDERMAN","BF 000038 .B775  1986","X001064514","Actual minds, possible worlds /","Bruner, Jerome S. (Jerome Seymour)",1986,FALSE
"7","CLEMONS","BF 000038 .D46  1981","X002452164","Brainstorms : philosophical essays on mind and psychology /","Dennett, D. C. (Daniel Clement)",1981,FALSE
"8","ALDERMAN","BF 000038 .H33  2006","X004895121","Developing your theoretical orientation in counseling and psychotherapy /","Halbur, Duane.",2006,FALSE
"9","ALDERMAN","BF 000038 .H33  2011","X030832466","Developing your theoretical orientation in counseling and psychotherapy /","Halbur, Duane.",2011,FALSE
"10","ALDERMAN","BF 000038 .H53  1975","X000238658","Re-visioning psychology /","Hillman, James.",1975,FALSE
"11","ALDERMAN","BF 000038 .J365  2002","X004734897","The life and behavior of living organisms : a general theory /","Jaques, Elliott.",2002,FALSE
"12","CLEMONS","BF 000038 .K23  1998","X004247742","Three seductive ideas /","Kagan, Jerome.",1998,FALSE
"13","ALDERMAN","BF 000038 .L36","X000062333","Exo-psychology : a manual on the use of the human nervous system according to the instructions of the manufacturers /","Leary, Timothy,",1977,FALSE
"14","ALDERMAN","BF 000038 .P422  2007","X004832611","Perspicuous presentations : essays on Wittgenstein's philosophy of psychology /","",2007,FALSE
"15","CLEMONS","BF 000038 .R35  V.000001","X001180357","Readings in philosophy of psychology /","",1980,TRUE
"16","ALDERMAN","BF 000038 .S96  2002","X004474225","On Dennett /","Symons, John (John Francis)",2002,FALSE
"17","ALDERMAN","BF 000038 .W755  1990","X004943585","Quantum psychology : how brain software programs you and your world /","Wilson, Robert Anton,",1990,FALSE
"18","ALDERMAN","BF 000038 .W76513  V.000001","X000219324","Remarks on the philosophy of psychology /","Wittgenstein, Ludwig,",1980,TRUE
"19","ALDERMAN","BF 000038 .W767  1989","X001825335","Wittgenstein's lectures on philosophical psychology, 1946-47 /","Wittgenstein, Ludwig,",1989,FALSE
"20","ALDERMAN","BF 000038.5 .F67  2006","X004904719","Formulation in psychology and psychotherapy : making sense of people's problems /","",2006,FALSE
"21","ALDERMAN","BF 000038.5 .L48  1981  V.000002","X000591901","Wissenschaftstheorie /","Lewin, Kurt,",1981,TRUE
"22","ALDERMAN","BF 000038.5 .W53","X000124795","New pathways in psychology: Maslow and the post-Freudian revolution.","Wilson, Colin,",1972,FALSE
"23","ALDERMAN","BF 000039 .B678  2007","X030246631","Applying the Rasch model : fundamental measurement in the human sciences /","Bond, Trevor G.",2007,FALSE
"24","ALDERMAN","BF 000039 .E495  2000","X004757100","Item response theory for psychologists /","Embretson, Susan E.",2000,FALSE
"25","ALDERMAN","BF 000039 .G72  1988","X001361206","Statistics for the behavioral sciences : a first course for students of psychology and education /","Gravetter, Frederick J.",1988,FALSE
"26","ALDERMAN","BF 000039 .H87  1998","X004652752","Comprehending behavioral statistics /","Hurlburt, Russell T.",1998,FALSE
"27","ALDERMAN","BF 000039 .K73","X000035220","Multidimensional scaling /","Kruskal, Joseph B.,",1978,FALSE
"28","ALDERMAN","BF 000039 .M32  1997","X004683333","La mesure de l'esprit : origines et développements de la psychométrie, 1900-1950 /","Martin, Olivier.",1997,FALSE
"29","ALDERMAN","BF 000039 .N44  1999","X004446922","The new rules of measurement : what every psychologist and educator should know /","",1999,FALSE
