"","Item.Library.Code","Item.Shelving.Id","Item.Barcode","Catalog.Title","Catalog.Author","Catalog.Pub.Year","MultiVolume"
"1","CLEMONS","BH 000019 .B43  2007","X030232569","Beauty and the abject : interdisciplinary perspectives /","",2007,FALSE
"2","CLEMONS","BH 000021 .C3  1976","X000132785","Philosophies of beauty from Socrates to Robert Bridges : being the sources of aesthetic theory /","Carritt, E. F. (Edgar Frederick),",1976,FALSE
"3","ALDERMAN","BH 000021 .R6  2001","X004487963","The Routledge companion to aesthetics /","",2001,FALSE
"4","ALDERMAN","BH 000039 .A23","X000115955","Critical theory since Plato.","Adams, Hazard,",1971,FALSE
"5","ALDERMAN","BH 000039 .A2854  2015","X031732420","The aesthetic ground of critical theory : new readings of Benjamin and Adorno /","",2015,FALSE
"6","ALDERMAN","BH 000039 .A2855  2011","X031646757","Aesthetic theory : essential texts /","",2011,FALSE
"7","CLEMONS","BH 000039 .A286  1997","X004177826","Aesthetics /","",1997,FALSE
"8","ALDERMAN","BH 000039 .A2867  2010","X031199337","Aesthetics today : a reader /","",2010,FALSE
"9","ALDERMAN","BH 000039 .A2875  2007","X030276016","Aesthetics : a comprehensive anthology /","",2007,FALSE
"10","ALDERMAN","BH 000039 .A288  1998","X004218510","Aesthetics and ethics : essays at the intersection /","",1998,FALSE
"11","ALDERMAN","BH 000039 .A296  2004","X004721923","Aesthetics and the philosophy of art : the analytic tradition : an anthology /","",2004,FALSE
"12","ALDERMAN","BH 000039 .A2965  2014","X031652419","Aesthetics and the sciences of mind /","",2014,FALSE
"13","CLEMONS","BH 000039 .A297  1998","X004188771","Aesthetics : the big questions /","",1998,FALSE
"14","ALDERMAN","BH 000039 .A3213  2007","X030255407","Profanations /","Agamben, Giorgio,",2007,FALSE
"15","ALDERMAN","BH 000039 .A455  1990","X004521299","Aisthesis : Wahrnehmung heute oder Perspektiven einer anderen Ästhetik : Essais /","",1990,FALSE
"16","ALDERMAN","BH 000039 .A67913  2005","X004903784","The end of the world as a work of art : a Western story /","Argullol, Rafael,",2005,FALSE
"17","ALDERMAN","BH 000039 .A685  2003","X004702027","Art and essence /","",2003,FALSE
"18","ALDERMAN","BH 000039 .A6855  2008","X030471540","Art and ethical criticism /","",2008,FALSE
"19","ALDERMAN","BH 000039 .A686  2003","X004658408","Art and experience /","",2003,FALSE
"20","ALDERMAN","BH 000039 .A695  2003","X004657316","Art and morality /","",2003,FALSE
"21","ALDERMAN","BH 000039 .A697  2006","X004895314","Art from start to finish : jazz, painting, writing, and other improvisations /","",2006,FALSE
"22","ALDERMAN","BH 000039 .B29  1990","X001826426","Art and answerability : early philosophical essays /","Bakhtin, M. M. (Mikhail Mikha?lovich),",1990,FALSE
"23","ALDERMAN","BH 000039 .B35  1996","X004068425","In/different spaces : place and memory in visual culture /","Burgin, Victor.",1996,FALSE
"24","ALDERMAN","BH 000039 .B3826  1997","X004106898","Beauty and the critic : aesthetics in an age of cultural studies /","",1997,FALSE
"25","ALDERMAN","BH 000039 .B3827  2000","X004475047","Beauty, art, and the polis /","",2000,FALSE
"26","ALDERMAN","BH 000039 .B3845  1991","X002050213","Art, mimesis, and the avant-garde : aspects of a philosophy of difference /","Benjamin, Andrew E.",1991,FALSE
"27","ALDERMAN","BH 000039 .B393  2000","X004345607","A theory of art /","Berger, Karol,",2000,FALSE
"28","ALDERMAN","BH 000039 .B3945  1991","X001932584","Art and engagement /","Berleant, Arnold,",1991,FALSE
"29","ALDERMAN","BH 000039 .B425  2002","X030196878","Between ethics and aesthetics : crossing the boundaries /","",2002,FALSE
"30","ALDERMAN","BH 000039 .B47  2017","X031760577","The art of philosophy : visual thinking in Europe from the late Renaissance to the early Enlightenment /","Berger, Susanna,",2017,FALSE
"31","ALDERMAN","BH 000039 .B556  2004","X004743170","The Blackwell guide to aesthetics /","",2004,FALSE
"32","ALDERMAN","BH 000039 .B6172513  2017","X031762137","The aesthetics of atmospheres /","Böhme, Gernot,",2017,FALSE
"33","ALDERMAN","BH 000039 .B794  2014","X031716082","Surface : matters of aesthetics, materiality, and media /","Bruno, Giuliana",2014,FALSE
"34","ALDERMAN","BH 000039 .B795  2006","X031582333","On the anarchy of poetry and philosophy : a guide for the unruly /","Bruns, Gerald L.",2006,FALSE
"35","ALDERMAN","BH 000039 .B835  2008","X030473562","Aesthetic essays /","Budd, Malcolm,",2008,FALSE
"36","ALDERMAN","BH 000039 .C2913  2001","X004525368","The forty-nine steps /","Calasso, Roberto.",2001,FALSE
"37","ALDERMAN","BH 000039 .C373  2006","X004898389","What good are the arts? /","Carey, John,",2006,FALSE
"38","ALDERMAN","BH 000039 .C3751  2010","X030762612","Art in three dimensions /","Carroll, Noël,",2010,FALSE
"39","ALDERMAN","BH 000039 .C3752  2001","X004522815","Beyond aesthetics : philosophical essays /","Carroll, Noel (Noël E.)",2001,FALSE
