"","Item.Library.Code","Item.Shelving.Id","Item.Barcode","Catalog.Title","Catalog.Author","Catalog.Pub.Year","MultiVolume"
"1","ALDERMAN","BJ 000010 .E8  M33  2008","X030466227","Reforming the moral subject : ethics and sexuality in Central Europe, 1890-1930 /","Matysik, Tracie.",2008,FALSE
"2","ALDERMAN","BJ 000011 .B73  2006","X004835981","Transpositions : on nomadic ethics /","Braidotti, Rosi.",2006,FALSE
"3","ALDERMAN","BJ 000019 .T87  2000","X004805977","The turn to ethics /","",2000,FALSE
"4","ALDERMAN","BJ 000019 .W65  1987","X001295339","Women and moral theory /","",1987,FALSE
"5","ALDERMAN","BJ 000021 .C67  2007","X030250584","Morality in a natural world : selected essays in metaethics /","Copp, David.",2007,FALSE
"6","ALDERMAN","BJ 000021 .F45","X000210935","Moral concepts;","Feinberg, Joel,",1969,FALSE
"7","ALDERMAN","BJ 000021 .F6  1967","X000101058","Theories of ethics;","Foot, Philippa.",1967,FALSE
"8","ALDERMAN","BJ 000021 .G38","X000242288","Morality and rational self-interest.","Gauthier, David P.,",1970,FALSE
"9","ALDERMAN","BJ 000021 .G56  2007","X030255419","The globalization of ethics /","",2007,FALSE
"10","ALDERMAN","BJ 000021 .H8","X000023979","The is-ought question: a collection of papers on the central problems in moral philosophy,","Hudson, W. D. (William Donald),",1969,FALSE
"11","ALDERMAN","BJ 000021 .M4  1958","X000210953","Essays in moral philosophy.","Melden, A. I. (Abraham Irving),",1958,FALSE
"12","ALDERMAN","BJ 000021 .M57  1996","X004068416","Moral concepts /","",1996,FALSE
"13","ALDERMAN","BJ 000021 .M58","X001837845","Moral development and behavior : theory, research, and social issues /","",1976,FALSE
"14","ALDERMAN","BJ 000021 .M595  2005","X030149732","Morality in context /","",2005,FALSE
"15","ALDERMAN","BJ 000021 .M83","X000157630","An introduction to moral and social philosophy; basic readings in theory and practice.","Murphy, Jeffrie G.",1973,FALSE
"16","ALDERMAN","BJ 000021 .P33","X000024144","Readings in contemporary ethical theory.","Pahel, Kenneth,",1970,FALSE
"17","ALDERMAN","BJ 000021 .R28  2007","X030116117","The legacy of Socrates : essays in moral philosophy /","Rachels, James,",2007,FALSE
"18","ALDERMAN","BJ 000021 .R68  2010","X030819119","The Routledge companion to ethics /","",2010,FALSE
"19","ALDERMAN","BJ 000021 .S4  1952","X000335486","Readings in ethical theory;","Sellars, Wilfrid",1952,FALSE
"20","ALDERMAN","BJ 000021 .S53  2006","X030115516","Shared intentions and collective responsibility /","",2006,FALSE
"21","ALDERMAN","BJ 000021 .S63  2001","X006132781","Social, political, and legal philosophy /","",2001,FALSE
"22","ALDERMAN","BJ 000021 .W49  2006","X004911508","Ethics : twelve lectures on the philosophy of morality /","Wiggins, David.",2006,FALSE
"23","ALDERMAN","BJ 000037 .A57  2010","X030745910","Sources of significance : worldly rejuvenation and neo-stoic heroism /","Anton, Corey.",2010,FALSE
"24","CLEMONS","BJ 000037 .A67  2008","X030251791","Experiments in ethics /","Appiah, Anthony.",2008,FALSE
"25","ALDERMAN","BJ 000037 .A93  2007","X030112051","Moral value and human diversity /","Audi, Robert,",2007,FALSE
"26","ALDERMAN","BJ 000037 .B2813  2016","X031730997","The origins of fairness : how evolution explains our moral nature /","Baumard, N. (Nicolas),",2016,FALSE
"27","ALDERMAN","BJ 000037 .D54  2008","X030474440","Difficulties of ethical life /","",2008,FALSE
"28","ALDERMAN","BJ 000037 .E26  1963","X004762996","Method in ethical theory.","Edel, Abraham,",1963,FALSE
"29","ALDERMAN","BJ 000037 .I5  1998","X004133371","In face of the facts : moral inquiry in American scholarship /","",1998,FALSE
"30","ALDERMAN","BJ 000037 .I58  2006","X004897701","Interrogating ethics : embodying the good in Merleau-Ponty /","",2006,FALSE
"31","ALDERMAN","BJ 000037 .K57  2000","X004400706","Endoxic method and ethical inquiry : an analysis and defense of a method for justifying fundamental ethical principles /","Klein, Sherwin.",2000,FALSE
"32","ALDERMAN","BJ 000037 .K575  2005","X004902104","Gestures of ethical life : reading Hölderlin's question of measure after Heidegger /","Kleinberg-Levin, David Michael,",2005,FALSE
"33","ALDERMAN","BJ 000037 .L37  2008","X030508345","The autonomy of morality /","Larmore, Charles E.",2008,FALSE
"34","ALDERMAN","BJ 000037 .M23  1990","X001811130","Three rival versions of moral enquiry : encyclopedia, genealogy, and tradition : being Gifford lectures delivered in the University of Edinburgh in 1988 /","MacIntyre, Alasdair C.",1990,FALSE
"35","ALDERMAN","BJ 000037 .M24","X000055209","Ethics : inventing right and wrong /","Mackie, J. L. (John Leslie)",1977,FALSE
"36","ALDERMAN","BJ 000037 .M285  2008","X030259254","Ethical marxism : the categorical imperative of liberation /","Martin, Bill,",2008,FALSE
"37","ALDERMAN","BJ 000037 .M3","X002015337","What is ethics all about?","McCabe, Herbert,",1969,FALSE
"38","ALDERMAN","BJ 000037 .M8","X000110272","Principia ethica,","Moore, G. E. (George Edward),",1903,FALSE
"39","ALDERMAN","BJ 000037 .M84  2013","X030608503","Contrary to thoughtlessness : rethinking practical wisdom /","Mueller, Monica,",2013,FALSE
"40","ALDERMAN","BJ 000037 .P48  2009","X030562636","Everyday ethics and social change : the education of desire /","Peterson, Anna Lisa,",2009,FALSE
"41","ALDERMAN","BJ 000037 .R37  1989","X001455377","Relativism : interpretation and confrontation /","",1989,FALSE
"42","ALDERMAN","BJ 000037 .T445  2011","X030976010","Nature, reason, and the good life : ethics for human beings /","Teichmann, Roger,",2011,FALSE
"43","ALDERMAN","BJ 000037 .T45  2008","X030259617","Unbecoming subjects : Judith Butler, moral philosophy, and critical responsibility /","Thiem, Annika.",2008,FALSE
