"","Item.Library.Code","Item.Shelving.Id","Item.Barcode","Catalog.Title","Catalog.Author","Catalog.Pub.Year","MultiVolume"
"1","ALDERMAN","BL 000001 X000494398140.4  .B436  M35  2002  V.000001","X004893973","Bh?gavatat?tparyanir?aya? /","Madhva,",2002,TRUE
"2","ALDERMAN","BL 000021 .H572  1960","X030267408","Proceedings of the IXth International Congress for the History of Religions, Tokyo and Kyoto, 1958, August 27th-September 9th /","International Congress for the History of Religions",1960,FALSE
"3","ALDERMAN","BL 000021 .H69  2006","X004897687","How should we talk about religion? : perspectives, contexts, particularities /","",2006,FALSE
"4","ALDERMAN","BL 000021 .I466  1992","X002212605","Innovation in religious traditions : essays in the interpretation of religious change /","",1992,FALSE
"5","ALDERMAN","BL 000021 .N9  1994","X002578055","The notion of ""religion"" in comparative research : selected proceedings of the XVIth congress of the International Association for the History of Religions (Rome, 3rd-8th September, 1990) /","",1994,FALSE
"6","ALDERMAN","BL 000021 .R33  2002","X004637441","Radical interpretation in religion /","",2002,FALSE
"7","ALDERMAN","BL 000021 .S78  1964","X001317451","Essays in economic anthropology, dedicated to the memory of Karl Polanyi.","American Ethnological Society.",1965,FALSE
"8","ALDERMAN","BL 000021 .T46  1986","X030120855","Cosmos, life, religion : beyond humanism /","Tenri International Symposium '86",1988,FALSE
"9","ALDERMAN","BL 000021 .W8  C45  2011","X031634030","World's Parliament of Religions, 1893 : participation from the Indian subcontinent with photographs of the World's Exposition /","Chattopadhyaya, Rajagopal,",2011,TRUE
"10","ALDERMAN","BL 000025 .B66  1992X VOL.33","X032592751","In to shingon no hon : shinbutsu to y?g? suru mikky? hih? taizen.","",2004,TRUE
"11","ALDERMAN","BL 000025 .B66  1992X VOL.45","X032592750","Shinbutsu sh?g? no hon : Honji suijaku no nazo to ch?sei no hiky? sekai.","",2008,TRUE
"12","ALDERMAN","BL 000025 .M85","X000138432","Myths and symbols; studies in honor of Mircea Eliade.","",1969,FALSE
"13","ALDERMAN","BL 000027 .M38  2014","X032114866","Mythical thinkings : what can we learn from comparative mythology? /","Matsumura, Kazuo,",2014,FALSE
"14","ALDERMAN","BL 000029 .E87  2006","X004895020","The essential Sophia /","",2006,FALSE
"15","ALDERMAN","BL 000031 .C75  1998","X004190626","Critical terms for religious studies /","",1998,FALSE
"16","ALDERMAN","BL 000031 .H37  1995","X030958943","The HarperCollins dictionary of religion /","",1995,FALSE
"17","ALDERMAN","BL 000031 .M4813  2007  V.000001","X031650301","The Brill dictionary of religion /","",2007,TRUE
"18","ALDERMAN","BL 000031 .O47  2011","X030819019","Religious studies : the key concepts /","Olson, Carl.",2011,FALSE
"19","ALDERMAN","BL 000031 .V63  2015  V.000001","X031649460","Vocabulary for the study of religion /","",2015,TRUE
"20","ALDERMAN","BL 000035 .L6  1969","X031815741","The Long Island Council of Churches : complete listing: Protestant, Catholic, Orthodox, Jewish clergymen, Nassau and Suffolk counties.","",1969,FALSE
"21","ALDERMAN","BL 000037 .B46  2012","X030610559","Aquinas on the Web? : doing theology in an Internet age /","Bennett, Jana Marguerite,",2012,FALSE
"22","ALDERMAN","BL 000037 .B73  2001","X004474538","Give me that online religion /","Brasher, Brenda E.,",2001,FALSE
"23","ALDERMAN","BL 000037 .K37  2006","X030102832","E-religion : a critical appraisal of religious discourse on the World Wide Web /","Karaflogka, Anastasia.",2006,FALSE
"24","ALDERMAN","BL 000037 .R44  2005","X004917667","Religion and cyberspace /","",2005,FALSE
"25","ALDERMAN","BL 000037 .R45  2006","X030368212","Religious communities on the Internet : proceedings from a conference /","",2006,FALSE
"26","ALDERMAN","BL 000037 .R46  2004","X004803079","Religion online : finding faith on the Internet /","",2004,FALSE
"27","ALDERMAN","BL 000041 .A24  2001","X004525998","The academic study of religion during the Cold War : East and West /","",2001,FALSE
"28","ALDERMAN","BL 000041 .A38  2016","X031818742","After world religions : reconstructing religious studies /","",2016,FALSE
"29","ALDERMAN","BL 000041 .B49  1990","X001855211","Beyond the classics? : essays in religious studies and liberal education /","",1990,FALSE
"30","ALDERMAN","BL 000041 .B76  2008","X030507808","A guide to writing academic essays in religious studies /","Brown, Scott G. (Scott Gregory),",2008,FALSE
"31","ALDERMAN","BL 000041 .B87  2001","X004414984","Exhibiting religion : colonialism and spectacle at international expositions, 1851-1893 /","Burris, John P.",2001,FALSE
"32","ALDERMAN","BL 000041 .C35  1996","X004072716","Six ways of being religious : a framework for comparative studies of religion /","Cannon, Dale S.",1996,FALSE
"33","ALDERMAN","BL 000041 .C36  1995","X002667534","Religious studies : the making of a discipline /","Capps, Walter H.",1995,FALSE
"34","CLEMONS","BL 000041 .C56  2010","X031656645","Comparative theology : deep learning across religious borders /","Clooney, Francis X. (Francis Xavier),",2010,FALSE
"35","ALDERMAN","BL 000041 .C583  2006","X030114342","Comparing religions : possibilities and perils? /","",2006,FALSE
"36","ALDERMAN","BL 000041 .C585  2000","X004808074","The future of the study of religion : proceedings of Congress 2000 /","Congress 2000: the Future of the Study of Religion",2004,FALSE
"37","ALDERMAN","BL 000041 .C75  1998","X004319371","The craft of religious studies /","",1998,FALSE
"38","ALDERMAN","BL 000041 .C86  1999B","X006077697","Religion and magic : approaches and theories /","Cunningham, Graham.",1999,FALSE
"39","ALDERMAN","BL 000041 .D8313  2003","X004703664","The western construction of religion : myths, knowledge, and ideology /","Dubuisson, Daniel,",2003,FALSE
"40","ALDERMAN","BL 000041 .E5  1959","X000126468","The history of religions; essays in methodology.","Eliade, Mircea,",1959,FALSE
"41","ALDERMAN","BL 000041 .F355  2017","X031817689","Faithful measures : new methods in the measurement of religion /","",2017,FALSE
"42","ALDERMAN","BL 000041 .F43  1986  BD.000003","X031645894","Religio /","Feil, Ernst.",1986,TRUE
"43","ALDERMAN","BL 000041 .F53  2005","X004839876","Fields of faith : theology and religious studies for the twenty-first century /","",2005,FALSE
"44","ALDERMAN","BL 000041 .F56  2000","X004324353","The Ideology of religious studies /","Fitzgerald, Timothy,",2000,FALSE
"45","ALDERMAN","BL 000041 .F57  1999","X006029451","Beyond phenomenology : rethinking the study of religion /","Flood, Gavin D.,",1999,FALSE
"46","ALDERMAN","BL 000041 .G65  2003","X004705453","Aesthetics and analysis in writing on religion : modern fascinations /","Gold, Daniel,",2003,FALSE
"47","ALDERMAN","BL 000041 .H37  1990","X001859973","'Religion' and the religions in the English Enlightenment /","Harrison, Peter,",1990,FALSE
"48","ALDERMAN","BL 000041 .H372  2005","X030377225","A student's guide to religious studies /","Hart, D. G. (Darryl G.)",2005,FALSE
"49","ALDERMAN","BL 000041 .H38  1999","X004324701","The University gets religion : religious studies in American higher education /","Hart, D. G. (Darryl G.)",1999,FALSE
"50","ALDERMAN","BL 000041 .H5  1967","X000190660","The History of religions; essays on the problem of understanding,","",1967,FALSE
"51","ALDERMAN","BL 000041 .H67  2018","X031840801","How to do comparative theology /","",2018,FALSE
"52","ALDERMAN","BL 000041 .I34  2004","X004808412","Identity and the politics of scholarship in the study of religion /","",2004,FALSE
"53","ALDERMAN","BL 000041 .I46  1999","X004622729","The insider/outsider problem in the study of religion : a reader /","",1999,FALSE
"54","ALDERMAN","BL 000041 .I47  2018","X031814248","Interfaith-interreligious studies : defining a new field /","",2018,FALSE
"55","ALDERMAN","BL 000041 .I475  1995","X004439502","Perspectives on method and theory in the study of religion : adjunct proceedings of the XVIIth Congress of the International Association for the History of Religions, Mexico City, 1995 /","International Association for the History of Religions. Congress",2000,FALSE
"56","ALDERMAN","BL 000041 .I77  2019","X032561139","Irreverence and the sacred : critical studies in the history of religions /","",2019,FALSE
"57","ALDERMAN","BL 000041 .J46  2003","X004773609","The study of religion in a new key : theoretical and philosophical soundings in the comparative and general study of religion /","Jensen, Jeppe Sinding,",2003,FALSE
"58","ALDERMAN","BL 000041 .K57  1986  V.000002","X001157912","Hermeneutical inquiry /","Klemm, David E.,",1986,TRUE
"59","ALDERMAN","BL 000041 .L376  1990","X001783008","History, religion, and antisemitism /","Langmuir, Gavin I.",1990,FALSE
"60","ALDERMAN","BL 000041 .L39  1990","X001740067","Rethinking religion : connecting cognition and culture /","Lawson, E. Thomas.",1990,FALSE
"61","ALDERMAN","BL 000041 .L55  2018","X031814159","Apples and oranges : experiments in, on, and with comparison /","Lincoln, Bruce,",2018,FALSE
"62","ALDERMAN","BL 000041 .L56  2012","X031215774","Gods and demons, priests and scholars : critical explorations in the history of religions /","Lincoln, Bruce.",2012,FALSE
"63","CLEMONS","BL 000041 .M3  1959","X000229813","The eighteenth century confronts the gods.","Manuel, Frank Edward.",1959,FALSE
"64","ALDERMAN","BL 000041 .M3  1967","X000078331","The eighteenth century confronts the gods.","Manuel, Frank Edward.",1967,FALSE
"65","ALDERMAN","BL 000041 .M345  1993","X002311421","In search of dreamtime : the quest for the origin of religion /","Masuzawa, Tomoko.",1993,FALSE
"66","ALDERMAN","BL 000041 .M346  2016","X031856021","Theories and methods in the study of religions : philosophico-theological appraisal based on socio-psychological & subaltern concerns /","Mathew, John V.,",2016,FALSE
"67","CLEMONS","BL 000041 .M348  2001","X030269252","Critics not caretakers : redescribing the public study of religion /","McCutcheon, Russell T.,",2001,FALSE
"68","ALDERMAN","BL 000041 .M349  2003","X004690888","The discipline of religion : structure, meaning, rhetoric /","McCutcheon, Russell T.,",2003,FALSE
"69","ALDERMAN","BL 000041 .M35  1997","X004104161","Manufacturing religion : the discourse on sui generis religion and the politics of nostalgia /","McCutcheon, Russell T.,",1997,FALSE
"70","ALDERMAN","BL 000041 .M435  2002","X004633531","Methodology in religious studies : the interface with women's studies /","",2002,FALSE
"71","ALDERMAN","BL 000041 .M5","X030119842","The study of religion in American universities : ten case studies with special reference to State universities /","Michaelsen, Robert S.,",1965,FALSE
"72","ALDERMAN","BL 000041 .M63  1987","X001210715","Anthropological studies of religion : an introductory text /","Morris, Brian.",1987,FALSE
"73","ALDERMAN","BL 000041 .N49  2004  V.000002","X004811404","New approaches to the study of religion /","",2004,TRUE
"74","ALDERMAN","BL 000041 .N493  2010","X030773937","The new comparative theology : interreligious insights from the next generation /","",2010,FALSE
"75","ALDERMAN","BL 000041 .N53  2011","X030944099","Comparative theology and the problem of religious rivalry /","Nicholson, Hugh (Hugh R.)",2011,FALSE
"76","ALDERMAN","BL 000041 .O47  2013","X030608966","The allure of decadent thinking : religious studies and the challenge of postmodernism /","Olson, Carl.",2013,FALSE
"77","ALDERMAN","BL 000041 .O94  2008","X030508240","The Oxford handbook of religion and emotion /","",2008,FALSE
"78","CLEMONS","BL 000041 .P36  1996","X002715432","Seven theories of religion /","Pals, Daniel L.",1996,FALSE
"79","ALDERMAN","BL 000041 .P36  2006","X004901104","Eight theories of religion /","Pals, Daniel L.",2006,FALSE
"80","ALDERMAN","BL 000041 .P36  2015","X031715685","Nine theories of religion /","Pals, Daniel L.",2014,FALSE
"81","ALDERMAN","BL 000041 .P38  2009","X030466957","Religion of the gods : ritual, paradox, and reflexivity /","Patton, Kimberley C. (Kimberley Christine),",2009,FALSE
"82","ALDERMAN","BL 000041 .P468  2002","X004592407","Personal knowledge and beyond : reshaping the ethnography of religion /","",2002,FALSE
"83","ALDERMAN","BL 000041 .P47","X000078021","Perspectives on world religions /","",1978,FALSE
"84","ALDERMAN","BL 000041 .P53  2006","X030114096","Playful religion : challenges for the study of religion /","",2006,FALSE
"85","ALDERMAN","BL 000041 .P69  1987","X001261902","Explaining religion : criticism and theory from Bodin to Freud /","Preus, James S. (James Samuel),",1987,FALSE
"86","ALDERMAN","BL 000041 .P69  1996","X004104289","Explaining religion : criticism and theory from Bodin to Freud /","Preus, James S. (James Samuel),",1996,FALSE
