"","Item.Library.Code","Item.Shelving.Id","Item.Barcode","Catalog.Title","Catalog.Author","Catalog.Pub.Year","MultiVolume"
"1","ALDERMAN","BM 000030 .A333  1990","X002073832","Proceedings of the Academy for Jewish Philosophy /","Academy for Jewish Philosophy (U.S.). Meeting.",1992,FALSE
"2","ALDERMAN","BM 000030 .O78  2010","X030743994","The relationship of Orthodox Jews with believing Jews of other religious ideologies and non-believing Jews /","Orthodox Forum",2010,FALSE
"3","ALDERMAN","BM 000030 .S43  1997","X004139062","The seductiveness of Jewish myth : challenge or response? /","",1997,FALSE
"4","ALDERMAN","BM 000030 .W6  1997  DIV.A","X006091249","Proceedings of the Twelfth World Congress of Jewish Studies : Jerusalem, July 29-August 5, 1997 /","World Congress of Jewish Studies",1999,TRUE
"5","ALDERMAN","BM 000040 .G5","X001308732","Louis Ginzberg; jubilee volume on the occasion of his seventieth birthday. English section.","American Academy for Jewish Research.",1945,FALSE
"6","ALDERMAN","BM 000040 .G6","X000092765","Faith and reason; essays in Judaism,","Gordis, Robert,",1973,FALSE
"7","ALDERMAN","BM 000040 .J56","X001690002","Mordecai M. Kaplan; jubilee volume on the occasion of his seventieth birthday.","Jewish Theological Seminary of America.",1953,FALSE
"8","ALDERMAN","BM 000040 .M512  2008","X030257820","Milton and the Jews /","",2008,FALSE
"9","ALDERMAN","BM 000042 .H354  2018","X031842201","Handbuch Jüdische Studien /","",2018,FALSE
"10","ALDERMAN","BM 000042 .J485  2007","X030109704","Jewish studies in violence : a collection of essays /","",2007,FALSE
"11","ALDERMAN","BM 000042 .J485  2011","X030832215","Jewish studies at the crossroads of anthropology and history : authority, diaspora, tradition /","",2011,FALSE
"12","ALDERMAN","BM 000042 .J54  2007","X030507535","Jews and Judaism in the 21st century : human responsibility, the presence of God and the future of the covenant /","",2007,FALSE
"13","ALDERMAN","BM 000042 .L54  2001","X004555936","The life of Judaism /","",2001,FALSE
"14","ALDERMAN","BM 000042 .M63  2005","X004839660","Modern Judaism : an Oxford guide /","",2005,FALSE
"15","ALDERMAN","BM 000042 .S36  G45  1996","X004079773","A gift of God in due season : essays on scripture and community in honor of James A. Sanders /","",1996,TRUE
"16","ALDERMAN","BM 000043 .F68  1992","X002139423","Four centuries of Jewish women's spirituality : a sourcebook /","",1992,FALSE
"17","ALDERMAN","BM 000043 .F68  2009","X030470029","Four centuries of Jewish women's spirituality : a sourcebook /","",2009,FALSE
"18","ALDERMAN","BM 000043 .S45  2005","X031647350","Segunda antología sefaradí : continuidad cultural, 1600-1730 /","",2005,FALSE
"19","ALDERMAN","BM 000045 .B814  1995","X030975030","On Judaism /","Buber, Martin,",1995,FALSE
"20","ALDERMAN","BM 000045 .C5835  1998","X004190986","An Arthur A. Cohen reader : selected fiction and writings on Judaism, theology, literature, and culture /","Cohen, Arthur A. (Arthur Allen),",1998,FALSE
"21","ALDERMAN","BM 000045 .C6  1980  V.000001","X001825026","Hermann Cohens Jüdische Schriften.","Cohen, Hermann,",1980,TRUE
"22","ALDERMAN","BM 000045 .C613  1971","X001034923","Reason and hope; selections from the Jewish writings of Hermann Cohen.","Cohen, Hermann,",1971,FALSE
"23","ALDERMAN","BM 000045 .G7  1953","X001497229","The inner eye; selected essays.","Greenberg, Hayim,",1953,FALSE
"24","ALDERMAN","BM 000045 .H454  1966","X000376866","The insecurity of freedom; essays on human existence.","Heschel, Abraham Joshua,",1966,FALSE
"25","ALDERMAN","BM 000045 .H4549  1996","X004021804","Moral grandeur and spiritual audacity : essays /","Heschel, Abraham Joshua,",1996,FALSE
"26","ALDERMAN","BM 000045 .H84  2013","X031601109","The study of Judaism : authenticity, identity, scholarship /","Hughes, Aaron W.,",2013,FALSE
"27","ALDERMAN","BM 000045 .I34  2010","X030609536","Old worlds, new mirrors : on Jewish mysticism and twentieth-century thought /","Idel, Moshe,",2010,FALSE
"28","ALDERMAN","BM 000045 .K3742  1998  V.000002","X004624610","The Aryeh Kaplan anthology : illuminating expositions on Jewish thought and practice by a revered teacher.","Kaplan, Aryeh,",1998,TRUE
"29","ALDERMAN","BM 000045 .K3824  1985","X000971131","Dynamic Judaism : the essential writings of Mordecai M. Kaplan /","Kaplan, Mordecai Menahem,",1985,FALSE
"30","ALDERMAN","BM 000045 .K65413  1978","X000074212","Abraham Isaac Kook : The lights of penitence, The moral principles, Lights of holiness, essays, letters, and poems /","Kook, Abraham Isaac,",1978,FALSE
"31","ALDERMAN","BM 000045 .L378  1992","X002117256","Judaism, human values, and the Jewish state /","Leibowitz, Yeshayahu,",1992,FALSE
"32","ALDERMAN","BM 000045 .L42  1976","X000213927","Difficile liberté : essais sur le judaïsme /","Lévinas, Emmanuel.",1976,FALSE
"33","ALDERMAN","BM 000045 .L4213  1990","X001925779","Difficult freedom : essays on Judaism /","Lévinas, Emmanuel.",1990,FALSE
"34","ALDERMAN","BM 000045 .N38  2004","X004805067","The emergence of Judaism /","Neusner, Jacob,",2004,FALSE
"35","ALDERMAN","BM 000045 .R6593  1976  BD.000002","X001085922","Der Stern der Erlösung /","Rosenzweig, Franz,",1976,TRUE
"36","ALDERMAN","BM 000045 .R6593  1976  T.000001","X001091979","Der Mensch und sein Werk : gesammelte Schriften /","Rosenzweig, Franz,",1976,TRUE
"37","ALDERMAN","BM 000045 .R6593  1979  BD.000003","X000916880","Zweistromland : kleinere Schriften zu Glauben und Denken /","Rosenzweig, Franz,",1984,TRUE
"38","ALDERMAN","BM 000045 .R66  1984","X000902684","Die Schrift; Aufsätze, Ubertragungen und Briefe.","Rosenzweig, Franz,",1984,FALSE
