"","Item.Library.Code","Item.Shelving.Id","Item.Barcode","Catalog.Title","Catalog.Author","Catalog.Pub.Year","MultiVolume"
"1","ALDERMAN","BP 000001 .A72  V.000053 001988/001989","X001814192","Al-?arab","",1988,TRUE
"2","ALDERMAN","BP 000010 .D36  2006","X030332637","Religious institutes of Kashmir /","Dar, Nazir Ahmad.",2006,FALSE
"3","ALDERMAN","BP 000010 .H59  M83  2008","X030561361","?izb al-Ta?r?r f? al-Kuwayt, 1953-2007 /","Mudayris, Fal?? ?Abd All?h.",2008,FALSE
"4","ALDERMAN","BP 000010 .I385  F73  2018","X031841202","The Muslim Brotherhood and the West : a history of enmity and engagement /","Frampton, Martyn,",2018,TRUE
"5","ALDERMAN","BP 000010 .I385  M87  2012","X031618239","The Muslim Brotherhood in Europe /","",2012,FALSE
"6","ALDERMAN","BP 000010 .I385  W53  2013","X030610590","The Muslim Brotherhood : evolution of an Islamist movement /","Wickham, Carrie Rosefsky,",2013,FALSE
"7","ALDERMAN","BP 000010 .J343  A46  2009","X030240902","Islamism and democracy in India : the transformation of Jamaat-e-Islami /","Ahmad, Irfan,",2009,FALSE
"8","ALDERMAN","BP 000010 .J383  A427  2014","X031656374","Answering the call : popular Islamic activism in Sadat's Egypt /","Al-Arian, Abdullah A.,",2014,FALSE
"9","ALDERMAN","BP 000010 .J383  A635  2016","X031791414","Inside the Muslim Brotherhood : religion, identity, and politics /","?An?n?, Khal?l,",2016,FALSE
"10","ALDERMAN","BP 000010 .J383  B32213  1978","X000041258","Five tracts of ?asan Al-Bann?? (1906-1949) : a selection from the Majm??at ras??il al-Im?m al-shah?d ?asan al-Bann?? /","Bann?, ?asan,",1978,FALSE
"11","ALDERMAN","BP 000010 .J383  B76  2019","X032583734","Winning hearts and votes : social services and the Islamist political advantage /","Brooke, Steven,",2019,FALSE
"12","ALDERMAN","BP 000010 .J383  I44  2006","X031611824","Mub?rak wa-al-Ikhw?n /","Im?m, ?am?dah,",2006,FALSE
"13","ALDERMAN","BP 000010 .J383  K36  2015","X031707989","Inside the Brotherhood /","Kandil, Hazem,",2015,FALSE
"14","ALDERMAN","BP 000010 .J383  M87  2010","X030781224","The Muslim brotherhood : the organization and policies of a global Islamist movement /","",2010,FALSE
"15","ALDERMAN","BP 000010 .J383  P37  2010","X030732752","The Muslim Brotherhood : the burden of tradition /","Pargeter, Alison.",2010,FALSE
"16","ALDERMAN","BP 000010 .J383  R33  2005","X004839941","Radical Islam in Egypt and Jordan /","",2005,TRUE
"17","ALDERMAN","BP 000010 .J383  Z64  2009","X030277830","The Muslim brotherhood : Hasan al-Hudaybi and ideology /","Zollner, Barbara H. E.,",2009,FALSE
"18","ALDERMAN","BP 000010 .J386  L44  2013","X031603773","Ashes of Hama : the Muslim Brotherhood in Syria /","Lefèvre, Raphaël,",2013,TRUE
"19","ALDERMAN","BP 000010 .T32  S54  2002","X004786943","The origins and development of the Tablighi Jama?at (1920-2000) : a cross-country comparative study /","Sikand, Yoginder,",2002,FALSE
"20","ALDERMAN","BP 000015 .C43","X030498299","The Challenge of Islam /","",1978,FALSE
"21","ALDERMAN","BP 000020 .E77  1992  V.000003","X030214579","Essays on Islam : felicitation volume in honour of ... /","",1992,TRUE
"22","ALDERMAN","BP 000020 .E8  NO.000003","X004347648","Essentials of Islam series.","",1961,TRUE
"23","ALDERMAN","BP 000020 .E8  NO.000004","X006137704","""al-Salat"" : prayer /","Ghali, Mohammad Mahmoud.",1964,TRUE
"24","ALDERMAN","BP 000025 .G614  1967  V.000002","X000237249","Muslim studies.","Goldziher, Ignác,",1967,TRUE
"25","ALDERMAN","BP 000025 .G73  2010","X030773890","Islamic and comparative religious studies : selected writings /","Graham, William A. (William Albert),",2010,FALSE
"26","ALDERMAN","BP 000025 .M322  1981  V.000001","X000913771","Selected speeches and writings of Maulana Maududi /","Maudoodi, Syed Abul ?Ala,",1981,TRUE
"27","ALDERMAN","BP 000025 .N27  1981","X030119668","Islamic life and thought /","Nasr, Seyyed Hossein.",1981,FALSE
"28","CLEMONS","BP 000025 .N27  1981B","X000324831","Islamic life and thought /","Nasr, Seyyed Hossein.",1981,FALSE
"29","ALDERMAN","BP 000025 .S47  1971","X004655545","Intikh?v-i maz??m?n-i Sh?bl?.","Shibl? Nu?m?n?,",1971,FALSE
"30","ALDERMAN","BP 000025 .S6  1981","X000400184","On understanding Islam : selected studies /","Smith, Wilfred Cantwell,",1981,FALSE
"31","ALDERMAN","BP 000040 .C66  2001","X030384730","Concise encyclopedia of Islam /","",2001,FALSE
"32","ALDERMAN","BP 000040 .G396  2006","X004897981","Key words in Islam /","Geaves, Ron.",2006,FALSE
