"","Item.Library.Code","Item.Shelving.Id","Item.Barcode","Catalog.Title","Catalog.Author","Catalog.Pub.Year","MultiVolume"
"1","ALDERMAN","BQ 000002 .B78  V.000005","X002548683","The Bodhisattvapi?aka : / its doctrines, practices and their position in Mah?y?na literature /","Pagel, Ulrich.",1995,TRUE
"2","ALDERMAN","BQ 000002 .B78  V.000007","X004062631","The Vajrabhairava Tantras : Tibetan and Mongolian versions, English translation and annotations /","",1996,TRUE
"3","ALDERMAN","BQ 000002 .B78  V.000009","X004620196","The six perfections : an abridged version of E. Lamotte's French translation of N?g?rjuna's Mah?prajñ?p?ramit???stra chapters xvi-xxx /","N?g?rjuna,",2002,TRUE
"4","ALDERMAN","BQ 000002 .B78  V.000010","X004714207","Kriy?sa?graha : compendium of Buddhist rituals : and abridged version /","Kuladatta.",2002,TRUE
"5","ALDERMAN","BQ 000003 .M562  2008  V.000049","X030508094","Minguo fo jiao qi kan wen xian ji cheng bu bian /","",2008,TRUE
"6","ALDERMAN","BQ 000020 .W7  P74  1966","X032422590","Presidential world tour : the interest in Buddhism of peoples in modern times /","",1966,FALSE
"7","ALDERMAN","BQ 000020 .W72  1961","X030373959","The sixth conference of the World Fellowship of Buddhists, 14th to 22nd Nov. 1961 /","World Fellowship of Buddhists",1961,FALSE
"8","ALDERMAN","BQ 000054 .V47  1988","X031826883","The Friends of the Western Buddhist Order : an introduction /","Vessantara,",1988,FALSE
"9","ALDERMAN","BQ 000100 .B82  2009","X031612111","Buddhism, Buddhists and Buddhist studies /","International Conference on ""the State of Buddhism, Buddhists and Buddhist Studies in India and Abroad""",2012,FALSE
"10","ALDERMAN","BQ 000100 .C675  1994","X030374356","Perspective of Buddhist studies : Giuseppe Tucci birth centenary volume /","Conference on Professor Giuseppe Tucci",2002,FALSE
"11","ALDERMAN","BQ 000100 .I554  2003  V.2","X004796702","Buddhism in global perspective /","International Conference on Buddhism in Global Perspective",2003,TRUE
"12","ALDERMAN","BQ 000118 .N34  V.000001","X031192421","Bukky? no shomondai.","",1971,TRUE
"13","ALDERMAN","BQ 000118 .S2  V.000016","X000445777","The Mahävastu;","",1952,TRUE
