"","Item.Library.Code","Item.Shelving.Id","Item.Barcode","Catalog.Title","Catalog.Author","Catalog.Pub.Year","MultiVolume"
"1","ALDERMAN","BR 000001 .A1  E27A 1984-85","X001923702","Dialogue toward inter-faith understanding.","",1986,FALSE
"2","ALDERMAN","BR 000001 .C64173  H85  1999","X004276904","Building a Protestant left : Christianity and crisis magazine, 1941-1993 /","Hulsether, Mark.",1999,FALSE
"3","ALDERMAN","BR 000001 .C64183  H64  1983","X000670150","Individualism and social ethics : an evangelical syncretism /","Hollinger, Dennis P.,",1983,FALSE
"4","ALDERMAN","BR 000041 .C63  1972","X000001410","The pursuit of holiness in late medieval and Renaissance religion; papers from the University of Michigan Conference.","Conference on Late Medieval and Renaissance Religion",1974,FALSE
"5","ALDERMAN","BR 000041 .S8  V.000027","X002664588","Papers presented at the eleventh International Conference on Patristic Studies held in Oxford, 1991 /","International Conference on Patristic Studies",1993,TRUE
"6","ALDERMAN","BR 000041 .S8  V.000029","X004236276","Papers presented at the Twelfth International Conference on Patristic Studies held in Oxford, 1995 /","International Conference on Patristic Studies",1997,TRUE
"7","ALDERMAN","BR 000041 .S8  V.000034","X006120361","Papers presented at the Thirteenth International Conference on Patristic Studies held in Oxford, 1999 /","International Conference on Patristic Studies",2001,TRUE
"8","ALDERMAN","BR 000041 .S8  V.000054 002013","X031584254","Papers presented at the Sixteenth International Conference on Patristic Studies held in Oxford 2011 /","International Conference on Patristic Studies",2013,TRUE
"9","ALDERMAN","BR 000041 .S8  V.000071","X031634921","Studia patristica. including papers presented at the Conferences on Early Roman Liturgy to 600 (14.11.2009 and 27.02.2010) at Blackfriars Hall, Oxford, UK /","",2014,TRUE
"10","ALDERMAN","BR 000041 .S8  V.000072","X031721641","Studia Patristica.","British Patristics Conference",2014,TRUE
"11","ALDERMAN","BR 000041 .S8  V.000073","X031722399","Studia Patristica.","Conference on Early Christian Iconography",2014,TRUE
"12","ALDERMAN","BR 000041 .S8  V.000075 002015","X032084516","Papers presented at the seventeenth International Conference on Patristic Studies held in Oxford 2015 /","International Conference on Patristic Studies",2017,TRUE
"13","ALDERMAN","BR 000041 .S8  V.000099","X032425698","Marcion of Sinope as religious entrepreneur /","Marcion of Sinope as Religious Entrepreneur (Workshop)",2018,TRUE
"14","ALDERMAN","BR 000041 .V47  1997","X006112712","Vestigia, imagines, verba : semiotics and logic in medieval theological texts (xiith-xivth century) /","",1997,FALSE
"15","ALDERMAN","BR 000045 .B43  NO.000008 001955","X030462170","J'aime la Bible.","Claudel, Paul,",1955,TRUE
"16","ALDERMAN","BR 000045 .B65  1986  BD.000003","X001607101","Schöpfung und Fall /","Bonhoeffer, Dietrich,",1989,TRUE
"17","ALDERMAN","BR 000045 .B65  1986  BD.000004","X001611859","Nachfolge /","Bonhoeffer, Dietrich,",1989,TRUE
"18","ALDERMAN","BR 000045 .B65  1986  BD.000006","X002069250","Ethik /","Bonhoeffer, Dietrich,",1992,TRUE
"19","ALDERMAN","BR 000045 .B65  1986  BD.000006 001998","X004731688","Ethik /","Bonhoeffer, Dietrich,",1998,TRUE
"20","ALDERMAN","BR 000045 .B65  1986  BD.000008","X004195135","Widerstand und Ergebung : Briefe und Aufzeichnungen aus der Haft /","Bonhoeffer, Dietrich,",1998,TRUE
"21","ALDERMAN","BR 000045 .B65  1986  BD.000012","X004150699","Berlin, 1932-1933 /","Bonhoeffer, Dietrich,",1997,TRUE
"22","ALDERMAN","BR 000045 .B65  1986  BD.000013","X002493381","London, 1933-1935 /","Bonhoeffer, Dietrich,",1994,TRUE
"23","ALDERMAN","BR 000045 .B65  1986  BD.000014","X004080098","Illegale Theologen-Ausbildung : Finkenwalde 1935-1937 /","Bonhoeffer, Dietrich,",1996,TRUE
"24","ALDERMAN","BR 000045 .B65  1986  BD.000017","X004383167","Register und Ergänzungen /","",1999,TRUE
